Date,Close,CSCO
04/04/2014,22.71,-0.016594267
03/04/2014,23.09,0.004340285
02/04/2014,22.99,-0.004773279
01/04/2014,23.1,0.0298792
31/03/2014,22.42,0.004022352
28/03/2014,22.33,0.013979935
27/03/2014,22.02,-0.013532006
26/03/2014,22.32,-0.000895656
25/03/2014,22.34,0.035075333
24/03/2014,21.57,-0.003239994
21/03/2014,21.64,-0.008741717
20/03/2014,21.83,0.009203931
19/03/2014,21.63,0
18/03/2014,21.63,0.005563297
17/03/2014,21.51,0.007466204
14/03/2014,21.35,-0.007930996
13/03/2014,21.52,-0.013844245
12/03/2014,21.82,0.00967081
11/03/2014,21.61,-0.003695154
10/03/2014,21.69,-0.001842469
07/03/2014,21.73,-0.004133186
06/03/2014,21.82,-0.002288854
05/03/2014,21.87,0.002288854
04/03/2014,21.82,0.01152352
03/03/2014,21.57,-0.010606509
28/02/2014,21.8,-0.005489492
27/02/2014,21.92,-0.0004561
26/02/2014,21.93,0.004112412
25/02/2014,21.84,-0.012739026
24/02/2014,22.12,-0.000451977
21/02/2014,22.13,-0.007652524
20/02/2014,22.3,0.000897263
19/02/2014,22.28,-0.005817873
18/02/2014,22.41,-0.006671139
14/02/2014,22.56,0.012937945
13/02/2014,22.27,-0.025710636
12/02/2014,22.85,0.006145761
11/02/2014,22.71,-0.005270104
10/02/2014,22.83,0.007032996
07/02/2014,22.67,0.007971699
06/02/2014,22.49,0.022937817
05/02/2014,21.98,0.008222979
04/02/2014,21.8,0.011534153
03/02/2014,21.55,-0.016567337
31/01/2014,21.91,-0.003189795
30/01/2014,21.98,0.015127495
29/01/2014,21.65,-0.004608303
28/01/2014,21.75,-0.011428696
27/01/2014,22,-0.009049836
24/01/2014,22.2,-0.016086138
23/01/2014,22.56,-0.012334958
22/01/2014,22.84,0.000437924
21/01/2014,22.83,0.003949972
17/01/2014,22.74,-0.00175747
16/01/2014,22.78,0
15/01/2014,22.78,0.01637567
14/01/2014,22.41,0.009865551
13/01/2014,22.19,-0.001351047
10/01/2014,22.22,0.005867767
09/01/2014,22.09,-0.00901313
08/01/2014,22.29,-0.000896861
07/01/2014,22.31,0.013538113
06/01/2014,22.01,0.001363947
03/01/2014,21.98,-0.000909504
02/01/2014,22,-0.019356895
31/12/2013,22.43,0.00805734
30/12/2013,22.25,0.010390877
27/12/2013,22.02,0.010041161
26/12/2013,21.8,0.005058645
24/12/2013,21.69,0.005547864
23/12/2013,21.57,0.020609629
20/12/2013,21.13,0.002843604
19/12/2013,21.07,0.00332779
18/12/2013,21,0.003816799
17/12/2013,20.92,0.01153859
16/12/2013,20.68,0.021506205
13/12/2013,20.24,-0.013251728
12/12/2013,20.51,-0.017879191
11/12/2013,20.88,-0.015681006
10/12/2013,21.21,-0.000471365
09/12/2013,21.22,-0.002823531
06/12/2013,21.28,0.017540151
05/12/2013,20.91,-0.016129382
04/12/2013,21.25,-0.000470478
03/12/2013,21.26,0.008028378
02/12/2013,21.09,-0.007557901
29/11/2013,21.25,-0.000940734
27/11/2013,21.27,0.002824861
26/11/2013,21.21,-0.002824861
25/11/2013,21.27,-0.008893108
22/11/2013,21.46,-0.000465875
21/11/2013,21.47,0.011241336
20/11/2013,21.23,-0.008909789
19/11/2013,21.42,0.006087586
18/11/2013,21.29,-0.011674193
15/11/2013,21.54,0.007923602
14/11/2013,21.37,-0.116065761
13/11/2013,24,0.01131376
12/11/2013,23.73,0.011869576
11/11/2013,23.45,-0.002555368
08/11/2013,23.51,0.017160438
07/11/2013,23.11,-0.007329199
06/11/2013,23.28,0.009061551
05/11/2013,23.07,0.021468513
04/11/2013,22.58,0.000442968
01/11/2013,22.57,0.000443164
31/10/2013,22.56,-0.006626929
30/10/2013,22.71,-0.005270104
29/10/2013,22.83,0.012340395
28/10/2013,22.55,0.003999117
25/10/2013,22.46,0.004015174
24/10/2013,22.37,0.00492943
23/10/2013,22.26,-0.017368506
22/10/2013,22.65,-0.012286245
21/10/2013,22.93,-0.001307475
18/10/2013,22.96,0.007870613
17/10/2013,22.78,-0.009611258
16/10/2013,23,-0.007795622
15/10/2013,23.18,-0.006878789
14/10/2013,23.34,0.002574004
11/10/2013,23.28,0.011665719
10/10/2013,23.01,0.022413595
09/10/2013,22.5,-0.006202944
08/10/2013,22.64,-0.010981881
07/10/2013,22.89,-0.005663269
04/10/2013,23.02,0.000434499
03/10/2013,23.01,-0.013382457
02/10/2013,23.32,0.003436429
01/10/2013,23.24,-0.008142321
30/09/2013,23.43,0.004277166
27/09/2013,23.33,-0.018684195
26/09/2013,23.77,-0.027387604
25/09/2013,24.43,0.01194167
24/09/2013,24.14,-0.005370804
23/09/2013,24.27,-0.009840178
20/09/2013,24.51,-0.004071667
19/09/2013,24.61,-0.007690789
18/09/2013,24.8,0.017490786
17/09/2013,24.37,-0.000410256
16/09/2013,24.38,0.002464067
13/09/2013,24.32,0.001234314
12/09/2013,24.29,-0.003698381
11/09/2013,24.38,0.009064751
10/09/2013,24.16,0.009983444
09/09/2013,23.92,0.015589109
06/09/2013,23.55,-0.005927198
05/09/2013,23.69,-0.003371263
04/09/2013,23.77,0.012275286
03/09/2013,23.48,0.007266542
30/08/2013,23.31,-0.005988042
29/08/2013,23.45,0
28/08/2013,23.45,-0.0012785
27/08/2013,23.48,-0.014796296
26/08/2013,23.83,-0.001258126
23/08/2013,23.86,-0.006266994
22/08/2013,24.01,-0.002495842
21/08/2013,24.07,-0.010332805
20/08/2013,24.32,0.002058037
19/08/2013,24.27,0
16/08/2013,24.27,-0.008615438
15/08/2013,24.48,-0.07474969
14/08/2013,26.38,0.002277041
13/08/2013,26.32,-0.00075959
12/08/2013,26.34,0.011070928
09/08/2013,26.05,-0.008029101
08/08/2013,26.26,0.005345564
07/08/2013,26.12,-0.003439713
06/08/2013,26.21,-0.003808078
05/08/2013,26.31,0.004571437
02/08/2013,26.19,0.011520865
01/08/2013,25.89,0.011655144
31/07/2013,25.59,-0.003121345
30/07/2013,25.67,0.013333531
29/07/2013,25.33,-0.006688988
26/07/2013,25.5,0
25/07/2013,25.5,-0.003523198
24/07/2013,25.59,0.001173021
23/07/2013,25.56,-0.00624027
22/07/2013,25.72,-0.003880486
19/07/2013,25.82,-0.001547988
18/07/2013,25.86,0.005428474
17/07/2013,25.72,0.000388878
16/07/2013,25.71,-0.008520578
15/07/2013,25.93,-0.000385579
12/07/2013,25.94,0.002702183
11/07/2013,25.87,0.017941199
10/07/2013,25.41,0.009887365
09/07/2013,25.16,0.02129022
08/07/2013,24.63,0.002439026
05/07/2013,24.57,-0.00081367
03/07/2013,24.59,0.011040799
02/07/2013,24.32,-0.00082203
01/07/2013,24.34,0
28/06/2013,24.34,-0.011844125
27/06/2013,24.63,0.009792
26/06/2013,24.39,0.015702802
25/06/2013,24.01,-0.0020803
24/06/2013,24.06,-0.017305747
