Date,Close,NLSN
04/04/2014,44.49,-0.018263314
03/04/2014,45.31,-0.003085062
02/04/2014,45.45,0.005736997
01/04/2014,45.19,0.012469545
31/03/2014,44.63,0.008324944
28/03/2014,44.26,0.00316814
27/03/2014,44.12,0.00477111
26/03/2014,43.91,-0.005450842
25/03/2014,44.15,-0.004294277
24/03/2014,44.34,0.005881039
21/03/2014,44.08,0.005915831
20/03/2014,43.82,-0.009539023
19/03/2014,44.24,-0.007655971
18/03/2014,44.58,0.014915531
17/03/2014,43.92,0.001367054
14/03/2014,43.86,-0.006363658
13/03/2014,44.14,-0.021294092
12/03/2014,45.09,-0.024102832
11/03/2014,46.19,-0.00129814
10/03/2014,46.25,-0.000648438
07/03/2014,46.28,0.00868061
06/03/2014,45.88,-0.008032172
05/03/2014,46.25,-0.015234712
04/03/2014,46.96,0.01005894
03/03/2014,46.49,-0.018118368
28/02/2014,47.34,0.011045142
27/02/2014,46.82,0.009011003
26/02/2014,46.4,0.005835962
25/02/2014,46.13,-0.012494777
24/02/2014,46.71,0.008600354
21/02/2014,46.31,-0.001941539
20/02/2014,46.4,0.000431127
19/02/2014,46.38,-0.003873472
18/02/2014,46.56,0.024569124
14/02/2014,45.43,0.003528118
13/02/2014,45.27,-0.008139964
12/02/2014,45.64,0.014122035
11/02/2014,45,-0.002884724
10/02/2014,45.13,0.021275016
07/02/2014,44.18,0.015741171
06/02/2014,43.49,0.02349765
05/02/2014,42.48,0.008748135
04/02/2014,42.11,0.025738041
03/02/2014,41.04,-0.030003451
31/01/2014,42.29,-0.015485997
30/01/2014,42.95,0.017853422
29/01/2014,42.19,-0.007085528
28/01/2014,42.49,-0.006334332
27/01/2014,42.76,-0.011162907
24/01/2014,43.24,-0.040118695
23/01/2014,45.01,-0.007084378
22/01/2014,45.33,0.006862229
21/01/2014,45.02,0.013417017
17/01/2014,44.42,0.007003304
16/01/2014,44.11,-0.003620733
15/01/2014,44.27,-0.002256319
14/01/2014,44.37,0.015673234
13/01/2014,43.68,-0.009796183
10/01/2014,44.11,-0.004523871
09/01/2014,44.31,-0.012559035
08/01/2014,44.87,-0.003559514
07/01/2014,45.03,-0.004873736
06/01/2014,45.25,-0.002207506
03/01/2014,45.35,0.005971487
02/01/2014,45.08,-0.017808539
31/12/2013,45.89,0.004586663
30/12/2013,45.68,-0.000437733
27/12/2013,45.7,-0.0050202
26/12/2013,45.93,0.006333973
24/12/2013,45.64,0.001973901
23/12/2013,45.55,0.004400447
20/12/2013,45.35,0.004862963
19/12/2013,45.13,-0.000221558
18/12/2013,45.14,-0.000221508
17/12/2013,45.15,-0.010355937
16/12/2013,45.62,0
13/12/2013,45.62,0.060076767
12/12/2013,42.96,-0.007883185
11/12/2013,43.3,-0.002997812
10/12/2013,43.43,-0.005052836
09/12/2013,43.65,0.002293579
06/12/2013,43.55,0.019710783
05/12/2013,42.7,-0.003506725
04/12/2013,42.85,0.003975219
03/12/2013,42.68,-0.00187266
02/12/2013,42.76,-0.009311054
29/11/2013,43.16,0.005343258
27/11/2013,42.93,0.00983154
26/11/2013,42.51,0.012784265
25/11/2013,41.97,0.020460456
22/11/2013,41.12,0.0223789
21/11/2013,40.21,-0.006939309
20/11/2013,40.49,-0.005173062
19/11/2013,40.7,0.008141158
18/11/2013,40.37,0.000743402
15/11/2013,40.34,0.009464579
14/11/2013,39.96,-0.005739255
13/11/2013,40.19,0.004738754
12/11/2013,40,0.008536331
11/11/2013,39.66,-0.002769736
08/11/2013,39.77,0.01673467
07/11/2013,39.11,-0.014972999
06/11/2013,39.7,0.005556973
05/11/2013,39.48,-0.008575084
04/11/2013,39.82,-0.003009029
01/11/2013,39.94,0.012597798
31/10/2013,39.44,0.00891385
30/10/2013,39.09,-0.010433992
29/10/2013,39.5,0.014278672
28/10/2013,38.94,-0.002564762
25/10/2013,39.04,0.001538067
24/10/2013,38.98,0.017859929
23/10/2013,38.29,-0.014004378
22/10/2013,38.83,0.003870473
21/10/2013,38.68,0.006224086
18/10/2013,38.44,0.013883655
17/10/2013,37.91,0.019982016
16/10/2013,37.16,0.008377295
15/10/2013,36.85,-0.008377295
14/10/2013,37.16,-0.002150538
11/10/2013,37.24,-0.001877935
10/10/2013,37.31,0.032691552
09/10/2013,36.11,0.00583254
08/10/2013,35.9,-0.008598028
07/10/2013,36.21,-0.005233451
04/10/2013,36.4,0.002200221
03/10/2013,36.32,-0.008225986
02/10/2013,36.62,-0.013830729
01/10/2013,37.13,0.01848381
30/09/2013,36.45,0.003572905
27/09/2013,36.32,-0.005491502
26/09/2013,36.52,-0.001094691
25/09/2013,36.56,-0.000273486
24/09/2013,36.57,0.005209059
