Date,Close,DISCA
04/04/2014,83.04,-0.008394341
03/04/2014,83.74,-0.005478161
02/04/2014,84.2,0.004642589
01/04/2014,83.81,0.01333273
31/03/2014,82.7,0.004362586
28/03/2014,82.34,0.00706889
27/03/2014,81.76,-0.008767713
26/03/2014,82.48,-0.006525703
25/03/2014,83.02,-0.001805163
24/03/2014,83.17,-0.016101487
21/03/2014,84.52,0.009868697
20/03/2014,83.69,-0.000119481
19/03/2014,83.7,0
18/03/2014,83.7,0.007194276
17/03/2014,83.1,-0.000721761
14/03/2014,83.16,-0.011121191
13/03/2014,84.09,-0.009468647
12/03/2014,84.89,0.002831192
11/03/2014,84.65,-0.011744116
10/03/2014,85.65,0.001518958
07/03/2014,85.52,-0.005248131
06/03/2014,85.97,0.014646697
05/03/2014,84.72,0.008892109
04/03/2014,83.97,0.022765211
03/03/2014,82.08,-0.014994235
28/02/2014,83.32,0.014385259
27/02/2014,82.13,0.009542524
26/02/2014,81.35,-0.00404834
25/02/2014,81.68,-0.009504153
24/02/2014,82.46,-0.0042355
21/02/2014,82.81,0.004599379
20/02/2014,82.43,0.015773391
19/02/2014,81.14,0.010032908
18/02/2014,80.33,-0.006205034
14/02/2014,80.83,0.019110055
13/02/2014,79.3,-0.043914308
12/02/2014,82.86,0.00108676
11/02/2014,82.77,0.004722988
10/02/2014,82.38,-0.004602164
07/02/2014,82.76,0.009957581
06/02/2014,81.94,0.031614856
05/02/2014,79.39,0.017279048
04/02/2014,78.03,-0.000128148
03/02/2014,78.04,-0.022051331
31/01/2014,79.78,-0.006870304
30/01/2014,80.33,0.024701949
29/01/2014,78.37,0.005245326
28/01/2014,77.96,0.008501919
27/01/2014,77.3,-0.021627307
24/01/2014,78.99,-0.013704873
23/01/2014,80.08,-0.004982571
22/01/2014,80.48,-0.001489943
21/01/2014,80.6,-0.003838776
17/01/2014,80.91,-0.013625694
16/01/2014,82.02,-0.007893659
15/01/2014,82.67,0.000362954
14/01/2014,82.64,0.014627272
13/01/2014,81.44,-0.031188313
10/01/2014,84.02,-0.008414864
09/01/2014,84.73,0.001417267
08/01/2014,84.61,-0.027165763
07/01/2014,86.94,-0.006077652
06/01/2014,87.47,-0.012610221
03/01/2014,88.58,-0.005853236
02/01/2014,89.1,-0.014706147
31/12/2013,90.42,-0.000442282
30/12/2013,90.46,0.01683335
27/12/2013,88.95,0.002927271
26/12/2013,88.69,-0.002027484
24/12/2013,88.87,0.005076439
23/12/2013,88.42,0.007606326
20/12/2013,87.75,0.016430541
19/12/2013,86.32,0.000347604
18/12/2013,86.29,0.030355272
17/12/2013,83.71,-0.003934431
16/12/2013,84.04,0.019100827
13/12/2013,82.45,-0.005925406
12/12/2013,82.94,-0.018989046
11/12/2013,84.53,-0.007542758
10/12/2013,85.17,-0.002813931
09/12/2013,85.41,0.0041063
06/12/2013,85.06,0.012659146
05/12/2013,83.99,-0.002259619
04/12/2013,84.18,-0.014505827
03/12/2013,85.41,-0.00932299
02/12/2013,86.21,-0.012220581
29/11/2013,87.27,0.004133661
27/11/2013,86.91,0.004035285
26/11/2013,86.56,0.009984989
25/11/2013,85.7,-0.001981699
22/11/2013,85.87,0.007363717
21/11/2013,85.24,0.000117323
20/11/2013,85.23,0
19/11/2013,85.23,-0.002226781
18/11/2013,85.42,-0.000117062
15/11/2013,85.43,-0.004671269
14/11/2013,85.83,0.003267595
13/11/2013,85.55,0.013415122
12/11/2013,84.41,-0.002130178
11/11/2013,84.59,-0.009061551
08/11/2013,85.36,0.013801458
07/11/2013,84.19,-0.017193075
06/11/2013,85.65,-0.014488808
05/11/2013,86.9,-0.001954361
04/11/2013,87.07,-0.008349108
01/11/2013,87.8,-0.012000597
31/10/2013,88.86,0.051968742
30/10/2013,84.36,-0.012252745
29/10/2013,85.4,0
28/10/2013,85.4,-0.003039871
25/10/2013,85.66,0.008323124
24/10/2013,84.95,0.005311314
23/10/2013,84.5,-0.006017362
22/10/2013,85.01,0.02622007
21/10/2013,82.81,0.004114236
18/10/2013,82.47,0.013427936
17/10/2013,81.37,0.007277245
16/10/2013,80.78,0.020763723
15/10/2013,79.12,-0.01305895
14/10/2013,80.16,-0.004729318
11/10/2013,80.54,0.004854076
10/10/2013,80.15,0.028088891
09/10/2013,77.93,-0.003842218
08/10/2013,78.23,-0.019494288
07/10/2013,79.77,-0.018629451
04/10/2013,81.27,0.000369208
03/10/2013,81.24,-0.015632951
02/10/2013,82.52,-0.008567172
01/10/2013,83.23,-0.014196481
30/09/2013,84.42,-0.004962789
27/09/2013,84.84,0.010069386
26/09/2013,83.99,0.036619028
25/09/2013,80.97,0.007686624
24/09/2013,80.35,-0.002858388
23/09/2013,80.58,-0.015026764
20/09/2013,81.8,0.000489117
19/09/2013,81.76,0.016276562
18/09/2013,80.44,0.011880337
17/09/2013,79.49,0.010623598
16/09/2013,78.65,0.010480669
13/09/2013,77.83,-0.002694555
12/09/2013,78.04,-0.003198365
11/09/2013,78.29,0.004480581
10/09/2013,77.94,-0.006649641
09/09/2013,78.46,0.011666051
06/09/2013,77.55,-0.000515663
05/09/2013,77.59,0.008672632
04/09/2013,76.92,-0.005445365
03/09/2013,77.34,-0.002195674
30/08/2013,77.51,-0.006686408
29/08/2013,78.03,-0.002048394
28/08/2013,78.19,-0.00115038
27/08/2013,78.28,-0.027840811
26/08/2013,80.49,-0.000869295
23/08/2013,80.56,0.003232627
22/08/2013,80.3,0.01089349
21/08/2013,79.43,-0.007400473
20/08/2013,80.02,-0.002496257
19/08/2013,80.22,-0.001494769
16/08/2013,80.34,-0.000124463
15/08/2013,80.35,-0.030518944
14/08/2013,82.84,-0.007815828
13/08/2013,83.49,0.007815828
12/08/2013,82.84,-0.003494611
09/08/2013,83.13,0.002408769
08/08/2013,82.93,0.002414585
07/08/2013,82.73,0.001693685
06/08/2013,82.59,0.001939159
05/08/2013,82.43,0.002915808
02/08/2013,82.19,0.003290479
01/08/2013,81.92,0.027222666
31/07/2013,79.72,-0.015928659
30/07/2013,81,-0.041236723
29/07/2013,84.41,-0.007671012
26/07/2013,85.06,-0.000235101
25/07/2013,85.08,0.005303177
24/07/2013,84.63,-0.004480083
23/07/2013,85.01,0.007557008
22/07/2013,84.37,0.000711406
19/07/2013,84.31,-0.013898928
18/07/2013,85.49,0.009519964
17/07/2013,84.68,0.004141773
16/07/2013,84.33,-0.001303549
15/07/2013,84.44,-0.007433224
12/07/2013,85.07,0.006841263
11/07/2013,84.49,0.019480748
10/07/2013,82.86,0.011531353
09/07/2013,81.91,-0.001342036
08/07/2013,82.02,0.01103358
05/07/2013,81.12,0.006058751
03/07/2013,80.63,0.026644783
02/07/2013,78.51,0.009213117
01/07/2013,77.79,0.007095431
28/06/2013,77.24,0.007276539
27/06/2013,76.68,0.012598592
26/06/2013,75.72,0.003439612
25/06/2013,75.46,0.004249674
24/06/2013,75.14,-0.003719452
21/06/2013,75.42,0.01133421
20/06/2013,74.57,-0.025944539
