Date,Close,NRG
04/04/2014,32.66,0.022605081
03/04/2014,31.93,-0.006866444
02/04/2014,32.15,0.014726884
01/04/2014,31.68,-0.003780723
31/03/2014,31.8,0.007892701
28/03/2014,31.55,0.008594673
27/03/2014,31.28,0.013518069
26/03/2014,30.86,0.003245702
25/03/2014,30.76,0.013089192
24/03/2014,30.36,-0.000658545
21/03/2014,30.38,-0.002958096
20/03/2014,30.47,0.022569826
19/03/2014,29.79,-0.012343776
18/03/2014,30.16,0.008992567
17/03/2014,29.89,-0.002672905
14/03/2014,29.97,0.006024115
13/03/2014,29.79,-0.004354386
12/03/2014,29.92,0.01991627
11/03/2014,29.33,0.010625636
10/03/2014,29.02,0.011088125
07/03/2014,28.7,-0.00208841
06/03/2014,28.76,-0.003817461
05/03/2014,28.87,0.00034644
04/03/2014,28.86,0.009749381
03/03/2014,28.58,-0.016999542
28/02/2014,29.07,0.014553271
27/02/2014,28.65,-0.002092051
26/02/2014,28.71,-0.003477055
25/02/2014,28.81,-0.002426765
24/02/2014,28.88,0.011142177
21/02/2014,28.56,-0.005586607
20/02/2014,28.72,0.006637579
19/02/2014,28.53,-0.006637579
18/02/2014,28.72,0.010148819
14/02/2014,28.43,0.005290085
13/02/2014,28.28,0.028696374
12/02/2014,27.48,-0.009777373
11/02/2014,27.75,0.006144968
10/02/2014,27.58,-0.001087154
07/02/2014,27.61,-0.001447702
06/02/2014,27.65,0.010543635
05/02/2014,27.36,-0.001095891
04/02/2014,27.39,-0.001459322
03/02/2014,27.43,-0.015195661
31/01/2014,27.85,0.007930827
30/01/2014,27.63,0.01605288
29/01/2014,27.19,-0.000367715
28/01/2014,27.2,0.0166825
27/01/2014,26.75,-0.002613405
24/01/2014,26.82,-0.019202953
23/01/2014,27.34,-0.01991737
22/01/2014,27.89,-0.006433189
21/01/2014,28.07,0
17/01/2014,28.07,-0.000356189
16/01/2014,28.08,0.001782214
15/01/2014,28.03,0.008599121
14/01/2014,27.79,0.011945843
13/01/2014,27.46,-0.021614674
10/01/2014,28.06,-0.000356316
09/01/2014,28.07,-0.01344677
08/01/2014,28.45,-0.007005283
07/01/2014,28.65,-0.002092051
06/01/2014,28.71,0.001743072
03/01/2014,28.66,0.00279525
02/01/2014,28.58,-0.004886572
31/12/2013,28.72,0.003138625
30/12/2013,28.63,0.001398113
27/12/2013,28.59,0.00385492
26/12/2013,28.48,0.003517415
24/12/2013,28.38,0.000352423
23/12/2013,28.37,-0.001056896
20/12/2013,28.4,-0.000703978
19/12/2013,28.42,0.011323546
18/12/2013,28.1,0.008218735
17/12/2013,27.87,0.000358873
16/12/2013,27.86,-0.003225231
13/12/2013,27.95,-0.00107277
12/12/2013,27.98,0.00107277
11/12/2013,27.95,-0.014915049
10/12/2013,28.37,-0.012609624
09/12/2013,28.73,0.004884867
06/12/2013,28.59,0.01728743
05/12/2013,28.1,0.005352377
04/12/2013,27.95,0.019874186
03/12/2013,27.4,0.021022349
02/12/2013,26.83,0.013886506
29/11/2013,26.46,-0.007154992
27/11/2013,26.65,0.001877935
26/11/2013,26.6,-0.012700955
25/11/2013,26.94,-0.010339826
22/11/2013,27.22,-0.012776228
21/11/2013,27.57,0.012408918
20/11/2013,27.23,0.002205883
19/11/2013,27.17,0.00184196
18/11/2013,27.12,-0.005515734
15/11/2013,27.27,0.005515734
14/11/2013,27.12,-0.005148963
13/11/2013,27.26,0.007363804
12/11/2013,27.06,-0.035575439
11/11/2013,28.04,-0.009936207
08/11/2013,28.32,0.0120783
07/11/2013,27.98,-0.006412562
06/11/2013,28.16,-0.004959273
05/11/2013,28.3,0.001768347
04/11/2013,28.25,-0.004943513
01/11/2013,28.39,-0.004919195
31/10/2013,28.53,-0.010807147
30/10/2013,28.84,-0.011720231
29/10/2013,29.18,-0.010228524
28/10/2013,29.48,-0.021145275
25/10/2013,30.11,0.065890037
24/10/2013,28.19,-0.008125818
23/10/2013,28.42,-0.016402392
22/10/2013,28.89,0.001038961
21/10/2013,28.86,-0.015130963
18/10/2013,29.3,0.046812599
