Date,Close,TWX
04/04/2014,66.51,-0.003601985
03/04/2014,66.75,-0.004633444
02/04/2014,67.06,0.015478557
01/04/2014,66.03,0.010657835
31/03/2014,65.33,0.010463244
28/03/2014,64.65,0.018420752
27/03/2014,63.47,-0.018420752
26/03/2014,64.65,-0.013825105
25/03/2014,65.55,0.003361861
24/03/2014,65.33,-0.015341685
21/03/2014,66.34,-0.002408914
20/03/2014,66.5,-0.008683989
19/03/2014,67.08,-0.001787311
18/03/2014,67.2,0.007918171
17/03/2014,66.67,0.001350844
14/03/2014,66.58,-0.001650784
13/03/2014,66.69,-0.00851069
12/03/2014,67.26,-0.006225009
11/03/2014,67.68,-0.01248089
10/03/2014,68.53,0.003361839
07/03/2014,68.3,-0.00918173
06/03/2014,68.93,0.006549765
05/03/2014,68.48,0.022147664
04/03/2014,66.98,0.007643349
03/03/2014,66.47,-0.00988032
28/02/2014,67.13,0.020467231
27/02/2014,65.77,0.016557177
26/02/2014,64.69,-0.001390284
25/02/2014,64.78,-0.00354419
24/02/2014,65.01,0.004316332
21/02/2014,64.73,-0.003854758
20/02/2014,64.98,0.00555557
19/02/2014,64.62,-0.010468076
18/02/2014,65.3,0
14/02/2014,65.3,0.010777625
13/02/2014,64.6,-0.00709551
12/02/2014,65.06,0.003387224
11/02/2014,64.84,0.018523372
10/02/2014,63.65,-0.004076519
07/02/2014,63.91,0.009748505
06/02/2014,63.29,0.00316506
05/02/2014,63.09,0.010997003
04/02/2014,62.4,0.01420295
03/02/2014,61.52,-0.021070341
31/01/2014,62.83,-0.009031195
30/01/2014,63.4,0.01718146
29/01/2014,62.32,-0.013072082
28/01/2014,63.14,0.004126335
27/01/2014,62.88,-0.006973087
24/01/2014,63.32,-0.020632179
23/01/2014,64.64,-0.017178337
22/01/2014,65.76,0.018571633
21/01/2014,64.55,0.002326484
17/01/2014,64.4,-0.00850411
16/01/2014,64.95,-0.002921057
15/01/2014,65.14,-0.002912549
14/01/2014,65.33,-0.002140674
13/01/2014,65.47,-0.010937372
10/01/2014,66.19,-0.001509662
09/01/2014,66.29,-0.007065043
