Date,Close,LLTC
04/04/2014,48.46,-0.025266218
03/04/2014,49.7,-0.003615188
02/04/2014,49.88,-0.010966115
01/04/2014,50.43,0.035112566
31/03/2014,48.69,0.017402552
28/03/2014,47.85,-0.001253133
27/03/2014,47.91,-0.011001668
26/03/2014,48.44,-0.004942349
25/03/2014,48.68,0.008665208
24/03/2014,48.26,0.001659063
21/03/2014,48.18,-0.001451831
20/03/2014,48.25,0.019251484
19/03/2014,47.33,0.000845487
18/03/2014,47.29,0.005725814
17/03/2014,47.02,0.011981316
14/03/2014,46.46,-0.009212706
13/03/2014,46.89,-0.020893448
12/03/2014,47.88,-0.002086377
11/03/2014,47.98,0.004177116
10/03/2014,47.78,-0.007921659
07/03/2014,48.16,0.010016778
06/03/2014,47.68,0.01011813
05/03/2014,47.2,-0.000423639
04/03/2014,47.22,0.014505374
03/03/2014,46.54,-0.006425381
28/02/2014,46.84,0.004493428
27/02/2014,46.63,-0.000214431
26/02/2014,46.64,0.009911738
25/02/2014,46.18,-0.001730853
24/02/2014,46.26,0.002597404
21/02/2014,46.14,0.000433557
20/02/2014,46.12,0.001736112
19/02/2014,46.04,0.003481292
18/02/2014,45.88,-0.002394689
14/02/2014,45.99,0.005013634
13/02/2014,45.76,0.016970104
12/02/2014,44.99,0.006466741
11/02/2014,44.7,0.008537459
10/02/2014,44.32,0.004522848
07/02/2014,44.12,0.009565092
06/02/2014,43.7,0.004357305
05/02/2014,43.51,0.00345344
04/02/2014,43.36,-0.005060972
03/02/2014,43.58,-0.021789332
31/01/2014,44.54,-0.002690585
30/01/2014,44.66,0.001792918
29/01/2014,44.58,-0.004029555
28/01/2014,44.76,0.005825694
27/01/2014,44.5,-0.007165279
24/01/2014,44.82,-0.021411258
23/01/2014,45.79,-0.017320199
22/01/2014,46.59,0.006459971
21/01/2014,46.29,0.006284559
17/01/2014,46,-0.006284559
16/01/2014,46.29,0.003245702
15/01/2014,46.14,0.020804429
14/01/2014,45.19,0.015611379
13/01/2014,44.49,-0.020908235
10/01/2014,45.43,0.00397001
09/01/2014,45.25,0.001548159
08/01/2014,45.18,0.007330923
07/01/2014,44.85,0.001785316
06/01/2014,44.77,-0.004679674
03/01/2014,44.98,0.002225685
02/01/2014,44.88,-0.014818362
31/12/2013,45.55,0.001098298
30/12/2013,45.5,0.002640847
27/12/2013,45.38,0.001323043
26/12/2013,45.32,0.002651349
24/12/2013,45.2,0.000221263
23/12/2013,45.19,0.008667684
20/12/2013,44.8,0.005820478
19/12/2013,44.54,-0.01271629
18/12/2013,45.11,0.012940832
17/12/2013,44.53,0.013110495
