Date,Close,ROK
04/04/2014,124.51,-0.018855724
03/04/2014,126.88,0.006166515
02/04/2014,126.1,0.010042326
01/04/2014,124.84,0.002325676
31/03/2014,124.55,0.002411577
28/03/2014,124.25,0.020079527
27/03/2014,121.78,-0.003197379
26/03/2014,122.17,-0.01220321
25/03/2014,123.67,0.012530677
24/03/2014,122.13,-0.007423455
21/03/2014,123.04,0.00195249
20/03/2014,122.8,0.0046525
19/03/2014,122.23,-0.008553675
18/03/2014,123.28,0.008390063
17/03/2014,122.25,0.018576386
14/03/2014,120,-0.002081166
13/03/2014,120.25,-0.012807446
12/03/2014,121.8,-0.002214295
11/03/2014,122.07,-0.013587939
10/03/2014,123.74,-0.007888635
07/03/2014,124.72,0.010154008
06/03/2014,123.46,-0.000242964
05/03/2014,123.49,-0.004121384
04/03/2014,124,0.019626836
03/03/2014,121.59,-0.010227966
28/02/2014,122.84,0.005387328
27/02/2014,122.18,0.00368989
26/02/2014,121.73,0.00725537
25/02/2014,120.85,0.002402553
24/02/2014,120.56,0.010338595
21/02/2014,119.32,0.002769504
20/02/2014,118.99,0.008354832
19/02/2014,118,-0.004228336
18/02/2014,118.5,0.012739026
14/02/2014,117,0.004711938
13/02/2014,116.45,0.007672121
12/02/2014,115.56,0.018163266
11/02/2014,113.48,0.01277066
10/02/2014,112.04,-0.002763048
07/02/2014,112.35,0.015337311
06/02/2014,110.64,0.006619838
05/02/2014,109.91,-0.01148866
04/02/2014,111.18,-0.007080469
03/02/2014,111.97,-0.025308877
31/01/2014,114.84,-0.00226146
30/01/2014,115.1,8.68847E-05
29/01/2014,115.09,0.00069535
28/01/2014,115.01,0.017985307
27/01/2014,112.96,-0.000265545
24/01/2014,112.99,-0.034960082
23/01/2014,117.01,-0.017368166
22/01/2014,119.06,-0.006446504
21/01/2014,119.83,0.005019671
17/01/2014,119.23,-0.003599987
16/01/2014,119.66,0.006708058
15/01/2014,118.86,0.005229873
14/01/2014,118.24,0.027175818
13/01/2014,115.07,-0.016291357
10/01/2014,116.96,0.004541762
09/01/2014,116.43,-0.000343495
08/01/2014,116.47,-0.004882028
07/01/2014,117.04,0.004452825
06/01/2014,116.52,-0.011179976
03/01/2014,117.83,0.012382208
02/01/2014,116.38,-0.015178939
31/12/2013,118.16,0.003900624
30/12/2013,117.7,-0.002376104
27/12/2013,117.98,0.001441961
26/12/2013,117.81,0.006044887
24/12/2013,117.1,0.006425381
23/12/2013,116.35,-0.001374216
20/12/2013,116.51,0.021515535
19/12/2013,114.03,0.008100775
18/12/2013,113.11,0.023073819
17/12/2013,110.53,-0.003882799
16/12/2013,110.96,0.003973276
13/12/2013,110.52,-9.04773E-05
12/12/2013,110.53,0.007811121
11/12/2013,109.67,-0.019951012
10/12/2013,111.88,-0.000714796
09/12/2013,111.96,0.002324959
06/12/2013,111.7,0.022544072
05/12/2013,109.21,0.002934436
04/12/2013,108.89,-0.020632407
03/12/2013,111.16,-0.006188083
02/12/2013,111.85,-0.015348747
29/11/2013,113.58,-0.006843933
27/11/2013,114.36,0.004030497
26/11/2013,113.9,0.005369968
25/11/2013,113.29,-0.006861392
22/11/2013,114.07,0.023325966
21/11/2013,111.44,0.004316553
20/11/2013,110.96,-0.001440922
19/11/2013,111.12,-0.002965361
18/11/2013,111.45,-0.004744224
15/11/2013,111.98,-0.005521432
14/11/2013,112.6,-0.010161342
13/11/2013,113.75,0.007057815
12/11/2013,112.95,0.002304557
11/11/2013,112.69,0.008644945
08/11/2013,111.72,0.001433178
07/11/2013,111.56,0.022939489
06/11/2013,109.03,0.002203655
05/11/2013,108.79,-0.008967849
04/11/2013,109.77,0.003102192
01/11/2013,109.43,-0.008915634
31/10/2013,110.41,0.003175038
30/10/2013,110.06,-0.00769339
29/10/2013,110.91,0.011060856
28/10/2013,109.69,-0.008261884
25/10/2013,110.6,-0.010344144
24/10/2013,111.75,0.011882397
23/10/2013,110.43,0.001540623
22/10/2013,110.26,0.001179727
21/10/2013,110.13,-0.002629791
18/10/2013,110.42,0.021419583
17/10/2013,108.08,0.015948111
16/10/2013,106.37,0.000188041
15/10/2013,106.35,-0.022500019
14/10/2013,108.77,0.001656239
11/10/2013,108.59,0.002120305
10/10/2013,108.36,0.037325132
09/10/2013,104.39,-0.013038491
08/10/2013,105.76,-0.008661323
07/10/2013,106.68,-0.004209351
04/10/2013,107.13,0.008342365
03/10/2013,106.24,-0.006754247
02/10/2013,106.96,-0.009305855
01/10/2013,107.96,0.009492859
30/09/2013,106.94,-0.002241735
27/09/2013,107.18,-0.009009488
26/09/2013,108.15,0.007424628
25/09/2013,107.35,0.001398276
24/09/2013,107.2,0.002521834
23/09/2013,106.93,-0.004385767
20/09/2013,107.4,-0.01597965
19/09/2013,109.13,0.006066195
18/09/2013,108.47,0.019738095
17/09/2013,106.35,-0.00581288
16/09/2013,106.97,0.018207191
13/09/2013,105.04,0.005154159
