Date,Close,FAST
04/04/2014,51,-0.003913899
03/04/2014,51.2,0.016145261
02/04/2014,50.38,0.010575775
01/04/2014,49.85,0.011094415
31/03/2014,49.3,0.00651203
28/03/2014,48.98,0.011912238
27/03/2014,48.4,-0.004946424
26/03/2014,48.64,-0.012056956
25/03/2014,49.23,0.002033348
24/03/2014,49.13,0.000203562
21/03/2014,49.12,-0.011939836
20/03/2014,49.71,-0.004015263
19/03/2014,49.91,-0.010364853
18/03/2014,50.43,0.010364853
17/03/2014,49.91,0.028245299
14/03/2014,48.52,0.00247627
13/03/2014,48.4,-0.009868501
12/03/2014,48.88,0.00122825
11/03/2014,48.82,-0.00571897
10/03/2014,49.1,0.001018849
07/03/2014,49.05,0.010040039
06/03/2014,48.56,-0.001029124
05/03/2014,48.61,0.036878262
04/03/2014,46.85,0.007068681
03/03/2014,46.52,-0.014299678
28/02/2014,47.19,-0.008020305
27/02/2014,47.57,0.025981018
26/02/2014,46.35,0.006276398
25/02/2014,46.06,0.001303498
24/02/2014,46,0.008514406
21/02/2014,45.61,0.001755541
20/02/2014,45.53,0.009489203
19/02/2014,45.1,-0.001772265
18/02/2014,45.18,0.004436565
14/02/2014,44.98,0.006915811
13/02/2014,44.67,-0.004244394
12/02/2014,44.86,0.000668971
11/02/2014,44.83,0.015284631
10/02/2014,44.15,-0.001810365
07/02/2014,44.23,-0.002709417
06/02/2014,44.35,0.001805462
05/02/2014,44.27,0.008165162
04/02/2014,43.91,0.027943164
03/02/2014,42.7,-0.028398538
31/01/2014,43.93,-0.007483877
30/01/2014,44.26,0.001809137
29/01/2014,44.18,-0.005192471
28/01/2014,44.41,-0.003371926
27/01/2014,44.56,-0.011823897
24/01/2014,45.09,-0.052910969
23/01/2014,47.54,-0.006708621
22/01/2014,47.86,0.008392831
21/01/2014,47.46,-0.003155572
17/01/2014,47.61,0.019941263
16/01/2014,46.67,0.013156666
15/01/2014,46.06,-0.045621574
14/01/2014,48.21,0.016311529
13/01/2014,47.43,-0.005676458
10/01/2014,47.7,0.023545472
09/01/2014,46.59,0.015356634
08/01/2014,45.88,0
07/01/2014,45.88,0.004368727
06/01/2014,45.68,-0.01757667
03/01/2014,46.49,-0.004506929
02/01/2014,46.7,-0.017196051
31/12/2013,47.51,-0.003152256
30/12/2013,47.66,0.005681236
27/12/2013,47.39,0.005501495
26/12/2013,47.13,0.01776778
24/12/2013,46.3,0.003461708
23/12/2013,46.14,0.011334036
20/12/2013,45.62,-0.051063106
19/12/2013,48.01,-0.000208268
18/12/2013,48.02,0.01934459
17/12/2013,47.1,0.001912656
16/12/2013,47.01,0.016515121
13/12/2013,46.24,-0.003669729
12/12/2013,46.41,-0.013695913
11/12/2013,47.05,-0.015605547
10/12/2013,47.79,0.006086702
09/12/2013,47.5,0.001053186
06/12/2013,47.45,0.018719968
05/12/2013,46.57,-0.003857699
04/12/2013,46.75,-0.012118783
03/12/2013,47.32,0.004447746
02/12/2013,47.11,0.012388027
29/11/2013,46.53,0.002366865
27/11/2013,46.42,-0.003440864
26/11/2013,46.58,-0.003642991
25/11/2013,46.75,-0.012963735
22/11/2013,47.36,0.005292698
21/11/2013,47.11,0.02080504
20/11/2013,46.14,-0.006696213
19/11/2013,46.45,-0.009427968
18/11/2013,46.89,-0.001491742
15/11/2013,46.96,0.007695634
14/11/2013,46.6,0.002363305
13/11/2013,46.49,-0.010910366
12/11/2013,47,0.003623579
11/11/2013,46.83,-0.006385718
08/11/2013,47.13,0.013672505
07/11/2013,46.49,-0.037573014
06/11/2013,48.27,-0.018066597
05/11/2013,49.15,-0.054249247
04/11/2013,51.89,0.049378119
01/11/2013,49.39,-0.008869238
31/10/2013,49.83,-0.013158085
30/10/2013,50.49,-0.007694622
29/10/2013,50.88,0.007496583
28/10/2013,50.5,-0.00257095
25/10/2013,50.63,0.027837985
24/10/2013,49.24,0.007337986
23/10/2013,48.88,-0.020652688
22/10/2013,49.9,0.015754719
21/10/2013,49.12,-0.00162734
18/10/2013,49.2,0.006116227
17/10/2013,48.9,0.00348254
16/10/2013,48.73,0.016553244
15/10/2013,47.93,-0.003540564
14/10/2013,48.1,0.016560487
11/10/2013,47.31,-0.012811264
10/10/2013,47.92,0.022581945
09/10/2013,46.85,-0.064671917
08/10/2013,49.98,-0.009359821
07/10/2013,50.45,-0.015927974
04/10/2013,51.26,0.005281186
03/10/2013,50.99,-0.010146429
02/10/2013,51.51,0.002916304
01/10/2013,51.36,0.021451182
30/09/2013,50.27,0.005385472
27/09/2013,50,0.002603386
26/09/2013,49.87,0.005428786
25/09/2013,49.6,-0.006631191
24/09/2013,49.93,0.002807864
23/09/2013,49.79,-0.007403736
20/09/2013,50.16,-0.016215503
19/09/2013,50.98,0.002553276
18/09/2013,50.85,0.0120686
17/09/2013,50.24,-0.000795862
16/09/2013,50.28,0.003985657
13/09/2013,50.08,-0.001396788
12/09/2013,50.15,-0.001992033
11/09/2013,50.25,-0.000198985
10/09/2013,50.26,0.023961682
09/09/2013,49.07,0.024341136
06/09/2013,47.89,-0.014716817
05/09/2013,48.6,0.058466458
04/09/2013,45.84,0.018494583
03/09/2013,45,0.022700154
30/08/2013,43.99,-0.010627573
29/08/2013,44.46,0.009491597
28/08/2013,44.04,0.000454236
27/08/2013,44.02,-0.019570977
26/08/2013,44.89,-0.006218097
23/08/2013,45.17,-0.001548502
22/08/2013,45.24,0.014247792
21/08/2013,44.6,-0.004920609
20/08/2013,44.82,0.01438227
19/08/2013,44.18,-0.013935941
16/08/2013,44.8,-0.008888947
15/08/2013,45.2,-0.026848715
14/08/2013,46.43,-0.010711328
13/08/2013,46.93,0.003201369
12/08/2013,46.78,-0.015905329
09/08/2013,47.53,0.000210416
08/08/2013,47.52,-0.004828392
07/08/2013,47.75,-0.026453289
06/08/2013,49.03,-0.005085964
05/08/2013,49.28,-0.019293203
02/08/2013,50.24,0.002391392
01/08/2013,50.12,0.021987774
31/07/2013,49.03,0.01417298
30/07/2013,48.34,0.02662352
29/07/2013,47.07,0.008320048
26/07/2013,46.68,0.009254343
25/07/2013,46.25,0.017448643
24/07/2013,45.45,-0.025845721
23/07/2013,46.64,-0.005559133
22/07/2013,46.9,0.00192082
19/07/2013,46.81,-0.007873219
18/07/2013,47.18,0.003822472
17/07/2013,47,-0.001700681
16/07/2013,47.08,0.002126303
15/07/2013,46.98,-0.003187762
12/07/2013,47.13,0.012167938
11/07/2013,46.56,0.017112949
10/07/2013,45.77,-0.028644146
09/07/2013,47.1,0.024283991
08/07/2013,45.97,0.003486602
05/07/2013,45.81,0.01141615
03/07/2013,45.29,-0.011634419
02/07/2013,45.82,-0.000436395
01/07/2013,45.84,0.001091346
28/06/2013,45.79,-0.023951949
27/06/2013,46.9,0.017204725
26/06/2013,46.1,0.013320428
25/06/2013,45.49,0.006838011
24/06/2013,45.18,0.002437674
21/06/2013,45.07,0.002666076
20/06/2013,44.95,-0.030023072
19/06/2013,46.32,-0.012443842
18/06/2013,46.9,-0.006376217
17/06/2013,47.2,-0.01032784
14/06/2013,47.69,-0.018078414
13/06/2013,48.56,0.017659127
12/06/2013,47.71,-0.016010322
11/06/2013,48.48,-0.000824742
10/06/2013,48.52,0.00226968
07/06/2013,48.41,0.016243589
06/06/2013,47.63,-0.001468583
05/06/2013,47.7,-0.065324376
04/06/2013,50.92,-0.020603256
03/06/2013,51.98,-0.00384025
31/05/2013,52.18,0.009241498
30/05/2013,51.7,-0.004053668
29/05/2013,51.91,-0.003653499
28/05/2013,52.1,0.003653499
24/05/2013,51.91,0.000770861
23/05/2013,51.87,0.014956091
22/05/2013,51.1,-0.01244668
21/05/2013,51.74,0.018334822
20/05/2013,50.8,-0.006083818
17/05/2013,51.11,0.00510005
16/05/2013,50.85,-0.022363596
15/05/2013,52,0.00250313
14/05/2013,51.87,0.018092119
13/05/2013,50.94,0.003145893
10/05/2013,50.78,0.041412953
09/05/2013,48.72,0.005763705
08/05/2013,48.44,-0.004120319
07/05/2013,48.64,0.016166155
06/05/2013,47.86,0
03/05/2013,47.86,-0.001878719
02/05/2013,47.95,0.00083455
01/05/2013,47.91,-0.023515935
30/04/2013,49.05,-0.017581538
29/04/2013,49.92,0.009055299
26/04/2013,49.47,0.002631314
25/04/2013,49.34,-0.003035518
24/04/2013,49.49,0.006893782
23/04/2013,49.15,0.011047576
22/04/2013,48.61,0.009715839
19/04/2013,48.14,0.018449161
18/04/2013,47.26,-0.013868682
17/04/2013,47.92,-0.027376414
16/04/2013,49.25,0.024251086
15/04/2013,48.07,-0.029112347
12/04/2013,49.49,0.014040316
11/04/2013,48.8,-0.006535971
10/04/2013,49.12,-0.035203635
09/04/2013,50.88,0.011663669
08/04/2013,50.29,0.022115899
05/04/2013,49.19,-0.003247415
04/04/2013,49.35,0.016961682
03/04/2013,48.52,-0.025235364
02/04/2013,49.76,-0.000401849
01/04/2013,49.78,-0.03066208
28/03/2013,51.33,0.015510275
27/03/2013,50.54,0.001187884
26/03/2013,50.48,0.002181458
25/03/2013,50.37,-0.022380204
22/03/2013,51.51,0.020000667
21/03/2013,50.49,-0.019223817
20/03/2013,51.47,0.014875984
19/03/2013,50.71,0.004744029
18/03/2013,50.47,-0.006517254
15/03/2013,50.8,-0.002948405
14/03/2013,50.95,-0.001372953
13/03/2013,51.02,0.003140953
12/03/2013,50.86,-0.00900378
11/03/2013,51.32,-0.004277665
08/03/2013,51.54,0.008573708
07/03/2013,51.1,-0.004685678
06/03/2013,51.34,-0.004469933
05/03/2013,51.57,-0.004450041
04/03/2013,51.8,0.001158973
01/03/2013,51.74,0.002128278
28/02/2013,51.63,-0.012702249
27/02/2013,52.29,0.027335229
26/02/2013,50.88,-0.000393005
25/02/2013,50.9,-0.01113619
22/02/2013,51.47,0.011332673
21/02/2013,50.89,-0.025224465
20/02/2013,52.19,-0.01879148
19/02/2013,53.18,0.007929058
15/02/2013,52.76,0.005130653
14/02/2013,52.49,0.009186667
13/02/2013,52.01,0.019610375
12/02/2013,51,0.005111079
11/02/2013,50.74,0.000985902
08/02/2013,50.69,0.017312143
07/02/2013,49.82,-0.003606496
06/02/2013,50,-0.002596626
05/02/2013,50.13,0.010024142
04/02/2013,49.63,-0.020541155
01/02/2013,50.66,0.019534207
31/01/2013,49.68,0.005449605
30/01/2013,49.41,-0.002021837
29/01/2013,49.51,0.008111989
28/01/2013,49.11,0.003059042
25/01/2013,48.96,0.008203491
24/01/2013,48.56,0.019547306
23/01/2013,47.62,-0.005027241
22/01/2013,47.86,-0.015343448
18/01/2013,48.6,0.035392659
17/01/2013,46.91,-0.001916729
16/01/2013,47,-0.000850702
15/01/2013,47.04,0.01219136
14/01/2013,46.47,-0.000645369
11/01/2013,46.5,0
10/01/2013,46.5,-0.022329476
09/01/2013,47.55,-0.000210283
08/01/2013,47.56,-0.00545189
07/01/2013,47.82,-0.004590035
04/01/2013,48.04,0.00124974
03/01/2013,47.98,0.0031312
02/01/2013,47.83,0.02498013
31/12/2012,46.65,0.010126123
28/12/2012,46.18,-0.003027029
27/12/2012,46.32,0.007367314
26/12/2012,45.98,-0.008230499
24/12/2012,46.36,0.006058002
21/12/2012,46.08,0.023272181
20/12/2012,45.02,0.011617646
19/12/2012,44.5,-0.002917089
18/12/2012,44.63,0.021058177
17/12/2012,43.7,0.013361176
14/12/2012,43.12,0.003252035
13/12/2012,42.98,-0.000697756
12/12/2012,43.01,-0.000232477
11/12/2012,43.02,0.022805737
10/12/2012,42.05,-0.001663301
07/12/2012,42.12,0.008583744
06/12/2012,41.76,0.005763705
05/12/2012,41.52,-0.016481921
04/12/2012,42.21,0.002846977
03/12/2012,42.09,0.006674637
30/11/2012,41.81,-0.009284676
29/11/2012,42.2,0.028360468
28/11/2012,41.02,0.004152931
27/11/2012,40.85,-0.008288687
26/11/2012,41.19,0.001214624
23/11/2012,41.14,0.009034367
21/11/2012,40.77,-0.003428015
20/11/2012,40.91,-0.013595742
19/11/2012,41.47,0.011398208
16/11/2012,41,0.001220256
15/11/2012,40.95,0.018484815
14/11/2012,40.2,-0.02917231
13/11/2012,41.39,-0.008899638
12/11/2012,41.76,-0.013084521
09/11/2012,42.31,0.00759197
08/11/2012,41.99,-0.015126736
07/11/2012,42.63,-0.012819194
06/11/2012,43.18,-0.000231562
05/11/2012,43.19,-0.01402483
02/11/2012,43.8,-0.028361118
01/11/2012,45.06,0.008021433
31/10/2012,44.7,0.033207509
26/10/2012,43.24,0.004403762
25/10/2012,43.05,-0.015443432
24/10/2012,43.72,-0.008880851
23/10/2012,44.11,-0.006552955
22/10/2012,44.4,0.014519311
19/10/2012,43.76,-0.022147798
18/10/2012,44.74,-0.015524818
17/10/2012,45.44,0.011509645
16/10/2012,44.92,-0.013927494
15/10/2012,45.55,0.005062188
12/10/2012,45.32,-0.012498792
11/10/2012,45.89,0.080987441
10/10/2012,42.32,-0.010810916
09/10/2012,42.78,-0.027209426
08/10/2012,43.96,-0.004992068
05/10/2012,44.18,-0.007216991
04/10/2012,44.5,0.003601985
03/10/2012,44.34,0.000902527
02/10/2012,44.3,-0.006749182
01/10/2012,44.6,0.036766329
28/09/2012,42.99,0.003495285
27/09/2012,42.84,0.006087586
26/09/2012,42.58,-0.016537002
