Date,Close,EBAY
04/04/2014,54,-0.010683469
03/04/2014,54.58,-0.015814199
02/04/2014,55.45,-0.010584008
01/04/2014,56.04,0.014378393
31/03/2014,55.24,0.000905551
28/03/2014,55.19,0.000181209
27/03/2014,55.18,-0.007582632
26/03/2014,55.6,-0.013044052
25/03/2014,56.33,-0.003721099
24/03/2014,56.54,-0.007400915
21/03/2014,56.96,-0.002805051
20/03/2014,57.12,-0.003146306
19/03/2014,57.3,-0.009379954
18/03/2014,57.84,0.007287903
17/03/2014,57.42,0.011913245
14/03/2014,56.74,0.000705219
13/03/2014,56.7,-0.022323913
12/03/2014,57.98,0.007617765
11/03/2014,57.54,-0.01174858
10/03/2014,58.22,-0.014324938
07/03/2014,59.06,-0.00405543
06/03/2014,59.3,0.007447563
05/03/2014,58.86,-0.003392134
04/03/2014,59.06,0.012780271
03/03/2014,58.31,-0.007857915
28/02/2014,58.77,0.007343556
27/02/2014,58.34,0.017289504
26/02/2014,57.34,0.020971779
25/02/2014,56.15,-0.002667854
24/02/2014,56.3,0.030843819
21/02/2014,54.59,-0.006754932
20/02/2014,54.96,0.004010944
19/02/2014,54.74,-0.007462042
18/02/2014,55.15,0.006914147
14/02/2014,54.77,-0.002734982
13/02/2014,54.92,0.001640091
12/02/2014,54.83,0.009529117
11/02/2014,54.31,0.009806721
10/02/2014,53.78,-0.014949065
07/02/2014,54.59,0.004038185
06/02/2014,54.37,0.015757115
05/02/2014,53.52,0.011463059
04/02/2014,52.91,0.009876623
03/02/2014,52.39,-0.015342663
31/01/2014,53.2,0.000376011
30/01/2014,53.18,0.01879148
29/01/2014,52.19,-0.018415328
28/01/2014,53.16,0.005281038
27/01/2014,52.88,-0.027787336
24/01/2014,54.37,-0.01042915
23/01/2014,54.94,0.00969372
22/01/2014,54.41,0.004789987
21/01/2014,54.15,0.017699577
17/01/2014,53.2,-0.010099207
16/01/2014,53.74,-0.000929973
15/01/2014,53.79,0.015550665
14/01/2014,52.96,0.007962127
13/01/2014,52.54,0.007258867
10/01/2014,52.16,0.00172695
09/01/2014,52.07,-0.005744941
08/01/2014,52.37,-0.009502162
07/01/2014,52.87,0.020832096
06/01/2014,51.78,-0.028181606
03/01/2014,53.26,-0.012686737
02/01/2014,53.94,-0.017094433
31/12/2013,54.87,0.015797536
30/12/2013,54.01,-0.003142622
27/12/2013,54.18,0.002217296
26/12/2013,54.06,-0.020324786
24/12/2013,55.17,-0.002353581
23/12/2013,55.3,0.013105393
20/12/2013,54.58,0.021856769
19/12/2013,53.4,0.005069006
18/12/2013,53.13,0.010405921
17/12/2013,52.58,-0.010029415
16/12/2013,53.11,0.029813024
13/12/2013,51.55,0.003497866
12/12/2013,51.37,0
11/12/2013,51.37,-0.010649728
10/12/2013,51.92,0.004439733
09/12/2013,51.69,-0.006171669
06/12/2013,52.01,0.011603302
05/12/2013,51.41,0.006243923
04/12/2013,51.09,-0.016307875
03/12/2013,51.93,0.011231721
02/12/2013,51.35,0.016295639
29/11/2013,50.52,0.024445216
27/11/2013,49.3,0.011013776
26/11/2013,48.76,-0.005725987
25/11/2013,49.04,-0.025965029
22/11/2013,50.33,0.002387111
21/11/2013,50.21,-0.003578533
20/11/2013,50.39,-0.033947856
19/11/2013,52.13,0.000959601
18/11/2013,52.08,-0.009935122
15/11/2013,52.6,-0.005309076
14/11/2013,52.88,-0.002832596
13/11/2013,53.03,0.00377858
12/11/2013,52.83,0.000189304
11/11/2013,52.82,-0.003402007
08/11/2013,53,0.008146299
07/11/2013,52.57,-0.013415411
06/11/2013,53.28,0.042167995
05/11/2013,51.08,-0.005661313
04/11/2013,51.37,-0.011034862
01/11/2013,51.94,-0.014715985
31/10/2013,52.71,-0.000379363
30/10/2013,52.73,-0.011501965
29/10/2013,53.34,0.02601989
28/10/2013,51.97,0.006370063
25/10/2013,51.64,-0.013464331
24/10/2013,52.34,0.011723013
23/10/2013,51.73,-0.001931248
22/10/2013,51.83,-0.002120074
21/10/2013,51.94,-0.004993289
18/10/2013,52.2,0.015833503
17/10/2013,51.38,-0.040806424
16/10/2013,53.52,-0.008372921
15/10/2013,53.97,-0.014714262
14/10/2013,54.77,0.007330068
11/10/2013,54.37,0.017627323
10/10/2013,53.42,0.020615387
09/10/2013,52.33,-0.012155895
08/10/2013,52.97,-0.029758566
07/10/2013,54.57,-0.018339143
04/10/2013,55.58,0.012127943
03/10/2013,54.91,-0.013027143
02/10/2013,55.63,-0.006093209
01/10/2013,55.97,0.003041964
30/09/2013,55.8,0.000358487
27/09/2013,55.78,-0.015300067
26/09/2013,56.64,0.043850056
25/09/2013,54.21,-0.017553934
24/09/2013,55.17,0.007459327
23/09/2013,54.76,-0.00346368
20/09/2013,54.95,0.009140831
19/09/2013,54.45,-0.004215162
18/09/2013,54.68,0.000914829
17/09/2013,54.63,0.018101713
16/09/2013,53.65,-0.003163676
13/09/2013,53.82,-0.003894303
12/09/2013,54.03,-0.004616387
11/09/2013,54.28,0.014661114
10/09/2013,53.49,0.015448687
09/09/2013,52.67,-0.003033178
06/09/2013,52.83,0.016797494
05/09/2013,51.95,0.009671255
04/09/2013,51.45,0.02220785
03/09/2013,50.32,0.006579627
30/08/2013,49.99,-0.01980655
29/08/2013,50.99,0.011043299
28/08/2013,50.43,-0.003562949
27/08/2013,50.61,-0.026325007
26/08/2013,51.96,0.005983996
23/08/2013,51.65,0.011097164
22/08/2013,51.08,0.00235202
21/08/2013,50.96,-0.020010381
20/08/2013,51.99,-0.001537575
19/08/2013,52.07,-0.016192372
16/08/2013,52.92,-0.004901047
15/08/2013,53.18,-0.019551875
14/08/2013,54.23,0.002030458
13/08/2013,54.12,0.015642777
12/08/2013,53.28,-0.000937998
09/08/2013,53.33,-0.004490185
08/08/2013,53.57,0.010508635
07/08/2013,53.01,-0.012932427
06/08/2013,53.7,0.018607811
05/08/2013,52.71,0.003230407
02/08/2013,52.54,0.002477371
01/08/2013,52.41,0.013833074
31/07/2013,51.69,-0.00559469
30/07/2013,51.98,0.006562463
29/07/2013,51.64,-0.011743325
26/07/2013,52.25,0.014458083
25/07/2013,51.5,-0.011583141
24/07/2013,52.1,0.008868383
23/07/2013,51.64,-0.012890991
22/07/2013,52.31,0.002296652
19/07/2013,52.19,-0.02516451
18/07/2013,53.52,-0.069640395
17/07/2013,57.38,0.009983444
16/07/2013,56.81,0.006357076
15/07/2013,56.45,-0.010397486
12/07/2013,57.04,0.020546242
11/07/2013,55.88,0.018057551
10/07/2013,54.88,0.007131785
09/07/2013,54.49,0.014417995
08/07/2013,53.71,-0.0026032
05/07/2013,53.85,0.012708076
03/07/2013,53.17,-0.003004697
02/07/2013,53.33,0.008095686
01/07/2013,52.9,0.022558785
28/06/2013,51.72,-0.008087855
27/06/2013,52.14,0.015657032
26/06/2013,51.33,-0.006021189
25/06/2013,51.64,0.016006588
24/06/2013,50.82,-0.006081431
21/06/2013,51.13,0.007656855
20/06/2013,50.74,-0.028942488
19/06/2013,52.23,-0.006298332
18/06/2013,52.56,0.009366407
17/06/2013,52.07,0.015093166
14/06/2013,51.29,-0.003697581
13/06/2013,51.48,0.014281765
12/06/2013,50.75,-0.025293177
11/06/2013,52.05,-0.02279301
10/06/2013,53.25,0.034387342
07/06/2013,51.45,-0.00135962
06/06/2013,51.52,0.003110422
05/06/2013,51.36,-0.023666328
04/06/2013,52.59,-0.015472007
03/06/2013,53.41,-0.012836192
31/05/2013,54.1,-0.01831553
30/05/2013,55.1,0.000907853
29/05/2013,55.05,-0.008681552
28/05/2013,55.53,0.0161572
24/05/2013,54.64,0.002932553
23/05/2013,54.48,0.001469508
22/05/2013,54.4,-0.010059527
21/05/2013,54.95,-0.018034754
20/05/2013,55.95,-0.013492127
17/05/2013,56.71,0.016176693
16/05/2013,55.8,-0.015118118
15/05/2013,56.65,0.006730454
14/05/2013,56.27,0.016846277
13/05/2013,55.33,-0.005766821
10/05/2013,55.65,0.00866275
09/05/2013,55.17,0.003813679
08/05/2013,54.96,0.01873333
07/05/2013,53.94,-0.002777008
06/05/2013,54.09,-0.002216067
03/05/2013,54.21,0.012249596
02/05/2013,53.55,0.021709206
01/05/2013,52.4,0.000190858
30/04/2013,52.39,-0.008552746
29/04/2013,52.84,0.005693695
26/04/2013,52.54,0.003431843
25/04/2013,52.36,-0.011582775
24/04/2013,52.97,0.00910304
23/04/2013,52.49,0.016519776
22/04/2013,51.63,-0.014612835
19/04/2013,52.39,-0.008174173
18/04/2013,52.82,-0.060245906
17/04/2013,56.1,-0.016090879
16/04/2013,57.01,0.020736233
