Date,Close,ADP
04/04/2014,75.82,-0.020236998
03/04/2014,77.37,-0.003869974
02/04/2014,77.67,0.002191146
01/04/2014,77.5,0.003101579
31/03/2014,77.26,0.004020497
28/03/2014,76.95,0.003645363
27/03/2014,76.67,0.006149035
26/03/2014,76.2,-0.006279455
25/03/2014,76.68,0.003003986
24/03/2014,76.45,-0.016861619
21/03/2014,77.75,-0.007559777
20/03/2014,78.34,0.000638447
19/03/2014,78.29,-0.008901381
18/03/2014,78.99,0.006350034
17/03/2014,78.49,0.012048339
14/03/2014,77.55,0.007247346
13/03/2014,76.99,-0.009051006
12/03/2014,77.69,-0.002699404
11/03/2014,77.9,-0.003971564
10/03/2014,78.21,-0.004465147
07/03/2014,78.56,0.006769296
06/03/2014,78.03,0.003980744
05/03/2014,77.72,-0.009348855
04/03/2014,78.45,0.022950982
03/03/2014,76.67,-0.014373831
28/02/2014,77.78,0.000771704
27/02/2014,77.72,0.003867479
26/02/2014,77.42,0.005309862
25/02/2014,77.01,0.002730643
24/02/2014,76.8,0.007843177
21/02/2014,76.2,-0.004059989
20/02/2014,76.51,0.004716372
19/02/2014,76.15,-0.004454934
18/02/2014,76.49,0.002880337
14/02/2014,76.27,0.000786988
13/02/2014,76.21,0.00830099
12/02/2014,75.58,0.012247224
11/02/2014,74.66,0.002816714
10/02/2014,74.45,-0.005892611
07/02/2014,74.89,0.00925622
06/02/2014,74.2,0.009070664
05/02/2014,73.53,-0.019127738
04/02/2014,74.95,0.011675634
03/02/2014,74.08,-0.033451486
31/01/2014,76.6,-0.009096879
30/01/2014,77.3,0.010011135
29/01/2014,76.53,-0.006512136
28/01/2014,77.03,0.006904216
27/01/2014,76.5,-0.006124995
24/01/2014,76.97,-0.029948489
23/01/2014,79.31,-0.013401165
22/01/2014,80.38,0.000746733
21/01/2014,80.32,0.004367092
17/01/2014,79.97,0.002002754
16/01/2014,79.81,-0.003502192
15/01/2014,80.09,0.001749563
14/01/2014,79.95,0.011320876
13/01/2014,79.05,-0.016311529
10/01/2014,80.35,-0.003478697
09/01/2014,80.63,0.003478697
08/01/2014,80.35,-0.005337318
07/01/2014,80.78,0.0120806
06/01/2014,79.81,-0.011461444
03/01/2014,80.73,0.010835152
02/01/2014,79.86,-0.011701864
31/12/2013,80.8,-0.003459356
30/12/2013,81.08,0.004449946
27/12/2013,80.72,-0.000371586
26/12/2013,80.75,0.006585102
24/12/2013,80.22,0.003496507
23/12/2013,79.94,-0.000375211
20/12/2013,79.97,0.006775434
19/12/2013,79.43,0.004289686
18/12/2013,79.09,0.023539529
17/12/2013,77.25,-0.003489052
16/12/2013,77.52,0.006470839
13/12/2013,77.02,-0.00168645
12/12/2013,77.15,-0.003622724
11/12/2013,77.43,-0.013851703
10/12/2013,78.51,-0.006348422
09/12/2013,79.01,-0.008193151
06/12/2013,79.66,0.01428686
05/12/2013,78.53,-0.01013565
04/12/2013,79.33,-0.012651262
03/12/2013,80.34,0.009630492
02/12/2013,79.57,-0.005639466
29/11/2013,80.02,-0.003866547
27/11/2013,80.33,0.000249004
26/11/2013,80.31,0.002368635
25/11/2013,80.12,0.001373884
22/11/2013,80.01,0.00287878
21/11/2013,79.78,0.009192283
20/11/2013,79.05,-0.008314485
19/11/2013,79.71,0.029925197
18/11/2013,77.36,0.000387873
15/11/2013,77.33,0.004666243
14/11/2013,76.97,0.006778803
13/11/2013,76.45,0.009594606
12/11/2013,75.72,-0.000528123
11/11/2013,75.76,-0.003294462
08/11/2013,76.01,0.008986449
07/11/2013,75.33,-0.006615531
06/11/2013,75.83,0.004228895
05/11/2013,75.51,0
04/11/2013,75.51,0.00265217
01/11/2013,75.31,0.003724895
31/10/2013,75.03,0.009777082
30/10/2013,74.3,-0.02721708
29/10/2013,76.35,0.008946251
28/10/2013,75.67,0.002116683
25/10/2013,75.51,0.001325206
24/10/2013,75.41,0.003986187
23/10/2013,75.11,-0.00451648
22/10/2013,75.45,0.009990093
21/10/2013,74.7,0.006850722
18/10/2013,74.19,0.00148378
17/10/2013,74.08,0.004871458
16/10/2013,73.72,0.019173417
15/10/2013,72.32,-0.007439075
14/10/2013,72.86,0.004815308
11/10/2013,72.51,0.009700741
10/10/2013,71.81,0.021536479
09/10/2013,70.28,0.000569314
08/10/2013,70.24,-0.011043578
07/10/2013,71.02,-0.007015603
04/10/2013,71.52,0.005889794
03/10/2013,71.1,-0.012856521
02/10/2013,72.02,-0.001942018
01/10/2013,72.16,-0.003044142
30/09/2013,72.38,-0.002483788
27/09/2013,72.56,-0.004949144
26/09/2013,72.92,0.005500564
25/09/2013,72.52,-0.005911889
24/09/2013,72.95,-0.002464404
23/09/2013,73.13,-0.017620407
20/09/2013,74.43,-0.003353232
19/09/2013,74.68,-0.000803105
18/09/2013,74.74,0.007790503
17/09/2013,74.16,0.000809389
16/09/2013,74.1,0.000134962
13/09/2013,74.09,-0.001214002
12/09/2013,74.18,0.002294353
11/09/2013,74.01,0.003654826
