Date,Close,CBG
04/04/2014,27.44,-0.007623925
03/04/2014,27.65,-0.011864241
02/04/2014,27.98,0.011864241
01/04/2014,27.65,0.007988423
31/03/2014,27.43,0.021371484
28/03/2014,26.85,0.019556847
27/03/2014,26.33,-0.007190192
26/03/2014,26.52,-0.030085835
25/03/2014,27.33,0.001098298
24/03/2014,27.3,-0.025317808
21/03/2014,28,0.008248209
20/03/2014,27.77,0.006865429
19/03/2014,27.58,-0.025417513
18/03/2014,28.29,0.039659127
17/03/2014,27.19,-0.001470048
14/03/2014,27.23,-0.000367175
13/03/2014,27.24,-0.007679687
12/03/2014,27.45,-0.0130295
11/03/2014,27.81,-0.007165921
10/03/2014,28.01,-0.002852052
07/03/2014,28.09,0.001068566
06/03/2014,28.06,0.015081076
05/03/2014,27.64,-0.012583305
04/03/2014,27.99,0.013307156
03/03/2014,27.62,-0.011877052
28/02/2014,27.95,0.004662013
27/02/2014,27.82,0.006853048
26/02/2014,27.63,-0.008289829
25/02/2014,27.86,0.0148258
24/02/2014,27.45,0.000364365
21/02/2014,27.44,0.003285274
20/02/2014,27.35,0.004030048
19/02/2014,27.24,0
18/02/2014,27.24,0.008479313
14/02/2014,27.01,0.00705929
13/02/2014,26.82,0.005233657
12/02/2014,26.68,0.004507896
11/02/2014,26.56,0.009077218
10/02/2014,26.32,0
07/02/2014,26.32,0.018018506
06/02/2014,25.85,-0.033101748
05/02/2014,26.72,-0.002242992
04/02/2014,26.78,0.021514323
03/02/2014,26.21,-0.012512012
31/01/2014,26.54,-0.00675932
30/01/2014,26.72,-0.006713938
29/01/2014,26.9,0.009337136
28/01/2014,26.65,0.030091777
27/01/2014,25.86,0.015196084
24/01/2014,25.47,-0.031306905
23/01/2014,26.28,-0.010221554
22/01/2014,26.55,0.006802747
21/01/2014,26.37,-0.004917733
17/01/2014,26.5,-0.002261592
16/01/2014,26.56,0.000376577
15/01/2014,26.55,0.004151733
14/01/2014,26.44,0.009118604
13/01/2014,26.2,-0.006846737
10/01/2014,26.38,0.008756957
09/01/2014,26.15,-0.001528468
08/01/2014,26.19,0
07/01/2014,26.19,-0.002288331
06/01/2014,26.25,-0.005698021
03/01/2014,26.4,0.002275314
02/01/2014,26.34,0.001519757
31/12/2013,26.3,-0.000380156
30/12/2013,26.31,0.002664131
27/12/2013,26.24,-0.000761905
26/12/2013,26.26,0.002287458
24/12/2013,26.2,0.008817385
23/12/2013,25.97,0.006567534
20/12/2013,25.8,0.009345862
19/12/2013,25.56,-0.007405998
18/12/2013,25.75,0.030759523
17/12/2013,24.97,0.000400561
16/12/2013,24.96,0.0076413
13/12/2013,24.77,0.002020611
12/12/2013,24.72,-0.005647453
11/12/2013,24.86,-0.017939488
10/12/2013,25.31,-0.003943223
09/12/2013,25.41,0.012274951
06/12/2013,25.1,0.013638398
05/12/2013,24.76,0.00404695
04/12/2013,24.66,0.010189613
03/12/2013,24.41,0.000409752
02/12/2013,24.4,0.006578971
29/11/2013,24.24,-0.008216973
27/11/2013,24.44,0.011522761
26/11/2013,24.16,0.020067563
25/11/2013,23.68,0.011894788
22/11/2013,23.4,0.026853064
21/11/2013,22.78,0.015037877
20/11/2013,22.44,-0.014159529
19/11/2013,22.76,-0.008313327
18/11/2013,22.95,-0.00087108
15/11/2013,22.97,0.00392585
14/11/2013,22.88,0.01231326
13/11/2013,22.6,0.025544745
12/11/2013,22.03,-0.017994188
11/11/2013,22.43,0.004916211
08/11/2013,22.32,0.001793722
07/11/2013,22.28,-0.007155666
06/11/2013,22.44,-0.018980927
05/11/2013,22.87,-0.007405828
04/11/2013,23.04,0.000434122
