Date,Close,APC
04/04/2014,101.05,0.020293594
03/04/2014,99.02,0.135524317
02/04/2014,86.47,-0.001040282
01/04/2014,86.56,0.021014082
31/03/2014,84.76,-0.002121391
28/03/2014,84.94,0.017218261
27/03/2014,83.49,0.004080659
26/03/2014,83.15,0.000360859
25/03/2014,83.12,0.00409886
24/03/2014,82.78,-0.009737409
21/03/2014,83.59,-0.001912275
20/03/2014,83.75,0.016250734
19/03/2014,82.4,-0.010863112
18/03/2014,83.3,0.013049968
17/03/2014,82.22,0.002679334
14/03/2014,82,0.0052577
13/03/2014,81.57,-0.008058652
12/03/2014,82.23,-0.007390838
11/03/2014,82.84,-0.024209637
10/03/2014,84.87,-0.004584737
07/03/2014,85.26,-0.01467019
06/03/2014,86.52,0.012912411
05/03/2014,85.41,-0.007232883
04/03/2014,86.03,0.019128671
03/03/2014,84.4,0.002847653
28/02/2014,84.16,0.01339733
27/02/2014,83.04,0.00980222
26/02/2014,82.23,-0.015446186
25/02/2014,83.51,0.001437987
24/02/2014,83.39,0.013035791
21/02/2014,82.31,-0.010874926
20/02/2014,83.21,-0.006229803
19/02/2014,83.73,0.001912732
18/02/2014,83.57,0.024590907
14/02/2014,81.54,0.000245308
13/02/2014,81.52,-0.002083206
12/02/2014,81.69,-0.003909596
11/02/2014,82.01,0.013256608
10/02/2014,80.93,0.009435203
07/02/2014,80.17,0.015968152
06/02/2014,78.9,-0.002910842
05/02/2014,79.13,-0.011309495
04/02/2014,80.03,0.023515622
03/02/2014,78.17,-0.03172871
31/01/2014,80.69,-0.009374683
30/01/2014,81.45,0.001966327
29/01/2014,81.29,0.00221675
28/01/2014,81.11,0.008170385
27/01/2014,80.45,-0.007923776
24/01/2014,81.09,-0.02183413
23/01/2014,82.88,-0.010084119
22/01/2014,83.72,0.030685811
21/01/2014,81.19,0.014015733
17/01/2014,80.06,-0.015615635
16/01/2014,81.32,-0.004906781
15/01/2014,81.72,0.010826877
14/01/2014,80.84,0.031030691
13/01/2014,78.37,-0.018458173
10/01/2014,79.83,0.009439375
09/01/2014,79.08,0.000505945
08/01/2014,79.04,-0.010070579
07/01/2014,79.84,0.018966304
06/01/2014,78.34,0.000383019
03/01/2014,78.31,-0.003187355
02/01/2014,78.56,-0.00962764
31/12/2013,79.32,0.002903859
30/12/2013,79.09,-0.003911924
27/12/2013,79.4,0.014972999
26/12/2013,78.22,-0.002298558
24/12/2013,78.4,-0.001147301
23/12/2013,78.49,-0.003560986
20/12/2013,78.77,-0.003168771
19/12/2013,79.02,-0.007941051
18/12/2013,79.65,0.006802747
17/12/2013,79.11,0.000505753
16/12/2013,79.07,0.009785933
13/12/2013,78.3,-0.066332887
12/12/2013,83.67,0.000956595
11/12/2013,83.59,-0.019781516
10/12/2013,85.26,-0.01084875
09/12/2013,86.19,-0.005322855
06/12/2013,86.65,-0.015346155
05/12/2013,87.99,-0.007021546
04/12/2013,88.61,-0.009993907
03/12/2013,89.5,0.011123085
02/12/2013,88.51,-0.00349631
29/11/2013,88.82,0.002479992
27/11/2013,88.6,-0.021991175
26/11/2013,90.57,0.000552212
25/11/2013,90.52,-0.016652444
22/11/2013,92.04,-0.002495796
21/11/2013,92.27,0.01892732
20/11/2013,90.54,-0.001765615
19/11/2013,90.7,0.003534353
18/11/2013,90.38,-0.006066976
15/11/2013,90.93,-0.001648261
14/11/2013,91.08,-0.00153593
13/11/2013,91.22,0.014242581
12/11/2013,89.93,-0.013474911
11/11/2013,91.15,0.001976719
08/11/2013,90.97,0.011275821
07/11/2013,89.95,-0.022751984
06/11/2013,92.02,-0.009087038
05/11/2013,92.86,-0.032525776
04/11/2013,95.93,0.016183623
01/11/2013,94.39,-0.009489738
31/10/2013,95.29,-0.007527479
30/10/2013,96.01,-0.018063143
29/10/2013,97.76,0.012143815
28/10/2013,96.58,0.004462208
25/10/2013,96.15,0.019534333
24/10/2013,94.29,0.021547706
23/10/2013,92.28,-0.03283177
22/10/2013,95.36,-0.007001439
21/10/2013,96.03,-0.014370886
18/10/2013,97.42,0.006901196
17/10/2013,96.75,-0.008029691
16/10/2013,97.53,0.017584235
15/10/2013,95.83,0.00083516
14/10/2013,95.75,0.003033316
11/10/2013,95.46,0.011060312
10/10/2013,94.41,0.024663485
09/10/2013,92.11,-0.00010856
08/10/2013,92.12,-0.015938309
07/10/2013,93.6,-0.003200003
04/10/2013,93.9,0.00984597
03/10/2013,92.98,-0.018118368
02/10/2013,94.68,0.013183266
01/10/2013,93.44,0.004827559
