Date,Close,RL
04/04/2014,158.64,-0.025147597
03/04/2014,162.68,-0.004477299
02/04/2014,163.41,-0.001895272
01/04/2014,163.72,0.017188164
31/03/2014,160.93,0.01685662
28/03/2014,158.24,0.007994459
27/03/2014,156.98,0.003190202
26/03/2014,156.48,0.00121495
25/03/2014,156.29,-0.023523057
24/03/2014,160.01,-0.006416468
21/03/2014,161.04,0.003545772
20/03/2014,160.47,-0.00491096
19/03/2014,161.26,-0.015628202
18/03/2014,163.8,0.014079111
17/03/2014,161.51,0.00889337
14/03/2014,160.08,0.004194191
13/03/2014,159.41,-0.019629179
12/03/2014,162.57,0.002093597
11/03/2014,162.23,-0.012618077
10/03/2014,164.29,0.0014619
07/03/2014,164.05,0.011587757
06/03/2014,162.16,0.004388005
05/03/2014,161.45,-0.003030399
04/03/2014,161.94,0.010366003
03/03/2014,160.27,-0.005041243
28/02/2014,161.08,-0.004398062
27/02/2014,161.79,-0.002037604
26/02/2014,162.12,0.013225488
25/02/2014,159.99,0.004510438
24/02/2014,159.27,0.005477396
21/02/2014,158.4,0.004682664
20/02/2014,157.66,0.004386111
19/02/2014,156.97,-0.001146059
18/02/2014,157.15,-0.007859583
14/02/2014,158.39,0.014243262
13/02/2014,156.15,0.010622987
12/02/2014,154.5,-0.014777012
11/02/2014,156.8,0.009934387
10/02/2014,155.25,-0.00411391
07/02/2014,155.89,0.023758095
06/02/2014,152.23,0.023394434
05/02/2014,148.71,-0.03612265
04/02/2014,154.18,0.003378382
03/02/2014,153.66,-0.020802553
31/01/2014,156.89,-0.008504748
30/01/2014,158.23,0.017339632
29/01/2014,155.51,-0.007878343
28/01/2014,156.74,-0.001338902
27/01/2014,156.95,-0.00425979
24/01/2014,157.62,-0.006513445
23/01/2014,158.65,-0.007597914
22/01/2014,159.86,-0.006484622
21/01/2014,160.9,-0.009833407
17/01/2014,162.49,-0.005033774
16/01/2014,163.31,-0.028789821
15/01/2014,168.08,0.003635826
14/01/2014,167.47,-0.000179121
13/01/2014,167.5,-0.03778455
10/01/2014,173.95,0.006170189
09/01/2014,172.88,0.003244499
08/01/2014,172.32,-0.017715867
07/01/2014,175.4,0.004113351
06/01/2014,174.68,-0.014266875
03/01/2014,177.19,0.010324575
02/01/2014,175.37,-0.006819371
31/12/2013,176.57,0.001303449
30/12/2013,176.34,0.002100424
27/12/2013,175.97,0
26/12/2013,175.97,-0.000340909
24/12/2013,176.03,0.006611594
23/12/2013,174.87,-0.001028807
20/12/2013,175.05,-0.000514007
19/12/2013,175.14,-0.011072424
18/12/2013,177.09,0.015593305
17/12/2013,174.35,-0.006916092
16/12/2013,175.56,0.002109766
13/12/2013,175.19,0.012463904
12/12/2013,173.02,0.011217461
11/12/2013,171.09,-0.003733742
10/12/2013,171.73,0.003207842
09/12/2013,171.18,-0.006463469
06/12/2013,172.29,-0.006998496
05/12/2013,173.5,-0.000748999
04/12/2013,173.63,0.002768328
03/12/2013,173.15,-0.005184343
02/12/2013,174.05,-0.006756782
29/11/2013,175.23,0.005264073
27/11/2013,174.31,-0.006005681
26/11/2013,175.36,-0.000855018
25/11/2013,175.51,0.002795768
22/11/2013,175.02,0.017522062
21/11/2013,171.98,-0.000116286
20/11/2013,172,-0.00729888
19/11/2013,173.26,0.00109722
18/11/2013,173.07,-0.016219515
15/11/2013,175.9,-0.004367934
14/11/2013,176.67,0.003401942
13/11/2013,176.07,0.026356687
12/11/2013,171.49,-0.006046179
11/11/2013,172.53,-0.005145264
08/11/2013,173.42,0.003523673
07/11/2013,172.81,-0.04364885
06/11/2013,180.52,0.053067524
05/11/2013,171.19,0.009390291
04/11/2013,169.59,0.004669177
01/11/2013,168.8,0.018897823
31/10/2013,165.64,-0.007098628
30/10/2013,166.82,0.00727976
29/10/2013,165.61,0.003387168
28/10/2013,165.05,0.003094757
25/10/2013,164.54,-0.000971935
24/10/2013,164.7,0.002979541
23/10/2013,164.21,-0.014029377
22/10/2013,166.53,0.017689926
21/10/2013,163.61,-0.001770939
18/10/2013,163.9,0.013637413
17/10/2013,161.68,0.018729477
16/10/2013,158.68,-0.00031505
15/10/2013,158.73,-0.014820645
14/10/2013,161.1,-0.001488649
11/10/2013,161.34,-0.014154954
10/10/2013,163.64,0.007606465
09/10/2013,162.4,0.008037138
08/10/2013,161.1,-0.01997301
07/10/2013,164.35,-0.0141375
04/10/2013,166.69,0.013346818
03/10/2013,164.48,0.002861581
02/10/2013,164.01,-0.00559374
01/10/2013,164.93,0.001213372
30/09/2013,164.73,-0.005448615
27/09/2013,165.63,0.000603938
26/09/2013,165.53,0.015402246
25/09/2013,163,-0.013285588
24/09/2013,165.18,0.001090314
23/09/2013,165,-0.014022437
20/09/2013,167.33,-0.005839607
19/09/2013,168.31,0.001129507
18/09/2013,168.12,0.008602204
17/09/2013,166.68,-0.003174701
16/09/2013,167.21,0.005156505
13/09/2013,166.35,0.019975771
12/09/2013,163.06,-0.005138255
11/09/2013,163.9,0.005260916
10/09/2013,163.04,-0.016424726
09/09/2013,165.74,0.003384507
06/09/2013,165.18,-0.004952
05/09/2013,166,-0.004028021
04/09/2013,166.67,-0.002696308
03/09/2013,167.12,0.010284877
30/08/2013,165.41,-0.004403566
29/08/2013,166.14,0.003557542
28/08/2013,165.55,-0.001388344
27/08/2013,165.78,-0.026371361
26/08/2013,170.21,-0.008424551
23/08/2013,171.65,-0.004127793
22/08/2013,172.36,0.002905121
21/08/2013,171.86,-0.000639851
20/08/2013,171.97,0.010169579
19/08/2013,170.23,-0.010809021
16/08/2013,172.08,-0.013621358
15/08/2013,174.44,-0.013212037
14/08/2013,176.76,-0.009963774
13/08/2013,178.53,0.002523767
12/08/2013,178.08,-0.00487355
09/08/2013,178.95,0.007009702
08/08/2013,177.7,0.026053978
07/08/2013,173.13,-0.090399036
06/08/2013,189.51,0.006405358
05/08/2013,188.3,0.001434911
02/08/2013,188.03,0.005546385
01/08/2013,186.99,0.026718836
31/07/2013,182.06,0.002309597
30/07/2013,181.64,0.007460041
29/07/2013,180.29,-0.003819862
26/07/2013,180.98,0.009549262
25/07/2013,179.26,0.000725467
24/07/2013,179.13,-0.005622527
23/07/2013,180.14,-0.001941048
22/07/2013,180.49,0.007061273
19/07/2013,179.22,-0.004231632
18/07/2013,179.98,0.008089079
17/07/2013,178.53,-0.009088691
16/07/2013,180.16,-0.008786771
15/07/2013,181.75,-0.003569961
12/07/2013,182.4,-0.004594691
11/07/2013,183.24,0.017728813
10/07/2013,180.02,0.013365221
09/07/2013,177.63,0.009446039
08/07/2013,175.96,0.011028998
05/07/2013,174.03,0.007150714
03/07/2013,172.79,0.000694726
02/07/2013,172.67,-0.007328154
01/07/2013,173.94,0.001150483
28/06/2013,173.74,0.00051815
