Date,Close,MHK
04/04/2014,136.01,-0.000441047
03/04/2014,136.07,-0.013866811
02/04/2014,137.97,0.004285461
01/04/2014,137.38,0.010242993
31/03/2014,135.98,0.00923504
28/03/2014,134.73,0.009995608
27/03/2014,133.39,-0.012293863
26/03/2014,135.04,-0.022262196
25/03/2014,138.08,0.006393512
24/03/2014,137.2,-0.010080219
21/03/2014,138.59,-0.012975558
20/03/2014,140.4,-0.010415654
19/03/2014,141.87,-0.002323372
18/03/2014,142.2,0.012881486
17/03/2014,140.38,0.007005533
14/03/2014,139.4,0.003161376
13/03/2014,138.96,-0.020019904
12/03/2014,141.77,-0.013869654
11/03/2014,143.75,0.001601281
10/03/2014,143.52,-0.008050009
07/03/2014,144.68,0.001175698
06/03/2014,144.51,0.013936537
05/03/2014,142.51,0.001053112
04/03/2014,142.36,0.016216763
03/03/2014,140.07,-0.010369411
28/02/2014,141.53,-0.015772645
27/02/2014,143.78,0.002925404
26/02/2014,143.36,0.017237561
25/02/2014,140.91,0.011922326
24/02/2014,139.24,-0.029508598
21/02/2014,143.41,-0.017487918
20/02/2014,145.94,0.01310454
19/02/2014,144.04,-0.004778899
18/02/2014,144.73,-0.01624269
14/02/2014,147.1,0.009700192
13/02/2014,145.68,0.005644677
12/02/2014,144.86,-0.004545775
11/02/2014,145.52,0.003372917
10/02/2014,145.03,-0.017633043
07/02/2014,147.61,0.013985288
06/02/2014,145.56,0.02737035
05/02/2014,141.63,0.010005405
04/02/2014,140.22,0.017699577
03/02/2014,137.76,-0.03158082
31/01/2014,142.18,0.007341555
30/01/2014,141.14,-0.000779064
29/01/2014,141.25,-0.009512138
28/01/2014,142.6,0.005625894
27/01/2014,141.8,0.003107786
24/01/2014,141.36,-0.044888418
23/01/2014,147.85,-0.004252023
22/01/2014,148.48,0.015269544
21/01/2014,146.23,-0.003617875
17/01/2014,146.76,-0.019032767
16/01/2014,149.58,0.001605781
15/01/2014,149.34,0.001474235
14/01/2014,149.12,0.016429834
13/01/2014,146.69,-0.010443605
10/01/2014,148.23,0.014953041
09/01/2014,146.03,-0.007300548
08/01/2014,147.1,0.009631551
07/01/2014,145.69,-0.011261765
06/01/2014,147.34,-0.014219047
03/01/2014,149.45,0.0022776
02/01/2014,149.11,0.001409349
31/12/2013,148.9,0.009650174
30/12/2013,147.47,0.004894307
27/12/2013,146.75,0.002866114
26/12/2013,146.33,-0.000204995
24/12/2013,146.36,0.006374469
23/12/2013,145.43,0.027819272
20/12/2013,141.44,-0.014459436
19/12/2013,143.5,-0.020485594
18/12/2013,146.47,0.0466078
17/12/2013,139.8,-0.00755366
16/12/2013,140.86,0.008698807
13/12/2013,139.64,-0.007135752
12/12/2013,140.64,0.007995474
11/12/2013,139.52,-0.010693764
10/12/2013,141.02,-0.015829238
09/12/2013,143.27,0.030616806
06/12/2013,138.95,0.010708445
05/12/2013,137.47,0.012001608
04/12/2013,135.83,-0.012656082
03/12/2013,137.56,-0.000871966
02/12/2013,137.68,-0.016853118
29/11/2013,140.02,-0.006619948
27/11/2013,140.95,-0.008969937
26/11/2013,142.22,0.00712701
25/11/2013,141.21,-0.007829899
22/11/2013,142.32,-0.008814328
21/11/2013,143.58,0.029760104
20/11/2013,139.37,-0.002722845
19/11/2013,139.75,-0.008762924
18/11/2013,140.98,-0.025906371
15/11/2013,144.68,0.015463149
14/11/2013,142.46,0.020280068
13/11/2013,139.6,0.020553626
12/11/2013,136.76,0.011398439
11/11/2013,135.21,0.006753022
08/11/2013,134.3,0.005076153
07/11/2013,133.62,-0.011533295
06/11/2013,135.17,-0.00464997
05/11/2013,135.8,-0.013458366
04/11/2013,137.64,0.000581395
01/11/2013,137.56,0.038081496
31/10/2013,132.42,-0.003768754
30/10/2013,132.92,-0.008689193
29/10/2013,134.08,0.013591349
28/10/2013,132.27,0.003711423
25/10/2013,131.78,0.000379492
24/10/2013,131.73,0.02669492
23/10/2013,128.26,0.004845652
22/10/2013,127.64,0.020820067
21/10/2013,125.01,0.00585665
18/10/2013,124.28,-0.005456602
17/10/2013,124.96,-0.010982999
16/10/2013,126.34,0.003806507
