Date,Close,RDC
04/04/2014,32.47,0.00154107
03/04/2014,32.42,-0.021059835
02/04/2014,33.11,-0.008121567
01/04/2014,33.38,-0.008947271
31/03/2014,33.68,0.008947271
28/03/2014,33.38,0.008725796
27/03/2014,33.09,0.005758464
26/03/2014,32.9,0.002129926
25/03/2014,32.83,0.007644128
24/03/2014,32.58,-0.015230267
21/03/2014,33.08,0.010025908
20/03/2014,32.75,0.011053229
19/03/2014,32.39,0.014930293
18/03/2014,31.91,0.018981905
17/03/2014,31.31,-0.012694553
14/03/2014,31.71,-0.000315308
13/03/2014,31.72,-0.017810188
12/03/2014,32.29,-0.008634035
11/03/2014,32.57,-0.020663148
10/03/2014,33.25,-0.003003005
07/03/2014,33.35,-0.005084503
06/03/2014,33.52,0.003586376
05/03/2014,33.4,0.017213168
04/03/2014,32.83,0.005191644
03/03/2014,32.66,-0.02120649
28/02/2014,33.36,0.023658974
27/02/2014,32.58,0
26/02/2014,32.58,-0.008557509
25/02/2014,32.86,-0.002431612
24/02/2014,32.94,0.020239881
21/02/2014,32.28,-0.000619387
20/02/2014,32.3,0.005588341
19/02/2014,32.12,0.006559449
18/02/2014,31.91,-0.00718192
14/02/2014,32.14,0.002804177
13/02/2014,32.05,-0.001247272
12/02/2014,32.09,-0.009613968
11/02/2014,32.4,0.025001302
10/02/2014,31.6,-0.000316406
07/02/2014,31.61,-0.007877778
06/02/2014,31.86,0.016137037
05/02/2014,31.35,-0.009523882
04/02/2014,31.65,0.008248778
03/02/2014,31.39,0.000637349
31/01/2014,31.37,-0.006988593
30/01/2014,31.59,0.000633312
29/01/2014,31.57,-0.030877239
28/01/2014,32.56,-0.007343974
27/01/2014,32.8,0.008880781
24/01/2014,32.51,-0.008270839
23/01/2014,32.78,-0.026491615
22/01/2014,33.66,0.034147448
21/01/2014,32.53,-0.006740222
17/01/2014,32.75,-0.003048783
16/01/2014,32.85,-0.009090972
15/01/2014,33.15,-0.00451468
14/01/2014,33.3,0.014214665
13/01/2014,32.83,-0.030005251
10/01/2014,33.83,0.000591366
09/01/2014,33.81,-0.006485872
08/01/2014,34.03,-0.004398189
07/01/2014,34.18,-0.006125147
06/01/2014,34.39,-0.002323556
03/01/2014,34.47,0.003487362
02/01/2014,34.35,-0.028979219
31/12/2013,35.36,0.02143858
30/12/2013,34.61,-0.005187332
27/12/2013,34.79,0.017981923
26/12/2013,34.17,-0.005545031
24/12/2013,34.36,0.014954098
23/12/2013,33.85,0.004737942
20/12/2013,33.69,0.022513333
19/12/2013,32.94,-0.025477176
18/12/2013,33.79,-0.006195624
17/12/2013,34,0.000882742
16/12/2013,33.97,0.009761947
13/12/2013,33.64,0.006561312
12/12/2013,33.42,0.002996706
11/12/2013,33.32,-0.015485717
10/12/2013,33.84,-0.012334958
09/12/2013,34.26,0.002045289
06/12/2013,34.19,0.0043969
05/12/2013,34.04,-0.021218642
04/12/2013,34.77,0.00345722
03/12/2013,34.65,0.00491828
02/12/2013,34.48,-0.004052104
29/11/2013,34.62,-0.00144321
27/11/2013,34.67,-0.003167749
26/11/2013,34.78,-0.00028748
25/11/2013,34.79,-0.02498001
22/11/2013,35.67,-0.018884205
21/11/2013,36.35,0.001651983
20/11/2013,36.29,-0.00659162
19/11/2013,36.53,-0.00027371
18/11/2013,36.54,-0.020049439
15/11/2013,37.28,-0.001875922
14/11/2013,37.35,-0.010122622
13/11/2013,37.73,0.01173034
12/11/2013,37.29,-0.004281516
11/11/2013,37.45,0.006966802
08/11/2013,37.19,0.008641696
07/11/2013,36.87,-0.000813339
06/11/2013,36.9,0.017220598
05/11/2013,36.27,-0.001102232
04/11/2013,36.31,0.010798942
01/11/2013,35.92,-0.004444452
31/10/2013,36.08,-0.009653916
30/10/2013,36.43,-0.014984615
29/10/2013,36.98,0.002707827
28/10/2013,36.88,0.008988212
25/10/2013,36.55,-0.001093793
24/10/2013,36.59,0.001093793
23/10/2013,36.55,-0.009801331
22/10/2013,36.91,0.014188505
21/10/2013,36.39,-0.006846528
18/10/2013,36.64,0.010977059
17/10/2013,36.24,-0.002480365
16/10/2013,36.33,0.004137366
15/10/2013,36.18,-0.02349193
14/10/2013,37.04,0.003245
11/10/2013,36.92,0.010072223
10/10/2013,36.55,0.015162248
09/10/2013,36,-0.008849615
08/10/2013,36.32,-0.008771986
07/10/2013,36.64,-0.019192372
04/10/2013,37.35,0.011850395
03/10/2013,36.91,-0.00108313
02/10/2013,36.95,-0.006474261
01/10/2013,37.19,0.012718342
30/09/2013,36.72,-0.002447982
27/09/2013,36.81,-0.004878058
26/09/2013,36.99,-0.00888177
25/09/2013,37.32,0.003489468
24/09/2013,37.19,0.002422938
23/09/2013,37.1,0.005405419
20/09/2013,36.9,-0.018260443
19/09/2013,37.58,-0.014791606
18/09/2013,38.14,-0.001833661
17/09/2013,38.21,0.004984924
16/09/2013,38.02,0.003953095
13/09/2013,37.87,-0.011290654
12/09/2013,38.3,0.004710817
11/09/2013,38.12,-0.000262295
10/09/2013,38.13,0.003941668
09/09/2013,37.98,0.01913934
06/09/2013,37.26,0.002149383
05/09/2013,37.18,0.034476739
04/09/2013,35.92,0.015147555
03/09/2013,35.38,-0.001129944
30/08/2013,35.42,-0.007593905
29/08/2013,35.69,-0.014740915
28/08/2013,36.22,0.006092514
27/08/2013,36,-0.007196267
26/08/2013,36.26,0.00442234
23/08/2013,36.1,0.006391574
22/08/2013,35.87,0.027701036
21/08/2013,34.89,-0.011115976
20/08/2013,35.28,0.005400042
19/08/2013,35.09,-0.017234499
16/08/2013,35.7,-0.004192878
15/08/2013,35.85,-0.001115138
14/08/2013,35.89,-0.001948504
13/08/2013,35.96,-0.009410532
12/08/2013,36.3,0.006079046
09/08/2013,36.08,0.001664355
08/08/2013,36.02,0.012852929
07/08/2013,35.56,0.001407064
06/08/2013,35.51,0.013324081
05/08/2013,35.04,-0.009656423
02/08/2013,35.38,0.003681159
01/08/2013,35.25,0.025863511
31/07/2013,34.35,0.002623526
30/07/2013,34.26,0.008500711
29/07/2013,33.97,-0.012869438
26/07/2013,34.41,-0.014998839
25/07/2013,34.93,-0.00542471
24/07/2013,35.12,-0.01637992
23/07/2013,35.7,-0.000839983
22/07/2013,35.73,0.007021515
19/07/2013,35.48,0.002257337
18/07/2013,35.4,0.011078085
17/07/2013,35.01,-0.002852255
16/07/2013,35.11,-0.004263187
15/07/2013,35.26,0.002840104
12/07/2013,35.16,0.012017312
11/07/2013,34.74,-0.006884709
10/07/2013,34.98,-0.006553664
09/07/2013,35.21,0.003984069
08/07/2013,35.07,0.012625706
05/07/2013,34.63,0.015129762
03/07/2013,34.11,-0.008465968
02/07/2013,34.4,-0.000581226
01/07/2013,34.42,0.010220559
28/06/2013,34.07,-0.003515972
27/06/2013,34.19,0.002342607
26/06/2013,34.11,0.009425696
25/06/2013,33.79,0.016110134
24/06/2013,33.25,-0.024362465
21/06/2013,34.07,0.007364888
20/06/2013,33.82,-0.002952467
19/06/2013,33.92,-0.011432046
18/06/2013,34.31,0.009959075
17/06/2013,33.97,0.015724994
14/06/2013,33.44,-0.00536834
13/06/2013,33.62,0.033265843
12/06/2013,32.52,-0.01343942
11/06/2013,32.96,-0.021015484
10/06/2013,33.66,-0.001780944
07/06/2013,33.72,0.005650573
06/06/2013,33.53,-0.007132274
05/06/2013,33.77,0.013114942
04/06/2013,33.33,-0.006578971
03/06/2013,33.55,0.009282893
31/05/2013,33.24,-0.031682887
30/05/2013,34.31,-0.002910363
29/05/2013,34.41,-0.007815932
28/05/2013,34.68,0.005203828
24/05/2013,34.5,-0.007795622
23/05/2013,34.77,0
22/05/2013,34.77,-0.018803973
21/05/2013,35.43,-0.024534267
20/05/2013,36.31,0.016942497
17/05/2013,35.7,0.024671604
16/05/2013,34.83,0.002587324
15/05/2013,34.74,-0.004308494
14/05/2013,34.89,0.011240931
13/05/2013,34.5,-0.013531227
10/05/2013,34.97,0.010059001
09/05/2013,34.62,-0.00144321
08/05/2013,34.67,0.006946482
07/05/2013,34.43,0.008165691
06/05/2013,34.15,0.000585823
03/05/2013,34.13,0.041579191
02/05/2013,32.74,0.016010194
01/05/2013,32.22,-0.009575363
30/04/2013,32.53,0.012372567
29/04/2013,32.13,0.007811319
26/04/2013,31.88,-0.006253929
25/04/2013,32.08,0.0009356
24/04/2013,32.05,0.016040602
23/04/2013,31.54,0.004130268
22/04/2013,31.41,0.005426989
19/04/2013,31.24,-0.001279591
18/04/2013,31.28,0.025252232
17/04/2013,30.5,-0.057650096
16/04/2013,32.31,0.021270743
15/04/2013,31.63,-0.043612911
12/04/2013,33.04,-0.024515428
11/04/2013,33.86,-0.002065202
10/04/2013,33.93,0.014247792
09/04/2013,33.45,0.000598086
08/04/2013,33.43,0.006000618
05/04/2013,33.23,0.00512899
04/04/2013,33.06,0.004243717
03/04/2013,32.92,-0.027858624
02/04/2013,33.85,-0.024512462
01/04/2013,34.69,-0.019129777
