Date,Close,BBY
04/04/2014,27.7,0.034150556
03/04/2014,26.77,-0.00112003
02/04/2014,26.8,0.01579574
01/04/2014,26.38,-0.001136579
31/03/2014,26.41,0.012957498
28/03/2014,26.07,0.013127602
27/03/2014,25.73,-0.001553398
26/03/2014,25.77,-0.016166634
25/03/2014,26.19,-0.006090616
24/03/2014,26.35,-0.022886011
21/03/2014,26.96,0.042430607
20/03/2014,25.84,0.003489052
19/03/2014,25.75,-0.005035843
18/03/2014,25.88,-0.00501061
17/03/2014,26.01,0.011990088
14/03/2014,25.7,0.016081931
13/03/2014,25.29,-0.017637141
12/03/2014,25.74,-0.008895824
11/03/2014,25.97,-0.010342938
10/03/2014,26.24,0.016910472
07/03/2014,25.8,0.014051753
06/03/2014,25.44,-0.003923112
05/03/2014,25.54,-0.010128641
04/03/2014,25.8,-0.013474699
03/03/2014,26.15,-0.018189209
28/02/2014,26.63,0.040618611
27/02/2014,25.57,-0.009729596
26/02/2014,25.82,0.019949811
25/02/2014,25.31,0.005546765
24/02/2014,25.17,0.02128167
21/02/2014,24.64,-0.008084118
20/02/2014,24.84,-0.001609011
19/02/2014,24.88,-0.004411477
18/02/2014,24.99,0.008438869
14/02/2014,24.78,0.004043677
13/02/2014,24.68,-0.008472917
12/02/2014,24.89,-0.021070149
11/02/2014,25.42,0.007106228
10/02/2014,25.24,0.027718183
07/02/2014,24.55,0.034814954
06/02/2014,23.71,0.025198856
05/02/2014,23.12,0.014815086
04/02/2014,22.78,-0.012650114
03/02/2014,23.07,-0.02016803
31/01/2014,23.54,0.035455508
30/01/2014,22.72,-0.053557455
29/01/2014,23.97,-0.030809584
28/01/2014,24.72,0.00486619
27/01/2014,24.6,-0.016929062
24/01/2014,25.02,-0.041109723
23/01/2014,26.07,0.002304148
22/01/2014,26.01,0.061033202
21/01/2014,24.47,0.001635992
17/01/2014,24.43,-0.093708779
16/01/2014,26.83,-0.336685195
15/01/2014,37.57,0.013937508
14/01/2014,37.05,0.0051414
13/01/2014,36.86,-0.025446666
10/01/2014,37.81,0.007433005
09/01/2014,37.53,-0.008226131
08/01/2014,37.84,-0.014169746
07/01/2014,38.38,-0.026483101
06/01/2014,39.41,-0.03171698
03/01/2014,40.68,0.004434597
02/01/2014,40.5,0.015427029
31/12/2013,39.88,-0.003254478
30/12/2013,40.01,-0.003991026
27/12/2013,40.17,-0.021426752
26/12/2013,41.04,0.020182817
24/12/2013,40.22,-0.009649957
23/12/2013,40.61,0.023671219
20/12/2013,39.66,-0.041729298
19/12/2013,41.35,-0.014644362
18/12/2013,41.96,0.017793208
17/12/2013,41.22,-0.012296719
16/12/2013,41.73,0.029671437
13/12/2013,40.51,0.006935871
12/12/2013,40.23,-0.006935871
11/12/2013,40.51,-0.025107961
10/12/2013,41.54,0.004342588
09/12/2013,41.36,0.007523394
06/12/2013,41.05,-0.013309331
05/12/2013,41.6,-0.028437935
04/12/2013,42.8,0.018868484
03/12/2013,42,0.022148233
02/12/2013,41.08,0.012985604
29/11/2013,40.55,0.023454169
27/11/2013,39.61,-0.00025243
26/11/2013,39.62,-0.002772529
25/11/2013,39.73,0.009102465
22/11/2013,39.37,0.007649196
21/11/2013,39.07,0.009256944
20/11/2013,38.71,-0.001806685
19/11/2013,38.78,-0.116234648
18/11/2013,43.56,-0.002979945
15/11/2013,43.69,0.008274007
14/11/2013,43.33,-0.0151171
13/11/2013,43.99,0.005013684
12/11/2013,43.77,-0.012712998
11/11/2013,44.33,0.044277465
08/11/2013,42.41,0.036498649
07/11/2013,40.89,-0.019855374
06/11/2013,41.71,-0.054811433
05/11/2013,44.06,0.017861707
04/11/2013,43.28,0.008119752
