Date,Close,VNO
04/04/2014,99.16,-0.000302496
03/04/2014,99.19,-0.000403185
02/04/2014,99.23,-0.002114059
01/04/2014,99.44,0.008888947
31/03/2014,98.56,0.004678133
28/03/2014,98.1,0.012617493
27/03/2014,96.87,0.001859889
26/03/2014,96.69,-0.012845062
25/03/2014,97.94,0.002965389
24/03/2014,97.65,-0.00724456
21/03/2014,98.36,0.001628002
20/03/2014,98.2,0.016427474
19/03/2014,96.6,-0.021202208
18/03/2014,98.67,0.011415882
17/03/2014,97.55,0
14/03/2014,97.55,-0.002252714
13/03/2014,97.77,-0.00621975
12/03/2014,98.38,-0.00920733
11/03/2014,99.29,0.003531255
10/03/2014,98.94,-0.002120249
07/03/2014,99.15,-0.000806533
06/03/2014,99.23,0.000302374
05/03/2014,99.2,0.009826347
04/03/2014,98.23,0.017975935
03/03/2014,96.48,0.001971262
28/02/2014,96.29,0.015700553
27/02/2014,94.79,0.001689368
26/02/2014,94.63,-0.00042261
25/02/2014,94.67,0.00031694
24/02/2014,94.64,-0.001478197
21/02/2014,94.78,-0.002634215
20/02/2014,95.03,-0.006607607
19/02/2014,95.66,-0.004068651
18/02/2014,96.05,0.003650591
14/02/2014,95.7,0.002825304
13/02/2014,95.43,0.001992973
12/02/2014,95.24,0.003681696
11/02/2014,94.89,0.009529932
10/02/2014,93.99,0.017277889
07/02/2014,92.38,-0.005613141
06/02/2014,92.9,0.019017145
05/02/2014,91.15,-0.006560986
04/02/2014,91.75,0.01703806
03/02/2014,90.2,-0.017909615
31/01/2014,91.83,0.004912405
30/01/2014,91.38,0.008131019
29/01/2014,90.64,-0.007802666
28/01/2014,91.35,0.011671571
27/01/2014,90.29,0.000553925
24/01/2014,90.24,-0.016376692
23/01/2014,91.73,-0.016970628
22/01/2014,93.3,0.010992675
21/01/2014,92.28,0.005433024
17/01/2014,91.78,-0.008570706
16/01/2014,92.57,0.006067848
15/01/2014,92.01,0.005339739
14/01/2014,91.52,0.006357579
13/01/2014,90.94,-0.008322431
10/01/2014,91.7,0.013725167
09/01/2014,90.45,0.006210511
08/01/2014,89.89,-0.00676315
07/01/2014,90.5,0.014020481
06/01/2014,89.24,-0.003691073
03/01/2014,89.57,0.010437219
02/01/2014,88.64,-0.001690808
31/12/2013,88.79,-0.010753996
30/12/2013,89.75,-0.001669914
27/12/2013,89.9,0.007704801
26/12/2013,89.21,0.001346046
24/12/2013,89.09,-0.000224467
23/12/2013,89.11,0.003034563
20/12/2013,88.84,0.002705141
19/12/2013,88.6,-0.014566084
18/12/2013,89.9,0.02113388
17/12/2013,88.02,0.002844305
16/12/2013,87.77,-0.003412196
13/12/2013,88.07,0.008896044
12/12/2013,87.29,-0.00650873
11/12/2013,87.86,-0.029715703
10/12/2013,90.51,0.000220994
