Date,Close,COF
04/04/2014,76.7,-0.009989056
03/04/2014,77.47,0.004139186
02/04/2014,77.15,0.004807389
01/04/2014,76.78,-0.004936998
31/03/2014,77.16,0.013964338
28/03/2014,76.09,0.002763705
27/03/2014,75.88,0.012198507
26/03/2014,74.96,-0.004791066
25/03/2014,75.32,0.001594473
24/03/2014,75.2,-0.002656044
21/03/2014,75.4,0.014965539
20/03/2014,74.28,0.01587658
19/03/2014,73.11,-0.006000291
18/03/2014,73.55,-0.003799706
17/03/2014,73.83,0.022463621
14/03/2014,72.19,-0.007452422
13/03/2014,72.73,-0.019875416
12/03/2014,74.19,-0.002288793
11/03/2014,74.36,-0.010567953
10/03/2014,75.15,0.001864678
07/03/2014,75.01,-0.000266596
06/03/2014,75.03,0.008969871
05/03/2014,74.36,0.009322502
04/03/2014,73.67,0.019601752
03/03/2014,72.24,-0.016338662
28/02/2014,73.43,0.011092205
27/02/2014,72.62,0.01792337
26/02/2014,71.33,0.004073898
25/02/2014,71.04,-0.009665971
24/02/2014,71.73,0.010651818
21/02/2014,70.97,0.00183344
20/02/2014,70.84,-0.001551591
19/02/2014,70.95,-0.020507101
18/02/2014,72.42,0.000276205
14/02/2014,72.4,0.000414451
13/02/2014,72.37,0.009859137
12/02/2014,71.66,0.005597552
11/02/2014,71.26,-0.001542453
10/02/2014,71.37,-0.000420256
07/02/2014,71.4,0.020946138
06/02/2014,69.92,0.018184943
05/02/2014,68.66,-0.00087349
04/02/2014,68.72,-0.002180392
03/02/2014,68.87,-0.024951108
31/01/2014,70.61,-0.00494456
30/01/2014,70.96,0.015479965
29/01/2014,69.87,-0.01421084
28/01/2014,70.87,0.013066512
27/01/2014,69.95,-0.008824424
24/01/2014,70.57,-0.013651609
23/01/2014,71.54,-0.015396656
22/01/2014,72.65,0.000550737
21/01/2014,72.61,0.003034485
17/01/2014,72.39,-0.054437951
16/01/2014,76.44,-0.007688837
15/01/2014,77.03,-0.004274895
14/01/2014,77.36,0.012879902
13/01/2014,76.37,-0.021375255
10/01/2014,78.02,0.002181306
09/01/2014,77.85,0
08/01/2014,77.85,0.007348708
07/01/2014,77.28,0.00896867
06/01/2014,76.59,-0.009744766
