Date,Close,FFIV
04/04/2014,104.44,-0.023935677
03/04/2014,106.97,-0.02090733
02/04/2014,109.23,-0.003928919
01/04/2014,109.66,0.028019772
31/03/2014,106.63,0.014072103
28/03/2014,105.14,-0.011066559
27/03/2014,106.31,0.015737905
26/03/2014,104.65,-0.039165583
25/03/2014,108.83,0.008860233
24/03/2014,107.87,-0.044955463
21/03/2014,112.83,-0.011105349
20/03/2014,114.09,0.005537259
19/03/2014,113.46,0.023904099
18/03/2014,110.78,0.003707895
17/03/2014,110.37,0.026626619
14/03/2014,107.47,-0.000279109
13/03/2014,107.5,-0.037609398
12/03/2014,111.62,-0.002773431
11/03/2014,111.93,-0.000357302
10/03/2014,111.97,-0.024786274
07/03/2014,114.78,8.7127E-05
06/03/2014,114.77,0.000958898
05/03/2014,114.66,0.013522025
04/03/2014,113.12,0.017298693
03/03/2014,111.18,-0.010379478
28/02/2014,112.34,-0.019132168
27/02/2014,114.51,0.005429085
26/02/2014,113.89,0.032754702
25/02/2014,110.22,-0.015216608
24/02/2014,111.91,0.014672391
21/02/2014,110.28,-0.002173914
20/02/2014,110.52,0.007903025
19/02/2014,109.65,-0.022276251
18/02/2014,112.12,0.001874749
14/02/2014,111.91,0.001520233
13/02/2014,111.74,0.001701823
12/02/2014,111.55,-0.006344689
11/02/2014,112.26,0.02489306
10/02/2014,109.5,0.02048231
07/02/2014,107.28,0.011342985
06/02/2014,106.07,0.020189239
05/02/2014,103.95,-0.023953241
04/02/2014,106.47,0.014569794
03/02/2014,104.93,-0.019722272
31/01/2014,107.02,-0.027009984
30/01/2014,109.95,0.022720933
29/01/2014,107.48,-0.020809148
28/01/2014,109.74,0.029968946
27/01/2014,106.5,0.015042145
24/01/2014,104.91,0.023337607
23/01/2014,102.49,0.050118004
22/01/2014,97.48,-0.007358987
21/01/2014,98.2,0.013120319
17/01/2014,96.92,-0.008527303
16/01/2014,97.75,0.002560821
15/01/2014,97.5,0.031040926
14/01/2014,94.52,0.026914186
13/01/2014,92.01,0.038668752
10/01/2014,88.52,0.005210115
09/01/2014,88.06,-0.014766655
08/01/2014,89.37,-0.003016594
07/01/2014,89.64,0.020967965
06/01/2014,87.78,-0.002843981
03/01/2014,88.03,-0.009721985
02/01/2014,88.89,-0.02192021
31/12/2013,90.86,0.01073316
30/12/2013,89.89,0.007481471
27/12/2013,89.22,-0.000672269
26/12/2013,89.28,-0.001790511
24/12/2013,89.44,-0.000782341
23/12/2013,89.51,0.015877818
20/12/2013,88.1,0.036056598
19/12/2013,84.98,0.010290469
18/12/2013,84.11,-0.001663103
17/12/2013,84.25,0.009660759
16/12/2013,83.44,0.023892956
13/12/2013,81.47,-0.006362434
12/12/2013,81.99,-0.027072579
11/12/2013,84.24,-0.005681833
10/12/2013,84.72,-0.005414963
09/12/2013,85.18,0.018842769
06/12/2013,83.59,0.025320875
05/12/2013,81.5,-0.015945807
04/12/2013,82.81,0.008854446
03/12/2013,82.08,0.000365564
02/12/2013,82.05,-0.002556145
29/11/2013,82.26,-0.001457726
27/11/2013,82.38,0.006576567
26/11/2013,81.84,0.011552298
25/11/2013,80.9,-0.024903631
22/11/2013,82.94,0.000361773
21/11/2013,82.91,0.016416736
20/11/2013,81.56,-0.005624174
19/11/2013,82.02,-0.022543297
18/11/2013,83.89,-0.008664228
15/11/2013,84.62,0.006758785
14/11/2013,84.05,-0.006995108
13/11/2013,84.64,0.006043747
12/11/2013,84.13,0.015210785
11/11/2013,82.86,0.010189317
08/11/2013,82.02,0.02007333
07/11/2013,80.39,-0.010025457
06/11/2013,81.2,0.018143905
05/11/2013,79.74,0.002385587
04/11/2013,79.55,0.001509624
01/11/2013,79.43,-0.026217567
31/10/2013,81.54,-0.023633167
30/10/2013,83.49,-0.007992885
29/10/2013,84.16,-0.00142484
28/10/2013,84.28,0.018804075
25/10/2013,82.71,-0.029073893
24/10/2013,85.15,-0.013531059
23/10/2013,86.31,-0.049060471
22/10/2013,90.65,0.005974791
21/10/2013,90.11,0.025855757
18/10/2013,87.81,0.021758759
17/10/2013,85.92,-0.029811884
16/10/2013,88.52,0.011018456
15/10/2013,87.55,-0.029930227
14/10/2013,90.21,-0.003209565
11/10/2013,90.5,0.014244621
10/10/2013,89.22,0.014905425
09/10/2013,87.9,-0.010074226
08/10/2013,88.79,-0.035731914
07/10/2013,92.02,0.00522991
04/10/2013,91.54,0.034338615
03/10/2013,88.45,-0.016038027
02/10/2013,89.88,0.010176213
01/10/2013,88.97,0.036163684
30/09/2013,85.81,-0.011471072
27/09/2013,86.8,-0.014865911
26/09/2013,88.1,0.001249361
25/09/2013,87.99,0.010510779
24/09/2013,87.07,-0.023832267
23/09/2013,89.17,-0.048699376
20/09/2013,93.62,0.005569852
19/09/2013,93.1,0.001720061
18/09/2013,92.94,0.014195395
17/09/2013,91.63,0.008218774
16/09/2013,90.88,-0.012357312
13/09/2013,92.01,0.015111983
12/09/2013,90.63,-0.015220661
11/09/2013,92.02,0.022640818
10/09/2013,89.96,0.017040771
09/09/2013,88.44,0.0177965
06/09/2013,86.88,0.004152255
05/09/2013,86.52,0.0130295
04/09/2013,85.4,0.004459578
03/09/2013,85.02,0.01947805
30/08/2013,83.38,-0.008835878
29/08/2013,84.12,0.010756647
28/08/2013,83.22,0.004576667
27/08/2013,82.84,-0.035807026
26/08/2013,85.86,-0.014338821
23/08/2013,87.1,-0.006750984
22/08/2013,87.69,0.026695986
21/08/2013,85.38,-0.016609941
20/08/2013,86.81,0.012868997
19/08/2013,85.7,-0.020671676
16/08/2013,87.49,-0.019692805
15/08/2013,89.23,-0.035991339
14/08/2013,92.5,-0.005390849
13/08/2013,93,0.003231021
12/08/2013,92.7,0.030893025
09/08/2013,89.88,-0.003775685
08/08/2013,90.22,0.020605432
07/08/2013,88.38,-0.000904773
06/08/2013,88.46,-0.003047578
05/08/2013,88.73,0.00316063
02/08/2013,88.45,-0.006648286
01/08/2013,89.04,0.014024206
31/07/2013,87.8,-0.001024532
30/07/2013,87.89,0.012479411
29/07/2013,86.8,-0.00974499
26/07/2013,87.65,0.004115703
25/07/2013,87.29,0.069614966
24/07/2013,81.42,0.018719942
23/07/2013,79.91,-0.005366628
22/07/2013,80.34,0.000622549
19/07/2013,80.29,-0.017898398
18/07/2013,81.74,0.010329654
17/07/2013,80.9,0.005826583
16/07/2013,80.43,-0.012110875
15/07/2013,81.41,0.020099932
12/07/2013,79.79,0.047481333
11/07/2013,76.09,0.055945417
10/07/2013,71.95,0.036661101
09/07/2013,69.36,0.012184659
08/07/2013,68.52,-0.00973067
05/07/2013,69.19,-0.001877121
03/07/2013,69.32,0.005496904
02/07/2013,68.94,-0.009671674
01/07/2013,69.61,0.01170449
28/06/2013,68.8,-0.018005528
27/06/2013,70.05,0.021208326
26/06/2013,68.58,0.001167202
25/06/2013,68.5,0.007031966
24/06/2013,68.02,-0.041750702
21/06/2013,70.92,-0.019548235
20/06/2013,72.32,-0.029027043
19/06/2013,74.45,-0.021394743
18/06/2013,76.06,0.020320774
17/06/2013,74.53,0.00727178
14/06/2013,73.99,-0.013158085
13/06/2013,74.97,0.011672501
12/06/2013,74.1,-0.01659567
11/06/2013,75.34,-0.027879562
10/06/2013,77.47,-0.007715095
07/06/2013,78.07,-0.011841992
06/06/2013,79,0.027852664
05/06/2013,76.83,-0.006357465
04/06/2013,77.32,-0.023518466
03/06/2013,79.16,-0.049896412
31/05/2013,83.21,-0.010876818
30/05/2013,84.12,0.009915857
