Date,Close,ATI
04/04/2014,38.78,0.020844944
03/04/2014,37.98,0.002108593
02/04/2014,37.9,-0.000527565
01/04/2014,37.92,0.006349228
31/03/2014,37.68,0.005055219
28/03/2014,37.49,0.002403526
27/03/2014,37.4,0.003213715
26/03/2014,37.28,-0.011468321
25/03/2014,37.71,0.011468321
24/03/2014,37.28,-0.000268204
21/03/2014,37.29,0.029666075
20/03/2014,36.2,0.004429686
19/03/2014,36.04,-0.001109262
18/03/2014,36.08,0.027537565
17/03/2014,35.1,0.024222638
14/03/2014,34.26,0.031127458
13/03/2014,33.21,-0.019383341
12/03/2014,33.86,0.01218259
11/03/2014,33.45,0.002394494
10/03/2014,33.37,-0.017820489
07/03/2014,33.97,-0.009959075
06/03/2014,34.31,0.01320248
05/03/2014,33.86,0.038228884
04/03/2014,32.59,0.039429388
03/03/2014,31.33,-0.014261056
28/02/2014,31.78,-0.004395611
27/02/2014,31.92,0.017699577
26/02/2014,31.36,0.0102565
25/02/2014,31.04,-0.013122288
24/02/2014,31.45,-0.004758137
21/02/2014,31.6,0.003487085
20/02/2014,31.49,0.008290864
19/02/2014,31.23,-0.0051102
18/02/2014,31.39,-0.020183593
14/02/2014,32.03,0.021777727
13/02/2014,31.34,-0.012367369
12/02/2014,31.73,-0.003774776
11/02/2014,31.85,0.019018006
10/02/2014,31.25,0.002563282
07/02/2014,31.17,0.012266132
06/02/2014,30.79,0.01505264
05/02/2014,30.33,-0.001317957
04/02/2014,30.37,0.016935487
03/02/2014,29.86,-0.051561175
31/01/2014,31.44,-0.017967386
30/01/2014,32.01,0.003128914
29/01/2014,31.91,-0.01245734
28/01/2014,32.31,0.01245734
27/01/2014,31.91,-0.000626566
24/01/2014,31.93,-0.033567432
23/01/2014,33.02,0.031065085
22/01/2014,32.01,-0.065592324
21/01/2014,34.18,-0.060177064
17/01/2014,36.3,0.003311261
16/01/2014,36.18,0.000829531
15/01/2014,36.15,0.022378556
14/01/2014,35.35,0.009950331
13/01/2014,35,-0.007684683
10/01/2014,35.27,-0.006218222
09/01/2014,35.49,-0.00056338
08/01/2014,35.51,0.009905274
07/01/2014,35.16,-0.00142106
06/01/2014,35.21,-0.007357136
03/01/2014,35.47,0.005938092
02/01/2014,35.26,-0.010438803
31/12/2013,35.63,0.004500711
30/12/2013,35.47,-0.004781334
27/12/2013,35.64,0.017263765
26/12/2013,35.03,0.010618553
24/12/2013,34.66,0.017169053
23/12/2013,34.07,0.028883949
20/12/2013,33.1,-0.020335629
19/12/2013,33.78,0.025788536
18/12/2013,32.92,0.003956785
17/12/2013,32.79,-0.009107531
16/12/2013,33.09,0.009717659
13/12/2013,32.77,0.016615767
12/12/2013,32.23,0.009351689
11/12/2013,31.93,-0.03689321
10/12/2013,33.13,-0.020613127
09/12/2013,33.82,0.031538881
06/12/2013,32.77,-0.005477798
05/12/2013,32.95,0.015599032
04/12/2013,32.44,0.001542496
03/12/2013,32.39,-0.013492998
02/12/2013,32.83,-0.011809373
29/11/2013,33.22,0.002411092
27/11/2013,33.14,0.006053287
26/11/2013,32.94,-0.018349139
25/11/2013,33.55,-0.011262715
22/11/2013,33.93,0.006801741
21/11/2013,33.7,0.003865026
20/11/2013,33.57,-0.017715255
19/11/2013,34.17,0.006753806
18/11/2013,33.94,0.005613842
15/11/2013,33.75,0.006539857
14/11/2013,33.53,0.009288456
13/11/2013,33.22,0.003618822
12/11/2013,33.1,-0.021223334
11/11/2013,33.81,-0.000295727
08/11/2013,33.82,0.020613127
07/11/2013,33.13,-0.023860362
06/11/2013,33.93,0.00650505
05/11/2013,33.71,-0.000296604
04/11/2013,33.72,0.010733556
01/11/2013,33.36,0.007824295
31/10/2013,33.1,-0.005122808
30/10/2013,33.27,-0.006590797
29/10/2013,33.49,0.006891413
28/10/2013,33.26,-0.014624944
25/10/2013,33.75,0.005347606
24/10/2013,33.57,0.004478288
23/10/2013,33.42,0.019030932
22/10/2013,32.79,0.023138469
21/10/2013,32.04,0.016362857
18/10/2013,31.52,0.003814372
17/10/2013,31.4,-0.00063674
16/10/2013,31.42,-0.019228331
15/10/2013,32.03,0.038509134
14/10/2013,30.82,-0.003239394
11/10/2013,30.92,0.007792247
10/10/2013,30.68,0.02108115
09/10/2013,30.04,-0.000665557
08/10/2013,30.06,-0.015841915
07/10/2013,30.54,-0.010747539
04/10/2013,30.87,0.011075032
03/10/2013,30.53,-0.011398918
02/10/2013,30.88,-0.002910269
01/10/2013,30.97,0.014636788
30/09/2013,30.52,0.009216655
27/09/2013,30.24,-0.013467111
26/09/2013,30.65,-0.005531168
25/09/2013,30.82,0.000973868
24/09/2013,30.79,-0.007119771
23/09/2013,31.01,0.000645161
20/09/2013,30.99,-0.023282825
19/09/2013,31.72,-0.004717732
18/09/2013,31.87,0.031232621
17/09/2013,30.89,-0.001940492
16/09/2013,30.95,0.07791788
13/09/2013,28.63,0.004901971
12/09/2013,28.49,-0.024957968
11/09/2013,29.21,0.003085893
10/09/2013,29.12,0.026445522
09/09/2013,28.36,0.030066689
06/09/2013,27.52,-0.006880346
05/09/2013,27.71,0.028923854
04/09/2013,26.92,0.012710451
03/09/2013,26.58,-0.004878974
30/08/2013,26.71,-0.005227794
29/08/2013,26.85,0.001490869
28/08/2013,26.81,0.006736552
27/08/2013,26.63,-0.030692001
26/08/2013,27.46,-0.002545919
23/08/2013,27.53,0.006925488
22/08/2013,27.34,0.015481327
21/08/2013,26.92,-0.002967361
20/08/2013,27,0.012297528
19/08/2013,26.67,-0.01930992
16/08/2013,27.19,-0.015328767
15/08/2013,27.61,-0.022561387
14/08/2013,28.24,0.003192058
13/08/2013,28.15,-0.010952238
12/08/2013,28.46,-0.01845135
09/08/2013,28.99,0.037607665
08/08/2013,27.92,0.034988992
07/08/2013,26.96,0.000742115
06/08/2013,26.94,-0.026736623
05/08/2013,27.67,-0.00432745
02/08/2013,27.79,0.003966113
01/08/2013,27.68,0.003981906
31/07/2013,27.57,-0.014761744
30/07/2013,27.98,0.006094301
