Date,Close,WYNN
04/04/2014,213.64,-0.03982543
03/04/2014,222.32,-0.022856613
02/04/2014,227.46,0.001231744
01/04/2014,227.18,0.022389825
31/03/2014,222.15,0.021108003
28/03/2014,217.51,0.017390936
27/03/2014,213.76,-0.005179304
26/03/2014,214.87,-0.021319038
25/03/2014,219.5,-0.021587625
24/03/2014,224.29,-0.008479706
21/03/2014,226.2,-0.010510442
20/03/2014,228.59,-0.001835665
19/03/2014,229.01,-0.022922032
18/03/2014,234.32,0.004448254
17/03/2014,233.28,0.015683038
14/03/2014,229.65,-0.011171849
13/03/2014,232.23,-0.030992158
12/03/2014,239.54,-0.002460026
11/03/2014,240.13,-0.001830664
10/03/2014,240.57,-0.02495922
07/03/2014,246.65,-0.0047727
06/03/2014,247.83,0.000282492
05/03/2014,247.76,-0.000766577
04/03/2014,247.95,0.020659619
03/03/2014,242.88,0.001607022
28/02/2014,242.49,0.002188049
27/02/2014,241.96,0.021176525
26/02/2014,236.89,0.00737229
25/02/2014,235.15,-0.001869398
24/02/2014,235.59,0.031213466
21/02/2014,228.35,0.021468126
20/02/2014,223.5,0.011610769
19/02/2014,220.92,-0.014291736
18/02/2014,224.1,0.007884639
14/02/2014,222.34,0.004778874
13/02/2014,221.28,0.000723327
12/02/2014,221.12,-0.014234317
11/02/2014,224.29,0.008597196
10/02/2014,222.37,0.00189053
07/02/2014,221.95,0.023938223
06/02/2014,216.7,0.033551534
05/02/2014,209.55,-0.018908623
04/02/2014,213.55,0.019290466
03/02/2014,209.47,-0.037250436
31/01/2014,217.42,0.075991959
30/01/2014,201.51,0.038651177
29/01/2014,193.87,-0.016777029
28/01/2014,197.15,0.027355297
27/01/2014,191.83,-0.006805751
24/01/2014,193.14,-0.060862154
23/01/2014,205.26,-0.017051494
22/01/2014,208.79,-0.016530087
21/01/2014,212.27,-0.016029504
17/01/2014,215.7,0.026352543
16/01/2014,210.09,-4.75975E-05
15/01/2014,210.1,0.011970457
14/01/2014,207.6,0.020094577
13/01/2014,203.47,-0.016523662
10/01/2014,206.86,0.010154838
09/01/2014,204.77,-0.002536216
08/01/2014,205.29,0.018584606
07/01/2014,201.51,0.02843889
06/01/2014,195.86,-0.000714541
03/01/2014,196,-0.009849295
02/01/2014,197.94,0.019023907
31/12/2013,194.21,0.004748396
30/12/2013,193.29,0.010610179
27/12/2013,191.25,0.001098643
26/12/2013,191.04,0.009413938
24/12/2013,189.25,0.021902585
23/12/2013,185.15,-0.001079622
20/12/2013,185.35,0.001295687
19/12/2013,185.11,-0.008392109
18/12/2013,186.67,0.022701774
17/12/2013,182.48,-0.001861484
16/12/2013,182.82,0.005814927
13/12/2013,181.76,0.012567639
12/12/2013,179.49,-0.006718702
11/12/2013,180.7,-0.00248722
10/12/2013,181.15,0.014568763
09/12/2013,178.53,0.030540632
06/12/2013,173.16,0.010157675
05/12/2013,171.41,0.02140475
04/12/2013,167.78,0.027003362
03/12/2013,163.31,-0.008718238
02/12/2013,164.74,-0.006835876
29/11/2013,165.87,0.001870682
27/11/2013,165.56,0.009467239
26/11/2013,164,0.002014222
25/11/2013,163.67,0.007481943
22/11/2013,162.45,-0.006626198
21/11/2013,163.53,0.031936114
20/11/2013,158.39,-0.005100927
19/11/2013,159.2,-0.027202024
18/11/2013,163.59,-0.016971133
15/11/2013,166.39,-0.012660665
14/11/2013,168.51,-0.010037874
13/11/2013,170.21,0.016766292
12/11/2013,167.38,0.014139401
11/11/2013,165.03,0.008030706
08/11/2013,163.71,0.025989954
07/11/2013,159.51,-0.030074205
06/11/2013,164.38,-0.00497604
05/11/2013,165.2,-0.007778386
04/11/2013,166.49,-0.007241421
01/11/2013,167.7,0.008683989
31/10/2013,166.25,-0.019655189
30/10/2013,169.55,0.004433286
29/10/2013,168.8,0.00237248
28/10/2013,168.4,0.001307267
25/10/2013,168.18,-0.027389332
24/10/2013,172.85,0.037669126
23/10/2013,166.46,-0.020984571
22/10/2013,169.99,-0.018303146
21/10/2013,173.13,0.007013505
18/10/2013,171.92,0.014412342
17/10/2013,169.46,0.005206496
16/10/2013,168.58,0.008219714
15/10/2013,167.2,0.000299088
14/10/2013,167.15,0.003235861
11/10/2013,166.61,0.025901253
10/10/2013,162.35,0.028869788
09/10/2013,157.73,0.003302219
08/10/2013,157.21,-0.011573252
07/10/2013,159.04,-0.00714244
04/10/2013,160.18,-0.002992148
03/10/2013,160.66,-0.004285588
02/10/2013,161.35,0.007964699
01/10/2013,160.07,0.012952897
30/09/2013,158.01,6.32891E-05
27/09/2013,158,-0.01095246
26/09/2013,159.74,0.013423866
25/09/2013,157.61,0.009498685
24/09/2013,156.12,0.007006296
23/09/2013,155.03,-0.001224819
20/09/2013,155.22,0.004261095
19/09/2013,154.56,0.00994839
18/09/2013,153.03,0.014944812
17/09/2013,150.76,0.005187217
16/09/2013,149.98,-0.002463958
13/09/2013,150.35,0.004666675
12/09/2013,149.65,-0.008119305
11/09/2013,150.87,0.01086279
10/09/2013,149.24,0.026411121
09/09/2013,145.35,0.013297516
06/09/2013,143.43,0.005172666
05/09/2013,142.69,0.009223144
04/09/2013,141.38,-0.002119693
03/09/2013,141.68,0.004527455
30/08/2013,141.04,-0.005867607
29/08/2013,141.87,0.007783792
28/08/2013,140.77,0.011143768
27/08/2013,139.21,-0.026441377
26/08/2013,142.94,0.007090983
23/08/2013,141.93,0.004731814
22/08/2013,141.26,0.015840502
21/08/2013,139.04,-0.00616622
20/08/2013,139.9,0.005159822
19/08/2013,139.18,0.004392446
16/08/2013,138.57,-0.003673694
15/08/2013,139.08,-0.007806665
14/08/2013,140.17,0.003931525
13/08/2013,139.62,0.008559664
12/08/2013,138.43,0.002169512
09/08/2013,138.13,-0.009510843
08/08/2013,139.45,0.003160241
07/08/2013,139.01,-0.001222186
06/08/2013,139.18,-0.012282359
05/08/2013,140.9,0.007479999
02/08/2013,139.85,0.017382961
01/08/2013,137.44,0.031861364
31/07/2013,133.13,0.000450789
30/07/2013,133.07,0.013619035
29/07/2013,131.27,0.002211631
26/07/2013,130.98,0.006280177
25/07/2013,130.16,-0.007424735
24/07/2013,131.13,-0.002969734
23/07/2013,131.52,-0.014043266
22/07/2013,133.38,0.002176606
19/07/2013,133.09,-7.51343E-05
18/07/2013,133.1,0.012017831
17/07/2013,131.51,-0.00727331
16/07/2013,132.47,0.003630043
15/07/2013,131.99,0.00920964
12/07/2013,130.78,-0.006478434
11/07/2013,131.63,0.033684142
10/07/2013,127.27,0.005357296
09/07/2013,126.59,-0.003076076
08/07/2013,126.98,-0.000787216
05/07/2013,127.08,0.007424408
03/07/2013,126.14,-0.000317058
02/07/2013,126.18,-0.017908113
01/07/2013,128.46,0.00382171
28/06/2013,127.97,-0.00491095
27/06/2013,128.6,0.01071034
26/06/2013,127.23,0.012894218
25/06/2013,125.6,0.011853414
24/06/2013,124.12,-0.043898148
21/06/2013,129.69,-0.018941985
20/06/2013,132.17,-0.042149705
19/06/2013,137.86,-0.010391203
18/06/2013,139.3,0.006554095
17/06/2013,138.39,0.023764508
14/06/2013,135.14,-0.010159846
13/06/2013,136.52,0.019452557
12/06/2013,133.89,-0.006625252
11/06/2013,134.78,-0.030542302
10/06/2013,138.96,0.010562205
07/06/2013,137.5,0.018793682
06/06/2013,134.94,0.008633576
05/06/2013,133.78,-0.0226157
04/06/2013,136.84,-0.0091657
03/06/2013,138.1,0.016132325
31/05/2013,135.89,-0.016277138
30/05/2013,138.12,-0.002603038
29/05/2013,138.48,-0.015050811
28/05/2013,140.58,0.019247937
24/05/2013,137.9,-0.003980465
23/05/2013,138.45,-0.022779378
22/05/2013,141.64,-0.005562024
21/05/2013,142.43,-0.004762914
20/05/2013,143.11,0.014924599
17/05/2013,140.99,0.011628453
16/05/2013,139.36,-0.002866153
15/05/2013,139.76,-0.016885822
14/05/2013,142.14,0.012601937
13/05/2013,140.36,0.009017452
10/05/2013,139.1,-0.003229861
09/05/2013,139.55,0.005100769
08/05/2013,138.84,0
07/05/2013,138.84,0.00115307
06/05/2013,138.68,-0.000864927
03/05/2013,138.8,0.015830699
02/05/2013,136.62,0.002932123
01/05/2013,136.22,-0.007897087
30/04/2013,137.3,0.010985098
29/04/2013,135.8,0.002211575
26/04/2013,135.5,0.004363751
25/04/2013,134.91,0.025601038
24/04/2013,131.5,0.016330336
23/04/2013,129.37,0.007526125
22/04/2013,128.4,0.006563549
19/04/2013,127.56,0.028789265
18/04/2013,123.94,-0.003141743
17/04/2013,124.33,-0.021562677
16/04/2013,127.04,0.023172594
15/04/2013,124.13,-0.034910736
12/04/2013,128.54,0.010794004
11/04/2013,127.16,0.00631116
10/04/2013,126.36,0.022650934
09/04/2013,123.53,0.006904702
08/04/2013,122.68,0.038555789
05/04/2013,118.04,-0.006417857
04/04/2013,118.8,-0.013378126
03/04/2013,120.4,-0.023476413
02/04/2013,123.26,0.000568067
01/04/2013,123.19,-0.01586504
28/03/2013,125.16,0.008263515
27/03/2013,124.13,-0.003297546
26/03/2013,124.54,0.023561087
25/03/2013,121.64,-0.003610705
22/03/2013,122.08,0.008142497
21/03/2013,121.09,-0.010106491
20/03/2013,122.32,0.019732322
19/03/2013,119.93,-0.00149975
18/03/2013,120.11,0.001166278
15/03/2013,119.97,0.001334557
14/03/2013,119.81,0.009897749
13/03/2013,118.63,0.005494287
12/03/2013,117.98,-0.001439885
11/03/2013,118.15,0.006794081
08/03/2013,117.35,0.001193725
