Date,Close,PLD
04/04/2014,41.04,0.003906255
03/04/2014,40.88,0.001713796
02/04/2014,40.81,-0.001713796
01/04/2014,40.88,0.001223841
31/03/2014,40.83,0.007127964
28/03/2014,40.54,0.010414178
27/03/2014,40.12,0.005248044
26/03/2014,39.91,-0.01393404
25/03/2014,40.47,0.008935279
24/03/2014,40.11,-0.011896051
21/03/2014,40.59,0.008411727
20/03/2014,40.25,0.005730675
19/03/2014,40.02,-0.020282664
18/03/2014,40.84,0.008360019
17/03/2014,40.5,0.007683766
14/03/2014,40.19,-0.004220987
13/03/2014,40.36,-0.006667515
12/03/2014,40.63,0.004440066
11/03/2014,40.45,0.00321902
10/03/2014,40.32,-0.013548674
07/03/2014,40.87,-0.010950347
06/03/2014,41.32,-0.010592299
05/03/2014,41.76,-0.005016134
04/03/2014,41.97,0.025091787
03/03/2014,40.93,-0.006332218
28/02/2014,41.19,0.007065445
27/02/2014,40.9,-0.00292969
26/02/2014,41.02,0.002685221
25/02/2014,40.91,0.00539217
24/02/2014,40.69,0.00196802
21/02/2014,40.61,0.005432112
20/02/2014,40.39,-0.008137143
19/02/2014,40.72,-0.001962709
18/02/2014,40.8,0.003191361
14/02/2014,40.67,-0.003926385
13/02/2014,40.83,0.002943343
12/02/2014,40.71,0.002213206
11/02/2014,40.62,0.006917024
10/02/2014,40.34,0.010215611
07/02/2014,39.93,0.008803981
06/02/2014,39.58,0.011690095
05/02/2014,39.12,0.009503089
04/02/2014,38.75,0.015080889
03/02/2014,38.17,-0.01533892
31/01/2014,38.76,-0.001289158
30/01/2014,38.81,0.047489799
29/01/2014,37.01,-0.005926741
28/01/2014,37.23,0.019528692
27/01/2014,36.51,-0.006279884
24/01/2014,36.74,-0.018339241
23/01/2014,37.42,-0.008780155
22/01/2014,37.75,0.010920338
21/01/2014,37.34,0.009687912
17/01/2014,36.98,-0.008347968
16/01/2014,37.29,-0.00588237
15/01/2014,37.51,0.007761313
14/01/2014,37.22,0.012708026
13/01/2014,36.75,-0.022865825
10/01/2014,37.6,0.010695289
09/01/2014,37.2,-0.012820688
08/01/2014,37.68,-0.001326084
07/01/2014,37.73,0.00878483
06/01/2014,37.4,0.004287252
03/01/2014,37.24,0.008900935
02/01/2014,36.91,-0.00108313
31/12/2013,36.95,-0.006474261
30/12/2013,37.19,0
27/12/2013,37.19,0.00161464
26/12/2013,37.13,0.004318495
24/12/2013,36.97,-0.000540833
23/12/2013,36.99,0.004334875
20/12/2013,36.83,0.002718871
19/12/2013,36.73,-0.011639054
18/12/2013,37.16,0.022589068
17/12/2013,36.33,0.005243561
16/12/2013,36.14,-0.004141936
13/12/2013,36.29,-0.007686011
12/12/2013,36.57,0.002189982
11/12/2013,36.49,-0.034476886
10/12/2013,37.77,-0.004227219
09/12/2013,37.93,0.002375612
06/12/2013,37.84,0.016520493
05/12/2013,37.22,-0.001878943
04/12/2013,37.29,-0.004281516
03/12/2013,37.45,-0.00399734
02/12/2013,37.6,-0.008738305
29/11/2013,37.93,-0.014656112
27/11/2013,38.49,0.011234605
26/11/2013,38.06,-0.007851388
25/11/2013,38.36,-0.002083334
22/11/2013,38.44,-0.002079003
21/11/2013,38.52,0.011225806
20/11/2013,38.09,-0.013818497
19/11/2013,38.62,-0.00773798
18/11/2013,38.92,-0.006658155
15/11/2013,39.18,0.00486121
14/11/2013,38.99,0.005400553
13/11/2013,38.78,0.005429878
12/11/2013,38.57,-0.011599563
11/11/2013,39.02,0.001795563
08/11/2013,38.95,-0.007417862
07/11/2013,39.24,-0.016429031
06/11/2013,39.89,-0.000501253
05/11/2013,39.91,-0.024014027
04/11/2013,40.88,0.007612069
01/11/2013,40.57,0.015400205
31/10/2013,39.95,-0.002250282
30/10/2013,40.04,-0.00994044
29/10/2013,40.44,-0.003702337
28/10/2013,40.59,-0.00809721
25/10/2013,40.92,0.012294229
24/10/2013,40.42,0.007200528
23/10/2013,40.13,-0.013612387
22/10/2013,40.68,0.019360247
21/10/2013,39.9,0.002007025
18/10/2013,39.82,-0.005509656
17/10/2013,40.04,0.001499625
16/10/2013,39.98,0.024561306
15/10/2013,39.01,0.001025904
14/10/2013,38.97,-0.003330348
11/10/2013,39.1,0.01338846
10/10/2013,38.58,0.030795959
09/10/2013,37.41,-0.002669516
08/10/2013,37.51,-0.006112976
07/10/2013,37.74,-0.009493742
04/10/2013,38.1,-0.003144657
03/10/2013,38.22,-0.013771817
02/10/2013,38.75,0.012464456
01/10/2013,38.27,0.017130476
30/09/2013,37.62,-0.017914072
27/09/2013,38.3,-0.005208345
26/09/2013,38.5,0.013335274
25/09/2013,37.99,0.003691987
24/09/2013,37.85,-0.007894778
23/09/2013,38.15,0.001573977
20/09/2013,38.09,-0.020785368
19/09/2013,38.89,-0.006918669
18/09/2013,39.16,0.041982439
17/09/2013,37.55,0.006144002
16/09/2013,37.32,0.009422603
13/09/2013,36.97,-0.002431448
12/09/2013,37.06,-0.009934301
11/09/2013,37.43,0.003747328
10/09/2013,37.29,-0.008012863
09/09/2013,37.59,0.028056871
06/09/2013,36.55,0.024090878
05/09/2013,35.68,0.002525608
04/09/2013,35.59,0.008181736
03/09/2013,35.3,0.001701163
30/08/2013,35.24,-0.008477022
29/08/2013,35.54,-0.00337079
28/08/2013,35.66,-0.004476784
27/08/2013,35.82,-0.001952309
26/08/2013,35.89,-0.00527999
23/08/2013,36.08,0.018462063
22/08/2013,35.42,-0.000282287
21/08/2013,35.43,0.003392709
20/08/2013,35.31,0.015123701
19/08/2013,34.78,-0.008588659
16/08/2013,35.08,-0.030322368
15/08/2013,36.16,-0.022153237
14/08/2013,36.97,-0.004587783
13/08/2013,37.14,-0.014434894
12/08/2013,37.68,-0.016581509
09/08/2013,38.31,0.014195822
08/08/2013,37.77,-0.008699145
07/08/2013,38.1,-0.006800968
06/08/2013,38.36,0.004441549
05/08/2013,38.19,0.001047944
02/08/2013,38.15,-0.005489492
01/08/2013,38.36,0
31/07/2013,38.36,-0.013979001
30/07/2013,38.9,-0.005639595
29/07/2013,39.12,-0.013457103
26/07/2013,39.65,0.003537144
25/07/2013,39.51,-0.00881951
24/07/2013,39.86,-0.01023346
23/07/2013,40.27,-0.004212619
22/07/2013,40.44,0.001980199
19/07/2013,40.36,-0.001980199
18/07/2013,40.44,0.011690221
17/07/2013,39.97,0.016904654
16/07/2013,39.3,0.00076365
15/07/2013,39.27,0.00792539
12/07/2013,38.96,-0.007161156
11/07/2013,39.24,0.025291671
10/07/2013,38.26,-0.001566989
09/07/2013,38.32,0.019233896
08/07/2013,37.59,0.002397125
05/07/2013,37.5,0.001067236
03/07/2013,37.46,-0.01404927
02/07/2013,37.99,0.011117108
01/07/2013,37.57,-0.003984598
