Date,Close,ZTS
04/04/2014,29.32,-0.010179932
03/04/2014,29.62,0
02/04/2014,29.62,0.009157263
01/04/2014,29.35,0.014067825
31/03/2014,28.94,-0.002415877
28/03/2014,29.01,-0.009946918
27/03/2014,29.3,0.0030764
26/03/2014,29.21,-0.001710279
25/03/2014,29.26,0.004109595
24/03/2014,29.14,-0.004109595
21/03/2014,29.26,-0.027971495
20/03/2014,30.09,0.006000018
19/03/2014,29.91,0.021288184
18/03/2014,29.28,-0.003409482
17/03/2014,29.38,-0.001360544
14/03/2014,29.42,0.005795141
13/03/2014,29.25,-0.015267472
12/03/2014,29.7,-0.019340383
11/03/2014,30.28,-0.002309089
10/03/2014,30.35,-0.007549683
07/03/2014,30.58,-0.006518928
06/03/2014,30.78,0.00195122
05/03/2014,30.72,-0.005518599
04/03/2014,30.89,-0.003232065
03/03/2014,30.99,-0.000967586
28/02/2014,31.02,0.009718249
27/02/2014,30.72,0.0104713
26/02/2014,30.4,0.008921255
25/02/2014,30.13,0.014374307
24/02/2014,29.7,0.003034904
21/02/2014,29.61,-0.012084739
20/02/2014,29.97,0.007367749
19/02/2014,29.75,-0.017327991
18/02/2014,30.27,0.012967763
14/02/2014,29.88,0.007052926
13/02/2014,29.67,-0.011060947
12/02/2014,30,0.029428811
11/02/2014,29.13,-0.066724595
10/02/2014,31.14,0.014230512
07/02/2014,30.7,0.021399994
06/02/2014,30.05,-0.002658692
05/02/2014,30.13,-0.003313456
04/02/2014,30.23,-0.00462047
03/02/2014,30.37,0.000329327
31/01/2014,30.36,-0.010159026
30/01/2014,30.67,-0.00358015
29/01/2014,30.78,-0.021215839
28/01/2014,31.44,0.002547772
27/01/2014,31.36,-0.003183702
24/01/2014,31.46,-0.008860817
23/01/2014,31.74,0.008860817
22/01/2014,31.46,0.006057726
21/01/2014,31.27,-0.014603434
17/01/2014,31.73,-0.008473297
16/01/2014,32,0.005955197
15/01/2014,31.81,-0.001256676
14/01/2014,31.85,0.002200221
13/01/2014,31.78,-0.023632941
10/01/2014,32.54,0.017984981
09/01/2014,31.96,0.006907406
08/01/2014,31.74,-0.011278315
07/01/2014,32.1,0.003745323
06/01/2014,31.98,-0.002186476
03/01/2014,32.05,-0.009625909
02/01/2014,32.36,-0.010146129
31/12/2013,32.69,0.000611995
30/12/2013,32.67,0
27/12/2013,32.67,0.002451733
26/12/2013,32.59,0.006773425
24/12/2013,32.37,0
23/12/2013,32.37,-0.00030888
20/12/2013,32.38,0.002164168
19/12/2013,32.31,0.004342439
18/12/2013,32.17,0.016612198
17/12/2013,31.64,-0.01131376
16/12/2013,32,0.013211894
13/12/2013,31.58,0.013067915
12/12/2013,31.17,0.00256987
11/12/2013,31.09,-0.008646971
10/12/2013,31.36,-0.01235953
09/12/2013,31.75,0.006636144
06/12/2013,31.54,0.003175614
05/12/2013,31.44,0.007342411
04/12/2013,31.21,0.003852332
03/12/2013,31.09,-0.001928021
02/12/2013,31.15,0
29/11/2013,31.15,-0.00416467
27/11/2013,31.28,-0.004465717
26/11/2013,31.42,0.004146075
25/11/2013,31.29,-0.002234638
22/11/2013,31.36,-0.006990813
21/11/2013,31.58,0.006671987
20/11/2013,31.37,-0.001592611
19/11/2013,31.42,-0.006345199
18/11/2013,31.62,-0.005990874
15/11/2013,31.81,0.004095139
14/11/2013,31.68,-0.00126183
13/11/2013,31.72,-0.003775964
12/11/2013,31.84,0.002200913
11/11/2013,31.77,0.005681833
08/11/2013,31.59,0.017563919
07/11/2013,31.04,-0.007382476
06/11/2013,31.27,-0.013342002
05/11/2013,31.69,-0.007544833
04/11/2013,31.93,0.002822646
01/11/2013,31.84,0.005669307
31/10/2013,31.66,-0.012555093
30/10/2013,32.06,0.000936184
29/10/2013,32.03,0.001562256
28/10/2013,31.98,-0.015205879
25/10/2013,32.47,-0.008280986
24/10/2013,32.74,0.004285284
23/10/2013,32.6,0.002764554
22/10/2013,32.51,-0.007965728
21/10/2013,32.77,-0.013638641
18/10/2013,33.22,0.005735865
17/10/2013,33.03,0.004247579
16/10/2013,32.89,0.025247646
15/10/2013,32.07,-0.006836571
14/10/2013,32.29,-0.003400838
11/10/2013,32.4,0.001235331
10/10/2013,32.36,0.029160241
09/10/2013,31.43,-0.003176623
08/10/2013,31.53,-0.012606533
07/10/2013,31.93,-0.003751177
04/10/2013,32.05,0.01794476
03/10/2013,31.48,-0.016383479
02/10/2013,32,0.006898742
01/10/2013,31.78,0.020986462
30/09/2013,31.12,-0.000963546
27/09/2013,31.15,-0.013709764
26/09/2013,31.58,0.016603191
25/09/2013,31.06,-0.013431606
24/09/2013,31.48,-0.003171585
23/09/2013,31.58,-0.019131836
20/09/2013,32.19,-0.009891889
19/09/2013,32.51,-0.006438777
18/09/2013,32.72,0.010445563
17/09/2013,32.38,0.016503566
16/09/2013,31.85,0.025438574
13/09/2013,31.05,-0.000965717
12/09/2013,31.08,-0.008011579
11/09/2013,31.33,0.012203106
10/09/2013,30.95,0.011699841
09/09/2013,30.59,-0.000653595
06/09/2013,30.61,0.009189431
05/09/2013,30.33,0.021327033
04/09/2013,29.69,0.008795727
03/09/2013,29.43,0.009559649
30/08/2013,29.15,-0.010917884
29/08/2013,29.47,-0.003387537
28/08/2013,29.57,0.012591625
27/08/2013,29.2,-0.020339684
26/08/2013,29.8,-0.013333531
23/08/2013,30.2,0.010987292
22/08/2013,29.87,0.000669792
21/08/2013,29.85,-0.012649969
20/08/2013,30.23,0.011980177
19/08/2013,29.87,-0.004342749
16/08/2013,30,-0.000666445
15/08/2013,30.02,-0.003989367
14/08/2013,30.14,-0.010232801
13/08/2013,30.45,0.003948672
12/08/2013,30.33,-0.018942434
09/08/2013,30.91,-0.010619569
08/08/2013,31.24,0
07/08/2013,31.24,0.003527341
06/08/2013,31.13,-0.003847392
05/08/2013,31.25,0.009969531
02/08/2013,30.94,0.025533302
01/08/2013,30.16,0.011672635
31/07/2013,29.81,-0.007685919
30/07/2013,30.04,-0.001663064
29/07/2013,30.09,-0.011236073
26/07/2013,30.43,-0.002953243
25/07/2013,30.52,0.020523726
24/07/2013,29.9,-0.005336904
23/07/2013,30.06,-0.006961739
22/07/2013,30.27,0.000991572
19/07/2013,30.24,-0.018998279
18/07/2013,30.82,-0.005500742
17/07/2013,30.99,-0.005470649
16/07/2013,31.16,-0.013388788
15/07/2013,31.58,0.007309742
12/07/2013,31.35,0.013811043
11/07/2013,30.92,-0.003873472
10/07/2013,31.04,0.00193486
09/07/2013,30.98,0.00129199
08/07/2013,30.94,0.025201792
05/07/2013,30.17,0.029943364
03/07/2013,29.28,-0.014242357
02/07/2013,29.7,-0.030179707
01/07/2013,30.61,-0.009105754
28/06/2013,30.89,0.000647668
27/06/2013,30.87,-0.003234155
26/06/2013,30.97,-0.016651041
25/06/2013,31.49,0.035885538
24/06/2013,30.38,-0.007215512
21/06/2013,30.6,0.013489265
20/06/2013,30.19,-0.026476461
19/06/2013,31,-0.005789659
18/06/2013,31.18,0.007080815
17/06/2013,30.96,0.005181359
14/06/2013,30.8,-0.011941404
13/06/2013,31.17,-0.01148338
12/06/2013,31.53,-0.005377207
11/06/2013,31.7,-0.009731673
10/06/2013,32.01,0.016060808
07/06/2013,31.5,-0.018245237
06/06/2013,32.08,-0.002801558
05/06/2013,32.17,-0.007124082
04/06/2013,32.4,-0.010744539
03/06/2013,32.75,0.023167059
31/05/2013,32,-0.007472015
30/05/2013,32.24,-0.021783343
29/05/2013,32.95,-0.038987232
28/05/2013,34.26,0.023627797
24/05/2013,33.46,0.018703411
23/05/2013,32.84,-0.021389579
22/05/2013,33.55,0.015317915
21/05/2013,33.04,-0.020075581
20/05/2013,33.71,-0.005620485
17/05/2013,33.9,0.01515856
16/05/2013,33.39,0.018132863
15/05/2013,32.79,-0.008805279
14/05/2013,33.08,0.001209922
13/05/2013,33.04,-0.004228336
10/05/2013,33.18,-0.011089579
09/05/2013,33.55,0.00868139
08/05/2013,33.26,0.011490904
07/05/2013,32.88,-0.001823155
06/05/2013,32.94,-0.008163311
03/05/2013,33.21,-0.002105581
02/05/2013,33.28,-0.003299838
01/05/2013,33.39,0.011143015
30/04/2013,33.02,0.010962351
29/04/2013,32.66,0.000612557
26/04/2013,32.64,0.033964941
25/04/2013,31.55,0.029920199
24/04/2013,30.62,-0.034663291
23/04/2013,31.7,-0.029834407
22/04/2013,32.66,-0.001529754
19/04/2013,32.71,0.007364255
18/04/2013,32.47,-0.012852074
17/04/2013,32.89,-0.009682375
16/04/2013,33.21,0.029643118
15/04/2013,32.24,-0.030245165
12/04/2013,33.23,0.002108752
11/04/2013,33.16,0.000301614
10/04/2013,33.15,-0.008710072
09/04/2013,33.44,0.015672412
08/04/2013,32.92,0.029595255
05/04/2013,31.96,0.00376176
04/04/2013,31.84,-0.02143938
03/04/2013,32.53,-0.000614628
02/04/2013,32.55,-0.001228124
01/04/2013,32.59,-0.024550407
28/03/2013,33.4,0.019958328
27/03/2013,32.74,0.007049838
26/03/2013,32.51,0.001539172
25/03/2013,32.46,-0.020128767
22/03/2013,33.12,-0.010512186
21/03/2013,33.47,-0.001194387
20/03/2013,33.51,0.021415386
19/03/2013,32.8,-0.001218769
18/03/2013,32.84,-0.018105504
15/03/2013,33.44,-0.035256295
14/03/2013,34.64,0.018648559
13/03/2013,34,0.005308181
12/03/2013,33.82,-0.010588334
11/03/2013,34.18,0.002636592
08/03/2013,34.09,-0.013692858
07/03/2013,34.56,0.020757945
06/03/2013,33.85,-0.012914767
05/03/2013,34.29,-0.001748252
04/03/2013,34.35,-0.007251663
01/03/2013,34.6,0.033801895
28/02/2013,33.45,0.034365553
27/02/2013,32.32,0.008701111
26/02/2013,32.04,-0.000935892
25/02/2013,32.07,-0.016084479
22/02/2013,32.59,0.000920952
21/02/2013,32.56,-0.004901971
20/02/2013,32.72,-0.033657023
19/02/2013,33.84,-0.004128582
15/02/2013,33.98,0.021116026
14/02/2013,33.27,-0.008380773
13/02/2013,33.55,-0.005647214
12/02/2013,33.74,0.014328603
11/02/2013,33.26,0.006333907
08/02/2013,33.05,0.032285663
07/02/2013,32,0.030781424
06/02/2013,31.03,-0.000322217
05/02/2013,31.04,0.000644538
04/02/2013,31.02,0.000322425
01/02/2013,31.01,
