Date,Close,CNX
04/04/2014,40.3,0.001489943
03/04/2014,40.24,-0.000993542
02/04/2014,40.28,0.020821021
01/04/2014,39.45,-0.012594625
31/03/2014,39.95,0.005018831
28/03/2014,39.75,-0.034614086
27/03/2014,41.15,0.009032162
26/03/2014,40.78,-0.006842646
25/03/2014,41.06,0.012991971
24/03/2014,40.53,-0.004185652
21/03/2014,40.7,0.011863708
20/03/2014,40.22,0.004735211
19/03/2014,40.03,-0.004237823
18/03/2014,40.2,0.011257155
17/03/2014,39.75,0.029616666
14/03/2014,38.59,0.000777706
13/03/2014,38.56,-0.012371292
12/03/2014,39.04,-0.001279918
11/03/2014,39.09,-0.009420821
10/03/2014,39.46,-0.01184042
07/03/2014,39.93,-0.017624882
06/03/2014,40.64,0.020634666
05/03/2014,39.81,-0.01743072
04/03/2014,40.51,0.014420936
03/03/2014,39.93,-0.004248413
28/02/2014,40.1,-0.000249345
27/02/2014,40.11,0.030888532
26/02/2014,38.89,-0.017334107
25/02/2014,39.57,-0.018280214
24/02/2014,40.3,0.015252202
21/02/2014,39.69,-0.005778185
20/02/2014,39.92,0.003261827
19/02/2014,39.79,0.017493157
18/02/2014,39.1,0.017284062
14/02/2014,38.43,0.017058543
13/02/2014,37.78,-0.00237938
12/02/2014,37.87,-0.006579837
11/02/2014,38.12,0.024161536
10/02/2014,37.21,0.019265282
07/02/2014,36.5,-0.016574214
06/02/2014,37.11,0.011927493
05/02/2014,36.67,-0.029026494
04/02/2014,37.75,0.023316077
03/02/2014,36.88,-0.012663513
31/01/2014,37.35,-0.014618201
30/01/2014,37.9,0.009277734
29/01/2014,37.55,-0.002925145
28/01/2014,37.66,0.010946578
27/01/2014,37.25,-0.005888668
24/01/2014,37.47,-0.014045547
23/01/2014,38,-0.023150988
22/01/2014,38.89,0.01842533
21/01/2014,38.18,-0.000785443
17/01/2014,38.21,-0.002091504
16/01/2014,38.29,-0.002608244
15/01/2014,38.39,0.049115823
14/01/2014,36.55,0.003837724
13/01/2014,36.41,-0.006024115
10/01/2014,36.63,0.010152371
09/01/2014,36.26,-0.017496346
08/01/2014,36.9,-0.014260971
07/01/2014,37.43,-0.014850445
06/01/2014,37.99,0.004749349
03/01/2014,37.81,0.003444168
02/01/2014,37.68,-0.009508788
31/12/2013,38.04,0.007387896
30/12/2013,37.76,-0.016546668
27/12/2013,38.39,0.014166029
26/12/2013,37.85,-0.000264166
24/12/2013,37.86,0.009287582
23/12/2013,37.51,-0.00875918
20/12/2013,37.84,-0.014690715
19/12/2013,38.4,0.022117805
18/12/2013,37.56,0.003467132
17/12/2013,37.43,0.004015532
16/12/2013,37.28,0.002686008
13/12/2013,37.18,0.009186771
12/12/2013,36.84,-0.003522562
11/12/2013,36.97,-0.025635583
