Date,Close,AMAT
04/04/2014,20.25,-0.028719423
03/04/2014,20.84,0.002402115
02/04/2014,20.79,0.008210623
01/04/2014,20.62,0.009746666
31/03/2014,20.42,0.011822798
28/03/2014,20.18,0.024581122
27/03/2014,19.69,-0.008596766
26/03/2014,19.86,-0.024864533
25/03/2014,20.36,0.012852377
24/03/2014,20.1,-0.003476537
21/03/2014,20.17,-0.00099108
20/03/2014,20.19,0.036312613
19/03/2014,19.47,0.005149342
18/03/2014,19.37,0.020339684
17/03/2014,18.98,0.013793322
14/03/2014,18.72,-0.00851069
13/03/2014,18.88,-0.032823994
12/03/2014,19.51,0.019669371
11/03/2014,19.13,-0.012983823
10/03/2014,19.38,-0.013326696
07/03/2014,19.64,0.013326696
06/03/2014,19.38,0.010895049
05/03/2014,19.17,0.017364288
04/03/2014,18.84,0.006924129
03/03/2014,18.71,-0.013273357
28/02/2014,18.96,-0.00263366
27/02/2014,19.01,-0.004723179
26/02/2014,19.1,0.004197278
25/02/2014,19.02,-0.002625362
24/02/2014,19.07,-0.001571915
21/02/2014,19.1,0.00577581
20/02/2014,18.99,0.012718772
19/02/2014,18.75,-0.005319161
18/02/2014,18.85,-0.005818583
14/02/2014,18.96,0.004758137
13/02/2014,18.87,0.052214143
12/02/2014,17.91,0.007284986
11/02/2014,17.78,0.030262087
10/02/2014,17.25,0.004066227
07/02/2014,17.18,0.007595713
06/02/2014,17.05,0.009428473
05/02/2014,16.89,0.00653403
04/02/2014,16.78,0.001192606
03/02/2014,16.76,-0.003573559
31/01/2014,16.82,0.002380954
30/01/2014,16.78,0.002984186
29/01/2014,16.73,-0.001194743
28/01/2014,16.75,0.001792651
27/01/2014,16.72,-0.026558067
24/01/2014,17.17,-0.020750024
23/01/2014,17.53,-0.007388496
22/01/2014,17.66,0.002835273
21/01/2014,17.61,0.003412973
17/01/2014,17.55,-0.004548046
16/01/2014,17.63,-0.016873291
15/01/2014,17.93,0.016873291
14/01/2014,17.63,0.017740093
13/01/2014,17.32,-0.008623221
10/01/2014,17.47,0.004014918
09/01/2014,17.4,-0.001148765
08/01/2014,17.42,0.002874391
07/01/2014,17.37,0.004616281
06/01/2014,17.29,-0.012643847
03/01/2014,17.51,-0.002281804
02/01/2014,17.55,-0.007380107
31/12/2013,17.68,0.010804768
30/12/2013,17.49,0.003436429
27/12/2013,17.43,-0.000573559
26/12/2013,17.44,0.00287109
24/12/2013,17.39,-0.006876818
23/12/2013,17.51,0.018444327
20/12/2013,17.19,0.01819833
19/12/2013,16.88,-0.008847006
18/12/2013,17.03,0.013597608
17/12/2013,16.8,0.00836825
16/12/2013,16.66,-0.002398083
13/12/2013,16.7,-0.001196888
12/12/2013,16.72,-0.006557401
11/12/2013,16.83,0
10/12/2013,16.83,0
09/12/2013,16.83,0
06/12/2013,16.83,0.019802627
05/12/2013,16.5,-0.006644543
04/12/2013,16.61,-0.030242447
03/12/2013,17.12,0.000584283
02/12/2013,17.11,-0.011043414
29/11/2013,17.3,-0.002886005
27/11/2013,17.35,-0.009750579
26/11/2013,17.52,0.014372193
25/11/2013,17.27,0.001158749
22/11/2013,17.25,-0.001158749
21/11/2013,17.27,0.025807884
20/11/2013,16.83,0.000594354
19/11/2013,16.82,-0.007109035
18/11/2013,16.94,-0.033665396
15/11/2013,17.52,-0.002280503
14/11/2013,17.56,-0.006244698
13/11/2013,17.67,0.001699236
12/11/2013,17.64,-0.009029407
11/11/2013,17.8,0.002812941
08/11/2013,17.75,0.022216807
07/11/2013,17.36,-0.031748698
06/11/2013,17.92,0.008405765
05/11/2013,17.77,0.001126126
04/11/2013,17.75,0.002820876
01/11/2013,17.7,-0.008998936
31/10/2013,17.86,-0.001119194
30/10/2013,17.88,-0.007244389
29/10/2013,18.01,0.015669039
28/10/2013,17.73,0.001693481
25/10/2013,17.7,-0.006756782
24/10/2013,17.82,0.023851216
23/10/2013,17.4,-0.037782898
22/10/2013,18.07,0.011129775
21/10/2013,17.87,-0.010022356
18/10/2013,18.05,-0.002213615
17/10/2013,18.09,0.007212237
16/10/2013,17.96,0.007825641
15/10/2013,17.82,-0.015590516
14/10/2013,18.1,0.00554018
11/10/2013,18,0.00612986
10/10/2013,17.89,0.031225926
09/10/2013,17.34,-0.009756175
08/10/2013,17.51,-0.014739496
07/10/2013,17.77,0.01131874
04/10/2013,17.57,0.013753798
03/10/2013,17.33,-0.010333043
02/10/2013,17.51,0.002287022
01/10/2013,17.47,-0.003428575
30/09/2013,17.53,-0.003985203
27/09/2013,17.6,-0.00961274
26/09/2013,17.77,-0.003931485
25/09/2013,17.84,0.022103479
24/09/2013,17.45,0.087376122
23/09/2013,15.99,0.003759403
20/09/2013,15.93,-0.009993837
19/09/2013,16.09,-0.007430375
18/09/2013,16.21,0.019309227
17/09/2013,15.9,-0.00313972
16/09/2013,15.95,0.002510987
13/09/2013,15.91,-0.001256282
12/09/2013,15.93,0
11/09/2013,15.93,-0.003133816
10/09/2013,15.98,0.024708257
09/09/2013,15.59,0.005144706
06/09/2013,15.51,-0.010901038
05/09/2013,15.68,0.003833871
04/09/2013,15.62,0.033195368
03/09/2013,15.11,0.006640131
30/08/2013,15.01,-0.008623602
29/08/2013,15.14,0.011960275
28/08/2013,14.96,-0.00732604
27/08/2013,15.07,-0.024902991
26/08/2013,15.45,-0.010943141
23/08/2013,15.62,-0.002557546
22/08/2013,15.66,0.007049052
21/08/2013,15.55,-0.00064288
20/08/2013,15.56,0.00064288
19/08/2013,15.55,-0.004491506
16/08/2013,15.62,0.01939298
15/08/2013,15.32,-0.026410553
14/08/2013,15.73,0
13/08/2013,15.73,0.0050988
12/08/2013,15.65,-0.001277139
09/08/2013,15.67,0.001277139
08/08/2013,15.65,-0.015219064
07/08/2013,15.89,-0.016849073
06/08/2013,16.16,0.003719781
05/08/2013,16.1,-0.013572078
02/08/2013,16.32,-0.010362787
01/08/2013,16.49,0.010362787
31/07/2013,16.32,0.003068428
30/07/2013,16.27,0.01548498
29/07/2013,16.02,-0.00684295
26/07/2013,16.13,0
25/07/2013,16.13,0.00186162
24/07/2013,16.1,-0.009888832
23/07/2013,16.26,-0.005519793
22/07/2013,16.35,-0.012762252
19/07/2013,16.56,0
18/07/2013,16.56,-0.007819589
17/07/2013,16.69,0.006612588
16/07/2013,16.58,0.006656606
15/07/2013,16.47,-0.011470093
12/07/2013,16.66,0.0102565
11/07/2013,16.49,0.011589029
10/07/2013,16.3,0.040055417
09/07/2013,15.66,0.033769443
08/07/2013,15.14,-0.005270104
05/07/2013,15.22,0.014560151
03/07/2013,15,0.012072581
02/07/2013,14.82,0
01/07/2013,14.82,-0.006724975
28/06/2013,14.92,0.000670466
27/06/2013,14.91,-0.00401607
26/06/2013,14.97,-0.019841921
25/06/2013,15.27,0.019174141
24/06/2013,14.98,-0.006653384
21/06/2013,15.08,0.00066335
20/06/2013,15.07,-0.0409547
19/06/2013,15.7,-0.01705125
18/06/2013,15.97,0.011968647
17/06/2013,15.78,0.023726666
14/06/2013,15.41,-0.012254265
13/06/2013,15.6,0.022691411
12/06/2013,15.25,0.003942186
11/06/2013,15.19,-0.017618727
10/06/2013,15.46,-0.001938611
07/06/2013,15.49,0.035483355
06/06/2013,14.95,-0.013289232
05/06/2013,15.15,-0.025416813
04/06/2013,15.54,0.007103679
03/06/2013,15.43,0.015018239
31/05/2013,15.2,-0.003284075
30/05/2013,15.25,0.029952322
29/05/2013,14.8,-0.00471858
28/05/2013,14.87,0.025197111
