Date,Close,BXP
04/04/2014,116.31,0.00698851
03/04/2014,115.5,0
02/04/2014,115.5,-0.001816531
01/04/2014,115.71,0.010250263
31/03/2014,114.53,0.005603727
28/03/2014,113.89,0.007491332
27/03/2014,113.04,0.006211751
26/03/2014,112.34,-0.01150557
25/03/2014,113.64,0.004232811
24/03/2014,113.16,-0.006957009
21/03/2014,113.95,0.00978887
20/03/2014,112.84,0.007472015
19/03/2014,112,-0.01074563
18/03/2014,113.21,0.009050639
17/03/2014,112.19,0.003035175
14/03/2014,111.85,0.00178971
13/03/2014,111.65,0.000716782
12/03/2014,111.57,-0.011938845
11/03/2014,112.91,0.019947886
10/03/2014,110.68,-0.00234636
07/03/2014,110.94,-0.013430231
06/03/2014,112.44,-0.004879573
05/03/2014,112.99,-0.005296155
04/03/2014,113.59,0.012579897
03/03/2014,112.17,-0.002315228
28/02/2014,112.43,0.013431434
27/02/2014,110.93,-0.004227956
26/02/2014,111.4,-0.006264003
25/02/2014,112.1,0.01320003
24/02/2014,110.63,-0.002527762
21/02/2014,110.91,0.002256624
20/02/2014,110.66,-0.001625283
19/02/2014,110.84,-0.004321217
18/02/2014,111.32,0.003239161
14/02/2014,110.96,0.00768991
13/02/2014,110.11,-0.00018162
12/02/2014,110.13,0.004459215
11/02/2014,109.64,-0.002550557
10/02/2014,109.92,0.006754932
07/02/2014,109.18,0.006339894
06/02/2014,108.49,0.016355722
05/02/2014,106.73,-0.009418636
04/02/2014,107.74,0.015715946
03/02/2014,106.06,-0.018959242
31/01/2014,108.09,0.000832986
30/01/2014,108,0.020580708
29/01/2014,105.8,0.004547185
28/01/2014,105.32,0.0096361
27/01/2014,104.31,-0.005544947
24/01/2014,104.89,-0.018981636
23/01/2014,106.9,-0.003641631
22/01/2014,107.29,0.010117182
21/01/2014,106.21,0.013937177
17/01/2014,104.74,-0.001240399
16/01/2014,104.87,-0.003046751
15/01/2014,105.19,0.006007169
14/01/2014,104.56,0.009223739
13/01/2014,103.6,-0.008075414
10/01/2014,104.44,0.016411219
09/01/2014,102.74,0.000486784
08/01/2014,102.69,-0.006696779
07/01/2014,103.38,0.00640468
06/01/2014,102.72,0.011061735
03/01/2014,101.59,0.011882504
02/01/2014,100.39,0.000199243
31/12/2013,100.37,-0.007345675
30/12/2013,101.11,0.007046826
27/12/2013,100.4,-0.035228692
26/12/2013,104,0.005592532
24/12/2013,103.42,-0.002800176
23/12/2013,103.71,0.00202693
20/12/2013,103.5,0.013129291
19/12/2013,102.15,-0.008286667
18/12/2013,103,0.018519955
17/12/2013,101.11,0.021392259
16/12/2013,98.97,0.0051664
13/12/2013,98.46,-0.006781746
12/12/2013,99.13,-0.005332273
11/12/2013,99.66,-0.025460784
10/12/2013,102.23,0.002252363
09/12/2013,102,0.012529143
06/12/2013,100.73,0.006873564
05/12/2013,100.04,0.002602344
04/12/2013,99.78,0.002910626
03/12/2013,99.49,-0.003511768
02/12/2013,99.84,0.003511768
29/11/2013,99.49,-0.02118323
27/11/2013,101.62,0.009491865
26/11/2013,100.66,-0.009491865
25/11/2013,101.62,-0.000688604
22/11/2013,101.69,-0.006567041
21/11/2013,102.36,0.004700361
20/11/2013,101.88,-0.014906019
19/11/2013,103.41,0.008936436
18/11/2013,102.49,-0.005254975
15/11/2013,103.03,0.014173543
14/11/2013,101.58,0.00256284
13/11/2013,101.32,0.006634673
12/11/2013,100.65,-0.003075247
11/11/2013,100.96,0.006259646
08/11/2013,100.33,-0.008930403
07/11/2013,101.23,-0.009047166
06/11/2013,102.15,0
05/11/2013,102.15,-0.015830953
04/11/2013,103.78,-0.006147954
01/11/2013,104.42,0.008849615
31/10/2013,103.5,-0.014960003
30/10/2013,105.06,-0.027229173
29/10/2013,107.96,0.00529372
28/10/2013,107.39,-0.020735204
25/10/2013,109.64,0.020828326
24/10/2013,107.38,-0.009454144
23/10/2013,108.4,-0.00890854
22/10/2013,109.37,0.022094728
21/10/2013,106.98,-0.01705324
18/10/2013,108.82,-0.003302755
17/10/2013,109.18,0.006708659
16/10/2013,108.45,0.013647336
15/10/2013,106.98,-0.002240897
14/10/2013,107.22,-0.000559441
11/10/2013,107.28,0.018154099
10/10/2013,105.35,0.018296406
09/10/2013,103.44,-0.001062853
08/10/2013,103.55,-0.019130186
07/10/2013,105.55,-0.0087724
04/10/2013,106.48,-0.002063984
03/10/2013,106.7,-0.008027673
02/10/2013,107.56,-0.001672086
01/10/2013,107.74,0.007827099
30/09/2013,106.9,-0.001775784
27/09/2013,107.09,0.003273632
26/09/2013,106.74,0.004036617
25/09/2013,106.31,-0.008336894
24/09/2013,107.2,-0.020588827
23/09/2013,109.43,0.000639883
20/09/2013,109.36,-0.015965506
19/09/2013,111.12,0.002071979
18/09/2013,110.89,0.047933826
17/09/2013,105.7,-0.001512574
16/09/2013,105.86,0.010063695
13/09/2013,104.8,0.00191022
12/09/2013,104.6,-0.022311381
11/09/2013,106.96,0.003183821
10/09/2013,106.62,0.007815114
09/09/2013,105.79,0.00930681
06/09/2013,104.81,0.02248153
05/09/2013,102.48,-0.004867137
04/09/2013,102.98,0.012704168
03/09/2013,101.68,-0.008032172
30/08/2013,102.5,0.001073747
29/08/2013,102.39,-0.003509802
28/08/2013,102.75,-0.006402816
27/08/2013,103.41,-0.005304541
26/08/2013,103.96,0.006465644
23/08/2013,103.29,0.018073075
22/08/2013,101.44,0.006329135
21/08/2013,100.8,-0.007412932
20/08/2013,101.55,0.032832496
19/08/2013,98.27,-0.012036761
16/08/2013,99.46,-0.022763271
15/08/2013,101.75,-0.016182845
14/08/2013,103.41,0.00290529
13/08/2013,103.11,-0.006958567
12/08/2013,103.83,-0.01206218
09/08/2013,105.09,0.020088138
08/08/2013,103,0.003403845
07/08/2013,102.65,-0.012296229
06/08/2013,103.92,-0.000673368
05/08/2013,103.99,0.000192345
02/08/2013,103.97,-0.009857954
01/08/2013,105,-0.018401085
31/07/2013,106.95,-0.016414334
30/07/2013,108.72,-0.002296845
29/07/2013,108.97,-0.007132437
26/07/2013,109.75,0.010994156
25/07/2013,108.55,-0.004412177
24/07/2013,109.03,-0.017907128
23/07/2013,111,-0.003148192
22/07/2013,111.35,0.011198528
19/07/2013,110.11,-0.003626148
18/07/2013,110.51,0.013299522
17/07/2013,109.05,-0.004118057
16/07/2013,109.5,-0.001824818
15/07/2013,109.7,-0.005998382
12/07/2013,110.36,-0.002985752
11/07/2013,110.69,0.035213935
10/07/2013,106.86,-0.004202275
09/07/2013,107.31,0.01729529
08/07/2013,105.47,0.002753384
05/07/2013,105.18,0.002379707
03/07/2013,104.93,-0.010994329
02/07/2013,106.09,0.012615771
01/07/2013,104.76,-0.006754533
28/06/2013,105.47,-0.009530622
27/06/2013,106.48,0.024432034
26/06/2013,103.91,0.012102583
25/06/2013,102.66,0.000292269
24/06/2013,102.63,0.006745883
21/06/2013,101.94,0.013430974
20/06/2013,100.58,-0.066630436
19/06/2013,107.51,-0.033746515
18/06/2013,111.2,-0.000269748
17/06/2013,111.23,0.010301917
14/06/2013,110.09,-0.00624804
13/06/2013,110.78,0.039213492
12/06/2013,106.52,-0.003561057
11/06/2013,106.9,-0.022385543
10/06/2013,109.32,-0.004472239
07/06/2013,109.81,0.002096723
06/06/2013,109.58,0.015913503
05/06/2013,107.85,-0.01023947
04/06/2013,108.96,0.00432284
03/06/2013,108.49,0.017762126
31/05/2013,106.58,-0.016101609
30/05/2013,108.31,-0.01165739
29/05/2013,109.58,-0.014225764
28/05/2013,111.15,-0.011539106
24/05/2013,112.44,-0.001599574
23/05/2013,112.62,-0.003279999
22/05/2013,112.99,-0.014061221
21/05/2013,114.59,0.00779714
20/05/2013,113.7,0.011232595
17/05/2013,112.43,0.009742223
16/05/2013,111.34,-0.003496664
15/05/2013,111.73,0.011069726
14/05/2013,110.5,-0.003703541
13/05/2013,110.91,-0.002881068
10/05/2013,111.23,0.010756194
09/05/2013,110.04,-0.006973087
08/05/2013,110.81,0.004613097
07/05/2013,110.3,0.009931292
06/05/2013,109.21,0.005785406
03/05/2013,108.58,-0.004410961
02/05/2013,109.06,0.003214403
01/05/2013,108.71,-0.006601289
30/04/2013,109.43,0.002561992
29/04/2013,109.15,0.012723756
26/04/2013,107.77,-0.002594756
25/04/2013,108.05,-0.003049487
24/04/2013,108.38,-0.000369004
23/04/2013,108.42,-0.004050079
22/04/2013,108.86,-0.008597876
19/04/2013,109.8,0.006578971
18/04/2013,109.08,-0.001923342
17/04/2013,109.29,-0.002193585
16/04/2013,109.53,0.012586872
15/04/2013,108.16,-0.020136137
12/04/2013,110.36,-0.001358265
11/04/2013,110.51,0.005808166
10/04/2013,109.87,0.01420804
09/04/2013,108.32,0.005461712
08/04/2013,107.73,0.013833289
05/04/2013,106.25,0.006989073
04/04/2013,105.51,0.021458817
03/04/2013,103.27,0.011002496
02/04/2013,102.14,0.016186694
01/04/2013,100.5,-0.005556672
28/03/2013,101.06,0.007249647
27/03/2013,100.33,-0.003283748
26/03/2013,100.66,-0.002282313
25/03/2013,100.89,-0.000891663
22/03/2013,100.98,0.002677378
21/03/2013,100.71,-0.011256043
20/03/2013,101.85,-0.009381482
19/03/2013,102.81,-0.018312
18/03/2013,104.71,-0.005143848
15/03/2013,105.25,-0.003982558
14/03/2013,105.67,0.007122875
13/03/2013,104.92,0.001335241
12/03/2013,104.78,0.007087473
11/03/2013,104.04,0.011114984
08/03/2013,102.89,-0.00909449
07/03/2013,103.83,-0.009585044
06/03/2013,104.83,-0.003998482
05/03/2013,105.25,0.007438524
04/03/2013,104.47,0.009135118
01/03/2013,103.52,-0.003471556
28/02/2013,103.88,-0.000192511
27/02/2013,103.9,-0.002883231
26/02/2013,104.2,0.001825081
25/02/2013,104.01,-0.021495977
22/02/2013,106.27,0.007651291
21/02/2013,105.46,-0.010001027
20/02/2013,106.52,-0.007761763
19/02/2013,107.35,0.001304996
15/02/2013,107.21,-0.001304996
14/02/2013,107.35,0.00158486
13/02/2013,107.18,0.001400495
12/02/2013,107.03,0.016390721
11/02/2013,105.29,0.001425652
08/02/2013,105.14,0.009172623
07/02/2013,104.18,-0.000479823
06/02/2013,104.23,0.002016807
05/02/2013,104.02,-0.004603883
04/02/2013,104.5,-0.005725206
01/02/2013,105.1,-0.00171119
31/01/2013,105.28,-0.01161541
30/01/2013,106.51,-0.02173191
29/01/2013,108.85,0.000183756
28/01/2013,108.83,-0.005772154
25/01/2013,109.46,0.004211303
24/01/2013,109,0.002204262
23/01/2013,108.76,-0.001470048
22/01/2013,108.92,0.010057755
18/01/2013,107.83,0.006606212
17/01/2013,107.12,-0.004378005
16/01/2013,107.59,-0.010264088
15/01/2013,108.7,0.012404121
14/01/2013,107.36,0.003358839
11/01/2013,107,-0.003731348
10/01/2013,107.4,-0.001488649
09/01/2013,107.56,0.002140631
08/01/2013,107.33,-0.008627541
07/01/2013,108.26,0.007324003
04/01/2013,107.47,0.006441096
03/01/2013,106.78,0.001218198
02/01/2013,106.65,0.007907412
31/12/2012,105.81,0.008256275
28/12/2012,104.94,-0.006932272
27/12/2012,105.67,0.000473283
26/12/2012,105.62,-0.003497003
24/12/2012,105.99,0.002739857
21/12/2012,105.7,-0.009135064
20/12/2012,106.67,0.013876656
19/12/2012,105.2,-0.001899336
18/12/2012,105.4,0.005327258
17/12/2012,104.84,0.008236805
14/12/2012,103.98,0.002214414
13/12/2012,103.75,-0.00499953
12/12/2012,104.27,-0.005833151
11/12/2012,104.88,-0.001048268
10/12/2012,104.99,-0.003897529
07/12/2012,105.4,0.01116264
06/12/2012,104.23,0.016152003
05/12/2012,102.56,0.000292554
04/12/2012,102.53,-0.000585023
03/12/2012,102.59,-0.000389826
30/11/2012,102.63,0.004296462
29/11/2012,102.19,0.007267759
28/11/2012,101.45,-0.001871092
27/11/2012,101.64,-0.009498235
26/11/2012,102.61,-0.004375949
23/11/2012,103.06,0.013579069
21/11/2012,101.67,-0.005688521
20/11/2012,102.25,0.003625145
19/11/2012,101.88,0.010161386
16/11/2012,100.85,0.008164123
15/11/2012,100.03,-0.000299865
14/11/2012,100.06,-0.015371949
13/11/2012,101.61,-0.008525702
12/11/2012,102.48,-0.006031733
09/11/2012,103.1,-0.005706288
08/11/2012,103.69,-0.022787848
07/11/2012,106.08,-0.009102489
06/11/2012,107.05,0.006184428
05/11/2012,106.39,-0.007771211
02/11/2012,107.22,0.000559754
01/11/2012,107.16,0.008057759
31/10/2012,106.3,-0.00216135
26/10/2012,106.53,-0.007667889
25/10/2012,107.35,-0.003347906
24/10/2012,107.71,0.000185701
23/10/2012,107.69,-0.01474817
22/10/2012,109.29,-0.002193585
19/10/2012,109.53,-0.017467298
18/10/2012,111.46,0.012004296
17/10/2012,110.13,-0.0013611
16/10/2012,110.28,0.003724737
15/10/2012,109.87,0.00813347
12/10/2012,108.98,-0.004303445
11/10/2012,109.45,-0.000456725
10/10/2012,109.5,-0.000730327
09/10/2012,109.58,-0.004007291
08/10/2012,110.02,-0.001180906
05/10/2012,110.15,0.002454212
