Date,Close,TMO
04/04/2014,119.88,-0.015889113
03/04/2014,121.8,-0.003278691
02/04/2014,122.2,0.002622093
01/04/2014,121.88,0.013547209
31/03/2014,120.24,0.014576785
28/03/2014,118.5,0.007028864
27/03/2014,117.67,-0.003139454
26/03/2014,118.04,-0.011036803
25/03/2014,119.35,-0.010833439
24/03/2014,120.65,-0.018477225
21/03/2014,122.9,-0.005517703
20/03/2014,123.58,0.006983382
19/03/2014,122.72,-0.008196435
18/03/2014,123.73,0.005754828
17/03/2014,123.02,0.006278815
14/03/2014,122.25,-0.008146685
13/03/2014,123.25,-0.025948441
12/03/2014,126.49,0.002057614
11/03/2014,126.23,-0.000396024
10/03/2014,126.28,-0.003083616
07/03/2014,126.67,0.002133798
06/03/2014,126.4,0.003884116
05/03/2014,125.91,0.004457541
04/03/2014,125.35,0.016083982
03/03/2014,123.35,-0.009601106
28/02/2014,124.54,-0.002966529
27/02/2014,124.91,0.005056393
26/02/2014,124.28,0.003788952
25/02/2014,123.81,0.003560162
24/02/2014,123.37,0.00154127
21/02/2014,123.18,-0.012344342
20/02/2014,124.71,0.023528588
19/02/2014,121.81,-0.014183479
18/02/2014,123.55,-0.001536658
14/02/2014,123.74,0.006811574
13/02/2014,122.9,0.011292158
12/02/2014,121.52,0.004288313
11/02/2014,121,0.019949746
10/02/2014,118.61,0.00710723
07/02/2014,117.77,0.028770288
06/02/2014,114.43,0.010807117
05/02/2014,113.2,0.002122392
04/02/2014,112.96,-0.001503826
03/02/2014,113.13,-0.017611179
31/01/2014,115.14,0.001303611
30/01/2014,114.99,0.028580935
29/01/2014,111.75,-0.005087707
28/01/2014,112.32,0.022054092
27/01/2014,109.87,-0.000727868
24/01/2014,109.95,-0.025679271
23/01/2014,112.81,-0.016615037
22/01/2014,114.7,-0.002177227
21/01/2014,114.95,-0.008144214
17/01/2014,115.89,-0.001896552
16/01/2014,116.11,0.005094342
15/01/2014,115.52,0.006600684
14/01/2014,114.76,0.015543672
13/01/2014,112.99,-0.012926098
10/01/2014,114.46,0.004026969
09/01/2014,114,-0.000350816
08/01/2014,114.04,0.015286359
07/01/2014,112.31,0.020237233
06/01/2014,110.06,9.08637E-05
03/01/2014,110.05,0.003823748
02/01/2014,109.63,-0.015567334
31/12/2013,111.35,0.006848725
30/12/2013,110.59,-0.000723131
27/12/2013,110.67,0.003620897
26/12/2013,110.27,0.00782961
24/12/2013,109.41,0.00522338
23/12/2013,108.84,0.002483788
20/12/2013,108.57,0.003783514
19/12/2013,108.16,0.016218083
18/12/2013,106.42,0.039288372
17/12/2013,102.32,0.000782167
16/12/2013,102.24,0.008841791
13/12/2013,101.34,0.011013655
12/12/2013,100.23,-0.009631212
11/12/2013,101.2,-0.007187546
10/12/2013,101.93,-0.000882569
09/12/2013,102.02,-0.006740611
06/12/2013,102.71,0.027439542
05/12/2013,99.93,-0.002897829
04/12/2013,100.22,-0.006960354
03/12/2013,100.92,0.000892193
02/12/2013,100.83,-0.000198334
29/11/2013,100.85,-0.001486252
27/11/2013,101,-0.004445549
26/11/2013,101.45,-0.005308703
25/11/2013,101.99,0.004717453
22/11/2013,101.51,-0.003049233
21/11/2013,101.82,0.007393202
20/11/2013,101.07,0.005556121
19/11/2013,100.51,-0.002583467
18/11/2013,100.77,-0.005936497
