Date,Close,PSX
04/04/2014,79.57,-0.012861512
03/04/2014,80.6,0.017017428
02/04/2014,79.24,-0.004281583
01/04/2014,79.58,0.032178466
31/03/2014,77.06,0.005334734
28/03/2014,76.65,-0.00273598
27/03/2014,76.86,-0.004543397
26/03/2014,77.21,-0.012740665
25/03/2014,78.2,0.010024502
24/03/2014,77.42,-0.00682245
21/03/2014,77.95,-0.007031029
20/03/2014,78.5,0.000892118
19/03/2014,78.43,-0.024185585
18/03/2014,80.35,0.012523645
17/03/2014,79.35,0.008352364
14/03/2014,78.69,0.007013993
13/03/2014,78.14,-0.023524545
12/03/2014,80,0.011566636
11/03/2014,79.08,0.005325231
10/03/2014,78.66,0.007400825
07/03/2014,78.08,-0.000768148
06/03/2014,78.14,0.01716725
05/03/2014,76.81,0.009549422
04/03/2014,76.08,0.016165716
03/03/2014,74.86,0
28/02/2014,74.86,0.001604278
27/02/2014,74.74,-0.026668247
26/02/2014,76.76,-0.009981287
25/02/2014,77.53,0.016647543
24/02/2014,76.25,0.017196191
21/02/2014,74.95,-0.004526099
20/02/2014,75.29,0.000265675
19/02/2014,75.27,-0.001460339
18/02/2014,75.38,-0.007269875
14/02/2014,75.93,0.017001339
13/02/2014,74.65,0.013622168
12/02/2014,73.64,-0.006092214
11/02/2014,74.09,0.024871465
10/02/2014,72.27,-0.027432631
07/02/2014,74.28,0.013281128
06/02/2014,73.3,0.036539454
05/02/2014,70.67,-0.006628612
04/02/2014,71.14,-0.003087722
03/02/2014,71.36,-0.02395407
31/01/2014,73.09,-0.006409841
30/01/2014,73.56,-0.008393172
29/01/2014,74.18,-0.01205964
28/01/2014,75.08,0.002400321
27/01/2014,74.9,0.006160459
24/01/2014,74.44,-0.036406025
23/01/2014,77.2,0.001296176
22/01/2014,77.1,0.002597404
21/01/2014,76.9,0.011509413
17/01/2014,76.02,0.008321823
16/01/2014,75.39,-0.001987677
15/01/2014,75.54,-0.012497696
14/01/2014,76.49,0.008929803
13/01/2014,75.81,-0.028478617
10/01/2014,78,-0.001665279
09/01/2014,78.13,0.016258423
08/01/2014,76.87,-0.001949445
07/01/2014,77.02,0.000129845
06/01/2014,77.01,0.009393415
03/01/2014,76.29,-0.002095064
02/01/2014,76.45,-0.008855378
31/12/2013,77.13,0.031744516
30/12/2013,74.72,-0.000401418
27/12/2013,74.75,-0.004937623
26/12/2013,75.12,0.005071411
24/12/2013,74.74,0.004425083
23/12/2013,74.41,0.005119925
20/12/2013,74.03,0.015107467
19/12/2013,72.92,-0.014431837
18/12/2013,73.98,0.018829865
17/12/2013,72.6,-0.000137732
16/12/2013,72.61,0.014007579
13/12/2013,71.6,0.005321396
12/12/2013,71.22,0.005208712
11/12/2013,70.85,-0.010669763
10/12/2013,71.61,-0.003067487
09/12/2013,71.83,0.008247758
06/12/2013,71.24,0.021423817
05/12/2013,69.73,0.002009762
04/12/2013,69.59,-0.014409266
