Date,Close,VLO
04/04/2014,54.38,-0.025598203
03/04/2014,55.79,0.016992455
02/04/2014,54.85,-0.011960998
01/04/2014,55.51,0.044386256
31/03/2014,53.1,0.004530019
28/03/2014,52.86,0.013139292
27/03/2014,52.17,-0.033364701
26/03/2014,53.94,-0.007940213
25/03/2014,54.37,0.00442397
24/03/2014,54.13,0.006300985
21/03/2014,53.79,-0.025694201
20/03/2014,55.19,0.015521173
19/03/2014,54.34,-0.01352607
18/03/2014,55.08,0.013894191
17/03/2014,54.32,0.001658222
14/03/2014,54.23,0.003509748
13/03/2014,54.04,-0.022867547
12/03/2014,55.29,0.029737874
11/03/2014,53.67,0.003733437
10/03/2014,53.47,0.009017532
07/03/2014,52.99,0.002078021
06/03/2014,52.88,0.050417812
05/03/2014,50.28,0.021307339
04/03/2014,49.22,0.017833823
03/03/2014,48.35,0.007681964
28/02/2014,47.98,-0.010985705
27/02/2014,48.51,-0.044550348
26/02/2014,50.72,-0.026652682
25/02/2014,52.09,0.022717218
24/02/2014,50.92,0.013643316
21/02/2014,50.23,0.012823257
20/02/2014,49.59,-0.018184136
19/02/2014,50.5,-0.004741218
18/02/2014,50.74,0.017495476
14/02/2014,49.86,0.017194719
13/02/2014,49.01,0.028351614
12/02/2014,47.64,-0.003771218
11/02/2014,47.82,0.009665971
10/02/2014,47.36,-0.030362074
07/02/2014,48.82,0.034169991
06/02/2014,47.18,0.017317376
05/02/2014,46.37,-0.039535854
04/02/2014,48.24,-0.012565826
03/02/2014,48.85,-0.045030119
31/01/2014,51.1,-0.006048209
30/01/2014,51.41,0.000194534
29/01/2014,51.4,0.023623146
28/01/2014,50.2,0.012629215
27/01/2014,49.57,0.01074952
24/01/2014,49.04,-0.044079326
23/01/2014,51.25,0.005870858
22/01/2014,50.95,-0.018281334
21/01/2014,51.89,0.009098892
17/01/2014,51.42,0.010557283
16/01/2014,50.88,-0.014826647
15/01/2014,51.64,-0.014228273
14/01/2014,52.38,0.017137225
13/01/2014,51.49,-0.033422379
10/01/2014,53.24,0.006406655
09/01/2014,52.9,0.019855559
08/01/2014,51.86,0.008520578
07/01/2014,51.42,0.03140999
06/01/2014,49.83,0.009679446
03/01/2014,49.35,-0.010481854
02/01/2014,49.87,-0.010571556
31/12/2013,50.4,0.035544937
30/12/2013,48.64,-0.000616586
27/12/2013,48.67,-0.001847481
26/12/2013,48.76,0.00266968
24/12/2013,48.63,0.005567599
23/12/2013,48.36,0.018153863
20/12/2013,47.49,0.017631896
19/12/2013,46.66,-0.030394911
18/12/2013,48.1,0.023347364
17/12/2013,46.99,0.005120557
16/12/2013,46.75,0.013350758
13/12/2013,46.13,0.005434205
12/12/2013,45.88,-0.003481292
11/12/2013,46.04,-0.009511529
10/12/2013,46.48,0.00734186
09/12/2013,46.14,-0.009491012
06/12/2013,46.58,0.026761088
05/12/2013,45.35,0.007303341
04/12/2013,45.02,-0.038135136
03/12/2013,46.77,-0.001282051
02/12/2013,46.83,0.023988184
29/11/2013,45.72,-0.005453171
27/11/2013,45.97,0.035876301
26/11/2013,44.35,-0.005172619
25/11/2013,44.58,0.010598814
22/11/2013,44.11,0.036241704
21/11/2013,42.54,0.010159568
20/11/2013,42.11,-0.005447024
19/11/2013,42.34,-0.013605652
18/11/2013,42.92,-0.001862198
15/11/2013,43,0.00372787
14/11/2013,42.84,0.038063586
13/11/2013,41.24,0.005348907
12/11/2013,41.02,0.017460176
11/11/2013,40.31,-0.000248047
08/11/2013,40.32,0.02613214
07/11/2013,39.28,-0.024146042
06/11/2013,40.24,-0.029385072
05/11/2013,41.44,-0.002650923
04/11/2013,41.55,0.013325455
01/11/2013,41,-0.004137769
31/10/2013,41.17,-0.005812562
30/10/2013,41.41,0.029406677
29/10/2013,40.21,0.019081674
28/10/2013,39.45,0.000253518
25/10/2013,39.44,0.000507228
24/10/2013,39.42,-0.017850883
23/10/2013,40.13,-0.007942459
22/10/2013,40.45,0.017456802
21/10/2013,39.75,0.016487374
18/10/2013,39.1,0.018325458
17/10/2013,38.39,0.030145064
16/10/2013,37.25,0.020613694
15/10/2013,36.49,-0.002189982
14/10/2013,36.57,0.000820681
11/10/2013,36.54,0.026904965
10/10/2013,35.57,0.046024804
09/10/2013,33.97,0.007090133
08/10/2013,33.73,-0.009442384
07/10/2013,34.05,-0.011388647
04/10/2013,34.44,0.009921295
03/10/2013,34.1,-0.008177616
02/10/2013,34.38,0.015831465
01/10/2013,33.84,-0.009119051
30/09/2013,34.15,-0.004382768
27/09/2013,34.3,-0.000291503
26/09/2013,34.31,-0.016476742
25/09/2013,34.88,0.016476742
24/09/2013,34.31,0.00584626
23/09/2013,34.11,-0.009628083
20/09/2013,34.44,-0.008385187
19/09/2013,34.73,-0.010597264
18/09/2013,35.1,0.014347448
17/09/2013,34.6,0.001156738
16/09/2013,34.56,-0.01407867
13/09/2013,35.05,0.010035927
12/09/2013,34.7,-0.038721808
11/09/2013,36.07,-0.002215454
10/09/2013,36.15,-0.01209803
09/09/2013,36.59,-0.004635318
06/09/2013,36.76,0.000272072
05/09/2013,36.75,-0.003531173
04/09/2013,36.88,0.015851657
03/09/2013,36.3,0.021440331
30/08/2013,35.53,-0.007570483
29/08/2013,35.8,0.00083834
28/08/2013,35.77,0.014360376
27/08/2013,35.26,-0.021325163
26/08/2013,36.02,-0.010494435
23/08/2013,36.4,0.011605546
22/08/2013,35.98,0.016251408
21/08/2013,35.4,0.004530019
20/08/2013,35.24,0.022092421
19/08/2013,34.47,-0.026904886
16/08/2013,35.41,-0.014578335
15/08/2013,35.93,-0.022293479
14/08/2013,36.74,-0.003260872
13/08/2013,36.86,0.000271334
12/08/2013,36.85,-0.00756965
09/08/2013,37.13,0.002696873
08/08/2013,37.03,0.013047209
07/08/2013,36.55,0.000547345
06/08/2013,36.53,0.039078375
05/08/2013,35.13,0.001139277
02/08/2013,35.09,-0.027268028
01/08/2013,36.06,0.008074665
31/07/2013,35.77,0.006732143
30/07/2013,35.53,-0.007291115
29/07/2013,35.79,-0.006960908
26/07/2013,36.04,0.010319433
25/07/2013,35.67,0.030456317
24/07/2013,34.6,-0.020878779
23/07/2013,35.33,0.001699717
22/07/2013,35.27,0.016004914
19/07/2013,34.71,0.014217561
18/07/2013,34.22,-0.025390862
17/07/2013,35.1,0.009158622
16/07/2013,34.78,-0.01710418
15/07/2013,35.38,-0.013475779
12/07/2013,35.86,0.037504395
11/07/2013,34.54,0.029081209
10/07/2013,33.55,-0.02152523
09/07/2013,34.28,-0.007266418
08/07/2013,34.53,0.019889512
05/07/2013,33.85,0.004737942
03/07/2013,33.69,0.004462301
02/07/2013,33.54,-0.020947808
01/07/2013,34.25,-0.015068381
28/06/2013,34.77,-0.00630736
27/06/2013,34.99,-0.011649514
26/06/2013,35.4,0.011935351
25/06/2013,34.98,0.0354998
24/06/2013,33.76,-0.047152625
21/06/2013,35.39,-0.009561378
20/06/2013,35.73,-0.050481322
19/06/2013,37.58,-0.012954576
18/06/2013,38.07,0.003157067
17/06/2013,37.95,-0.001579779
14/06/2013,38.01,-0.016956191
13/06/2013,38.66,0.0182725
12/06/2013,37.96,-0.013605652
11/06/2013,38.48,-0.012653494
10/06/2013,38.97,-0.015279136
07/06/2013,39.57,0.007610387
06/06/2013,39.27,0.016690592
05/06/2013,38.62,-0.008765202
