Date,Close,AKAM
04/04/2014,54.35,-0.037733513
03/04/2014,56.44,-0.030363526
02/04/2014,58.18,-0.024449435
01/04/2014,59.62,0.023933927
31/03/2014,58.21,-0.000515243
28/03/2014,58.24,0.002234638
27/03/2014,58.11,0.006214417
26/03/2014,57.75,-0.00190295
25/03/2014,57.86,-0.029293648
24/03/2014,59.58,-0.018953186
21/03/2014,60.72,-0.020215882
20/03/2014,61.96,0.030312798
19/03/2014,60.11,-0.008283679
18/03/2014,60.61,0.013454235
17/03/2014,59.8,0.004525274
14/03/2014,59.53,0.008434598
13/03/2014,59.03,-0.023605348
12/03/2014,60.44,0.00348057
11/03/2014,60.23,0.014044705
10/03/2014,59.39,-0.026748002
07/03/2014,61,-0.006047252
06/03/2014,61.37,-0.002278647
05/03/2014,61.51,-0.018204288
04/03/2014,62.64,0.02227695
03/03/2014,61.26,0.002124357
28/02/2014,61.13,-0.025996459
27/02/2014,62.74,0.020287284
26/02/2014,61.48,-0.00308567
25/02/2014,61.67,-0.015606463
24/02/2014,62.64,0.014634015
21/02/2014,61.73,0.002920184
20/02/2014,61.55,0.016875964
19/02/2014,60.52,-0.001650983
18/02/2014,60.62,0.009780434
14/02/2014,60.03,0.005344927
13/02/2014,59.71,0.009591996
12/02/2014,59.14,-0.010930908
11/02/2014,59.79,0.030223013
10/02/2014,58.01,0.02389996
07/02/2014,56.64,-0.009488738
06/02/2014,57.18,0.187160106
05/02/2014,47.42,0.019806845
04/02/2014,46.49,0.010378472
03/02/2014,46.01,-0.035653259
31/01/2014,47.68,-0.016433027
30/01/2014,48.47,0.019163261
29/01/2014,47.55,-0.016684433
28/01/2014,48.35,0.010604112
27/01/2014,47.84,-0.010397266
24/01/2014,48.34,-0.025933051
23/01/2014,49.61,0.00870539
22/01/2014,49.18,0.004687668
21/01/2014,48.95,0.007587445
17/01/2014,48.58,-0.003288125
16/01/2014,48.74,-0.008376798
15/01/2014,49.15,0.035411092
14/01/2014,47.44,0.024323794
13/01/2014,46.3,-0.04021706
10/01/2014,48.2,0.01210618
09/01/2014,47.62,0.019937034
08/01/2014,46.68,-0.007044538
07/01/2014,47.01,0.019330499
06/01/2014,46.11,-0.007346619
03/01/2014,46.45,-0.001720801
02/01/2014,46.53,-0.013872808
31/12/2013,47.18,0.005099884
30/12/2013,46.94,0.001279045
27/12/2013,46.88,-0.00891915
26/12/2013,47.3,-0.009049836
24/12/2013,47.73,0.004619916
23/12/2013,47.51,-0.003991183
20/12/2013,47.7,0.023330857
19/12/2013,46.6,0.001073537
18/12/2013,46.55,0.02105798
