Date,Close,NBL
04/04/2014,70.35,-0.013273282
03/04/2014,71.29,0.012846933
02/04/2014,70.38,-0.002695993
01/04/2014,70.57,-0.006637974
31/03/2014,71.04,-0.001406668
28/03/2014,71.14,0.030108574
27/03/2014,69.03,0.019750477
26/03/2014,67.68,0.000886918
25/03/2014,67.62,0.012500163
24/03/2014,66.78,-0.005078428
21/03/2014,67.12,0.004329981
20/03/2014,66.83,0.013103584
19/03/2014,65.96,-0.02159652
18/03/2014,67.4,0.011189971
17/03/2014,66.65,0.000150049
14/03/2014,66.64,-0.004491698
13/03/2014,66.94,-0.018647869
12/03/2014,68.2,-0.002196998
11/03/2014,68.35,-0.01047892
10/03/2014,69.07,-0.002313812
07/03/2014,69.23,0.00652129
06/03/2014,68.78,0.009348593
05/03/2014,68.14,-0.012831905
04/03/2014,69.02,0.015329886
03/03/2014,67.97,-0.011555749
28/02/2014,68.76,0.011997218
27/02/2014,67.94,-0.008062786
26/02/2014,68.49,-0.004225256
25/02/2014,68.78,-0.007964708
24/02/2014,69.33,0.036276832
21/02/2014,66.86,-0.003881181
20/02/2014,67.12,0.007777485
19/02/2014,66.6,0.000751033
18/02/2014,66.55,0.00285908
14/02/2014,66.36,-0.00135532
13/02/2014,66.45,-0.001353485
12/02/2014,66.54,0.003160987
11/02/2014,66.33,-0.004812763
10/02/2014,66.65,0.006774584
07/02/2014,66.2,0.055755453
06/02/2014,62.61,0.022941232
05/02/2014,61.19,-0.018619497
04/02/2014,62.34,0.008861735
03/02/2014,61.79,-0.008701312
31/01/2014,62.33,-0.010374365
30/01/2014,62.98,-0.004277912
29/01/2014,63.25,-0.000948167
28/01/2014,63.31,0.018653391
27/01/2014,62.14,-0.013268519
24/01/2014,62.97,-0.033419725
23/01/2014,65.11,-0.008716318
22/01/2014,65.68,0.024818229
21/01/2014,64.07,0.002656874
17/01/2014,63.9,-0.011823411
16/01/2014,64.66,0.003253043
15/01/2014,64.45,0.001397407
14/01/2014,64.36,0.018662817
13/01/2014,63.17,-0.024549744
10/01/2014,64.74,-0.009378192
09/01/2014,65.35,-0.005493681
08/01/2014,65.71,-0.002128307
07/01/2014,65.85,0.001519757
06/01/2014,65.75,-0.005914036
03/01/2014,66.14,-0.006780709
02/01/2014,66.59,-0.022569629
31/12/2013,68.11,0.013897326
30/12/2013,67.17,-0.015364462
27/12/2013,68.21,0.002348453
26/12/2013,68.05,0.001912187
24/12/2013,67.92,0.004426745
23/12/2013,67.62,-0.004721165
20/12/2013,67.94,0.001030852
19/12/2013,67.87,0.006207528
18/12/2013,67.45,-0.002369318
17/12/2013,67.61,-0.026130966
16/12/2013,69.4,0.010428831
13/12/2013,68.68,0
12/12/2013,68.68,0.007600154
11/12/2013,68.16,-0.019181059
10/12/2013,69.48,0.01289219
09/12/2013,68.59,-0.013180001
