Date,Close,CERN
04/04/2014,53.67,-0.032627528
03/04/2014,55.45,-0.012188715
02/04/2014,56.13,-0.006393202
01/04/2014,56.49,0.00425759
31/03/2014,56.25,0.00177936
28/03/2014,56.15,-0.007098521
27/03/2014,56.55,-0.000530363
26/03/2014,56.58,-0.02254355
25/03/2014,57.87,0.008677597
24/03/2014,57.37,-0.015909033
21/03/2014,58.29,-0.023398829
20/03/2014,59.67,-0.000335121
19/03/2014,59.69,-0.011990152
18/03/2014,60.41,0.014842264
17/03/2014,59.52,0.004209115
14/03/2014,59.27,0.006771653
13/03/2014,58.87,-0.016676879
12/03/2014,59.86,-0.001335559
11/03/2014,59.94,-0.012599636
10/03/2014,60.7,0.005451405
07/03/2014,60.37,-0.004957049
06/03/2014,60.67,-0.008207531
05/03/2014,61.17,-0.011216894
04/03/2014,61.86,0.018930069
03/03/2014,60.7,-0.010977418
28/02/2014,61.37,0.002610542
27/02/2014,61.21,-0.01572283
26/02/2014,62.18,0.000321699
25/02/2014,62.16,-0.004654531
24/02/2014,62.45,0.005942361
21/02/2014,62.08,0.022809721
20/02/2014,60.68,0.013104608
19/02/2014,59.89,-0.014092913
18/02/2014,60.74,0.009262388
14/02/2014,60.18,0.01506809
13/02/2014,59.28,0.022691411
12/02/2014,57.95,0.008143509
11/02/2014,57.48,0.024301249
10/02/2014,56.1,0.011473772
07/02/2014,55.46,0.034112972
06/02/2014,53.6,0.007302719
05/02/2014,53.21,-0.061762637
04/02/2014,56.6,0.016747229
03/02/2014,55.66,-0.021857823
31/01/2014,56.89,0.010958045
30/01/2014,56.27,0.040251989
29/01/2014,54.05,-0.015603804
28/01/2014,54.9,0.013940064
27/01/2014,54.14,-0.010473224
24/01/2014,54.71,-0.032017123
23/01/2014,56.49,-0.009338452
22/01/2014,57.02,0.019837703
21/01/2014,55.9,0.002866358
17/01/2014,55.74,0.00629895
16/01/2014,55.39,-0.002344244
15/01/2014,55.52,0.008138213
14/01/2014,55.07,0.022774171
13/01/2014,53.83,-0.024769636
10/01/2014,55.18,0.002903813
09/01/2014,55.02,0.012804272
08/01/2014,54.32,-0.017156836
07/01/2014,55.26,0.019368411
06/01/2014,54.2,-0.009182801
