Date,Close,V
04/04/2014,207.7,-0.034589808
03/04/2014,215.01,0.001629158
02/04/2014,214.66,-0.000186324
01/04/2014,214.7,-0.005388345
31/03/2014,215.86,0.017619337
28/03/2014,212.09,-0.017202313
27/03/2014,215.77,0.000417198
26/03/2014,215.68,-0.012532416
25/03/2014,218.4,-0.010702596
24/03/2014,220.75,-0.01179875
21/03/2014,223.37,0.006963347
20/03/2014,221.82,-0.008975915
19/03/2014,223.82,-0.011505358
18/03/2014,226.41,0.011684089
17/03/2014,223.78,0.013541991
14/03/2014,220.77,-4.5295E-05
13/03/2014,220.78,-0.023810649
12/03/2014,226.1,-0.004765276
11/03/2014,227.18,0.007422496
10/03/2014,225.5,-0.00026604
07/03/2014,225.56,0.007565342
06/03/2014,223.86,0.004701466
05/03/2014,222.81,-0.012000769
04/03/2014,225.5,0.018168487
03/03/2014,221.44,-0.020117805
28/02/2014,225.94,-0.001503693
27/02/2014,226.28,0.000751564
26/02/2014,226.11,-0.004412875
25/02/2014,227.11,0.004059128
24/02/2014,226.19,0.012590534
21/02/2014,223.36,-0.000447608
20/02/2014,223.46,-0.001877767
19/02/2014,223.88,-0.009690257
18/02/2014,226.06,0.000265451
14/02/2014,226,0.008665758
13/02/2014,224.05,-0.000535451
12/02/2014,224.17,0.008241928
11/02/2014,222.33,0.008038338
10/02/2014,220.55,-0.005561473
07/02/2014,221.78,0.012568509
06/02/2014,219.01,0.015646171
05/02/2014,215.61,0.004975019
04/02/2014,214.54,0.004999894
03/02/2014,213.47,-0.009139723
31/01/2014,215.43,-0.024983537
30/01/2014,220.88,0.017169372
29/01/2014,217.12,-0.017531494
28/01/2014,220.96,0.021685282
27/01/2014,216.22,-0.022996876
24/01/2014,221.25,-0.031148236
23/01/2014,228.25,-0.020554015
22/01/2014,232.99,0.004559932
21/01/2014,231.93,-0.001077331
17/01/2014,232.18,0.045872124
16/01/2014,221.77,-0.00893324
15/01/2014,223.76,0.004973017
14/01/2014,222.65,0.016986027
13/01/2014,218.9,-0.010135759
10/01/2014,221.13,-0.00352113
09/01/2014,221.91,-0.001395988
08/01/2014,222.22,0.003200147
07/01/2014,221.51,0.007613215
06/01/2014,219.83,-0.006031901
03/01/2014,221.16,0.000678472
02/01/2014,221.01,-0.007527814
31/12/2013,222.68,0.007980385
30/12/2013,220.91,0.005628959
27/12/2013,219.67,-0.002409804
26/12/2013,220.2,0.006698132
24/12/2013,218.73,0.003205424
23/12/2013,218.03,0.009493159
20/12/2013,215.97,-0.0005092
19/12/2013,216.08,0.003384098
18/12/2013,215.35,0.009799425
17/12/2013,213.25,0.026129753
16/12/2013,207.75,0.001879021
13/12/2013,207.36,0.019085292
12/12/2013,203.44,-0.010853199
11/12/2013,205.66,0.030761022
10/12/2013,199.43,-0.010772634
09/12/2013,201.59,-0.001387994
06/12/2013,201.87,0.000792904
05/12/2013,201.71,-0.005093348
04/12/2013,202.74,0.004895063
03/12/2013,201.75,-0.016614617
02/12/2013,205.13,0.008174499
29/11/2013,203.46,-0.002601548
27/11/2013,203.99,0.002306693
26/11/2013,203.52,0.007843177
25/11/2013,201.93,-0.000940478
22/11/2013,202.12,0.002526442
21/11/2013,201.61,0.01746223
20/11/2013,198.12,0.003691441
19/11/2013,197.39,-0.012635774
18/11/2013,199.9,-0.010450456
15/11/2013,202,0.009200612
14/11/2013,200.15,0.001850324
13/11/2013,199.78,0.007587023
12/11/2013,198.27,-0.005030951
11/11/2013,199.27,0.004930083
08/11/2013,198.29,0.011105872
07/11/2013,196.1,-0.014780589
06/11/2013,199.02,0.008325182
05/11/2013,197.37,0.004824916
04/11/2013,196.42,-0.013853298
01/11/2013,199.16,0.012581325
31/10/2013,196.67,-0.035710054
30/10/2013,203.82,-0.002058522
29/10/2013,204.24,0.005695783
28/10/2013,203.08,9.84882E-05
25/10/2013,203.06,0.000738971
24/10/2013,202.91,0.020010623
23/10/2013,198.89,-0.005465453
22/10/2013,199.98,-0.000299985
21/10/2013,200.04,-0.002047493
18/10/2013,200.45,0.010884666
17/10/2013,198.28,0.013455053
16/10/2013,195.63,0.022016393
15/10/2013,191.37,-0.01075866
14/10/2013,193.44,0.00643089
11/10/2013,192.2,0.016630764
10/10/2013,189.03,0.027785525
09/10/2013,183.85,0.007205665
08/10/2013,182.53,-0.020604752
07/10/2013,186.33,-0.022027907
04/10/2013,190.48,0.009653756
03/10/2013,188.65,-0.016663986
02/10/2013,191.82,-0.007272004
01/10/2013,193.22,0.011032585
30/09/2013,191.1,-0.010152371
27/09/2013,193.05,-0.002638319
26/09/2013,193.56,0.010386466
25/09/2013,191.56,-0.009249222
24/09/2013,193.34,-0.014888103
23/09/2013,196.24,-0.013111788
20/09/2013,198.83,0.020938916
19/09/2013,194.71,0.005458866
18/09/2013,193.65,0.01064254
17/09/2013,191.6,0.011654287
16/09/2013,189.38,0.002008563
13/09/2013,189,0.021066918
12/09/2013,185.06,-0.006731856
11/09/2013,186.31,0.009274804
10/09/2013,184.59,0.033268475
09/09/2013,178.55,0.010585088
06/09/2013,176.67,0.00260712
05/09/2013,176.21,0.000113507
04/09/2013,176.19,-0.004699762
03/09/2013,177.02,0.014796537
30/08/2013,174.42,-0.005431844
29/08/2013,175.37,0.000912773
28/08/2013,175.21,0.005953421
27/08/2013,174.17,-0.00475414
26/08/2013,175,-0.023158335
23/08/2013,179.1,0.001005531
22/08/2013,178.92,0.002966614
21/08/2013,178.39,0.029409702
20/08/2013,173.22,-0.010109219
19/08/2013,174.98,0.010628924
16/08/2013,173.13,-0.004610162
15/08/2013,173.93,-0.025094992
14/08/2013,178.35,-0.004921985
13/08/2013,179.23,-0.002952731
12/08/2013,179.76,-0.00027811
09/08/2013,179.81,-0.005380085
08/08/2013,180.78,-0.003368587
07/08/2013,181.39,-0.00823547
06/08/2013,182.89,-0.008981363
05/08/2013,184.54,0.002930485
02/08/2013,184,0.026600682
01/08/2013,179.17,0.012128848
31/07/2013,177.01,-0.078368215
30/07/2013,191.44,-0.002764666
29/07/2013,191.97,-0.006386812
26/07/2013,193.2,-0.007271634
25/07/2013,194.61,0.041226732
24/07/2013,186.75,-0.009751496
23/07/2013,188.58,-0.013902278
22/07/2013,191.22,0.006821667
19/07/2013,189.92,-0.005722852
18/07/2013,191.01,0.007198245
17/07/2013,189.64,0.001371959
16/07/2013,189.38,-0.004583418
15/07/2013,190.25,-0.002467387
12/07/2013,190.72,0.00399286
11/07/2013,189.96,0.017310473
