Date,Close,BAC
04/04/2014,16.72,-0.025392566
03/04/2014,17.15,-0.004653877
02/04/2014,17.23,-0.006363921
01/04/2014,17.34,0.008106588
31/03/2014,17.2,0.012873203
28/03/2014,16.98,-0.001765226
27/03/2014,17.01,-0.00994451
26/03/2014,17.18,-0.001744694
25/03/2014,17.21,-0.00925397
24/03/2014,17.37,-0.010879008
21/03/2014,17.56,-0.020293819
20/03/2014,17.92,0.027150989
19/03/2014,17.44,0.014438599
18/03/2014,17.19,0.004664731
17/03/2014,17.11,0.018284201
14/03/2014,16.8,-0.021202208
13/03/2014,17.16,-0.006968669
12/03/2014,17.28,0.000578871
11/03/2014,17.27,-0.011514232
10/03/2014,17.47,0.00804602
07/03/2014,17.33,-0.001153403
06/03/2014,17.35,0.005780363
05/03/2014,17.25,0.030608628
04/03/2014,16.73,0.026038407
03/03/2014,16.3,-0.014011804
28/02/2014,16.53,0.002422775
27/02/2014,16.49,0.00975023
26/02/2014,16.33,-0.000612182
25/02/2014,16.34,-0.011560822
24/02/2014,16.53,0.014625489
21/02/2014,16.29,-0.000613685
20/02/2014,16.3,0.006153866
19/02/2014,16.2,-0.016529302
18/02/2014,16.47,-0.013868175
14/02/2014,16.7,-0.002989539
13/02/2014,16.75,0
12/02/2014,16.75,-0.007731231
11/02/2014,16.88,0.009523882
10/02/2014,16.72,-0.005963047
07/02/2014,16.82,0.007758917
06/02/2014,16.69,0.017528403
05/02/2014,16.4,0.003053437
04/02/2014,16.35,0
03/02/2014,16.35,-0.024170361
31/01/2014,16.75,-0.010688938
30/01/2014,16.93,0.014876799
29/01/2014,16.68,-0.002993118
28/01/2014,16.73,0.025425098
27/01/2014,16.31,-0.008547061
24/01/2014,16.45,-0.024618475
23/01/2014,16.86,-0.017054221
22/01/2014,17.15,0.008196767
21/01/2014,17.01,0
17/01/2014,17.01,-0.004106782
16/01/2014,17.08,-0.004089985
15/01/2014,17.15,0.022406598
14/01/2014,16.77,0.020482644
13/01/2014,16.43,-0.020482644
10/01/2014,16.77,-0.003571432
09/01/2014,16.83,0.014965858
08/01/2014,16.58,0.004836769
07/01/2014,16.5,-0.009650256
06/01/2014,16.66,0.015119732
03/01/2014,16.41,0.019071633
02/01/2014,16.1,0.033473286
31/12/2013,15.57,0.001928641
30/12/2013,15.54,-0.008330711
27/12/2013,15.67,0.001277139
26/12/2013,15.65,-0.003189795
24/12/2013,15.7,0.000637146
23/12/2013,15.69,0.005752652
20/12/2013,15.6,-0.009569451
19/12/2013,15.75,0.003816799
18/12/2013,15.69,0.033044795
17/12/2013,15.18,-0.003944778
16/12/2013,15.24,0.003944778
13/12/2013,15.18,-0.004600731
12/12/2013,15.25,0
11/12/2013,15.25,-0.020124016
10/12/2013,15.56,-0.001284522
09/12/2013,15.58,0.001284522
06/12/2013,15.56,0.008389852
05/12/2013,15.43,-0.012878478
04/12/2013,15.63,0.005774799
03/12/2013,15.54,-0.012152372
02/12/2013,15.73,-0.005705245
29/11/2013,15.82,-0.000631912
27/11/2013,15.83,-0.003153582
26/11/2013,15.88,0.004417805
25/11/2013,15.81,0.010810916
22/11/2013,15.64,0.003202052
21/11/2013,15.59,0.029289435
20/11/2013,15.14,-0.00395518
19/11/2013,15.2,0.018592833
18/11/2013,14.92,0
15/11/2013,14.92,0.008075414
14/11/2013,14.8,0.010869672
13/11/2013,14.64,0.022100347
12/11/2013,14.32,-0.005571045
11/11/2013,14.4,0.005571045
08/11/2013,14.32,0.036988569
07/11/2013,13.8,-0.011527505
06/11/2013,13.96,0.00215131
05/11/2013,13.93,-0.007865611
04/11/2013,14.04,0.001425517
01/11/2013,14.02,0.003572708
31/10/2013,13.97,-0.01421488
30/10/2013,14.17,0.00141243
29/10/2013,14.15,-0.005637788
28/10/2013,14.23,-0.002106003
25/10/2013,14.26,0.006331361
24/10/2013,14.17,-0.002818888
23/10/2013,14.21,-0.021581067
22/10/2013,14.52,0
21/10/2013,14.52,-0.007547206
18/10/2013,14.63,-0.002048481
17/10/2013,14.66,0.006844654
16/10/2013,14.56,0.022223137
15/10/2013,14.24,-0.007695036
14/10/2013,14.35,0.011212451
11/10/2013,14.19,-0.002814921
10/10/2013,14.23,0.027789462
09/10/2013,13.84,0.010897311
08/10/2013,13.69,-0.008727328
07/10/2013,13.81,-0.017229428
04/10/2013,14.05,0.003565066
03/10/2013,14,-0.004276557
02/10/2013,14.06,0.011445046
01/10/2013,13.9,0.007220248
30/09/2013,13.8,-0.007220248
27/09/2013,13.9,-0.012866511
26/09/2013,14.08,-0.00425231
25/09/2013,14.14,0.003542335
24/09/2013,14.09,-0.003542335
23/09/2013,14.14,-0.020994473
20/09/2013,14.44,-0.011704092
19/09/2013,14.61,-0.006821309
18/09/2013,14.71,0.010936541
17/09/2013,14.55,0.001375516
16/09/2013,14.53,0.002756721
13/09/2013,14.49,0.000690369
12/09/2013,14.48,-0.011671949
11/09/2013,14.65,0.00273411
10/09/2013,14.61,0.008937839
09/09/2013,14.48,0.008321823
06/09/2013,14.36,-0.000696136
05/09/2013,14.37,0.003485539
04/09/2013,14.32,0.004900255
03/09/2013,14.25,0.009164675
30/08/2013,14.12,-0.003534822
29/08/2013,14.17,0.003534822
28/08/2013,14.12,0.000708466
27/08/2013,14.11,-0.02657499
26/08/2013,14.49,-0.005505864
23/08/2013,14.57,0
22/08/2013,14.57,0.015911785
21/08/2013,14.34,0.003492843
20/08/2013,14.29,0.009845368
19/08/2013,14.15,-0.018901508
16/08/2013,14.42,0.00695897
15/08/2013,14.32,-0.019364367
14/08/2013,14.6,0.006183462
13/08/2013,14.51,0.006915657
12/08/2013,14.41,-0.002772005
09/08/2013,14.45,-0.011011811
08/08/2013,14.61,0.005490748
07/08/2013,14.53,-0.007542031
06/08/2013,14.64,-0.010869672
05/08/2013,14.8,-0.002699057
02/08/2013,14.84,-0.007385062
01/08/2013,14.95,0.023689771
31/07/2013,14.6,0.005494519
30/07/2013,14.52,0
29/07/2013,14.52,-0.014359221
26/07/2013,14.73,-0.006765926
25/07/2013,14.83,0.008124622
24/07/2013,14.71,-0.015514645
23/07/2013,14.94,0.001339585
22/07/2013,14.92,0.011459512
19/07/2013,14.75,-0.000677736
18/07/2013,14.76,0.030962226
17/07/2013,14.31,0.027631939
16/07/2013,13.92,0.0028777
15/07/2013,13.88,0.007230689
12/07/2013,13.78,0.019788114
11/07/2013,13.51,0.010416761
10/07/2013,13.37,-0.011896051
09/07/2013,13.53,0.018650298
08/07/2013,13.28,0.01670502
05/07/2013,13.06,0.017767945
03/07/2013,12.83,-0.005441133
02/07/2013,12.9,-0.002322881
01/07/2013,12.93,0.005428474
28/06/2013,12.86,-0.011596574
27/06/2013,13.01,0.019403015
26/06/2013,12.76,0.007078284
25/06/2013,12.67,0.029637732
24/06/2013,12.3,-0.031215019
21/06/2013,12.69,-0.015637535
20/06/2013,12.89,-0.02300715
19/06/2013,13.19,-0.006046882
18/06/2013,13.27,0.00453173
17/06/2013,13.21,0.010654591
