Date,Close,ISRG
04/04/2014,505.52,-0.067147524
03/04/2014,540.63,0.041795099
02/04/2014,518.5,0.049214555
01/04/2014,493.6,0.119529394
31/03/2014,437.99,0.006873037
28/03/2014,434.99,0.014775628
27/03/2014,428.61,0.009258566
26/03/2014,424.66,0.004129458
25/03/2014,422.91,0.001988213
24/03/2014,422.07,-0.016029299
21/03/2014,428.89,-0.018755602
20/03/2014,437.01,0.005668078
19/03/2014,434.54,0.012784462
18/03/2014,429.02,0.005633291
17/03/2014,426.61,0.008332597
14/03/2014,423.07,-0.015479822
13/03/2014,429.67,-0.008043529
12/03/2014,433.14,-0.004721716
11/03/2014,435.19,-0.007782319
10/03/2014,438.59,-0.01221448
07/03/2014,443.98,-0.000833024
06/03/2014,444.35,-0.005767067
05/03/2014,446.92,-0.005778493
04/03/2014,449.51,-0.009586612
03/03/2014,453.84,0.020052526
28/02/2014,444.83,0.001529843
27/02/2014,444.15,0.013144665
26/02/2014,438.35,0.007970542
25/02/2014,434.87,-0.008403892
24/02/2014,438.54,0.00766831
21/02/2014,435.19,-0.006527513
20/02/2014,438.04,-0.004373583
19/02/2014,439.96,-0.009343431
18/02/2014,444.09,0.01191515
14/02/2014,438.83,-0.008418762
13/02/2014,442.54,0.009467553
12/02/2014,438.37,0.027568176
11/02/2014,426.45,-0.007499071
10/02/2014,429.66,0.028278609
07/02/2014,417.68,0.006943221
06/02/2014,414.79,-0.000747087
05/02/2014,415.1,0.01455983
04/02/2014,409.1,0.019574347
03/02/2014,401.17,-0.015851955
31/01/2014,407.58,-0.02128902
30/01/2014,416.35,0.002765921
29/01/2014,415.2,0.013725753
28/01/2014,409.54,0.002224477
27/01/2014,408.63,-0.005199001
24/01/2014,410.76,-0.066490311
23/01/2014,439,-0.000273311
22/01/2014,439.12,-0.000591918
21/01/2014,439.38,0.021253905
17/01/2014,430.14,0.037303178
16/01/2014,414.39,0.003844345
15/01/2014,412.8,-0.017005742
14/01/2014,419.88,0.065981243
13/01/2014,393.07,-0.066624077
10/01/2014,420.15,0.082755734
09/01/2014,386.78,0.016475009
08/01/2014,380.46,0.017767167
07/01/2014,373.76,0.007573556
06/01/2014,370.94,-0.006770579
03/01/2014,373.46,-0.017386664
02/01/2014,380.01,-0.010653296
31/12/2013,384.08,0.002633124
30/12/2013,383.07,0.008072804
27/12/2013,379.99,0.013805749
26/12/2013,374.78,0.010244947
24/12/2013,370.96,-0.0006737
23/12/2013,371.21,0.018652996
20/12/2013,364.35,0.014514043
19/12/2013,359.1,-0.005941656
18/12/2013,361.24,0.014808475
17/12/2013,355.93,-0.017683311
16/12/2013,362.28,-0.001820138
13/12/2013,362.94,-0.014660292
12/12/2013,368.3,0.004571934
11/12/2013,366.62,-0.034581407
10/12/2013,379.52,0.007750234
09/12/2013,376.59,-0.002095575
06/12/2013,377.38,0.025604576
05/12/2013,367.84,-0.007691096
04/12/2013,370.68,-0.00572975
03/12/2013,372.81,-0.007136301
02/12/2013,375.48,-0.003774693
29/11/2013,376.9,-0.00294075
27/11/2013,378.01,0.009302145
26/11/2013,374.51,-0.026325284
25/11/2013,384.5,-0.013459084
22/11/2013,389.71,-0.002076312
21/11/2013,390.52,-0.010165304
20/11/2013,394.51,-0.00017742
19/11/2013,394.58,0.004088635
18/11/2013,392.97,-0.003733764
15/11/2013,394.44,-0.007149113
14/11/2013,397.27,0.002570825
13/11/2013,396.25,0.000530109
12/11/2013,396.04,0.001667888
11/11/2013,395.38,0.014136581
08/11/2013,389.83,0.026645368
07/11/2013,379.58,0.006369364
06/11/2013,377.17,0.006090039
05/11/2013,374.88,-0.019416547
04/11/2013,382.23,0.027048025
01/11/2013,372.03,0.001425632
31/10/2013,371.5,-0.008603529
30/10/2013,374.71,-0.007868405
29/10/2013,377.67,0.005496051
28/10/2013,375.6,0.017375862
25/10/2013,369.13,-0.003137597
24/10/2013,370.29,-0.012586209
23/10/2013,374.98,0.017974868
22/10/2013,368.3,-0.010049793
21/10/2013,372.02,-0.01202355
18/10/2013,376.52,-0.058316012
17/10/2013,399.13,-0.005496853
16/10/2013,401.33,0.028098976
15/10/2013,390.21,-0.028970696
14/10/2013,401.68,0.029047581
11/10/2013,390.18,0.00764099
10/10/2013,387.21,-0.005023389
09/10/2013,389.16,0.020587703
08/10/2013,381.23,0.000629739
07/10/2013,380.99,0.044850325
04/10/2013,364.28,0.009211063
03/10/2013,360.94,-0.0237096
02/10/2013,369.6,-0.007547206
01/10/2013,372.4,-0.010338425
30/09/2013,376.27,0.023692502
27/09/2013,367.46,-0.00252769
26/09/2013,368.39,0.002935981
25/09/2013,367.31,0.009354554
24/09/2013,363.89,-0.018892112
23/09/2013,370.83,-0.010355281
20/09/2013,374.69,0.012650067
19/09/2013,369.98,-0.006788088
18/09/2013,372.5,-0.003911802
17/09/2013,373.96,-0.002963835
16/09/2013,375.07,0.000186649
13/09/2013,375,0.006205883
12/09/2013,372.68,-0.010197905
11/09/2013,376.5,-0.001247561
10/09/2013,376.97,-0.020817952
09/09/2013,384.9,0.000545745
06/09/2013,384.69,0.000650085
05/09/2013,384.44,-0.007463495
04/09/2013,387.32,0.005566429
03/09/2013,385.17,-0.003498818
30/08/2013,386.52,0.00497978
29/08/2013,384.6,-0.007357165
28/08/2013,387.44,0.003153843
27/08/2013,386.22,-0.014063555
26/08/2013,391.69,0.004093229
23/08/2013,390.09,-0.000128167
22/08/2013,390.14,0.008339387
21/08/2013,386.9,0.003754779
20/08/2013,385.45,0.001298027
19/08/2013,384.95,0.017346625
16/08/2013,378.33,-0.01417235
15/08/2013,383.73,-0.005742737
14/08/2013,385.94,0.000881354
13/08/2013,385.6,-0.007698506
12/08/2013,388.58,-0.008431083
09/08/2013,391.87,-0.006993124
08/08/2013,394.62,0.011930395
07/08/2013,389.94,-0.007638598
