Date,Close,ADBE
04/04/2014,61.32,-0.018260183
03/04/2014,62.45,-0.047378516
02/04/2014,65.48,-0.006848821
01/04/2014,65.93,0.002886005
31/03/2014,65.74,0.013168158
28/03/2014,64.88,0.005409178
27/03/2014,64.53,0.009810871
26/03/2014,63.9,-0.029452441
25/03/2014,65.81,0.008699025
24/03/2014,65.24,-0.028707214
21/03/2014,67.14,-0.019907758
20/03/2014,68.49,0.012636078
19/03/2014,67.63,-0.013074002
18/03/2014,68.52,0.005121088
17/03/2014,68.17,0.014480158
14/03/2014,67.19,0.00163849
13/03/2014,67.08,-0.014503732
12/03/2014,68.06,0.008706614
11/03/2014,67.47,-0.008412713
10/03/2014,68.04,-0.007029906
07/03/2014,68.52,-0.005820738
06/03/2014,68.92,0.000290234
05/03/2014,68.9,0.004363643
04/03/2014,68.6,0.010845775
03/03/2014,67.86,-0.011282998
28/02/2014,68.63,-0.018621974
27/02/2014,69.92,0.030494595
26/02/2014,67.82,-0.002797616
25/02/2014,68.01,-0.01111285
24/02/2014,68.77,0.008029826
21/02/2014,68.22,-0.003803955
20/02/2014,68.48,0.007181096
19/02/2014,67.99,-0.009806152
18/02/2014,68.66,0.004671541
14/02/2014,68.34,0.019205791
13/02/2014,67.04,0.028750656
12/02/2014,65.14,0.018124576
11/02/2014,63.97,0.002974562
10/02/2014,63.78,0.014211513
07/02/2014,62.88,0.024795989
06/02/2014,61.34,0.005558295
05/02/2014,61,0.021206892
04/02/2014,59.72,0.027673441
03/02/2014,58.09,-0.018759077
31/01/2014,59.19,-0.003373253
30/01/2014,59.39,0.015783102
29/01/2014,58.46,-0.011057355
28/01/2014,59.11,0.012769391
27/01/2014,58.36,-0.012430982
24/01/2014,59.09,-0.029843008
23/01/2014,60.88,-0.014513096
22/01/2014,61.77,0.01500599
21/01/2014,60.85,-0.008509297
17/01/2014,61.37,-0.004227649
16/01/2014,61.63,-0.000810964
15/01/2014,61.68,0.021467436
14/01/2014,60.37,0.029757596
13/01/2014,58.6,-0.015745691
10/01/2014,59.53,0.007418682
09/01/2014,59.09,0.003220615
08/01/2014,58.9,-0.001187749
07/01/2014,58.97,0.014519001
06/01/2014,58.12,-0.017735799
03/01/2014,59.16,-0.00219502
02/01/2014,59.29,-0.009901902
31/12/2013,59.88,0.005526264
30/12/2013,59.55,0.00067193
27/12/2013,59.51,-0.001175582
26/12/2013,59.58,0.00083956
24/12/2013,59.53,0.001008403
23/12/2013,59.47,0.003537442
20/12/2013,59.26,0.01925266
19/12/2013,58.13,-0.015533299
18/12/2013,59.04,0.023478073
17/12/2013,57.67,-0.014289647
16/12/2013,58.5,-0.040042203
13/12/2013,60.89,0.120270113
12/12/2013,53.99,-0.011967371
11/12/2013,54.64,-0.012368292
10/12/2013,55.32,-0.002166848
09/12/2013,55.44,-0.002881846
06/12/2013,55.6,0.010123008
05/12/2013,55.04,-0.018183956
04/12/2013,56.05,-0.006225009
03/12/2013,56.4,-0.006362694
02/12/2013,56.76,-0.000352299
29/11/2013,56.78,-0.002286922
27/11/2013,56.91,0.003696862
26/11/2013,56.7,-0.004399479
25/11/2013,56.95,0.009527242
22/11/2013,56.41,0.003196025
21/11/2013,56.23,0.005170735
20/11/2013,55.94,0.003043597
19/11/2013,55.77,-0.014772895
18/11/2013,56.6,-0.013163858
15/11/2013,57.35,0.003143558
14/11/2013,57.17,-0.00662485
13/11/2013,57.55,0.023025888
12/11/2013,56.24,0.001067426
11/11/2013,56.18,0.024140967
08/11/2013,54.84,0.030925527
07/11/2013,53.17,-0.031654656
06/11/2013,54.88,0.001641288
05/11/2013,54.79,-0.010891376
04/11/2013,55.39,0.014182056
01/11/2013,54.61,0.007167172
31/10/2013,54.22,0.002215658
30/10/2013,54.1,-0.0139503
29/10/2013,54.86,0.017097576
28/10/2013,53.93,0.002227586
25/10/2013,53.81,-0.00740607
24/10/2013,54.21,0.021442045
23/10/2013,53.06,-0.002070979
22/10/2013,53.17,0.001694118
21/10/2013,53.08,0.00851391
18/10/2013,52.63,0.010697332
17/10/2013,52.07,0.003077517
16/10/2013,51.91,-0.000385208
15/10/2013,51.93,-0.013389642
14/10/2013,52.63,0.008395394
11/10/2013,52.19,0.019737483
10/10/2013,51.17,0.034191365
09/10/2013,49.45,-0.002625469
08/10/2013,49.58,-0.024702451
07/10/2013,50.82,-0.01465013
04/10/2013,51.57,0.013470189
03/10/2013,50.88,-0.012500163
02/10/2013,51.52,-0.017508865
01/10/2013,52.43,0.00938974
30/09/2013,51.94,-0.001731269
27/09/2013,52.03,-0.001344473
26/09/2013,52.1,0.00442436
25/09/2013,51.87,0.008713387
24/09/2013,51.42,-0.007362947
23/09/2013,51.8,-0.009797408
20/09/2013,52.31,0.008446969
19/09/2013,51.87,-0.013595231
18/09/2013,52.58,0.088222387
17/09/2013,48.14,0
16/09/2013,48.14,0.007924963
13/09/2013,47.76,0.002515725
12/09/2013,47.64,-0.011686277
11/09/2013,48.2,0.00374143
10/09/2013,48.02,0.016164937
09/09/2013,47.25,0.008074842
06/09/2013,46.87,0.002991455
05/09/2013,46.73,-0.004270773
04/09/2013,46.93,0.022627838
03/09/2013,45.88,0.002837501
30/08/2013,45.75,-0.003926707
29/08/2013,45.93,0.008747049
28/08/2013,45.53,0.000659123
27/08/2013,45.5,-0.012232568
26/08/2013,46.06,0.00631604
23/08/2013,45.77,0.001968289
22/08/2013,45.68,0.011891794
21/08/2013,45.14,0.001551935
20/08/2013,45.07,0.004001784
19/08/2013,44.89,-0.011297052
16/08/2013,45.4,-0.010299204
15/08/2013,45.87,-0.02092623
14/08/2013,46.84,-0.006384359
13/08/2013,47.14,-0.001271995
12/08/2013,47.2,0.000423819
09/08/2013,47.18,-0.006970141
08/08/2013,47.51,0.008667214
07/08/2013,47.1,-0.006138235
06/08/2013,47.39,-0.005051579
05/08/2013,47.63,0.00378629
02/08/2013,47.45,-0.005254873
01/08/2013,47.7,0.008844025
31/07/2013,47.28,-0.001690617
30/07/2013,47.36,0.004019893
29/07/2013,47.17,-0.009914647
26/07/2013,47.64,-0.003143668
25/07/2013,47.79,-0.000209227
24/07/2013,47.8,-0.005632642
23/07/2013,48.07,-0.004359114
22/07/2013,48.28,0.004359114
19/07/2013,48.07,-0.002493249
18/07/2013,48.19,0.003117533
17/07/2013,48.04,0.011514835
16/07/2013,47.49,-0.013178729
15/07/2013,48.12,-0.00559529
12/07/2013,48.39,0.008300525
11/07/2013,47.99,0.015540002
10/07/2013,47.25,-0.000211618
09/07/2013,47.26,0.013420161
08/07/2013,46.63,-0.007903491
05/07/2013,47,0.012417201
03/07/2013,46.42,0.008437043
02/07/2013,46.03,-0.004551867
01/07/2013,46.24,0.014815086
28/06/2013,45.56,-0.00808836
27/06/2013,45.93,0.005457933
26/06/2013,45.68,0.029097
25/06/2013,44.37,0.017506415
24/06/2013,43.6,-0.026481122
21/06/2013,44.77,-0.002899522
20/06/2013,44.9,-0.01940952
19/06/2013,45.78,0.054309957
18/06/2013,43.36,-0.000691643
17/06/2013,43.39,0.012756754
14/06/2013,42.84,-0.010680389
13/06/2013,43.3,0.01348544
12/06/2013,42.72,-0.009319732
11/06/2013,43.12,-0.022246073
10/06/2013,44.09,-0.000680195
07/06/2013,44.12,0.012544354
06/06/2013,43.57,-0.006177803
05/06/2013,43.84,-0.012467576
04/06/2013,44.39,0.021173244
03/06/2013,43.46,0.012736076
31/05/2013,42.91,-0.006504088
30/05/2013,43.19,0.013754734
29/05/2013,42.6,-0.007250646
28/05/2013,42.91,0.01124924
24/05/2013,42.43,-0.007981263
23/05/2013,42.77,-0.009308887
22/05/2013,43.17,-0.019498267
21/05/2013,44.02,-0.006114842
