Date,Close,HSP
04/04/2014,43.38,-0.026613649
03/04/2014,44.55,0.008113635
02/04/2014,44.19,-0.001808728
01/04/2014,44.27,0.023310013
31/03/2014,43.25,0.015377749
28/03/2014,42.59,0.012046916
27/03/2014,42.08,0.028687034
26/03/2014,40.89,-0.01408474
25/03/2014,41.47,0.000241167
24/03/2014,41.46,-0.020766948
21/03/2014,42.33,-0.009873141
20/03/2014,42.75,0.000233945
19/03/2014,42.74,-0.004901399
18/03/2014,42.95,0.003965945
17/03/2014,42.78,0.016022963
14/03/2014,42.1,-0.001186944
13/03/2014,42.15,-0.017170832
12/03/2014,42.88,0.00467509
11/03/2014,42.68,-0.014653129
10/03/2014,43.31,-0.000923148
07/03/2014,43.35,-0.004143652
06/03/2014,43.53,0.020423082
05/03/2014,42.65,-0.007940257
04/03/2014,42.99,0.01476301
03/03/2014,42.36,-0.021486114
28/02/2014,43.28,0.004399683
27/02/2014,43.09,0.002323421
26/02/2014,42.99,0.00676861
25/02/2014,42.7,0.004694844
24/02/2014,42.5,0.005426461
21/02/2014,42.27,-0.039657371
20/02/2014,43.98,0.004557893
19/02/2014,43.78,-0.002281543
18/02/2014,43.88,0.007548932
14/02/2014,43.55,-0.012776811
13/02/2014,44.11,-0.006778155
12/02/2014,44.41,0.003383335
11/02/2014,44.26,-0.008100854
10/02/2014,44.62,0.03954349
07/02/2014,42.89,0.009605322
06/02/2014,42.48,-0.002820876
05/02/2014,42.6,0.002820876
04/02/2014,42.48,0.000235433
03/02/2014,42.47,-0.035618936
31/01/2014,44.01,0.007068779
30/01/2014,43.7,-0.005704522
29/01/2014,43.95,-0.005898384
28/01/2014,44.21,0.002037813
27/01/2014,44.12,-0.010147793
24/01/2014,44.57,-0.009601503
23/01/2014,45,0.001111729
22/01/2014,44.95,0.026373669
21/01/2014,43.78,0.023807897
17/01/2014,42.75,-0.009313222
16/01/2014,43.15,0.014002563
15/01/2014,42.55,-0.010520261
14/01/2014,43,0.030938824
13/01/2014,41.69,-0.011684883
10/01/2014,42.18,0.005467742
09/01/2014,41.95,0.015858093
08/01/2014,41.29,0.005342412
07/01/2014,41.07,0.002193785
06/01/2014,40.98,-0.005839433
03/01/2014,41.22,0.004620069
02/01/2014,41.03,-0.006074615
31/12/2013,41.28,0.000242277
30/12/2013,41.27,0.001454898
27/12/2013,41.21,-0.000485201
26/12/2013,41.23,-0.001454193
24/12/2013,41.29,0.004368939
23/12/2013,41.11,-0.003884443
20/12/2013,41.27,0.005345008
19/12/2013,41.05,-0.004860277
18/12/2013,41.25,0.029522439
17/12/2013,40.05,-0.001247661
16/12/2013,40.1,0.005501389
13/12/2013,39.88,-0.009235059
12/12/2013,40.25,-0.006438853
11/12/2013,40.51,-0.023903577
10/12/2013,41.49,-0.016730792
09/12/2013,42.19,0.014804473
06/12/2013,41.57,0.013806687
05/12/2013,41,0.019456346
04/12/2013,40.21,0.009495324
03/12/2013,39.83,-0.006506529
02/12/2013,40.09,0.019647987
29/11/2013,39.31,-0.003048008
27/11/2013,39.43,0.00687113
26/11/2013,39.16,0.00204499
25/11/2013,39.08,-0.003320989
22/11/2013,39.21,0.006396338
21/11/2013,38.96,0.006179216
20/11/2013,38.72,0.003363087
19/11/2013,38.59,-0.010568471
18/11/2013,39,-0.012739026
15/11/2013,39.5,0.001773724
14/11/2013,39.43,0.002539361
13/11/2013,39.33,0.015114928
12/11/2013,38.74,0.005435499
11/11/2013,38.53,-0.00929999
08/11/2013,38.89,-0.008194668
07/11/2013,39.21,-0.038769392
06/11/2013,40.76,0.018821754
05/11/2013,40,-0.005236267
04/11/2013,40.21,0
01/11/2013,40.21,-0.007679958
31/10/2013,40.52,0.002223596
30/10/2013,40.43,-0.016436038
29/10/2013,41.1,-0.004127722
28/10/2013,41.27,-0.002420137
25/10/2013,41.37,0.00508907
24/10/2013,41.16,-0.003395589
23/10/2013,41.3,-0.007237667
22/10/2013,41.6,-0.001201201
21/10/2013,41.65,0.000720548
18/10/2013,41.62,-0.004076255
17/10/2013,41.79,0.006000258
16/10/2013,41.54,0.015282287
15/10/2013,40.91,-0.007063724
14/10/2013,41.2,0.010246491
11/10/2013,40.78,0.01756384
10/10/2013,40.07,0.027322722
09/10/2013,38.99,0.008758428
08/10/2013,38.65,-0.011575692
07/10/2013,39.1,-0.011190351
04/10/2013,39.54,0.023542541
03/10/2013,38.62,-0.020503025
02/10/2013,39.42,-0.006321933
01/10/2013,39.67,0.011408414
30/09/2013,39.22,0.00819257
27/09/2013,38.9,-0.006661567
26/09/2013,39.16,0.000255395
25/09/2013,39.15,-0.026963962
24/09/2013,40.22,-0.012109378
23/09/2013,40.71,-0.011236073
20/09/2013,41.17,0.002431908
19/09/2013,41.07,0.003658987
18/09/2013,40.92,0.013779746
17/09/2013,40.36,0.002480775
16/09/2013,40.26,0.016024379
13/09/2013,39.62,0.004046541
12/09/2013,39.46,0
11/09/2013,39.46,-0.008579412
10/09/2013,39.8,0.0157005
09/09/2013,39.18,0.007686433
06/09/2013,38.88,-0.002825223
05/09/2013,38.99,0.007982532
04/09/2013,38.68,0.003885512
03/09/2013,38.53,-0.012893423
30/08/2013,39.03,-0.005875608
29/08/2013,39.26,0.005107263
28/08/2013,39.06,-0.002301497
27/08/2013,39.15,-0.028702877
26/08/2013,40.29,-0.00024817
23/08/2013,40.3,0.00298211
22/08/2013,40.18,0.017321884
21/08/2013,39.49,-0.009576686
20/08/2013,39.87,-0.003255293
19/08/2013,40,-0.004987542
16/08/2013,40.2,-0.006941029
15/08/2013,40.48,0.00520125
14/08/2013,40.27,-0.022831481
13/08/2013,41.2,-0.008218562
12/08/2013,41.54,0.007490672
09/08/2013,41.23,-0.000727361
08/08/2013,41.26,0.009986686
07/08/2013,40.85,-0.007803014
06/08/2013,41.17,-0.007983591
05/08/2013,41.5,-0.002647096
02/08/2013,41.61,-0.010043126
01/08/2013,42.03,0.032155557
31/07/2013,40.7,0.024876905
30/07/2013,39.7,0.010126669
29/07/2013,39.3,-0.0154024
26/07/2013,39.91,0.002006522
25/07/2013,39.83,0.007813524
24/07/2013,39.52,0.000759398
23/07/2013,39.49,-0.007568149
22/07/2013,39.79,0.000251351
19/07/2013,39.78,0.009090972
18/07/2013,39.42,-0.000760746
17/07/2013,39.45,0.005592287
16/07/2013,39.23,-0.008376747
15/07/2013,39.56,-0.003028776
12/07/2013,39.68,0.001765671
11/07/2013,39.61,0.005315795
10/07/2013,39.4,-0.001014713
09/07/2013,39.44,0.024901813
08/07/2013,38.47,-0.013169977
05/07/2013,38.98,0.013689998
03/07/2013,38.45,-0.004152614
02/07/2013,38.61,-0.011587615
01/07/2013,39.06,0.019387967
28/06/2013,38.31,0.05803401
27/06/2013,36.15,0.024644204
26/06/2013,35.27,0.016581283
25/06/2013,34.69,0.003465207
24/06/2013,34.57,-0.006343735
21/06/2013,34.79,0.008370665
20/06/2013,34.5,-0.038105264
19/06/2013,35.84,-0.020710391
18/06/2013,36.59,0.004656905
17/06/2013,36.42,0.004954593
14/06/2013,36.24,-0.006052288
13/06/2013,36.46,0.03375024
12/06/2013,35.25,-0.023273166
11/06/2013,36.08,-0.008555316
10/06/2013,36.39,0.01550848
07/06/2013,35.83,0.022580694
06/06/2013,35.03,0.01553541
05/06/2013,34.49,0.001160429
04/06/2013,34.45,-0.02409064
03/06/2013,35.29,0.017436486
31/05/2013,34.68,-0.011182912
30/05/2013,35.07,0.010894603
29/05/2013,34.69,-0.017431503
28/05/2013,35.3,0.006251796
24/05/2013,35.08,-0.002846572
23/05/2013,35.18,-0.006234081
22/05/2013,35.4,-0.014582423
21/05/2013,35.92,-0.003057681
20/05/2013,36.03,0.008081415
17/05/2013,35.74,0.000559754
16/05/2013,35.72,0.036782479
15/05/2013,34.43,0.005241713
14/05/2013,34.25,0.000584112
13/05/2013,34.23,-0.011329097
10/05/2013,34.62,0.002024
09/05/2013,34.55,0.027881483
08/05/2013,33.6,0.02379272
07/05/2013,32.81,0.004582259
06/05/2013,32.66,-0.010962351
03/05/2013,33.02,0.032628318
02/05/2013,31.96,-0.004370909
01/05/2013,32.1,-0.031281299
30/04/2013,33.12,-0.009017194
29/04/2013,33.42,0.023003436
26/04/2013,32.66,-0.008233009
25/04/2013,32.93,0.0374367
24/04/2013,31.72,0.003473871
23/04/2013,31.61,0.019808954
22/04/2013,30.99,-0.006432959
19/04/2013,31.19,0.00096231
18/04/2013,31.16,-0.004163337
17/04/2013,31.29,-0.008908745
16/04/2013,31.57,0.007950431
15/04/2013,31.32,-0.009216655
12/04/2013,31.61,-0.001264622
11/04/2013,31.65,0.026249907
10/04/2013,30.83,0.007815084
09/04/2013,30.59,0.000654022
08/04/2013,30.57,-0.002613526
05/04/2013,30.65,0.001959504
04/04/2013,30.59,-0.010406598
03/04/2013,30.91,-0.026182849
02/04/2013,31.73,-0.008473297
01/04/2013,32,-0.025606829
28/03/2013,32.83,0.006417134
27/03/2013,32.62,-0.00122549
26/03/2013,32.66,0.002452484
25/03/2013,32.58,-0.001226994
22/03/2013,32.62,-0.002755244
21/03/2013,32.71,0.001223616
20/03/2013,32.67,0.026990936
19/03/2013,31.8,0.006942281
18/03/2013,31.58,-0.020994034
15/03/2013,32.25,0.015940328
14/03/2013,31.74,0.031687721
13/03/2013,30.75,-0.00809721
12/03/2013,31,0.013314046
11/03/2013,30.59,0.015815816
08/03/2013,30.11,0.015058006
07/03/2013,29.66,-0.002693604
06/03/2013,29.74,0.019009398
05/03/2013,29.18,-0.020017632
04/03/2013,29.77,0.010807265
01/03/2013,29.45,0.000679348
28/02/2013,29.43,0.014029315
27/02/2013,29.02,0.00206968
26/02/2013,28.96,-0.00516619
25/02/2013,29.11,-0.021074879
22/02/2013,29.73,0.000336417
21/02/2013,29.72,-0.006372653
20/02/2013,29.91,-0.005002512
19/02/2013,30.06,0.031426813
15/02/2013,29.13,-0.03109409
14/02/2013,30.05,-0.082982195
13/02/2013,32.65,-0.068073613
12/02/2013,34.95,-0.010530907
11/02/2013,35.32,0.023490052
08/02/2013,34.5,0.007564773
07/02/2013,34.24,-0.00378954
06/02/2013,34.37,0.005250887
05/02/2013,34.19,0.001463486
04/02/2013,34.14,-0.011937833
01/02/2013,34.55,0.012523828
31/01/2013,34.12,-0.006427133
30/01/2013,34.34,-0.001454969
29/01/2013,34.39,-0.00029074
28/01/2013,34.4,-0.020144566
25/01/2013,35.1,0.002853069
24/01/2013,35,-0.005982072
23/01/2013,35.21,-0.021910989
