Date,Close,AET
04/04/2014,74.23,-0.010319732
03/04/2014,75,0.002536548
02/04/2014,74.81,-0.003202992
01/04/2014,75.05,0.001066525
31/03/2014,74.97,0.011672501
28/03/2014,74.1,0.009355366
27/03/2014,73.41,-0.011108215
26/03/2014,74.23,0.003914428
25/03/2014,73.94,-0.005395211
24/03/2014,74.34,-0.018261087
21/03/2014,75.71,0.004235612
20/03/2014,75.39,0.008257905
19/03/2014,74.77,0.013871342
18/03/2014,73.74,0.010222947
17/03/2014,72.99,0.020485145
14/03/2014,71.51,-0.019388504
13/03/2014,72.91,-0.006016701
12/03/2014,73.35,-0.004081638
11/03/2014,73.65,-0.005011184
10/03/2014,74.02,0.004196852
07/03/2014,73.71,0.001629328
06/03/2014,73.59,-0.002171848
05/03/2014,73.75,0.001356852
04/03/2014,73.65,0.019053417
03/03/2014,72.26,-0.006208201
28/02/2014,72.71,0.017061236
27/02/2014,71.48,0.000839748
26/02/2014,71.42,0.003928176
25/02/2014,71.14,-0.00923471
24/02/2014,71.8,0.019265167
21/02/2014,70.43,0.007696731
20/02/2014,69.89,0.011657324
19/02/2014,69.08,-0.000434185
18/02/2014,69.11,-0.001156905
14/02/2014,69.19,0.050996672
13/02/2014,65.75,0.009167367
12/02/2014,65.15,-0.013416881
11/02/2014,66.03,0.005314719
10/02/2014,65.68,-0.016309634
07/02/2014,66.76,-0.017226443
06/02/2014,67.92,-0.005139889
05/02/2014,68.27,0.014904725
04/02/2014,67.26,0.002977965
03/02/2014,67.06,-0.018761168
31/01/2014,68.33,-0.007581316
30/01/2014,68.85,0.011540556
29/01/2014,68.06,-0.012701828
28/01/2014,68.93,0.00261476
27/01/2014,68.75,-0.00261476
24/01/2014,68.93,-0.014975082
23/01/2014,69.97,-0.009105199
22/01/2014,70.61,0.004969131
21/01/2014,70.26,0.001424299
17/01/2014,70.16,-0.000997222
16/01/2014,70.23,-0.016522299
15/01/2014,71.4,-0.001119821
14/01/2014,71.48,0.006174592
13/01/2014,71.04,-0.004354245
10/01/2014,71.35,-0.005172305
09/01/2014,71.72,0.036636214
08/01/2014,69.14,0.010175985
07/01/2014,68.44,0.013533599
06/01/2014,67.52,-0.004875536
03/01/2014,67.85,0.004283294
02/01/2014,67.56,-0.01513066
31/12/2013,68.59,0.006435593
30/12/2013,68.15,-0.0030767
27/12/2013,68.36,0.00073169
26/12/2013,68.31,0.013856354
24/12/2013,67.37,-0.00148324
23/12/2013,67.47,0.007288987
20/12/2013,66.98,0.005239141
19/12/2013,66.63,-0.006581924
18/12/2013,67.07,0.019877179
17/12/2013,65.75,0.002131548
16/12/2013,65.61,0.009033208
13/12/2013,65.02,-0.001843885
12/12/2013,65.14,-0.017651097
11/12/2013,66.3,-0.012441141
10/12/2013,67.13,0.004628601
09/12/2013,66.82,0.012044711
06/12/2013,66.02,0.018497814
05/12/2013,64.81,-0.022579144
04/12/2013,66.29,-0.020160468
03/12/2013,67.64,-0.012050109
02/12/2013,68.46,-0.006841864
29/11/2013,68.93,0.000870827
27/11/2013,68.87,0.004365548
26/11/2013,68.57,-0.003348624
25/11/2013,68.8,0.015084126
22/11/2013,67.77,0.014715985
21/11/2013,66.78,0.012658397
20/11/2013,65.94,0.021460051
19/11/2013,64.54,-0.003248514
18/11/2013,64.75,-0.005083582
15/11/2013,65.08,0.00138387
14/11/2013,64.99,0.017227089
13/11/2013,63.88,0.012761103
12/11/2013,63.07,-0.009154104
11/11/2013,63.65,0.004724418
08/11/2013,63.35,0.012548811
07/11/2013,62.56,-0.010810916
06/11/2013,63.24,0.009054148
05/11/2013,62.67,-0.014573361
04/11/2013,63.59,0.015531216
01/11/2013,62.61,-0.001436438
31/10/2013,62.7,0.009293449
30/10/2013,62.12,0.022300916
29/10/2013,60.75,-0.016812605
28/10/2013,61.78,-0.000647249
25/10/2013,61.82,0.001943006
24/10/2013,61.7,-0.010479741
23/10/2013,62.35,-0.022832766
22/10/2013,63.79,0.009450377
21/10/2013,63.19,-0.003790875
18/10/2013,63.43,-0.0117547
17/10/2013,64.18,-0.022645965
16/10/2013,65.65,0.0121065
15/10/2013,64.86,-0.009971702
14/10/2013,65.51,0.00015266
11/10/2013,65.5,-0.003200978
10/10/2013,65.71,0.028557934
09/10/2013,63.86,-0.006555354
08/10/2013,64.28,-0.016508899
07/10/2013,65.35,-0.016541845
04/10/2013,66.44,0.033828893
03/10/2013,64.23,-0.008217738
02/10/2013,64.76,-0.002159495
01/10/2013,64.9,0.013652089
30/09/2013,64.02,-0.007159564
27/09/2013,64.48,-0.004641816
26/09/2013,64.78,-0.002158829
25/09/2013,64.92,0.00169583
24/09/2013,64.81,0.011015549
23/09/2013,64.1,-0.009780409
20/09/2013,64.73,-0.001697924
19/09/2013,64.84,-0.026781881
18/09/2013,66.6,-0.017119882
17/09/2013,67.75,-0.014070289
16/09/2013,68.71,0.018211694
13/09/2013,67.47,0.026584129
12/09/2013,65.7,-0.000912825
11/09/2013,65.76,0.005795349
10/09/2013,65.38,0.005060196
09/09/2013,65.05,-0.000921942
06/09/2013,65.11,-0.002301144
05/09/2013,65.26,0.014664151
04/09/2013,64.31,0.00843228
03/09/2013,63.77,0.00597674
30/08/2013,63.39,-0.005819914
29/08/2013,63.76,0.015330209
28/08/2013,62.79,-0.004290829
27/08/2013,63.06,-0.012606533
26/08/2013,63.86,-0.013222562
23/08/2013,64.71,0.015731186
22/08/2013,63.7,0.014070266
21/08/2013,62.81,-0.003813766
20/08/2013,63.05,0.013573063
19/08/2013,62.2,0.000804182
16/08/2013,62.15,0.003061802
15/08/2013,61.96,-0.020447997
14/08/2013,63.24,-0.012727016
13/08/2013,64.05,0.009569451
12/08/2013,63.44,-0.00675519
09/08/2013,63.87,-0.005153443
08/08/2013,64.2,0.016332021
07/08/2013,63.16,-0.013992839
06/08/2013,64.05,-0.003117695
05/08/2013,64.25,0.010797382
02/08/2013,63.56,-0.002671068
01/08/2013,63.73,-0.006880402
31/07/2013,64.17,0.019195051
30/07/2013,62.95,-0.007123101
29/07/2013,63.4,-0.02029734
26/07/2013,64.7,-0.01350957
25/07/2013,65.58,-0.000457352
24/07/2013,65.61,0.003970683
23/07/2013,65.35,0.004754975
22/07/2013,65.04,0.008492292
19/07/2013,64.49,0.004039782
18/07/2013,64.23,0.042783021
17/07/2013,61.54,-0.015799136
16/07/2013,62.52,-0.015868311
15/07/2013,63.52,0.000314911
12/07/2013,63.5,-0.008467982
11/07/2013,64.04,-0.00015614
10/07/2013,64.05,0.01193669
09/07/2013,63.29,0.000474121
08/07/2013,63.26,0.01080748
05/07/2013,62.58,0.007216774
03/07/2013,62.13,-0.004816965
02/07/2013,62.43,-0.014628978
01/07/2013,63.35,-0.002994722
28/06/2013,63.54,-0.000786596
27/06/2013,63.59,0.009956621
26/06/2013,62.96,0.012787898
25/06/2013,62.16,0
24/06/2013,62.16,0.005970167
21/06/2013,61.79,0.015822857
20/06/2013,60.82,-0.016308254
19/06/2013,61.82,-0.013336745
18/06/2013,62.65,0.018689121
17/06/2013,61.49,0.01573545
14/06/2013,60.53,-0.01736041
13/06/2013,61.59,0.003578403
12/06/2013,61.37,-0.006658571
11/06/2013,61.78,0.013197748
10/06/2013,60.97,0.011547472
07/06/2013,60.27,0.015045419
06/06/2013,59.37,0.01956011
05/06/2013,58.22,-0.019391661
04/06/2013,59.36,-0.005376357
03/06/2013,59.68,-0.011660968
31/05/2013,60.38,-0.033708312
30/05/2013,62.45,0.035199984
29/05/2013,60.29,-0.009902705
28/05/2013,60.89,0.026291032
24/05/2013,59.31,-0.018045602
23/05/2013,60.39,0.014343141
22/05/2013,59.53,-0.01235408
21/05/2013,60.27,0.018926953
20/05/2013,59.14,-0.015103492
17/05/2013,60.04,0.00853062
16/05/2013,59.53,-0.00502682
15/05/2013,59.83,0.007381345
14/05/2013,59.39,0.002360082
13/05/2013,59.25,0.002534856
10/05/2013,59.1,-0.006577307
09/05/2013,59.49,0.00235611
08/05/2013,59.35,0.00472894
07/05/2013,59.07,0.006453827
06/05/2013,58.69,-0.005268089
03/05/2013,59,0.011078085
02/05/2013,58.35,0.001715266
01/05/2013,58.25,0.014003168
30/04/2013,57.44,0.022536165
29/04/2013,56.16,-0.015021931
26/04/2013,57.01,0.002282906
25/04/2013,56.88,-0.001932028
24/04/2013,56.99,0.025592298
23/04/2013,55.55,0.009586761
22/04/2013,55.02,-0.015330808
19/04/2013,55.87,0.030715727
18/04/2013,54.18,-0.020280224
17/04/2013,55.29,-0.024123389
16/04/2013,56.64,0.02466613
15/04/2013,55.26,-0.027134832
12/04/2013,56.78,0.00140994
11/04/2013,56.7,0.010816667
10/04/2013,56.09,0.010034128
09/04/2013,55.53,0.018906217
08/04/2013,54.49,0.009033152
05/04/2013,54,-0.011049836
04/04/2013,54.6,0.00311841
03/04/2013,54.43,0.002391246
02/04/2013,54.3,0.035999388
01/04/2013,52.38,0.02415343
28/03/2013,51.13,0.00509805
27/03/2013,50.87,0.005321783
26/03/2013,50.6,0.010929071
25/03/2013,50.05,0.002801122
22/03/2013,49.91,-0.006590139
21/03/2013,50.24,0.004188697
20/03/2013,50.03,-0.009746472
19/03/2013,50.52,-0.000989218
18/03/2013,50.57,-0.005914844
15/03/2013,50.87,-0.007051939
14/03/2013,51.23,-0.004479509
13/03/2013,51.46,0.00428433
12/03/2013,51.24,0.026499474
11/03/2013,49.9,-0.012348295
08/03/2013,50.52,0.018580097
07/03/2013,49.59,0.011356845
06/03/2013,49.03,0.024361238
05/03/2013,47.85,0.01494922
04/03/2013,47.14,-0.007607814
01/03/2013,47.5,0.006547705
28/02/2013,47.19,-0.007179085
27/02/2013,47.53,0.020619287
26/02/2013,46.56,-0.003002361
25/02/2013,46.7,-0.01866834
22/02/2013,47.58,-0.003775964
21/02/2013,47.76,-0.010000083
20/02/2013,48.24,-0.009695795
19/02/2013,48.71,-0.010009276
15/02/2013,49.2,-0.007290433
14/02/2013,49.56,0.001009387
13/02/2013,49.51,-0.012843845
12/02/2013,50.15,-0.004575757
11/02/2013,50.38,-0.004357305
08/02/2013,50.6,0.018751796
07/02/2013,49.66,0.00020139
06/02/2013,49.65,0.00201613
05/02/2013,49.55,0.020388066
04/02/2013,48.55,0.001442853
01/02/2013,48.48,0.005170108
31/01/2013,48.23,-0.014818135
30/01/2013,48.95,-0.015406751
29/01/2013,49.71,0.006863168
28/01/2013,49.37,-0.007868496
25/01/2013,49.76,0.000804182
24/01/2013,49.72,0.022577996
23/01/2013,48.61,0.005569896
22/01/2013,48.34,0.029602245
18/01/2013,46.93,-0.005524876
17/01/2013,47.19,0.032083708
16/01/2013,45.7,-0.007629465
15/01/2013,46.05,0.005880448
14/01/2013,45.78,0.005475865
11/01/2013,45.53,-0.005038898
10/01/2013,45.76,0.017192401
09/01/2013,44.98,0.013429029
08/01/2013,44.38,-0.039324705
07/01/2013,46.16,0.014840953
04/01/2013,45.48,0.004628107
03/01/2013,45.27,-0.021416903
02/01/2013,46.25,-0.001296457
31/12/2012,46.31,0.016327782
28/12/2012,45.56,-0.014815086
27/12/2012,46.24,-0.006037103
26/12/2012,46.52,0.000430015
24/12/2012,46.5,-0.002791798
21/12/2012,46.63,-0.007690702
20/12/2012,46.99,0.021293417
19/12/2012,46,-0.011240931
18/12/2012,46.52,0.007335524
17/12/2012,46.18,0.013297199
14/12/2012,45.57,-0.008739405
13/12/2012,45.97,0.001306052
12/12/2012,45.91,0.031643308
11/12/2012,44.48,-0.004486324
10/12/2012,44.68,-0.000671216
07/12/2012,44.71,0.029046744
06/12/2012,43.43,-0.002759257
05/12/2012,43.55,0.004372346
04/12/2012,43.36,-0.000922084
03/12/2012,43.4,0.004850454
30/11/2012,43.19,0.010473737
29/11/2012,42.74,0.009875462
28/11/2012,42.32,-0.008001925
27/11/2012,42.66,-0.002808991
26/11/2012,42.78,-0.004896827
23/11/2012,42.99,0.019495626
21/11/2012,42.16,0.007380107
20/11/2012,41.85,0.003350889
19/11/2012,41.71,0.024512816
16/11/2012,40.7,-0.001963673
15/11/2012,40.78,-0.000245188
14/11/2012,40.79,-0.01677443
13/11/2012,41.48,-0.010313079
12/11/2012,41.91,-0.004998225
09/11/2012,42.12,-0.004973367
08/11/2012,42.33,-0.008468646
07/11/2012,42.69,-0.042871895
06/11/2012,44.56,0.006077678
