Date,Close,XEL
04/04/2014,30.66,0.012471445
03/04/2014,30.28,0.001983472
02/04/2014,30.22,-0.001653166
01/04/2014,30.27,-0.002968829
31/03/2014,30.36,0.009265453
28/03/2014,30.08,0
27/03/2014,30.08,0.008010724
26/03/2014,29.84,-0.006014051
25/03/2014,30.02,0.009707189
24/03/2014,29.73,0.001346348
21/03/2014,29.69,0.00033687
20/03/2014,29.68,-0.005711422
19/03/2014,29.85,-0.017928767
18/03/2014,30.39,-0.011125769
17/03/2014,30.73,0.00685717
14/03/2014,30.52,0.004597709
13/03/2014,30.38,0.015257344
12/03/2014,29.92,0.011090687
11/03/2014,29.59,-0.005392666
10/03/2014,29.75,-0.004694844
07/03/2014,29.89,0.000669344
06/03/2014,29.87,-0.00534225
05/03/2014,30.03,-0.007960241
04/03/2014,30.27,0.008626464
03/03/2014,30.01,-0.009286966
28/02/2014,30.29,0.011956303
27/02/2014,29.93,0.000668449
26/02/2014,29.91,-0.003004509
25/02/2014,30,0.000666889
24/02/2014,29.98,-0.002332168
21/02/2014,30.05,0.007348062
20/02/2014,29.83,0.009769321
19/02/2014,29.54,-0.005065012
18/02/2014,29.69,0.001348163
14/02/2014,29.65,0.007447563
13/02/2014,29.43,0.010589339
12/02/2014,29.12,0.003784625
11/02/2014,29.01,0.009002831
10/02/2014,28.75,0.004182648
07/02/2014,28.63,0.005955526
06/02/2014,28.46,0.006698421
05/02/2014,28.27,-0.005291951
04/02/2014,28.42,-0.006663184
03/02/2014,28.61,-0.010431249
31/01/2014,28.91,0.006245683
30/01/2014,28.73,0.020039342
29/01/2014,28.16,-0.001419447
28/01/2014,28.2,0.000709471
27/01/2014,28.18,0.004267432
24/01/2014,28.06,-0.014857012
23/01/2014,28.48,-0.00245485
22/01/2014,28.55,0.003508776
21/01/2014,28.45,0.008826183
17/01/2014,28.2,0
16/01/2014,28.2,0.006403437
15/01/2014,28.02,-0.003562526
14/01/2014,28.12,0.002849005
13/01/2014,28.04,-0.007461395
10/01/2014,28.25,0.015338271
09/01/2014,27.82,0.003961828
08/01/2014,27.71,-0.003961828
07/01/2014,27.82,0.017038658
06/01/2014,27.35,-0.005469476
03/01/2014,27.5,-0.00036357
02/01/2014,27.51,-0.015509779
31/12/2013,27.94,0.000716076
30/12/2013,27.92,0.00215131
27/12/2013,27.86,0.001077393
26/12/2013,27.83,-0.005375394
24/12/2013,27.98,-0.005702082
23/12/2013,28.14,-0.002484473
20/12/2013,28.21,0.00212917
19/12/2013,28.15,-0.008137317
18/12/2013,28.38,0.01813383
17/12/2013,27.87,-0.004296462
16/12/2013,27.99,0.008971889
13/12/2013,27.74,-0.001440922
12/12/2013,27.78,0.006500565
11/12/2013,27.6,-0.010810916
10/12/2013,27.9,-0.009985818
09/12/2013,28.18,-0.009535654
06/12/2013,28.45,0.014159529
05/12/2013,28.05,0.002498663
04/12/2013,27.98,0.003580383
03/12/2013,27.88,-0.001433692
02/12/2013,27.92,-0.003575263
29/11/2013,28.02,-0.001070091
27/11/2013,28.05,-0.001780944
26/11/2013,28.1,-0.003906949
25/11/2013,28.21,-0.004950505
22/11/2013,28.35,0.005305052
21/11/2013,28.2,0.003552402
20/11/2013,28.1,-0.013783572
19/11/2013,28.49,-0.004552626
18/11/2013,28.62,0.000699056
15/11/2013,28.6,0.000349711
14/11/2013,28.59,0.002802103
13/11/2013,28.51,0.004922654
12/11/2013,28.37,-0.008074469
11/11/2013,28.6,0.002801122
08/11/2013,28.52,-0.003849524
07/11/2013,28.63,-0.011115085
06/11/2013,28.95,0.00797646
05/11/2013,28.72,-0.009012193
04/11/2013,28.98,0.00207254
01/11/2013,28.92,0.002076844
31/10/2013,28.86,-0.001385042
30/10/2013,28.9,-0.008270206
29/10/2013,29.14,0.002061148
28/10/2013,29.08,-0.000687522
25/10/2013,29.1,0.00758886
24/10/2013,28.88,-0.006557401
23/10/2013,29.07,0
22/10/2013,29.07,0.017349498
