Date,Close,TRV
04/04/2014,85.2,0.002585499
03/04/2014,84.98,0.003890826
02/04/2014,84.65,0.003076197
01/04/2014,84.39,-0.008378124
31/03/2014,85.1,0.013129291
28/03/2014,83.99,0.00597088
27/03/2014,83.49,0.000718907
26/03/2014,83.43,-0.007165921
25/03/2014,84.03,0.002025136
24/03/2014,83.86,0.000954426
21/03/2014,83.78,0.006586456
20/03/2014,83.23,0.000360512
19/03/2014,83.2,-0.008974036
18/03/2014,83.95,0.004895824
17/03/2014,83.54,0.01058975
14/03/2014,82.66,0.000847201
13/03/2014,82.59,-0.010119349
12/03/2014,83.43,-0.0017963
11/03/2014,83.58,-0.002390058
10/03/2014,83.78,-0.001788803
07/03/2014,83.93,-0.005584284
06/03/2014,84.4,0.000355513
05/03/2014,84.37,0.003086422
04/03/2014,84.11,0.011118532
03/03/2014,83.18,-0.007903286
28/02/2014,83.84,-0.000119268
27/02/2014,83.85,0.005021531
26/02/2014,83.43,0.001079331
25/02/2014,83.34,-0.001199185
24/02/2014,83.44,-0.004185858
21/02/2014,83.79,-0.000238663
20/02/2014,83.81,-0.002383507
19/02/2014,84.01,-0.004276049
18/02/2014,84.37,0.004157022
14/02/2014,84.02,0.013661087
13/02/2014,82.88,0.007508816
12/02/2014,82.26,-0.01148257
11/02/2014,83.21,0.010389076
10/02/2014,82.35,0.018011882
07/02/2014,80.88,0.002351923
06/02/2014,80.69,0.003103087
05/02/2014,80.44,0.001119473
04/02/2014,80.35,0.001120727
03/02/2014,80.26,-0.012628619
31/01/2014,81.28,-0.013199898
30/01/2014,82.36,0.001822933
29/01/2014,82.21,-0.010767753
28/01/2014,83.1,0.009795108
27/01/2014,82.29,0.00829779
24/01/2014,81.61,-0.017731822
23/01/2014,83.07,-0.017777716
22/01/2014,84.56,-0.005189915
21/01/2014,85,-0.017146276
17/01/2014,86.47,-0.008865408
16/01/2014,87.24,-0.007309306
15/01/2014,87.88,0.004905046
14/01/2014,87.45,0.012774211
13/01/2014,86.34,-0.013231511
10/01/2014,87.49,-0.002169322
09/01/2014,87.68,0.001141162
08/01/2014,87.58,-0.009319308
07/01/2014,88.4,-0.005865119
06/01/2014,88.92,-0.002695419
03/01/2014,89.16,-0.001904869
02/01/2014,89.33,-0.013454364
31/12/2013,90.54,0.00287579
30/12/2013,90.28,0.004774339
27/12/2013,89.85,-0.001779162
26/12/2013,90.01,0.005793888
24/12/2013,89.49,0.003694379
23/12/2013,89.16,-0.000224291
20/12/2013,89.18,0.004382768
19/12/2013,88.79,0.007347572
18/12/2013,88.14,0.017973124
17/12/2013,86.57,-0.005529331
16/12/2013,87.05,0.006453866
13/12/2013,86.49,-0.001617376
12/12/2013,86.63,-0.005410708
11/12/2013,87.1,-0.015267472
10/12/2013,88.44,-0.000113065
09/12/2013,88.45,-0.006311302
06/12/2013,89.01,0.012321413
05/12/2013,87.92,-0.007817408
04/12/2013,88.61,-0.004728674
03/12/2013,89.03,0.000337022
02/12/2013,89,-0.019361905
29/11/2013,90.74,-0.002751336
27/11/2013,90.99,0.002200463
26/11/2013,90.79,0
25/11/2013,90.79,0.002978327
22/11/2013,90.52,0.014465591
21/11/2013,89.22,0.014564186
20/11/2013,87.93,-0.001817976
19/11/2013,88.09,-0.001021161
18/11/2013,88.18,-0.005541433
15/11/2013,88.67,0.004747918
14/11/2013,88.25,0.011740033
13/11/2013,87.22,0.008983131
12/11/2013,86.44,-0.017545316
11/11/2013,87.97,0.001934347
08/11/2013,87.8,0.006627838
07/11/2013,87.22,-0.003090839
06/11/2013,87.49,0.011842622
05/11/2013,86.46,-0.001617936
04/11/2013,86.6,0.00231214
01/11/2013,86.4,0.001158078
31/10/2013,86.3,-0.006928434
30/10/2013,86.9,-0.004363309
29/10/2013,87.28,0.001949654
28/10/2013,87.11,0.005525512
25/10/2013,86.63,-0.004606711
24/10/2013,87.03,0.008655065
23/10/2013,86.28,-0.004971396
22/10/2013,86.71,-0.000576469
21/10/2013,86.76,0.002076844
18/10/2013,86.58,0.006489015
17/10/2013,86.02,-0.000697269
16/10/2013,86.08,0.018762276
15/10/2013,84.48,-0.008486614
14/10/2013,85.2,0.006358199
11/10/2013,84.66,0.005804672
10/10/2013,84.17,0.021860107
09/10/2013,82.35,-0.007741662
08/10/2013,82.99,-0.013167535
07/10/2013,84.09,-0.006991792
04/10/2013,84.68,0.007348617
03/10/2013,84.06,-0.00498399
02/10/2013,84.48,-0.002128415
01/10/2013,84.66,-0.001298472
30/09/2013,84.77,-0.007521483
27/09/2013,85.41,-0.004905406
26/09/2013,85.83,-0.001746115
25/09/2013,85.98,0.001280186
24/09/2013,85.87,-0.005921643
23/09/2013,86.38,0.00371144
20/09/2013,86.06,-0.009713305
19/09/2013,86.9,0.011457796
18/09/2013,85.91,0.012179563
17/09/2013,84.87,0.00354108
16/09/2013,84.57,0.012014657
13/09/2013,83.56,0.00527959
12/09/2013,83.12,-0.007311989
11/09/2013,83.73,0.014314312
10/09/2013,82.54,0.004249384
09/09/2013,82.19,0.020900687
06/09/2013,80.49,-0.002109836
05/09/2013,80.66,-0.00507019
04/09/2013,81.07,0.006186607
03/09/2013,80.57,0.008350519
30/08/2013,79.9,-0.004370909
29/08/2013,80.25,0.004496074
28/08/2013,79.89,0.001879347
27/08/2013,79.74,-0.004754169
26/08/2013,80.12,-0.000873308
23/08/2013,80.19,-0.004479291
22/08/2013,80.55,0.014127884
21/08/2013,79.42,-0.010645726
20/08/2013,80.27,0.000498442
19/08/2013,80.23,-0.010785451
16/08/2013,81.1,0.000369982
15/08/2013,81.07,-0.013598984
14/08/2013,82.18,0.002924691
13/08/2013,81.94,-0.004626819
12/08/2013,82.32,0.002676075
09/08/2013,82.1,0.000852982
08/08/2013,82.03,0.002074563
07/08/2013,81.86,-0.006089411
06/08/2013,82.36,-0.009546323
05/08/2013,83.15,-0.010170593
02/08/2013,84,-0.004276557
01/08/2013,84.36,0.009648101
31/07/2013,83.55,0.001916857
30/07/2013,83.39,-0.000239808
29/07/2013,83.41,-0.002275314
26/07/2013,83.6,0.009011776
25/07/2013,82.85,0.00811978
24/07/2013,82.18,-0.000364986
23/07/2013,82.21,-0.038420378
22/07/2013,85.43,0.009054092
19/07/2013,84.66,0.001536734
18/07/2013,84.53,0.006408757
17/07/2013,83.99,0.009089884
16/07/2013,83.23,-0.000600565
15/07/2013,83.28,-0.010748939
12/07/2013,84.18,0.017737761
11/07/2013,82.7,0.013758055
10/07/2013,81.57,-0.00586727
09/07/2013,82.05,0.003540691
08/07/2013,81.76,0.005150226
05/07/2013,81.34,0.011623724
03/07/2013,80.4,0.007240077
02/07/2013,79.82,-0.016032158
01/07/2013,81.11,0.014780124
28/06/2013,79.92,-0.005241495
27/06/2013,80.34,0.006869446
26/06/2013,79.79,0.017191676
25/06/2013,78.43,0.007422609
24/06/2013,77.85,-0.015549638
21/06/2013,79.07,-0.00893931
20/06/2013,79.78,-0.030855218
19/06/2013,82.28,-0.021759589
18/06/2013,84.09,0.010279794
17/06/2013,83.23,0.013061015
14/06/2013,82.15,-0.007881217
13/06/2013,82.8,0.016438726
12/06/2013,81.45,-0.007705046
11/06/2013,82.08,-0.014754168
10/06/2013,83.3,-0.001679262
07/06/2013,83.44,0.020584333
06/06/2013,81.74,-0.006098324
05/06/2013,82.24,-0.019029841
04/06/2013,83.82,0.000716076
03/06/2013,83.76,0.000477669
31/05/2013,83.72,-0.009983444
30/05/2013,84.56,0.010580851
29/05/2013,83.67,0.005392787
28/05/2013,83.22,-0.004555817
24/05/2013,83.6,0.001196888
23/05/2013,83.5,-0.003228316
22/05/2013,83.77,0.001672641
21/05/2013,83.63,-0.022698693
20/05/2013,85.55,-0.011043414
17/05/2013,86.5,-0.004268334
16/05/2013,86.87,-0.010420936
15/05/2013,87.78,-0.00136612
14/05/2013,87.9,0.016055391
13/05/2013,86.5,0.000115614
10/05/2013,86.49,0.000346921
09/05/2013,86.46,-0.009439462
08/05/2013,87.28,0.014541514
07/05/2013,86.02,0.008288146
06/05/2013,85.31,-0.001171509
03/05/2013,85.41,0.01165885
02/05/2013,84.42,0.003797773
01/05/2013,84.1,-0.015456623
30/04/2013,85.41,-0.00081924
29/04/2013,85.48,0.003868023
26/04/2013,85.15,-0.001408286
25/04/2013,85.27,-0.00689537
24/04/2013,85.86,-0.005690742
23/04/2013,86.35,0.020710973
22/04/2013,84.58,-0.002715628
19/04/2013,84.81,0.008406893
18/04/2013,84.1,-0.01146788
17/04/2013,85.07,-0.017247835
16/04/2013,86.55,0.021488623
15/04/2013,84.71,-0.018132333
12/04/2013,86.26,0.002321264
11/04/2013,86.06,0.014631267
