Date,Close,EXPD
04/04/2014,39.44,-0.020329474
03/04/2014,40.25,0.008232552
02/04/2014,39.92,0.004770882
01/04/2014,39.73,0.002520163
31/03/2014,39.63,0.010654591
28/03/2014,39.21,0.014643807
27/03/2014,38.64,-0.001034661
26/03/2014,38.68,-0.01411909
25/03/2014,39.23,0.003319293
24/03/2014,39.1,0.003843695
21/03/2014,38.95,0.004374123
20/03/2014,38.78,0.001031992
19/03/2014,38.74,-0.001547589
18/03/2014,38.8,-0.002316902
17/03/2014,38.89,-0.002311546
14/03/2014,38.98,-0.020315579
13/03/2014,39.78,-0.011994147
12/03/2014,40.26,0.014511138
11/03/2014,39.68,-0.000503905
10/03/2014,39.7,-0.003018111
07/03/2014,39.82,0.007056481
06/03/2014,39.54,-0.001263743
05/03/2014,39.59,0.002275889
04/03/2014,39.5,0.001773724
03/03/2014,39.43,-0.002026857
28/02/2014,39.51,0.008387392
27/02/2014,39.18,0.004092077
26/02/2014,39.02,-0.00102459
25/02/2014,39.06,-0.07280876
24/02/2014,42.01,0.010288403
21/02/2014,41.58,-0.002881846
20/02/2014,41.7,0.013277202
19/02/2014,41.15,-0.017345653
18/02/2014,41.87,0.000238863
14/02/2014,41.86,0.002152339
13/02/2014,41.77,0.003837856
12/02/2014,41.61,0.000240356
11/02/2014,41.6,0.016481226
10/02/2014,40.92,0.006374133
07/02/2014,40.66,0.013369845
06/02/2014,40.12,-0.006954822
05/02/2014,40.4,-0.003459356
04/02/2014,40.54,0.006185842
03/02/2014,40.29,-0.01404829
31/01/2014,40.86,-0.008771986
30/01/2014,41.22,0.005351509
29/01/2014,41,-0.012603172
28/01/2014,41.52,0.000722805
27/01/2014,41.49,-0.012217184
24/01/2014,42,-0.037158148
23/01/2014,43.59,-0.012765161
22/01/2014,44.15,0.003403293
21/01/2014,44,0.005240983
17/01/2014,43.77,-0.005240983
16/01/2014,44,0.001364567
15/01/2014,43.94,0.003419586
14/01/2014,43.79,-0.009771695
13/01/2014,44.22,0.013890694
10/01/2014,43.61,0.013853835
09/01/2014,43.01,0.000465116
08/01/2014,42.99,-0.006723104
07/01/2014,43.28,0.010685351
06/01/2014,42.82,-0.00999195
03/01/2014,43.25,-0.005533793
02/01/2014,43.49,-0.017324345
31/12/2013,44.25,0.002262444
30/12/2013,44.15,-0.000226475
27/12/2013,44.16,0.012074415
26/12/2013,43.63,0.003673942
24/12/2013,43.47,-0.002527285
23/12/2013,43.58,0.000688626
20/12/2013,43.55,0.013640253
19/12/2013,42.96,-0.003253547
18/12/2013,43.1,0.009324077
17/12/2013,42.7,-0.002339182
16/12/2013,42.8,-0.005127021
13/12/2013,43.02,0.009106893
12/12/2013,42.63,0.003054155
11/12/2013,42.5,-0.007267644
10/12/2013,42.81,-0.013918109
09/12/2013,43.41,-0.000690846
06/12/2013,43.44,0.006003251
05/12/2013,43.18,-0.00300613
04/12/2013,43.31,0.000924001
03/12/2013,43.27,-0.003690892
02/12/2013,43.43,-0.000230229
29/11/2013,43.44,-0.001839927
27/11/2013,43.52,0.001609751
26/11/2013,43.45,-0.007337799
25/11/2013,43.77,0.00343289
22/11/2013,43.62,-0.00388972
21/11/2013,43.79,0.008255034
20/11/2013,43.43,0.001843743
19/11/2013,43.35,0.000923148
18/11/2013,43.31,-0.000461681
15/11/2013,43.33,0.002310537
14/11/2013,43.23,0.003011702
13/11/2013,43.1,0.01143403
12/11/2013,42.61,0.002114414
11/11/2013,42.52,0.002354604
08/11/2013,42.42,0.005910881
07/11/2013,42.17,-0.0103799
06/11/2013,42.61,-0.018600862
05/11/2013,43.41,-0.064236126
04/11/2013,46.29,0.01941385
01/11/2013,45.4,0.002425847
31/10/2013,45.29,-0.022919261
30/10/2013,46.34,-0.006453023
29/10/2013,46.64,0.000214431
28/10/2013,46.63,0.016214819
25/10/2013,45.88,-0.009112669
24/10/2013,46.3,0.04777556
23/10/2013,44.14,-0.009021261
22/10/2013,44.54,0.004274953
21/10/2013,44.35,0.009970624
18/10/2013,43.91,0.017691444
17/10/2013,43.14,-0.006239188
16/10/2013,43.41,0.005775689
15/10/2013,43.16,-0.009684189
14/10/2013,43.58,0.002987478
11/10/2013,43.45,0.007623925
10/10/2013,43.12,0.016602743
09/10/2013,42.41,0.008287013
08/10/2013,42.06,-0.019774656
07/10/2013,42.9,-0.003025721
04/10/2013,43.03,0.000232423
03/10/2013,43.02,-0.023887218
02/10/2013,44.06,-0.010161542
01/10/2013,44.51,0.010161542
30/09/2013,44.06,-0.001814059
27/09/2013,44.14,-0.004069642
26/09/2013,44.32,0.003163844
25/09/2013,44.18,-0.011701304
24/09/2013,44.7,0.002912515
23/09/2013,44.57,-0.005370342
20/09/2013,44.81,-0.002674394
19/09/2013,44.93,-0.00665486
18/09/2013,45.23,0.03007408
17/09/2013,43.89,-0.016943814
16/09/2013,44.64,0.00809721
13/09/2013,44.28,-0.001354096
12/09/2013,44.34,-0.008980752
11/09/2013,44.74,0.010109038
10/09/2013,44.29,0.015243157
09/09/2013,43.62,0.016643935
06/09/2013,42.9,0.017874418
05/09/2013,42.14,0.003804094
04/09/2013,41.98,0.012464207
03/09/2013,41.46,0.021946748
30/08/2013,40.56,0.002715716
29/08/2013,40.45,-0.004932192
28/08/2013,40.65,-0.000491884
27/08/2013,40.67,-0.023090101
26/08/2013,41.62,0.008929708
23/08/2013,41.25,-0.000242395
22/08/2013,41.26,0.01834465
21/08/2013,40.51,-0.000986923
20/08/2013,40.55,0.015658329
19/08/2013,39.92,-0.002751722
16/08/2013,40.03,0.00475774
15/08/2013,39.84,-0.016677424
14/08/2013,40.51,-0.004924905
