Date,Close,COST
04/04/2014,110.65,-0.00944464
03/04/2014,111.7,0.001343785
02/04/2014,111.55,-0.002775169
01/04/2014,111.86,0.00161045
31/03/2014,111.68,0.000179099
28/03/2014,111.66,-0.003308153
27/03/2014,112.03,-0.004097636
26/03/2014,112.49,-0.012719896
25/03/2014,113.93,0.004927419
24/03/2014,113.37,-0.004049301
21/03/2014,113.83,0.005903361
20/03/2014,113.16,0.002743243
19/03/2014,112.85,-0.008822289
18/03/2014,113.85,0.003431441
17/03/2014,113.46,8.81407E-05
14/03/2014,113.45,-0.008426276
13/03/2014,114.41,-0.006968062
12/03/2014,115.21,0.004349346
11/03/2014,114.71,0.001046664
10/03/2014,114.59,0.009557704
07/03/2014,113.5,0.002116776
06/03/2014,113.26,-0.027947668
05/03/2014,116.47,-0.001544269
04/03/2014,116.65,0.007745306
03/03/2014,115.75,-0.009030377
28/02/2014,116.8,0.004978124
27/02/2014,116.22,0.002929774
26/02/2014,115.88,0.003631023
25/02/2014,115.46,0.013252156
24/02/2014,113.94,0.006604171
21/02/2014,113.19,-0.016385909
20/02/2014,115.06,0.001304518
19/02/2014,114.91,-0.00390846
18/02/2014,115.36,-0.006394215
14/02/2014,116.1,0.002500972
13/02/2014,115.81,0.008672329
12/02/2014,114.81,-0.00156658
11/02/2014,114.99,0.009963376
10/02/2014,113.85,-0.001667472
07/02/2014,114.04,-0.001927289
06/02/2014,114.26,0.033370539
05/02/2014,110.51,-0.003432704
04/02/2014,110.89,0.006423327
03/02/2014,110.18,-0.01959261
31/01/2014,112.36,-0.003287577
30/01/2014,112.73,0.004445242
29/01/2014,112.23,-0.018975901
28/01/2014,114.38,0.011430706
27/01/2014,113.08,0.00843662
24/01/2014,112.13,-0.005957427
23/01/2014,112.8,-0.008386719
22/01/2014,113.75,-0.01032019
21/01/2014,114.93,-0.011763824
17/01/2014,116.29,0.006297196
16/01/2014,115.56,-0.005867144
15/01/2014,116.24,8.60326E-05
14/01/2014,116.23,0.012640861
13/01/2014,114.77,-0.026482504
10/01/2014,117.85,-0.005584716
09/01/2014,118.51,0.038360396
08/01/2014,114.05,-0.015745617
07/01/2014,115.86,-0.00464997
06/01/2014,116.4,-0.007616965
03/01/2014,117.29,-0.004423657
02/01/2014,117.81,-0.010218389
31/12/2013,119.02,0.002102696
30/12/2013,118.77,0.002022757
27/12/2013,118.53,-0.000843313
26/12/2013,118.63,-0.000505646
24/12/2013,118.69,0
23/12/2013,118.69,0.001348959
20/12/2013,118.53,0.004566218
19/12/2013,117.99,-0.004313085
18/12/2013,118.5,0.008049186
17/12/2013,117.55,-0.003820849
16/12/2013,118,0.000763003
13/12/2013,117.91,-0.002625674
12/12/2013,118.22,-0.002956208
11/12/2013,118.57,-0.012321517
10/12/2013,120.04,-0.013405248
09/12/2013,121.66,-0.003282458
06/12/2013,122.06,0.00913549
05/12/2013,120.95,-0.016563186
04/12/2013,122.97,-0.006888475
03/12/2013,123.82,0.001050463
02/12/2013,123.69,-0.013969399
29/11/2013,125.43,0.000398708
27/11/2013,125.38,0.001596424
26/11/2013,125.18,7.98882E-05
25/11/2013,125.17,-0.000319514
22/11/2013,125.21,0.010598253
21/11/2013,123.89,0.009162845
20/11/2013,122.76,-0.007062004
19/11/2013,123.63,0.002591724
18/11/2013,123.31,-0.007916035
15/11/2013,124.29,0.004434955
14/11/2013,123.74,0.004617075
13/11/2013,123.17,0.005862732
12/11/2013,122.45,-0.00464416
11/11/2013,123.02,0.001952808
08/11/2013,122.78,0
07/11/2013,122.78,-0.010451786
06/11/2013,124.07,0.032271433
05/11/2013,120.13,-0.00174658
04/11/2013,120.34,0.006001018
01/11/2013,119.62,0.013635427
31/10/2013,118,0.002035969
30/10/2013,117.76,-0.008371788
29/10/2013,118.75,0.011859521
28/10/2013,117.35,0.007784803
25/10/2013,116.44,0.0017191
24/10/2013,116.24,-0.007883503
23/10/2013,117.16,-0.005532635
22/10/2013,117.81,0.003656622
21/10/2013,117.38,-0.002212579
18/10/2013,117.64,-0.005256477
17/10/2013,118.26,0.007639457
16/10/2013,117.36,0.01718846
15/10/2013,115.36,-0.007771389
14/10/2013,116.26,0.003101312
11/10/2013,115.9,0.001727116
10/10/2013,115.7,0.009640094
09/10/2013,114.59,0.020988425
08/10/2013,112.21,-0.010637455
07/10/2013,113.41,-0.009041097
04/10/2013,114.44,0.000174779
03/10/2013,114.42,-0.003489796
02/10/2013,114.82,-0.001566444
01/10/2013,115,-0.001477169
30/09/2013,115.17,-0.004764182
27/09/2013,115.72,-0.005859055
26/09/2013,116.4,0.00854153
25/09/2013,115.41,-0.008025933
24/09/2013,116.34,-0.010516962
23/09/2013,117.57,-0.00314212
20/09/2013,117.94,-0.010626734
19/09/2013,119.2,0.004709057
18/09/2013,118.64,0.006172076
17/09/2013,117.91,0.004760699
16/09/2013,117.35,0.00273061
13/09/2013,117.03,-0.009863187
12/09/2013,118.19,-0.008928631
11/09/2013,119.25,0.016316886
10/09/2013,117.32,0.016934259
09/09/2013,115.35,0.008707064
06/09/2013,114.35,-0.002358389
05/09/2013,114.62,0.027597718
04/09/2013,111.5,-0.004295693
03/09/2013,111.98,0.000982801
30/08/2013,111.87,0.004299926
29/08/2013,111.39,0.008384092
28/08/2013,110.46,-0.010894629
27/08/2013,111.67,-0.001789389
26/08/2013,111.87,-0.010669613
23/08/2013,113.07,0.00736766
22/08/2013,112.24,0.002497771
21/08/2013,111.96,-0.007829221
20/08/2013,112.84,0.006757984
19/08/2013,112.08,0.001607287
16/08/2013,111.9,0.000983504
15/08/2013,111.79,-0.017644648
14/08/2013,113.78,-0.016301629
13/08/2013,115.65,-0.000691503
12/08/2013,115.73,0.000864454
09/08/2013,115.63,-0.015106287
08/08/2013,117.39,-0.016474837
07/08/2013,119.34,-0.001339809
06/08/2013,119.5,-0.004758535
