Date,Close,PLL
04/04/2014,89.07,-0.01482169
03/04/2014,90.4,-0.006944855
02/04/2014,91.03,0.002750125
01/04/2014,90.78,0.014535623
31/03/2014,89.47,0.010448946
28/03/2014,88.54,0.010216913
27/03/2014,87.64,0.001484442
26/03/2014,87.51,-0.017107991
25/03/2014,89.02,0.016194227
24/03/2014,87.59,-0.017429142
21/03/2014,89.13,0.005287149
20/03/2014,88.66,0.003842247
19/03/2014,88.32,0.002153585
18/03/2014,88.13,0.006146161
17/03/2014,87.59,0.016344747
14/03/2014,86.17,0.010733973
13/03/2014,85.25,-0.012820688
12/03/2014,86.35,-0.002313477
11/03/2014,86.55,-0.001039321
10/03/2014,86.64,-0.007703401
07/03/2014,87.31,0.004706972
06/03/2014,86.9,0.003458217
05/03/2014,86.6,0.001964978
04/03/2014,86.43,0.01421604
03/03/2014,85.21,-0.009228498
28/02/2014,86,0
27/02/2014,86,0.005947886
26/02/2014,85.49,-0.001636279
25/02/2014,85.63,-0.004311607
24/02/2014,86,0.006767031
21/02/2014,85.42,-0.001988188
20/02/2014,85.59,0.009862708
19/02/2014,84.75,-0.013012317
18/02/2014,85.86,0.001865237
14/02/2014,85.7,0.006320986
13/02/2014,85.16,0.007188765
12/02/2014,84.55,0.013694766
11/02/2014,83.4,0.01388492
10/02/2014,82.25,-0.001579299
07/02/2014,82.38,0.023582522
06/02/2014,80.46,0.012128939
05/02/2014,79.49,-0.00251288
04/02/2014,79.69,0.014536058
03/02/2014,78.54,-0.019667805
31/01/2014,80.1,-0.006470904
30/01/2014,80.62,0.006346067
29/01/2014,80.11,-0.012158959
28/01/2014,81.09,0.023457095
27/01/2014,79.21,-0.002899466
24/01/2014,79.44,-0.036219273
23/01/2014,82.37,-0.011587335
22/01/2014,83.33,-0.003952338
21/01/2014,83.66,0.001914334
17/01/2014,83.5,-0.008348289
16/01/2014,84.2,-0.003556613
15/01/2014,84.5,0.000828746
14/01/2014,84.43,0.01479564
13/01/2014,83.19,-0.015861044
10/01/2014,84.52,0.006052353
09/01/2014,84.01,-0.00047602
08/01/2014,84.05,-0.010297777
07/01/2014,84.92,0.023110022
06/01/2014,82.98,-0.012336224
03/01/2014,84.01,-0.00178391
02/01/2014,84.16,-0.0140407
31/12/2013,85.35,0.00352113
30/12/2013,85.05,0.000705716
27/12/2013,84.99,-0.005865808
26/12/2013,85.49,0.003280612
24/12/2013,85.21,0.003526926
23/12/2013,84.91,-0.001059384
20/12/2013,85,0.005663064
19/12/2013,84.52,-0.000709639
18/12/2013,84.58,0.018375413
17/12/2013,83.04,-0.004685537
16/12/2013,83.43,0.021566137
13/12/2013,81.65,-0.003789504
12/12/2013,81.96,-0.006203267
11/12/2013,82.47,-0.012890968
10/12/2013,83.54,-0.003703929
09/12/2013,83.85,-0.000238493
06/12/2013,83.87,0.019018387
05/12/2013,82.29,0.004262321
04/12/2013,81.94,-0.010199214
03/12/2013,82.78,-0.00674214
02/12/2013,83.34,-0.004310352
29/11/2013,83.7,-0.000358359
27/11/2013,83.73,0.002870472
26/11/2013,83.49,0.021672862
25/11/2013,81.7,-0.012770012
22/11/2013,82.75,0.002783326
21/11/2013,82.52,0.019703262
20/11/2013,80.91,-0.01533114
19/11/2013,82.16,-0.007638716
18/11/2013,82.79,0.005207399
15/11/2013,82.36,-0.00242542
14/11/2013,82.56,-0.004833262
13/11/2013,82.96,0.013225941
12/11/2013,81.87,0.000122152
11/11/2013,81.86,-0.000122152
08/11/2013,81.87,0.013155658
07/11/2013,80.8,-0.019365723
06/11/2013,82.38,0.006087928
05/11/2013,81.88,-0.000976563
04/11/2013,81.96,0.005996469
01/11/2013,81.47,0.011729254
31/10/2013,80.52,-0.000124185
30/10/2013,80.53,-0.004831226
29/10/2013,80.92,0.003218223
28/10/2013,80.66,0.004846837
25/10/2013,80.27,0.010897584
24/10/2013,79.4,0.002900929
