Date,Close,SLB
04/04/2014,98.03,-0.000407955
03/04/2014,98.07,0.00388231
02/04/2014,97.69,-0.002760032
01/04/2014,97.96,0.004706854
31/03/2014,97.5,-0.000717691
28/03/2014,97.57,0.011130693
27/03/2014,96.49,0.011046382
26/03/2014,95.43,-0.001361328
25/03/2014,95.56,0.024684764
24/03/2014,93.23,0.006024763
21/03/2014,92.67,0.016977228
20/03/2014,91.11,0.008265876
19/03/2014,90.36,-0.001548159
18/03/2014,90.5,0.007987617
17/03/2014,89.78,0.007715139
14/03/2014,89.09,-0.013158085
13/03/2014,90.27,-0.009920716
12/03/2014,91.17,-0.008519055
11/03/2014,91.95,-0.009955715
10/03/2014,92.87,-0.00118375
07/03/2014,92.98,0.002476715
06/03/2014,92.75,0.008010435
05/03/2014,92.01,-0.005203264
04/03/2014,92.49,0.013387955
03/03/2014,91.26,-0.018886918
28/02/2014,93,0.004634378
27/02/2014,92.57,0.002379408
26/02/2014,92.35,-0.002271376
25/02/2014,92.56,-0.001727116
24/02/2014,92.72,0.028997053
21/02/2014,90.07,-0.010601977
20/02/2014,91.03,0.006060291
19/02/2014,90.48,-0.001656452
18/02/2014,90.63,0.001988072
14/02/2014,90.45,0.002102817
13/02/2014,90.26,0.002551446
12/02/2014,90.03,-0.003769406
11/02/2014,90.37,0.014826647
10/02/2014,89.04,-0.005152918
07/02/2014,89.5,0.011123085
06/02/2014,88.51,0.026909507
05/02/2014,86.16,-0.011883613
04/02/2014,87.19,0.0110715
03/02/2014,86.23,-0.015420329
31/01/2014,87.57,-0.014060783
30/01/2014,88.81,0.017148793
29/01/2014,87.3,-0.005255353
28/01/2014,87.76,-0.001707748
27/01/2014,87.91,-0.002726345
24/01/2014,88.15,-0.023654486
23/01/2014,90.26,-0.010470146
22/01/2014,91.21,0.001316511
21/01/2014,91.09,0.009707743
17/01/2014,90.21,0.017895568
16/01/2014,88.61,-0.003154932
15/01/2014,88.89,0.000225023
14/01/2014,88.87,0.015993082
13/01/2014,87.46,-0.008085223
10/01/2014,88.17,0.019353596
09/01/2014,86.48,-0.005765034
08/01/2014,86.98,-0.006074865
07/01/2014,87.51,-0.005810989
06/01/2014,88.02,-0.003742137
03/01/2014,88.35,-0.005305651
02/01/2014,88.82,-0.014419296
31/12/2013,90.11,0.010486486
30/12/2013,89.17,-0.008153281
27/12/2013,89.9,0.005689122
26/12/2013,89.39,0.012155468
24/12/2013,88.31,0.01127382
23/12/2013,87.32,0.000572771
20/12/2013,87.27,0.009209228
19/12/2013,86.47,-0.009094635
18/12/2013,87.26,0.019908065
17/12/2013,85.54,-0.016924016
16/12/2013,87,0.007267725
13/12/2013,86.37,-0.00680785
12/12/2013,86.96,0.009474363
11/12/2013,86.14,-0.010049175
10/12/2013,87.01,-0.011654611
09/12/2013,88.03,-0.001362243
06/12/2013,88.15,0.014627161
05/12/2013,86.87,-0.004708593
04/12/2013,87.28,-0.004116173
03/12/2013,87.64,0.000456517
02/12/2013,87.6,-0.00931719
29/11/2013,88.42,0.005329717
27/11/2013,87.95,-0.017023127
26/11/2013,89.46,-0.00390473
25/11/2013,89.81,-0.031995717
22/11/2013,92.73,0.018722654
21/11/2013,91.01,0.006172179
20/11/2013,90.45,-0.009134494
19/11/2013,91.28,-0.008074239
18/11/2013,92.02,-0.010378472
15/11/2013,92.98,-0.003542867
14/11/2013,93.31,0.002467945
13/11/2013,93.08,0.011779463
12/11/2013,91.99,-0.020230971
11/11/2013,93.87,0.000852606
08/11/2013,93.79,0.018726333
07/11/2013,92.05,-0.012737651
06/11/2013,93.23,0.009050811
05/11/2013,92.39,-0.012049635
04/11/2013,93.51,0.005468889
01/11/2013,93,-0.00771212
31/10/2013,93.72,-0.001705757
30/10/2013,93.88,-0.001277411
29/10/2013,94,0.012309494
28/10/2013,92.85,-0.000538358
25/10/2013,92.9,0.000538358
24/10/2013,92.85,0.000107706
23/10/2013,92.84,-0.017298883
22/10/2013,94.46,0.010428955
21/10/2013,93.48,-0.005440884
18/10/2013,93.99,0.027614741
17/10/2013,91.43,-0.008169535
16/10/2013,92.18,0.017951445
15/10/2013,90.54,-0.006934154
14/10/2013,91.17,0.012694028
11/10/2013,90.02,0.006687497
10/10/2013,89.42,0.026976588
09/10/2013,87.04,-0.010400688
08/10/2013,87.95,-0.015121028
07/10/2013,89.29,-0.008031276
04/10/2013,90.01,0.006352766
03/10/2013,89.44,-0.004573604
02/10/2013,89.85,0.008943603
01/10/2013,89.05,0.007778631
30/09/2013,88.36,-0.005192471
27/09/2013,88.82,-0.000112581
26/09/2013,88.83,0.002931231
25/09/2013,88.57,0.007479636
24/09/2013,87.91,0.009945781
23/09/2013,87.04,-0.004585061
20/09/2013,87.44,-0.015321187
19/09/2013,88.79,-0.001800383
18/09/2013,88.95,0.013696518
17/09/2013,87.74,0.008469777
16/09/2013,87,0.003223581
13/09/2013,86.72,0.001615696
12/09/2013,86.58,-0.005413824
11/09/2013,87.05,0.001724634
10/09/2013,86.9,0.00519182
09/09/2013,86.45,0.015269252
06/09/2013,85.14,0.010864538
05/09/2013,84.22,0.016279986
04/09/2013,82.86,0.005324311
03/09/2013,82.42,0.018119986
30/08/2013,80.94,-0.008121123
29/08/2013,81.6,-0.013148473
28/08/2013,82.68,0.018432014
27/08/2013,81.17,-0.00895327
26/08/2013,81.9,0.002812253
23/08/2013,81.67,-0.006590212
22/08/2013,82.21,0.02662551
21/08/2013,80.05,-0.007095318
20/08/2013,80.62,0.002608211
19/08/2013,80.41,-0.018604615
16/08/2013,81.92,-0.000854127
15/08/2013,81.99,-0.002071277
14/08/2013,82.16,-0.000730016
13/08/2013,82.22,0.024251819
12/08/2013,80.25,-0.002986191
09/08/2013,80.49,-0.009151684
08/08/2013,81.23,0.002218389
07/08/2013,81.05,-0.014332333
06/08/2013,82.22,-0.008115846
05/08/2013,82.89,0
02/08/2013,82.89,-0.007930827
01/08/2013,83.55,0.026930303
31/07/2013,81.33,-0.001228803
30/07/2013,81.43,0.003444462
29/07/2013,81.15,-0.00932179
26/07/2013,81.91,-0.008025335
25/07/2013,82.57,-0.003385325
24/07/2013,82.85,-0.00865286
23/07/2013,83.57,-0.002867728
22/07/2013,83.81,0.012849171
19/07/2013,82.74,0.052859346
18/07/2013,78.48,0.01114753
17/07/2013,77.61,0.01414414
16/07/2013,76.52,-0.006512984
15/07/2013,77.02,0.00233979
12/07/2013,76.84,0.002736693
11/07/2013,76.63,0.005889684
10/07/2013,76.18,-0.004714519
09/07/2013,76.54,0.023129294
08/07/2013,74.79,0.009403616
05/07/2013,74.09,0.014684152
03/07/2013,73.01,0.005493765
02/07/2013,72.61,-0.002338539
01/07/2013,72.78,0.01550848
28/06/2013,71.66,-0.003760712
27/06/2013,71.93,0.001669682
26/06/2013,71.81,-0.003891596
25/06/2013,72.09,0.01186088
24/06/2013,71.24,-0.0220735
21/06/2013,72.83,0.009519283
20/06/2013,72.14,-0.01731526
19/06/2013,73.4,-0.010300986
18/06/2013,74.16,0.014396555
17/06/2013,73.1,0.020733293
14/06/2013,71.6,-0.011939612
13/06/2013,72.46,0.021059282
12/06/2013,70.95,-0.006882533
11/06/2013,71.44,-0.025702672
10/06/2013,73.3,-0.008558091
07/06/2013,73.93,0.008558091
06/06/2013,73.3,0.01539761
05/06/2013,72.18,-0.009239533
04/06/2013,72.85,-0.005475715
03/06/2013,73.25,0.003007932
31/05/2013,73.03,-0.02408125
30/05/2013,74.81,-0.002269845
29/05/2013,74.98,-0.005585864
28/05/2013,75.4,0.009862802
24/05/2013,74.66,-0.009597514
23/05/2013,75.38,-0.00264971
22/05/2013,75.58,-0.019652146
21/05/2013,77.08,-0.004401302
20/05/2013,77.42,0.021938723
17/05/2013,75.74,0.006224773
16/05/2013,75.27,-0.005432276
15/05/2013,75.68,-0.01547166
14/05/2013,76.86,-0.002339182
13/05/2013,77.04,0.002859745
10/05/2013,76.82,-0.005581893
09/05/2013,77.25,-0.004391637
08/05/2013,77.59,0.009062724
07/05/2013,76.89,0.009539439
06/05/2013,76.16,0.005794064
03/05/2013,75.72,0.019604549
