Date,Close,EMC
04/04/2014,27.4,-0.017725188
03/04/2014,27.89,-0.000358487
02/04/2014,27.9,0.003950445
01/04/2014,27.79,0.013768333
31/03/2014,27.41,-0.002550557
28/03/2014,27.48,0.002550557
27/03/2014,27.41,0.00292291
26/03/2014,27.33,-0.030627507
25/03/2014,28.18,0.009985818
24/03/2014,27.9,-0.00286328
21/03/2014,27.98,0.00969661
20/03/2014,27.71,0.004702487
19/03/2014,27.58,-0.009382963
18/03/2014,27.84,0.009382963
17/03/2014,27.58,0.023107575
14/03/2014,26.95,-0.004812151
13/03/2014,27.08,-0.00073828
12/03/2014,27.1,0.010013063
11/03/2014,26.83,-0.011119462
10/03/2014,27.13,0.003322875
07/03/2014,27.04,0.004076344
06/03/2014,26.93,0.000371402
05/03/2014,26.92,0.001859082
04/03/2014,26.87,0.026778896
03/03/2014,26.16,-0.007995474
28/02/2014,26.37,-0.003785016
27/02/2014,26.47,0.004543741
26/02/2014,26.35,0.025755796
25/02/2014,25.68,-0.000389332
24/02/2014,25.69,0.007423359
21/02/2014,25.5,0.001177163
20/02/2014,25.47,0.008675133
19/02/2014,25.25,-0.009067675
18/02/2014,25.48,0.003144657
14/02/2014,25.4,0.012678458
13/02/2014,25.08,-0.000398645
12/02/2014,25.09,0.004393856
11/02/2014,24.98,0.010867485
10/02/2014,24.71,0.008943149
07/02/2014,24.49,0.013566498
06/02/2014,24.16,0.011657085
05/02/2014,23.88,0.00925543
04/02/2014,23.66,-0.006739705
03/02/2014,23.82,-0.017478597
31/01/2014,24.24,-0.01555496
30/01/2014,24.62,-0.00121778
29/01/2014,24.65,-0.029184562
28/01/2014,25.38,0.001182732
27/01/2014,25.35,-0.005507488
24/01/2014,25.49,-0.02823626
23/01/2014,26.22,0.006120907
22/01/2014,26.06,-0.010307402
21/01/2014,26.33,0
17/01/2014,26.33,-0.001518027
16/01/2014,26.37,0.003038362
15/01/2014,26.29,0.021142437
14/01/2014,25.74,0.023585999
13/01/2014,25.14,-0.007134394
10/01/2014,25.32,-0.000394867
09/01/2014,25.33,-0.007081068
08/01/2014,25.51,-0.001566784
07/01/2014,25.55,0.027377231
06/01/2014,24.86,-0.008411826
03/01/2014,25.07,0
02/01/2014,25.07,-0.003185984
31/12/2013,25.15,0.003584947
30/12/2013,25.06,0.002397125
27/12/2013,25,-0.00079968
26/12/2013,25.02,0.00039976
24/12/2013,25.01,-0.002396167
23/12/2013,25.07,0.021367473
20/12/2013,24.54,0.021417623
19/12/2013,24.02,0.017216466
18/12/2013,23.61,0.003394148
17/12/2013,23.53,-0.007198845
16/12/2013,23.7,0.017021688
13/12/2013,23.3,0.00645858
12/12/2013,23.15,-0.007745306
11/12/2013,23.33,-0.011506626
10/12/2013,23.6,-0.003384098
09/12/2013,23.68,-0.01342302
06/12/2013,24,0.004175371
05/12/2013,23.9,0.003352895
04/12/2013,23.82,0.009278852
03/12/2013,23.6,-0.005071862
02/12/2013,23.72,-0.005465643
29/11/2013,23.85,0
27/11/2013,23.85,0.013083116
26/11/2013,23.54,-0.008881429
25/11/2013,23.75,-0.014214286
22/11/2013,24.09,0.006246116
21/11/2013,23.94,0.00292826
20/11/2013,23.87,0.001257598
19/11/2013,23.84,-0.003350087
