Date,Close,RHT
04/04/2014,50.46,-0.017289232
03/04/2014,51.34,-0.033895059
02/04/2014,53.11,-0.011233969
01/04/2014,53.71,0.01368472
31/03/2014,52.98,0.014257441
28/03/2014,52.23,-0.072013387
27/03/2014,56.13,0.002675945
26/03/2014,55.98,-0.023480644
25/03/2014,57.31,0.003846159
24/03/2014,57.09,-0.005415333
21/03/2014,57.4,-0.018469499
20/03/2014,58.47,0.003941398
19/03/2014,58.24,-0.009739505
18/03/2014,58.81,0.003065397
17/03/2014,58.63,0.017376781
14/03/2014,57.62,0.003651225
13/03/2014,57.41,-0.02901242
12/03/2014,59.1,0.007302401
11/03/2014,58.67,-0.014215843
10/03/2014,59.51,-0.016829523
07/03/2014,60.52,-0.005602256
06/03/2014,60.86,0.005106674
05/03/2014,60.55,0.000991408
04/03/2014,60.49,0.037219081
03/03/2014,58.28,-0.012108957
28/02/2014,58.99,-0.015809276
27/02/2014,59.93,0.003008024
26/02/2014,59.75,0.013140351
25/02/2014,58.97,0.001357543
24/02/2014,58.89,0.003401942
21/02/2014,58.69,-0.010339951
20/02/2014,59.3,0.011362795
19/02/2014,58.63,0.00942514
18/02/2014,58.08,-0.004123717
14/02/2014,58.32,-0.001884369
13/02/2014,58.43,0.012745608
12/02/2014,57.69,0.003646787
11/02/2014,57.48,0.014192091
10/02/2014,56.67,-0.005630844
07/02/2014,56.99,0.025772332
06/02/2014,55.54,0.015056974
05/02/2014,54.71,-0.002737977
04/02/2014,54.86,0.002920776
03/02/2014,54.7,-0.032376929
31/01/2014,56.5,-0.01091368
30/01/2014,57.12,0.027870802
29/01/2014,55.55,-0.02979472
28/01/2014,57.23,0.024946008
27/01/2014,55.82,-0.016170943
24/01/2014,56.73,-0.024206667
23/01/2014,58.12,-0.013670753
22/01/2014,58.92,-0.003726923
21/01/2014,59.14,0.009343481
17/01/2014,58.59,-0.007989843
16/01/2014,59.06,-0.002198732
15/01/2014,59.19,-0.003204861
14/01/2014,59.38,0.031129587
13/01/2014,57.56,0.013115515
10/01/2014,56.81,-0.008413722
09/01/2014,57.29,0.005250275
08/01/2014,56.99,-0.007516861
07/01/2014,57.42,0.018987912
06/01/2014,56.34,0.00998938
03/01/2014,55.78,-0.000895977
02/01/2014,55.83,-0.003754362
31/12/2013,56.04,-0.000535189
30/12/2013,56.07,-0.003027337
27/12/2013,56.24,0.006600684
26/12/2013,55.87,-0.001966921
