Date,Close,ESV
04/04/2014,51.1,0.000195714
03/04/2014,51.09,-0.019768086
02/04/2014,52.11,-0.006694106
01/04/2014,52.46,-0.006081357
31/03/2014,52.78,-0.002081954
28/03/2014,52.89,0.00606867
27/03/2014,52.57,0.009748715
26/03/2014,52.06,0.004620724
25/03/2014,51.82,0.020864557
24/03/2014,50.75,-0.004717917
21/03/2014,50.99,0.013226923
20/03/2014,50.32,0.014008634
19/03/2014,49.62,0.013186113
18/03/2014,48.97,0.017094433
17/03/2014,48.14,-0.00435279
14/03/2014,48.35,-0.010492844
13/03/2014,48.86,-0.029443547
12/03/2014,50.32,-0.013030787
11/03/2014,50.98,-0.009371408
10/03/2014,51.46,-0.009284399
07/03/2014,51.94,0
06/03/2014,51.94,-0.014905684
05/03/2014,52.72,0.006851949
04/03/2014,52.36,0.003827023
03/03/2014,52.16,-0.009540236
28/02/2014,52.66,0.000949938
27/02/2014,52.61,-0.003794351
26/02/2014,52.81,-0.010173411
25/02/2014,53.35,0.001125281
24/02/2014,53.29,0.016460498
21/02/2014,52.42,0.009198992
20/02/2014,51.94,0.005018347
19/02/2014,51.68,0.007380107
18/02/2014,51.3,0.001170275
14/02/2014,51.24,-0.00428433
13/02/2014,51.46,0.007216024
12/02/2014,51.09,-0.016115289
11/02/2014,51.92,0.027334775
10/02/2014,50.52,0.001386551
07/02/2014,50.45,0.007161359
06/02/2014,50.09,0.030609464
05/02/2014,48.58,-0.016738501
04/02/2014,49.4,0.005277057
03/02/2014,49.14,-0.024722393
31/01/2014,50.37,-0.00593826
30/01/2014,50.67,0.002964722
29/01/2014,50.52,-0.017852362
28/01/2014,51.43,-0.004268536
27/01/2014,51.65,0.00602002
24/01/2014,51.34,-0.02443604
23/01/2014,52.61,-0.044608771
22/01/2014,55.01,0.000727405
21/01/2014,54.97,0.006753699
17/01/2014,54.6,-0.004385972
16/01/2014,54.84,-0.014122994
15/01/2014,55.62,-0.005021531
14/01/2014,55.9,0.01097232
13/01/2014,55.29,-0.029406022
10/01/2014,56.94,0.004576667
09/01/2014,56.68,0.003180777
08/01/2014,56.5,-0.014583409
07/01/2014,57.33,0.010168391
06/01/2014,56.75,0.003176847
03/01/2014,56.57,0
02/01/2014,56.57,-0.010725378
31/12/2013,57.18,0.010018539
30/12/2013,56.61,0.000353357
27/12/2013,56.59,0.011552603
26/12/2013,55.94,-0.002499555
24/12/2013,56.08,0.022541753
23/12/2013,54.83,-0.002731993
20/12/2013,54.98,-0.009593702
19/12/2013,55.51,-0.010037725
18/12/2013,56.07,-0.034186869
17/12/2013,58.02,-0.010799796
