Date,Close,D
04/04/2014,69.62,-0.002152236
03/04/2014,69.77,-0.007283145
02/04/2014,70.28,-0.001706
01/04/2014,70.4,-0.008345759
31/03/2014,70.99,-0.001407658
28/03/2014,71.09,0.001971276
27/03/2014,70.95,0.008350484
26/03/2014,70.36,0.004130177
25/03/2014,70.07,0.004290624
24/03/2014,69.77,-0.0041479
21/03/2014,70.06,0.0041479
20/03/2014,69.77,-0.000859599
19/03/2014,69.83,-0.009548993
18/03/2014,70.5,-0.001417435
17/03/2014,70.6,0.010107567
14/03/2014,69.89,0.005595825
13/03/2014,69.5,0.007510145
12/03/2014,68.98,0.013573878
11/03/2014,68.05,-0.004398834
10/03/2014,68.35,-0.001315886
07/03/2014,68.44,0.006891018
06/03/2014,67.97,-0.008059242
05/03/2014,68.52,-0.011174922
04/03/2014,69.29,0.010153844
03/03/2014,68.59,-0.011740116
28/02/2014,69.4,-0.002590302
27/02/2014,69.58,-0.00258361
26/02/2014,69.76,-0.021274381
25/02/2014,71.26,-0.000420905
24/02/2014,71.29,-0.001401738
21/02/2014,71.39,-0.001539646
20/02/2014,71.5,0.012100893
19/02/2014,70.64,-0.003109543
18/02/2014,70.86,-0.003521874
14/02/2014,71.11,0.005923854
13/02/2014,70.69,0.018993788
12/02/2014,69.36,0.003176898
11/02/2014,69.14,0.009445685
10/02/2014,68.49,0.023040452
07/02/2014,66.93,0.015053724
06/02/2014,65.93,0.003494648
05/02/2014,65.7,-0.002280503
04/02/2014,65.85,-0.019102634
03/02/2014,67.12,-0.011701237
31/01/2014,67.91,0.012744689
30/01/2014,67.05,0.011550417
29/01/2014,66.28,0.000301796
28/01/2014,66.26,-0.002411819
27/01/2014,66.42,0.007404643
24/01/2014,65.93,-0.007103483
23/01/2014,66.4,-0.010785006
22/01/2014,67.12,0.003582093
21/01/2014,66.88,0.008860913
17/01/2014,66.29,-0.002862094
16/01/2014,66.48,-0.002253776
15/01/2014,66.63,-0.007178138
14/01/2014,67.11,-0.000893655
13/01/2014,67.17,-0.009040447
10/01/2014,67.78,0.021775655
09/01/2014,66.32,0.023803382
08/01/2014,64.76,0.001081499
07/01/2014,64.69,0.018251813
06/01/2014,63.52,0.000157443
03/01/2014,63.51,-0.001101582
02/01/2014,63.58,-0.017307675
31/12/2013,64.69,0.004648289
30/12/2013,64.39,-0.000310559
27/12/2013,64.41,-0.000310463
26/12/2013,64.43,-0.003408742
24/12/2013,64.65,0.008231777
23/12/2013,64.12,-0.00668379
20/12/2013,64.55,0.000774893
19/12/2013,64.5,-0.00433169
18/12/2013,64.78,0.01399059
17/12/2013,63.88,0.000313136
16/12/2013,63.86,0.004394232
13/12/2013,63.58,0.00125905
12/12/2013,63.5,0.003944778
11/12/2013,63.25,-0.003944778
10/12/2013,63.5,-0.003772403
09/12/2013,63.74,-0.010611835
06/12/2013,64.42,0.01517195
05/12/2013,63.45,-0.010660079
04/12/2013,64.13,-0.010238997
03/12/2013,64.79,0.00743613
02/12/2013,64.31,-0.009286555
29/11/2013,64.91,-0.00215451
27/11/2013,65.05,-0.012982237
26/11/2013,65.9,-0.006805319
25/11/2013,66.35,-0.004061072
22/11/2013,66.62,-0.001799641
21/11/2013,66.74,0.001649547
20/11/2013,66.63,-0.016226631
19/11/2013,67.72,-0.001180638
18/11/2013,67.8,0.004138345
15/11/2013,67.52,0.006836109
14/11/2013,67.06,0.010945458
13/11/2013,66.33,0.010304683
12/11/2013,65.65,-0.003497305
11/11/2013,65.88,0.007159753
08/11/2013,65.41,0.001070746
07/11/2013,65.34,-0.010504778
06/11/2013,66.03,0.022359278
05/11/2013,64.57,0.009023085
04/11/2013,63.99,-0.001561524
01/11/2013,64.09,0.005319161
31/10/2013,63.75,-0.004382539
30/10/2013,64.03,-0.010409478
29/10/2013,64.7,0.00557968
28/10/2013,64.34,-0.00496125
25/10/2013,64.66,0.007762809
24/10/2013,64.16,-0.001090428
23/10/2013,64.23,-0.001866543
22/10/2013,64.35,0.011409048
21/10/2013,63.62,-0.000942655
18/10/2013,63.68,-0.002666041
17/10/2013,63.85,0.010707078
16/10/2013,63.17,0.02192614
15/10/2013,61.8,-0.013021645
14/10/2013,62.61,-0.005415751
11/10/2013,62.95,0.00573524
10/10/2013,62.59,0.017405758
09/10/2013,61.51,-0.001624432
08/10/2013,61.61,-0.000649035
07/10/2013,61.65,-0.009203262
04/10/2013,62.22,0.004187476
03/10/2013,61.96,-0.006114259
02/10/2013,62.34,-0.00272327
01/10/2013,62.51,0.000480038
30/09/2013,62.48,0.000800576
27/09/2013,62.43,-0.006068367
26/09/2013,62.81,0.00622856
25/09/2013,62.42,-0.0004805
24/09/2013,62.45,-0.003037815
23/09/2013,62.64,0.005924283
20/09/2013,62.27,-0.014982748
19/09/2013,63.21,-0.002843604
18/09/2013,63.39,0.026212145
17/09/2013,61.75,0.010418457
16/09/2013,61.11,-0.002778007
13/09/2013,61.28,0.024782369
12/09/2013,59.78,0.019765826
11/09/2013,58.61,0.003418222
10/09/2013,58.41,0.006699329
09/09/2013,58.02,0.008481228
06/09/2013,57.53,0.000347705
05/09/2013,57.51,-0.001910884
04/09/2013,57.62,-0.002772965
03/09/2013,57.78,-0.009816664
30/08/2013,58.35,-0.003080085
29/08/2013,58.53,-0.003581482
28/08/2013,58.74,0.003923246
27/08/2013,58.51,0.002909715
26/08/2013,58.34,-0.008873778
23/08/2013,58.86,0.018865248
22/08/2013,57.76,0.008170406
21/08/2013,57.29,-0.010245813
20/08/2013,57.88,0.008676091
19/08/2013,57.38,-0.001045114
16/08/2013,57.44,-0.008149156
15/08/2013,57.91,-0.016271662
14/08/2013,58.86,-0.02334083
13/08/2013,60.25,0.002992024
12/08/2013,60.07,-0.004318944
09/08/2013,60.33,0.00066324
08/08/2013,60.29,0.006990708
07/08/2013,59.87,0.009229028
06/08/2013,59.32,-0.004709057
05/08/2013,59.6,0.002856425
02/08/2013,59.43,-0.000168251
01/08/2013,59.44,0.002189475
31/07/2013,59.31,-0.001516301
30/07/2013,59.4,0.000673628
29/07/2013,59.36,-0.002691792
26/07/2013,59.52,0.002691792
25/07/2013,59.36,0.008628765
24/07/2013,58.85,-0.017016669
23/07/2013,59.86,0.00117008
22/07/2013,59.79,0.001841467
19/07/2013,59.68,-0.008010724
18/07/2013,60.16,0.011367558
17/07/2013,59.48,0.000672721
16/07/2013,59.44,-0.004699572
15/07/2013,59.72,0.015525118
12/07/2013,58.8,0.004089985
11/07/2013,58.56,0.020181798
10/07/2013,57.39,0.000871612
09/07/2013,57.34,0.008054675
08/07/2013,56.88,0.011137744
05/07/2013,56.25,-0.001598721
03/07/2013,56.34,-0.000709723
02/07/2013,56.38,0.002486238
01/07/2013,56.24,-0.010260129
28/06/2013,56.82,0.006001783
27/06/2013,56.48,0.003369694
26/06/2013,56.29,0.007489336
25/06/2013,55.87,0.01206461
24/06/2013,55.2,0.003447966
21/06/2013,55.01,0.014096343
20/06/2013,54.24,-0.027279378
19/06/2013,55.74,-0.022353246
18/06/2013,57,0.004748096
17/06/2013,56.73,0.01223745
14/06/2013,56.04,-0.006403437
13/06/2013,56.4,0.019334652
12/06/2013,55.32,-0.00018075
11/06/2013,55.33,-0.008279385
10/06/2013,55.79,0.002692275
07/06/2013,55.64,0.006129459
06/06/2013,55.3,0.013471895
05/06/2013,54.56,-0.019960743
04/06/2013,55.66,0.00197824
03/06/2013,55.55,-0.017841686
31/05/2013,56.55,-0.009503767
30/05/2013,57.09,0.000350385
29/05/2013,57.07,-0.011498385
28/05/2013,57.73,0.001907239
24/05/2013,57.62,-0.022819897
23/05/2013,58.95,-0.005244915
22/05/2013,59.26,-0.023844398
21/05/2013,60.69,-0.000988142
20/05/2013,60.75,-0.006889791
17/05/2013,61.17,0.012998949
16/05/2013,60.38,-0.004626578
15/05/2013,60.66,0.003302513
14/05/2013,60.46,0.012817487
13/05/2013,59.69,-0.001004689
10/05/2013,59.75,0.005033568
09/05/2013,59.45,-0.017507742
08/05/2013,60.5,-0.007082299
07/05/2013,60.93,0.00757829
06/05/2013,60.47,-0.007249991
03/05/2013,60.91,-0.003278154
02/05/2013,61.11,-0.000490798
01/05/2013,61.14,-0.008793413
30/04/2013,61.68,0.007649154
29/04/2013,61.21,0.00327279
26/04/2013,61.01,0.004270703
25/04/2013,60.75,-0.006072063
24/04/2013,61.12,0.00180136
23/04/2013,61.01,0.000819874
22/04/2013,60.96,-0.001802836
19/04/2013,61.07,0.021015086
18/04/2013,59.8,0.007890581
17/04/2013,59.33,-0.008224973
16/04/2013,59.82,0.009236777
15/04/2013,59.27,-0.014239289
12/04/2013,60.12,0.002164683
11/04/2013,59.99,-0.002996008
10/04/2013,60.17,0.005332457
09/04/2013,59.85,-0.003669117
08/04/2013,60.07,0.007351746
05/04/2013,59.63,0.002350572
04/04/2013,59.49,0.012517078
03/04/2013,58.75,0.002215218
02/04/2013,58.62,0.007362417
01/04/2013,58.19,0.000171866
28/03/2013,58.18,0.011235102
27/03/2013,57.53,-0.001042391
26/03/2013,57.59,0.012756835
25/03/2013,56.86,0.001584089
22/03/2013,56.77,-0.002638756
21/03/2013,56.92,-0.004907125
20/03/2013,57.2,0.008074469
19/03/2013,56.74,0.005478497
18/03/2013,56.43,-0.006359322
15/03/2013,56.79,0.007778013
14/03/2013,56.35,0.000177478
13/03/2013,56.34,0.005695993
12/03/2013,56.02,-0.004985765
11/03/2013,56.3,0.007666972
08/03/2013,55.87,0
07/03/2013,55.87,-0.010504859
06/03/2013,56.46,-0.000885191
05/03/2013,56.51,0.001771166
04/03/2013,56.41,-0.000177258
01/03/2013,56.42,0.007472015
28/02/2013,56,0.003398626
27/02/2013,55.81,0.009541885
26/02/2013,55.28,-0.007748485
25/02/2013,55.71,-0.011954822
22/02/2013,56.38,0.012134339
21/02/2013,55.7,-0.003405326
20/02/2013,55.89,0.005382144
19/02/2013,55.59,0.012125748
15/02/2013,54.92,0.00822749
14/02/2013,54.47,-0.004030786
13/02/2013,54.69,0.001097695
12/02/2013,54.63,0.005506622
11/02/2013,54.33,0.000368189
08/02/2013,54.31,0
07/02/2013,54.31,-0.000736242
06/02/2013,54.35,0.000736242
05/02/2013,54.31,0.004428869
04/02/2013,54.07,-0.001847746
01/02/2013,54.17,0.001108238
31/01/2013,54.11,-0.007548595
30/01/2013,54.52,0.002939018
29/01/2013,54.36,0.011284922
28/01/2013,53.75,-0.002415685
25/01/2013,53.88,0.001671775
24/01/2013,53.79,0.008026175
23/01/2013,53.36,0.001312705
22/01/2013,53.29,0.006967357
18/01/2013,52.92,0.009683926
17/01/2013,52.41,0.000190821
16/01/2013,52.4,-0.002477844
15/01/2013,52.53,0.002668702
14/01/2013,52.39,-0.000763213
11/01/2013,52.43,0.004013383
10/01/2013,52.22,0.000383068
09/01/2013,52.2,-0.003251413
08/01/2013,52.37,-0.005522246
07/01/2013,52.66,-0.016572884
04/01/2013,53.54,0.010514554
03/01/2013,52.98,0.001133145
02/01/2013,52.92,0.02139119
31/12/2012,51.8,0.013997118
28/12/2012,51.08,-0.010516163
27/12/2012,51.62,-0.001741992
26/12/2012,51.71,-0.00443802
24/12/2012,51.94,0
21/12/2012,51.94,-0.004993289
20/12/2012,52.2,0.007692346
19/12/2012,51.8,-0.008266893
18/12/2012,52.23,0.005182851
17/12/2012,51.96,0.014929991
14/12/2012,51.19,-0.002925975
13/12/2012,51.34,-0.004276003
12/12/2012,51.56,-0.000775494
11/12/2012,51.6,0.000193817
10/12/2012,51.59,-0.001936484
07/12/2012,51.69,0.002906134
06/12/2012,51.54,-0.003679679
05/12/2012,51.73,0.026046709
04/12/2012,50.4,-0.006920443
03/12/2012,50.75,-0.007068555
30/11/2012,51.11,0.008646153
29/11/2012,50.67,0.004747783
28/11/2012,50.43,-0.002178866
27/11/2012,50.54,-0.002174129
26/11/2012,50.65,0.010519101
23/11/2012,50.12,-0.000797766
21/11/2012,50.16,-0.003582093
20/11/2012,50.34,0.001192606
19/11/2012,50.28,0.002588869
16/11/2012,50.15,0.009416077
15/11/2012,49.68,-0.004218144
14/11/2012,49.89,-0.006393628
13/11/2012,50.21,0.020523859
12/11/2012,49.19,-0.002842064
09/11/2012,49.33,-0.002025112
08/11/2012,49.43,-0.008661551
07/11/2012,49.86,-0.022018146
06/11/2012,50.97,0.000785083
05/11/2012,50.93,-0.015005641
02/11/2012,51.7,-0.006170479
01/11/2012,52.02,-0.014504071
31/10/2012,52.78,0.013543364
26/10/2012,52.07,0.00230725
25/10/2012,51.95,-0.009578617
24/10/2012,52.45,-0.004565349
23/10/2012,52.69,-0.005111227
22/10/2012,52.96,-0.010331641
19/10/2012,53.51,-0.001307312
18/10/2012,53.58,0.004301886
17/10/2012,53.35,0.013017824
16/10/2012,52.66,-0.001897174
15/10/2012,52.76,0.001517451
12/10/2012,52.68,-0.006621914
11/10/2012,53.03,-0.003576474
10/10/2012,53.22,0.007544359
09/10/2012,52.82,-0.003967884
08/10/2012,53.03,-0.004327789
05/10/2012,53.26,-0.002250564
04/10/2012,53.38,0.000937119
03/10/2012,53.33,0.001876877
02/10/2012,53.23,0.00792158
01/10/2012,52.81,-0.00245863
28/09/2012,52.94,0.00245863
27/09/2012,52.81,-0.001513718
26/09/2012,52.89,0.004548046
25/09/2012,52.65,-0.008698996
24/09/2012,53.11,0.007749779
21/09/2012,52.7,-0.000379435
20/09/2012,52.72,0.006851949
19/09/2012,52.36,0.00210305
18/09/2012,52.25,-0.006866325
17/09/2012,52.61,-0.003983691
14/09/2012,52.82,-0.014472577
13/09/2012,53.59,0.015609156
12/09/2012,52.76,-0.003405869
11/09/2012,52.94,-0.006401829
10/09/2012,53.28,0.002254792
07/09/2012,53.16,-0.011409457
06/09/2012,53.77,0.023902521
05/09/2012,52.5,-0.000190458
04/09/2012,52.51,0.000571483
31/08/2012,52.48,-0.000761905
30/08/2012,52.52,-0.008531666
29/08/2012,52.97,-0.018331976
28/08/2012,53.95,-0.001851852
27/08/2012,54.05,0.010414824
24/08/2012,53.49,0.00656478
23/08/2012,53.14,-0.008805678
22/08/2012,53.61,-0.003537849
21/08/2012,53.8,-0.005930336
20/08/2012,54.12,0.003702337
