Date,Close,DD
04/04/2014,67.34,-0.009900339
03/04/2014,68.01,-0.001616103
02/04/2014,68.12,0.005298805
01/04/2014,67.76,0.009788006
31/03/2014,67.1,0.007179211
28/03/2014,66.62,0.000750807
27/03/2014,66.57,0.000901713
26/03/2014,66.51,-0.010767264
25/03/2014,67.23,0.011068016
24/03/2014,66.49,-0.007342507
21/03/2014,66.98,0.005989835
20/03/2014,66.58,0.007689446
19/03/2014,66.07,-0.010988295
18/03/2014,66.8,0.006307274
17/03/2014,66.38,0.009231999
14/03/2014,65.77,0.000912686
13/03/2014,65.71,-0.010897641
12/03/2014,66.43,0.006342516
11/03/2014,66.01,-0.020096657
10/03/2014,67.35,0.001634594
07/03/2014,67.24,-0.003859289
06/03/2014,67.5,0.003859289
05/03/2014,67.24,-0.000297398
04/03/2014,67.26,0.020579021
03/03/2014,65.89,-0.011018148
28/02/2014,66.62,0.009350091
27/02/2014,66,0.007451939
26/02/2014,65.51,0.00904706
25/02/2014,64.92,0.005250977
24/02/2014,64.58,-0.004480502
21/02/2014,64.87,-0.007372173
20/02/2014,65.35,0.016820086
19/02/2014,64.26,-0.006978395
18/02/2014,64.71,0.003250525
14/02/2014,64.5,0.008094689
13/02/2014,63.98,0.007373161
12/02/2014,63.51,-0.012206724
11/02/2014,64.29,0.013151904
10/02/2014,63.45,0
07/02/2014,63.45,0.00775259
06/02/2014,62.96,0.016979424
05/02/2014,61.9,0.004695985
04/02/2014,61.61,0.026646313
03/02/2014,59.99,-0.016859903
31/01/2014,61.01,-0.008649585
30/01/2014,61.54,0.013578941
29/01/2014,60.71,0.018956338
28/01/2014,59.57,-0.011184492
27/01/2014,60.24,0.004492146
24/01/2014,59.97,-0.029249538
23/01/2014,61.75,-0.020358161
22/01/2014,63.02,-0.011203273
21/01/2014,63.73,-0.004540125
17/01/2014,64.02,0.000468713
16/01/2014,63.99,0.004071412
15/01/2014,63.73,0.002828412
14/01/2014,63.55,0.014103712
13/01/2014,62.66,-0.013946343
10/01/2014,63.54,-0.006275515
09/01/2014,63.94,0.012749051
08/01/2014,63.13,0.012753242
07/01/2014,62.33,-0.010056753
06/01/2014,62.96,-0.012940057
03/01/2014,63.78,0.001098125
02/01/2014,63.71,-0.019584089
31/12/2013,64.97,0.00493752
30/12/2013,64.65,0.006206381
27/12/2013,64.25,0
26/12/2013,64.25,0.006558425
24/12/2013,63.83,0.017224097
23/12/2013,62.74,0.003032966
20/12/2013,62.55,-0.002554688
19/12/2013,62.71,0.008326709
18/12/2013,62.19,0.016373876
17/12/2013,61.18,0.005572871
16/12/2013,60.84,0.009910884
13/12/2013,60.24,0.004825702
12/12/2013,59.95,-0.005655371
11/12/2013,60.29,-0.018894836
10/12/2013,61.44,0.000814133
09/12/2013,61.39,0.000814797
06/12/2013,61.34,0.020255942
05/12/2013,60.11,-0.002492317
04/12/2013,60.26,-0.003974831
03/12/2013,60.5,-0.020288654
02/12/2013,61.74,0.00584797
29/11/2013,61.38,-0.002603321
27/11/2013,61.54,0.003581316
26/11/2013,61.32,-0.004231088
25/11/2013,61.58,-0.001946788
22/11/2013,61.7,0.00162206
21/11/2013,61.6,0.013236569
20/11/2013,60.79,-0.011449258
19/11/2013,61.49,-0.003409371
18/11/2013,61.7,-0.006623076
15/11/2013,62.11,0.005165467
14/11/2013,61.79,0.013851766
13/11/2013,60.94,-0.018050738
12/11/2013,62.05,-0.000644434
11/11/2013,62.09,0.00145056
08/11/2013,62,0.018722566
07/11/2013,60.85,0.001315573
06/11/2013,60.77,0.007764142
05/11/2013,60.3,-0.000165824
04/11/2013,60.31,-0.012850259
01/11/2013,61.09,-0.001799003
31/10/2013,61.2,0.00294551
30/10/2013,61.02,-0.007510239
29/10/2013,61.48,-0.00130039
28/10/2013,61.56,-0.005507871
25/10/2013,61.9,0.00843613
24/10/2013,61.38,0.019079526
23/10/2013,60.22,0.000830634
22/10/2013,60.17,0.011870072
21/10/2013,59.46,-0.002687271
18/10/2013,59.62,-0.000335402
