Date,Close,DLTR
04/04/2014,52.11,-0.012396459
03/04/2014,52.76,-0.001136579
02/04/2014,52.82,0.006648329
01/04/2014,52.47,0.005542298
31/03/2014,52.18,0.000575098
28/03/2014,52.15,0.006155049
27/03/2014,51.83,-0.003851343
26/03/2014,52.03,0.002309025
25/03/2014,51.91,-0.007293698
24/03/2014,52.29,-0.008758624
21/03/2014,52.75,-0.010747723
20/03/2014,53.32,0.000938174
19/03/2014,53.27,-0.007294524
18/03/2014,53.66,-0.000372648
17/03/2014,53.68,-0.004460974
14/03/2014,53.92,-0.005363927
13/03/2014,54.21,-0.013740255
12/03/2014,54.96,0.009690175
11/03/2014,54.43,0.002575425
10/03/2014,54.29,-0.000736513
07/03/2014,54.33,0.004057549
06/03/2014,54.11,0.001849797
05/03/2014,54.01,-0.011413968
04/03/2014,54.63,-0.001646091
03/03/2014,54.72,-0.000913325
28/02/2014,54.77,0.002010418
27/02/2014,54.66,-0.01145988
26/02/2014,55.29,0.048356183
25/02/2014,52.68,0.006666056
24/02/2014,52.33,0.006903191
21/02/2014,51.97,0.008696547
20/02/2014,51.52,-0.012920824
19/02/2014,52.19,-0.001914243
18/02/2014,52.29,0.007101076
14/02/2014,51.92,0.00154202
13/02/2014,51.84,-0.001734606
12/02/2014,51.93,0.006762657
11/02/2014,51.58,0.004858624
10/02/2014,51.33,-0.001168224
07/02/2014,51.39,0.00977716
06/02/2014,50.89,0.021450674
05/02/2014,49.81,-0.004007218
04/02/2014,50.01,0.006620548
03/02/2014,49.68,-0.01676686
31/01/2014,50.52,-0.010632114
30/01/2014,51.06,0.009642897
29/01/2014,50.57,-0.010621658
28/01/2014,51.11,0.000782932
27/01/2014,51.07,-0.011680102
24/01/2014,51.67,-0.017078032
23/01/2014,52.56,-0.010974566
22/01/2014,53.14,-0.007685857
21/01/2014,53.55,-0.014276686
17/01/2014,54.32,-0.005324533
16/01/2014,54.61,-0.010564761
15/01/2014,55.19,-0.001448488
14/01/2014,55.27,0.002536233
13/01/2014,55.13,-0.013691441
10/01/2014,55.89,-0.009615459
09/01/2014,56.43,-0.003714517
08/01/2014,56.64,0.000883158
07/01/2014,56.59,-0.002999561
06/01/2014,56.76,0.003353043
03/01/2014,56.57,0.003009651
02/01/2014,56.4,-0.000354547
31/12/2013,56.42,0.001241465
30/12/2013,56.35,0.001065341
27/12/2013,56.29,-0.005138666
26/12/2013,56.58,0.003186407
24/12/2013,56.4,0.007296055
23/12/2013,55.99,0.00969139
20/12/2013,55.45,0.002708805
19/12/2013,55.3,-0.00935932
18/12/2013,55.82,0.001972564
17/12/2013,55.71,-0.007154386
16/12/2013,56.11,0.006974901
13/12/2013,55.72,-0.000358873
12/12/2013,55.74,-0.002866358
11/12/2013,55.9,0.004662013
10/12/2013,55.64,0.006491188
09/12/2013,55.28,0.001991852
06/12/2013,55.17,-0.001449013
05/12/2013,55.25,0.006354992
04/12/2013,54.9,-0.00617398
03/12/2013,55.24,-0.004515496
02/12/2013,55.49,-0.002879253
29/11/2013,55.65,-0.003229282
27/11/2013,55.83,-0.006427446
26/11/2013,56.19,-0.006386397
25/11/2013,56.55,-0.005466904
22/11/2013,56.86,0.010252874
21/11/2013,56.28,-0.045841359
20/11/2013,58.92,-0.006597334
19/11/2013,59.31,-0.00387043
18/11/2013,59.54,-0.006195081
15/11/2013,59.91,0.001670565
14/11/2013,59.81,0.003181783
13/11/2013,59.62,0.005550431
12/11/2013,59.29,0.003886781
11/11/2013,59.06,0.006795813
08/11/2013,58.66,0.012867982
07/11/2013,57.91,-0.013890303
06/11/2013,58.72,0.00375363
05/11/2013,58.5,0.009273637
04/11/2013,57.96,-0.00361664
01/11/2013,58.17,-0.003946132
31/10/2013,58.4,-0.00290673
30/10/2013,58.57,-0.00985397
29/10/2013,59.15,-0.00135158
28/10/2013,59.23,-0.00790385
25/10/2013,59.7,0.001340932
24/10/2013,59.62,0.00420204
23/10/2013,59.37,-0.001682935
22/10/2013,59.47,-0.002351362
21/10/2013,59.61,0.006226356
18/10/2013,59.24,0.004229051
17/10/2013,58.99,-0.001185938
16/10/2013,59.06,0.009869061
15/10/2013,58.48,-0.006476927
14/10/2013,58.86,0.002892388
11/10/2013,58.69,0.007868669
10/10/2013,58.23,0.009836994
09/10/2013,57.66,-0.003635423
08/10/2013,57.87,-0.006029823
07/10/2013,58.22,-0.016861508
04/10/2013,59.21,0.007458926
03/10/2013,58.77,-0.003058106
02/10/2013,58.95,0.008517939
01/10/2013,58.45,0.022317335
30/09/2013,57.16,-0.00627836
27/09/2013,57.52,-0.009860819
26/09/2013,58.09,0.011252607
25/09/2013,57.44,-0.01211297
24/09/2013,58.14,0.004481993
23/09/2013,57.88,-0.002071109
20/09/2013,58,-0.008412789
19/09/2013,58.49,0.011521063
18/09/2013,57.82,0.035023377
17/09/2013,55.83,-0.000537201
16/09/2013,55.86,0.017881809
13/09/2013,54.87,0.004749735
12/09/2013,54.61,-0.006934334
11/09/2013,54.99,0.011338819
10/09/2013,54.37,0.012585767
09/09/2013,53.69,0.004480127
06/09/2013,53.45,-0.009681699
05/09/2013,53.97,-0.003698913
04/09/2013,54.17,0.030742815
03/09/2013,52.53,-0.003231021
30/08/2013,52.7,-0.006053745
29/08/2013,53.02,-0.00545473
28/08/2013,53.31,-0.003744621
27/08/2013,53.51,-0.011335251
26/08/2013,54.12,0.015455107
23/08/2013,53.29,0.003006956
22/08/2013,53.13,0.024579688
21/08/2013,51.84,-0.003081667
20/08/2013,52,0.021184351
19/08/2013,50.91,0.009076621
16/08/2013,50.45,-0.016318066
15/08/2013,51.28,-0.033368388
14/08/2013,53.02,-0.013302304
13/08/2013,53.73,0.014245789
12/08/2013,52.97,0.000944376
09/08/2013,52.92,-0.007154992
08/08/2013,53.3,-0.011194147
07/08/2013,53.9,-0.006472515
06/08/2013,54.25,-0.001657612
05/08/2013,54.34,-0.000735835
02/08/2013,54.38,-0.000919033
01/08/2013,54.43,0.014434003
31/07/2013,53.65,0.004858007
30/07/2013,53.39,0.008464266
29/07/2013,52.94,-0.003582544
26/07/2013,53.13,0.007177968
25/07/2013,52.75,-0.002461423
24/07/2013,52.88,-0.004904745
23/07/2013,53.14,-0.010669264
22/07/2013,53.71,0.002983407
19/07/2013,53.55,-0.002610968
18/07/2013,53.69,0.011049836
17/07/2013,53.1,-0.001317399
16/07/2013,53.17,-0.006374225
15/07/2013,53.51,-0.008374479
12/07/2013,53.96,-0.003884218
11/07/2013,54.17,-0.002212798
10/07/2013,54.29,0.027450141
09/07/2013,52.82,-0.008295674
08/07/2013,53.26,0.004893667
05/07/2013,53,0.017895014
03/07/2013,52.06,0.002115182
02/07/2013,51.95,0.006178819
01/07/2013,51.63,0.015419453
28/06/2013,50.84,0.010082126
27/06/2013,50.33,0.007578816
26/06/2013,49.95,0.003409208
25/06/2013,49.78,0.003219319
24/06/2013,49.62,0.004241145
21/06/2013,49.41,0.001215067
20/06/2013,49.35,-0.01628013
19/06/2013,50.16,-0.00873368
18/06/2013,50.6,0.009132484
17/06/2013,50.14,0.020552809
14/06/2013,49.12,-0.004063394
13/06/2013,49.32,0.015529532
12/06/2013,48.56,-0.025817066
11/06/2013,49.83,0.000602228
10/06/2013,49.8,0.002211278
