Date,Close,INTU
04/04/2014,77.19,-0.017847299
03/04/2014,78.58,-0.004950819
02/04/2014,78.97,0.001013556
01/04/2014,78.89,0.014813194
31/03/2014,77.73,-0.000514469
28/03/2014,77.77,0.002446091
27/03/2014,77.58,-0.001802962
26/03/2014,77.72,-0.012149264
25/03/2014,78.67,-0.001778004
24/03/2014,78.81,-0.007962127
21/03/2014,79.44,-0.015612632
20/03/2014,80.69,0.005966456
19/03/2014,80.21,-0.005594594
18/03/2014,80.66,0.00136468
17/03/2014,80.55,0.007977108
14/03/2014,79.91,-0.002998878
13/03/2014,80.15,-0.009684704
12/03/2014,80.93,-0.004192361
11/03/2014,81.27,-0.006744768
10/03/2014,81.82,-0.00463359
07/03/2014,82.2,0.018045049
06/03/2014,80.73,0.001239465
05/03/2014,80.63,-0.003466637
04/03/2014,80.91,0.038296656
03/03/2014,77.87,-0.003589287
28/02/2014,78.15,0.00064
27/02/2014,78.1,0.005134799
26/02/2014,77.7,0.004773279
25/02/2014,77.33,-0.001033993
24/02/2014,77.41,0.002198514
21/02/2014,77.24,0.044881449
20/02/2014,73.85,0.005839631
19/02/2014,73.42,0.00505224
18/02/2014,73.05,0.01879287
14/02/2014,71.69,0.01362285
13/02/2014,70.72,0.014241198
12/02/2014,69.72,-0.042129229
11/02/2014,72.72,0.017618545
10/02/2014,71.45,0
07/02/2014,71.45,0.005895581
06/02/2014,71.03,0.003949786
05/02/2014,70.75,-0.002258931
04/02/2014,70.91,0.001411234
03/02/2014,70.81,-0.033878014
31/01/2014,73.25,-0.012751122
30/01/2014,74.19,0.013707211
29/01/2014,73.18,-0.004091101
28/01/2014,73.48,0.005732239
27/01/2014,73.06,-0.002460698
24/01/2014,73.24,-0.028003984
23/01/2014,75.32,-0.003313675
22/01/2014,75.57,-0.008039582
21/01/2014,76.18,-0.010576582
17/01/2014,76.99,0.00260112
16/01/2014,76.79,0.000130234
15/01/2014,76.78,0.009421687
14/01/2014,76.06,0.013901065
13/01/2014,75.01,-0.016264821
10/01/2014,76.24,-0.005102386
09/01/2014,76.63,0.002482526
08/01/2014,76.44,-0.00807822
07/01/2014,77.06,0.017277917
06/01/2014,75.74,-0.00079187
03/01/2014,75.8,-0.001845262
02/01/2014,75.94,-0.004991472
31/12/2013,76.32,-0.003270328
30/12/2013,76.57,0.006288505
27/12/2013,76.09,-0.003411181
26/12/2013,76.35,-0.00091641
24/12/2013,76.42,0.001309415
23/12/2013,76.32,0.013720532
20/12/2013,75.28,-0.005431556
19/12/2013,75.69,-0.001584159
18/12/2013,75.81,0.014883996
17/12/2013,74.69,-0.002273488
16/12/2013,74.86,-0.002135042
13/12/2013,75.02,0.010586364
12/12/2013,74.23,-0.004033348
11/12/2013,74.53,-0.006286385
10/12/2013,75,0.008032172
09/12/2013,74.4,-0.006831451
06/12/2013,74.91,0.012087174
05/12/2013,74.01,-0.004448946
04/12/2013,74.34,-0.000268998
03/12/2013,74.36,0.001749782
02/12/2013,74.23,0
29/11/2013,74.23,0.009338905
27/11/2013,73.54,0.009564221
26/11/2013,72.84,0.001511301
25/11/2013,72.73,0.009671255
22/11/2013,72.03,-0.015566125
21/11/2013,73.16,0.000273411
20/11/2013,73.14,-0.003003415
19/11/2013,73.36,-0.000681338
18/11/2013,73.41,-0.003535495
15/11/2013,73.67,0.006946837
14/11/2013,73.16,0.002737478
13/11/2013,72.96,0.007566934
12/11/2013,72.41,0.001796946
11/11/2013,72.28,-0.002763196
08/11/2013,72.48,0.011098893
