Date,Close,PEG
04/04/2014,38.47,0.009664435
03/04/2014,38.1,0.013210232
02/04/2014,37.6,0
01/04/2014,37.6,-0.01425955
31/03/2014,38.14,0.020395357
28/03/2014,37.37,0.002411254
27/03/2014,37.28,0.002148229
26/03/2014,37.2,0.005661155
25/03/2014,36.99,0.001081958
24/03/2014,36.95,0.001354096
21/03/2014,36.9,0.016944926
20/03/2014,36.28,-0.003027386
19/03/2014,36.39,-0.0136465
18/03/2014,36.89,0.002714442
17/03/2014,36.79,0.003812641
14/03/2014,36.65,0.01235431
13/03/2014,36.2,0.011390594
12/03/2014,35.79,0.017475078
11/03/2014,35.17,-0.00933925
10/03/2014,35.5,0.001691571
07/03/2014,35.44,-0.001973221
06/03/2014,35.51,-0.008412837
05/03/2014,35.81,-0.011936297
04/03/2014,36.24,0.002763196
03/03/2014,36.14,-0.014285957
28/02/2014,36.66,0.005744784
27/02/2014,36.45,-0.005744784
26/02/2014,36.66,-0.003267977
25/02/2014,36.78,0.001360359
24/02/2014,36.73,0.004092217
21/02/2014,36.58,0.001367802
20/02/2014,36.53,0.04364329
19/02/2014,34.97,-0.003995439
18/02/2014,35.11,0.011746303
14/02/2014,34.7,0.005780363
13/02/2014,34.5,0.00290276
12/02/2014,34.4,0.000872474
11/02/2014,34.37,0.013474135
10/02/2014,33.91,-0.001178898
07/02/2014,33.95,0.011256043
06/02/2014,33.57,0.016822265
05/02/2014,33.01,-0.003326784
04/02/2014,33.12,-0.003315753
03/02/2014,33.23,-0.003304795
31/01/2014,33.34,-0.000899415
30/01/2014,33.37,0.014488633
29/01/2014,32.89,-0.001215436
28/01/2014,32.93,-0.008768008
27/01/2014,33.22,0.006038666
24/01/2014,33.02,0.008515867
23/01/2014,32.74,0.010130555
22/01/2014,32.41,0.009922562
21/01/2014,32.09,0.009707294
17/01/2014,31.78,0.001889764
16/01/2014,31.72,0.006007923
15/01/2014,31.53,0.00381316
14/01/2014,31.41,-0.005080989
13/01/2014,31.57,-0.009771551
10/01/2014,31.88,0.005031457
09/01/2014,31.72,0.007594973
08/01/2014,31.48,-0.005385725
07/01/2014,31.65,0.000948317
06/01/2014,31.62,0.006026981
