Date,Close,PNC
04/04/2014,86.25,-0.013359637
03/04/2014,87.41,-0.002285454
02/04/2014,87.61,0.004002979
01/04/2014,87.26,0.002984049
31/03/2014,87,0.014705296
28/03/2014,85.73,0.006905862
27/03/2014,85.14,-0.002111933
26/03/2014,85.32,-0.012810237
25/03/2014,86.42,-0.00611411
24/03/2014,86.95,0.000920493
21/03/2014,86.87,0.002766572
20/03/2014,86.63,0.018289286
19/03/2014,85.06,0.005186245
18/03/2014,84.62,0.005332082
17/03/2014,84.17,0.015686127
14/03/2014,82.86,0.000845155
13/03/2014,82.79,-0.008060194
12/03/2014,83.46,0.002879772
11/03/2014,83.22,-0.01039995
10/03/2014,84.09,0.001308979
07/03/2014,83.98,0.013909097
06/03/2014,82.82,-0.001447877
05/03/2014,82.94,0.011032421
04/03/2014,82.03,0.012882823
03/03/2014,80.98,-0.009830504
28/02/2014,81.78,0.005394814
27/02/2014,81.34,0.002585094
26/02/2014,81.13,0.005190323
25/02/2014,80.71,-0.007775417
24/02/2014,81.34,0.013740391
21/02/2014,80.23,0.003120906
20/02/2014,79.98,0.0038835
19/02/2014,79.67,-0.023323226
18/02/2014,81.55,-0.000858001
14/02/2014,81.62,0.005898272
13/02/2014,81.14,0.00148002
12/02/2014,81.02,0.000246883
11/02/2014,81,0.014424523
10/02/2014,79.84,-0.000626056
07/02/2014,79.89,0.000751315
06/02/2014,79.83,0.012859481
05/02/2014,78.81,-0.000887818
04/02/2014,78.88,0.005721203
03/02/2014,78.43,-0.018319001
31/01/2014,79.88,-0.021548821
30/01/2014,81.62,0.021674017
29/01/2014,79.87,-0.017007424
28/01/2014,81.24,0.005430771
27/01/2014,80.8,-0.002842491
24/01/2014,81.03,-0.019916353
23/01/2014,82.66,-0.01857787
22/01/2014,84.21,0.001188213
21/01/2014,84.11,0.022240503
17/01/2014,82.26,0.016300379
16/01/2014,80.93,0.026164101
15/01/2014,78.84,0.010711656
14/01/2014,78,0.008109718
13/01/2014,77.37,-0.017933105
10/01/2014,78.77,-0.005317815
09/01/2014,79.19,0.005952775
08/01/2014,78.72,0.01652295
07/01/2014,77.43,0.007388717
06/01/2014,76.86,-0.001300221
03/01/2014,76.96,0.00468873
02/01/2014,76.6,-0.012712585
31/12/2013,77.58,0.000902702
30/12/2013,77.51,-0.008862687
27/12/2013,78.2,0.01209329
26/12/2013,77.26,0.001684047
24/12/2013,77.13,0.001427182
23/12/2013,77.02,0.008475179
20/12/2013,76.37,0.004856609
19/12/2013,76,0.004748096
18/12/2013,75.64,0.01317472
17/12/2013,74.65,-0.011057197
16/12/2013,75.48,0.001325733
13/12/2013,75.38,-0.005820122
12/12/2013,75.82,0.00449439
11/12/2013,75.48,-0.014207027
10/12/2013,76.56,0.003663966
09/12/2013,76.28,0.001443096
06/12/2013,76.17,0.01521294
05/12/2013,75.02,-0.009287582
04/12/2013,75.72,0.001321528
03/12/2013,75.62,-0.024557138
02/12/2013,77.5,0.007122076
29/11/2013,76.95,-0.005960111
27/11/2013,77.41,0.010388355
26/11/2013,76.61,0.003792589
25/11/2013,76.32,-0.006529996
22/11/2013,76.82,0.006398977
21/11/2013,76.33,0.014914815
20/11/2013,75.2,-0.003981425
19/11/2013,75.5,0.002519728
18/11/2013,75.31,0.002259888
15/11/2013,75.14,0.006140721
14/11/2013,74.68,0.005505217
13/11/2013,74.27,0.00121253
12/11/2013,74.18,-0.01657792
11/11/2013,75.42,-0.00132503
08/11/2013,75.52,0.035308883
07/11/2013,72.9,-0.013353516
06/11/2013,73.88,0.008017981
05/11/2013,73.29,0.001638673
04/11/2013,73.17,-0.002729632
01/11/2013,73.37,-0.002178353
31/10/2013,73.53,-0.01725808
30/10/2013,74.81,-0.005199665
29/10/2013,75.2,-0.003981425
28/10/2013,75.5,0.001856026
25/10/2013,75.36,0.007191401
24/10/2013,74.82,-0.005597776
23/10/2013,75.24,-0.004244038
22/10/2013,75.56,0.005840208
21/10/2013,75.12,0.00106553
18/10/2013,75.04,0.004808986
17/10/2013,74.68,0.010905527
16/10/2013,73.87,0.018582308
15/10/2013,72.51,-0.006460948
14/10/2013,72.98,0.000274085
11/10/2013,72.96,0.00467098
10/10/2013,72.62,0.024393153
09/10/2013,70.87,-0.000987237
08/10/2013,70.94,-0.013163613
07/10/2013,71.88,-0.015050336
04/10/2013,72.97,0.007565893
03/10/2013,72.42,-0.003583739
02/10/2013,72.68,0.000137599
01/10/2013,72.67,0.003031976
30/09/2013,72.45,-0.002481391
27/09/2013,72.63,0.002619427
26/09/2013,72.44,-0.008385505
25/09/2013,73.05,0.004527688
24/09/2013,72.72,-0.003294896
23/09/2013,72.96,-0.014829195
20/09/2013,74.05,0
