Date,Close,TIF
04/04/2014,87.34,-0.014549018
03/04/2014,88.62,-0.002029084
02/04/2014,88.8,0.009731886
01/04/2014,87.94,0.020564801
31/03/2014,86.15,0.012850644
28/03/2014,85.05,0.000823384
27/03/2014,84.98,-0.004578816
26/03/2014,85.37,-0.013034049
25/03/2014,86.49,-0.008519508
24/03/2014,87.23,-0.039339755
21/03/2014,90.73,-0.004837832
20/03/2014,91.17,-0.01761298
19/03/2014,92.79,0.00129408
18/03/2014,92.67,0.003892318
17/03/2014,92.31,0.004451449
14/03/2014,91.9,-0.003692847
13/03/2014,92.24,-0.002706655
12/03/2014,92.49,0.000324412
11/03/2014,92.46,-0.010864411
10/03/2014,93.47,-0.003630931
07/03/2014,93.81,0.005665738
06/03/2014,93.28,0.002361276
05/03/2014,93.06,-0.003004294
04/03/2014,93.34,0.012939581
03/03/2014,92.14,-0.011974899
28/02/2014,93.25,0.001609874
27/02/2014,93.1,0.01329965
26/02/2014,91.87,0.0120457
25/02/2014,90.77,0.002978984
24/02/2014,90.5,0.013572352
21/02/2014,89.28,-0.001790511
20/02/2014,89.44,0.011809168
19/02/2014,88.39,-0.002373017
18/02/2014,88.6,0.004978512
14/02/2014,88.16,-0.004188132
13/02/2014,88.53,0.01616979
12/02/2014,87.11,-0.001147315
11/02/2014,87.21,0.002066116
10/02/2014,87.03,-0.001377885
07/02/2014,87.15,0.010264781
06/02/2014,86.26,0.015067738
05/02/2014,84.97,0.030712816
04/02/2014,82.4,0.018618862
03/02/2014,80.88,-0.028160574
31/01/2014,83.19,-0.005872852
30/01/2014,83.68,0.012506176
29/01/2014,82.64,-0.017037005
28/01/2014,84.06,0.018853756
27/01/2014,82.49,-0.007728574
24/01/2014,83.13,-0.031962948
23/01/2014,85.83,-0.01572105
22/01/2014,87.19,0.00956504
21/01/2014,86.36,-0.004044612
17/01/2014,86.71,-0.012036599
16/01/2014,87.76,-0.00771854
15/01/2014,88.44,0.00215066
14/01/2014,88.25,0.009220852
13/01/2014,87.44,-0.032848848
10/01/2014,90.36,-0.018095575
09/01/2014,92.01,0.003374888
08/01/2014,91.7,-0.004895305
07/01/2014,92.15,0.005549827
06/01/2014,91.64,-0.006959576
03/01/2014,92.28,-0.002921606
02/01/2014,92.55,-0.00248206
31/12/2013,92.78,0.00746474
30/12/2013,92.09,0.013336446
27/12/2013,90.87,-0.001099868
26/12/2013,90.97,-0.000659341
24/12/2013,91.03,0.005839272
23/12/2013,90.5,-0.001325089
20/12/2013,90.62,0.002098868
19/12/2013,90.43,-0.011434979
18/12/2013,91.47,0.01265213
