Date,Close,VMC
04/04/2014,66.33,-0.00015075
03/04/2014,66.34,0.00938974
02/04/2014,65.72,-0.011497857
01/04/2014,66.48,0.000451365
31/03/2014,66.45,0.000903342
28/03/2014,66.39,0.019468295
27/03/2014,65.11,0.00770895
26/03/2014,64.61,-0.019920977
25/03/2014,65.91,0.012058453
24/03/2014,65.12,-0.0150883
21/03/2014,66.11,-0.013521841
20/03/2014,67.01,-0.002831386
19/03/2014,67.2,-0.00297177
18/03/2014,67.4,0.009990391
17/03/2014,66.73,0.007521094
14/03/2014,66.23,0.006665681
13/03/2014,65.79,-0.017179446
12/03/2014,66.93,-0.008183961
11/03/2014,67.48,-0.009733155
10/03/2014,68.14,-0.010365813
07/03/2014,68.85,0.01256959
06/03/2014,67.99,-0.003083929
05/03/2014,68.2,-0.011806857
04/03/2014,69.01,0.009463563
03/03/2014,68.36,0.006310095
28/02/2014,67.93,0
27/02/2014,67.93,0.014382337
26/02/2014,66.96,0.021282216
25/02/2014,65.55,0.007964508
24/02/2014,65.03,-0.01070674
21/02/2014,65.73,0.006563406
20/02/2014,65.3,0.005836294
19/02/2014,64.92,-0.023143542
18/02/2014,66.44,0.001657001
14/02/2014,66.33,0.004987542
13/02/2014,66,0.009438341
12/02/2014,65.38,-0.002444242
11/02/2014,65.54,0.00550797
10/02/2014,65.18,0.006464545
07/02/2014,64.76,-0.013801783
06/02/2014,65.66,0.086983687
05/02/2014,60.19,0.005163666
04/02/2014,59.88,0.013958017
03/02/2014,59.05,-0.044385494
31/01/2014,61.73,0.000810307
30/01/2014,61.68,-0.009359436
29/01/2014,62.26,0.010982023
28/01/2014,61.58,0.059204714
27/01/2014,58.04,-0.026019664
24/01/2014,59.57,-0.02879087
23/01/2014,61.31,0.028287388
22/01/2014,59.6,-0.006355599
21/01/2014,59.98,0.005517025
17/01/2014,59.65,-0.004349288
16/01/2014,59.91,0.00384648
15/01/2014,59.68,0.007906509
14/01/2014,59.21,0.009332383
13/01/2014,58.66,-0.012872806
10/01/2014,59.42,-0.006709183
09/01/2014,59.82,0.007887932
08/01/2014,59.35,0.008630225
07/01/2014,58.84,0.013344937
06/01/2014,58.06,-0.009087075
03/01/2014,58.59,-0.00153492
02/01/2014,58.68,-0.012531917
31/12/2013,59.42,-0.001177361
30/12/2013,59.49,0.014391174
27/12/2013,58.64,0.006329676
26/12/2013,58.27,0.004816799
24/12/2013,57.99,0.005186734
23/12/2013,57.69,0.006085388
20/12/2013,57.34,0.003144107
19/12/2013,57.16,-0.010095821
18/12/2013,57.74,0.021886543
17/12/2013,56.49,-0.003886931
16/12/2013,56.71,0.010280133
13/12/2013,56.13,0.031122468
12/12/2013,54.41,0.009417483
11/12/2013,53.9,-0.01947517
10/12/2013,54.96,-0.011757393
09/12/2013,55.61,-0.005559057
06/12/2013,55.92,0.023521982
05/12/2013,54.62,0.003117267
04/12/2013,54.45,-0.019280335
03/12/2013,55.51,-0.018738837
02/12/2013,56.56,0.003364919
29/11/2013,56.37,-0.013042131
27/11/2013,57.11,-0.00367037
26/11/2013,57.32,-0.001917212
25/11/2013,57.43,0.011206561
22/11/2013,56.79,0.007778013
21/11/2013,56.35,0.011063639
20/11/2013,55.73,0.000718004
19/11/2013,55.69,0.006304623
18/11/2013,55.34,-0.026040351
15/11/2013,56.8,0.014899176
14/11/2013,55.96,-0.001785396
13/11/2013,56.06,0.003932087
12/11/2013,55.84,-0.007848774
11/11/2013,56.28,-0.005669753
08/11/2013,56.6,0.022332326
07/11/2013,55.35,-0.014884163
06/11/2013,56.18,-0.004617305
05/11/2013,56.44,-0.023464568
04/11/2013,57.78,0.073788509
01/11/2013,53.67,0.002238389
31/10/2013,53.55,-0.008183047
30/10/2013,53.99,-0.008667643
29/10/2013,54.46,-0.006771002
28/10/2013,54.83,-0.000182365
25/10/2013,54.84,-0.000182332
