Date,Close,GT
04/04/2014,25.56,-0.017067909
03/04/2014,26,-0.030305349
02/04/2014,26.8,-0.01113184
01/04/2014,27.1,0.036449648
31/03/2014,26.13,0.007297901
28/03/2014,25.94,0.015148862
27/03/2014,25.55,0.011811161
26/03/2014,25.25,-0.034257924
25/03/2014,26.13,-0.012927937
24/03/2014,26.47,-0.016857489
21/03/2014,26.92,-0.011816977
20/03/2014,27.24,-0.002566454
19/03/2014,27.31,-0.014179478
18/03/2014,27.7,0.014912078
17/03/2014,27.29,0
14/03/2014,27.29,0.021482308
13/03/2014,26.71,-0.016339019
12/03/2014,27.15,-0.001472212
11/03/2014,27.19,-0.026135789
10/03/2014,27.91,0.008997721
07/03/2014,27.66,-0.016493741
06/03/2014,28.12,0.022658765
05/03/2014,27.49,0.000363835
04/03/2014,27.48,0.031044622
03/03/2014,26.64,-0.008596577
28/02/2014,26.87,0.006721459
27/02/2014,26.69,0.016242095
26/02/2014,26.26,-0.009097864
25/02/2014,26.5,0.002266718
24/02/2014,26.44,-0.003775014
21/02/2014,26.54,-0.004136122
20/02/2014,26.65,0.003382826
19/02/2014,26.56,-0.002632075
18/02/2014,26.63,-0.004869835
14/02/2014,26.76,-0.006703936
13/02/2014,26.94,0.108499976
12/02/2014,24.17,0.006225378
11/02/2014,24.02,0.021886396
10/02/2014,23.5,-0.001275782
07/02/2014,23.53,0.012831656
06/02/2014,23.23,0.016055888
05/02/2014,22.86,-0.002184838
04/02/2014,22.91,0.012739026
03/02/2014,22.62,-0.044951388
31/01/2014,23.66,0.006359996
30/01/2014,23.51,0.017160438
29/01/2014,23.11,-0.011615532
28/01/2014,23.38,0.009022618
27/01/2014,23.17,0.005626503
24/01/2014,23.04,-0.036228126
23/01/2014,23.89,-0.021942507
22/01/2014,24.42,0.009876623
21/01/2014,24.18,-0.014371013
17/01/2014,24.53,-0.015773836
16/01/2014,24.92,-0.011570047
15/01/2014,25.21,-0.008295525
14/01/2014,25.42,0.003546802
13/01/2014,25.33,-0.025722385
