Date,Close,JEC
04/04/2014,63.89,-0.006863231
03/04/2014,64.33,-0.00077694
02/04/2014,64.38,0.009206588
01/04/2014,63.79,0.004556532
31/03/2014,63.5,0.006002229
28/03/2014,63.12,0.004445863
27/03/2014,62.84,-0.005079376
26/03/2014,63.16,-0.01055211
25/03/2014,63.83,0.002195735
24/03/2014,63.69,-0.017586633
21/03/2014,64.82,0.010546003
20/03/2014,64.14,0.005628533
19/03/2014,63.78,-0.00328716
18/03/2014,63.99,0.011315538
17/03/2014,63.27,0.010805762
14/03/2014,62.59,0.010600806
13/03/2014,61.93,-0.014109582
12/03/2014,62.81,-0.000795735
11/03/2014,62.86,0.000159096
10/03/2014,62.85,-0.003811343
07/03/2014,63.09,0.000317058
06/03/2014,63.07,0.020180057
05/03/2014,61.81,0.003403293
04/03/2014,61.6,0.019672766
03/03/2014,60.4,-0.00413053
28/02/2014,60.65,0.001485026
27/02/2014,60.56,0.003970885
26/02/2014,60.32,0.005319161
25/02/2014,60,-0.000499875
24/02/2014,60.03,-0.001165404
21/02/2014,60.1,-0.015519545
20/02/2014,61.04,0.012694919
19/02/2014,60.27,-0.011383444
18/02/2014,60.96,0.008070537
14/02/2014,60.47,0.003644802
13/02/2014,60.25,-0.009251677
12/02/2014,60.81,0.014577035
11/02/2014,59.93,0.009556616
10/02/2014,59.36,-0.008053735
07/02/2014,59.84,0.01413689
06/02/2014,59,0.005949869
05/02/2014,58.65,-0.010853083
04/02/2014,59.29,0.013584858
03/02/2014,58.49,-0.03725263
31/01/2014,60.71,-0.016661607
30/01/2014,61.73,-0.000809651
29/01/2014,61.78,-0.014941237
28/01/2014,62.71,0.007041156
27/01/2014,62.27,-0.011654958
24/01/2014,63,-0.025079684
23/01/2014,64.6,-0.033638359
22/01/2014,66.81,0.01128935
21/01/2014,66.06,0.005007978
17/01/2014,65.73,0.00426895
16/01/2014,65.45,0.002447607
15/01/2014,65.29,0.011553699
14/01/2014,64.54,0.003103665
13/01/2014,64.34,0.009526112
10/01/2014,63.73,0.007560282
09/01/2014,63.25,0.002532849
08/01/2014,63.09,0.0026982
07/01/2014,62.92,0.008779688
06/01/2014,62.37,0.001283491
03/01/2014,62.29,-0.009427249
02/01/2014,62.88,-0.001747836
31/12/2013,62.99,0.021016254
30/12/2013,61.68,-0.000810307
27/12/2013,61.73,-0.001618647
26/12/2013,61.83,0.005839433
24/12/2013,61.47,0.005710106
23/12/2013,61.12,-0.001308045
20/12/2013,61.2,0.010347469
19/12/2013,60.57,0.00596127
18/12/2013,60.21,0.033609513
17/12/2013,58.22,0.015404891
16/12/2013,57.33,0.009992195
13/12/2013,56.76,0.004768221
12/12/2013,56.49,-0.02015314
11/12/2013,57.64,-0.016347262
10/12/2013,58.59,0.003590668
09/12/2013,58.38,-0.00171145
06/12/2013,58.48,0.016204457
05/12/2013,57.54,-0.0089966
04/12/2013,58.06,-0.009087075
03/12/2013,58.59,-0.01490795
02/12/2013,59.47,-0.005031879
29/11/2013,59.77,-0.001170471
27/11/2013,59.84,-0.004834551
26/11/2013,60.13,0.013730959
25/11/2013,59.31,-0.013065512
22/11/2013,60.09,0.000332889
21/11/2013,60.07,-0.001330894
20/11/2013,60.15,0.001997005
19/11/2013,60.03,-0.060124747
18/11/2013,63.75,-0.00015685
15/11/2013,63.76,0.00487384
14/11/2013,63.45,0.002524855
13/11/2013,63.29,0.01898135
12/11/2013,62.1,0.000805477
11/11/2013,62.05,0.00096743
08/11/2013,61.99,0.012825892
07/11/2013,61.2,-0.012987196
06/11/2013,62,0.006797243
05/11/2013,61.58,0.00048729
04/11/2013,61.55,0.010124188
01/11/2013,60.93,0.001806982
31/10/2013,60.82,0.003128862
30/10/2013,60.63,-0.008540042
29/10/2013,61.15,0.002783921
28/10/2013,60.98,0.006911332
25/10/2013,60.56,-0.002309089
24/10/2013,60.7,0.007607115
23/10/2013,60.24,-0.005628222
22/10/2013,60.58,0.010120368
21/10/2013,59.97,0.005853349
18/10/2013,59.62,-0.005853349
17/10/2013,59.97,0.019192508
16/10/2013,58.83,0.020608663
15/10/2013,57.63,-0.012416093
14/10/2013,58.35,0.00343348
11/10/2013,58.15,0.013678683
10/10/2013,57.36,0.021854941
09/10/2013,56.12,-0.002846977
08/10/2013,56.28,-0.017263067
07/10/2013,57.26,-0.004878058
04/10/2013,57.54,0.003830755
03/10/2013,57.32,-0.022426332
02/10/2013,58.62,0.000170605
01/10/2013,58.61,0.007363677
30/09/2013,58.18,0.006725903
27/09/2013,57.79,-0.008100001
26/09/2013,58.26,-0.00034323
25/09/2013,58.28,0.001030043
24/09/2013,58.22,-0.000858443
23/09/2013,58.27,-0.013466495
20/09/2013,59.06,-0.01128053
19/09/2013,59.73,0.000837451
18/09/2013,59.68,0.013835213
17/09/2013,58.86,0.004939123
16/09/2013,58.57,0.011505236
13/09/2013,57.9,-0.002759574
12/09/2013,58.06,0.007780795
11/09/2013,57.61,-0.015501516
10/09/2013,58.51,0.001368223
09/09/2013,58.43,0.006008086
06/09/2013,58.08,-0.016054999
05/09/2013,59.02,-0.00372062
04/09/2013,59.24,0.011374369
03/09/2013,58.57,0.004963639
30/08/2013,58.28,0.003437611
29/08/2013,58.08,-0.00908396
28/08/2013,58.61,0.006161238
27/08/2013,58.25,-0.02709734
26/08/2013,59.85,-0.000334113
23/08/2013,59.87,-0.007985403
22/08/2013,60.35,0.008820894
21/08/2013,59.82,-0.005335124
20/08/2013,60.14,0.00283074
19/08/2013,59.97,-0.023891078
16/08/2013,61.42,0.005551035
15/08/2013,61.08,-0.002942621
14/08/2013,61.26,0.00458116
13/08/2013,60.98,0.000492086
12/08/2013,60.95,0.001149142
09/08/2013,60.88,0.003785078
08/08/2013,60.65,0.020657073
07/08/2013,59.41,-0.001345669
06/08/2013,59.49,-0.028829034
05/08/2013,61.23,-0.017805585
02/08/2013,62.33,0.013568291
01/08/2013,61.49,0.037953018
31/07/2013,59.2,0.022376884
30/07/2013,57.89,-0.005168861
29/07/2013,58.19,-0.013654419
26/07/2013,58.99,-0.018309069
25/07/2013,60.08,0.011551145
24/07/2013,59.39,-0.00151426
23/07/2013,59.48,-0.000336191
22/07/2013,59.5,-0.000336078
19/07/2013,59.52,0.005559782
18/07/2013,59.19,0.020999491
17/07/2013,57.96,0.00796817
16/07/2013,57.5,-0.006068506
15/07/2013,57.85,0.001556959
12/07/2013,57.76,0.012894411
11/07/2013,57.02,0.017157934
10/07/2013,56.05,0.001249665
09/07/2013,55.98,0.019116903
08/07/2013,54.92,-0.00797973
05/07/2013,55.36,0.014556298
03/07/2013,54.56,-0.001099103
02/07/2013,54.62,-0.014540423
01/07/2013,55.42,0.005246507
28/06/2013,55.13,-0.010286114
27/06/2013,55.7,0.014831164
26/06/2013,54.88,-0.00943061
25/06/2013,55.4,0.011619593
24/06/2013,54.76,-0.01988856
21/06/2013,55.86,0.005925145
20/06/2013,55.53,-0.021027147
19/06/2013,56.71,-0.018692133
18/06/2013,57.78,0.016754319
17/06/2013,56.82,0.017577017
14/06/2013,55.83,0.005387944
13/06/2013,55.53,0.008863222
12/06/2013,55.04,-0.018362352
11/06/2013,56.06,-0.016804145
10/06/2013,57.01,0.001404248
07/06/2013,56.93,0.017900345
06/06/2013,55.92,0.003224076
05/06/2013,55.74,-0.020597319
