Date,Close,PRU
04/04/2014,84.33,-0.02540674
03/04/2014,86.5,0.002083093
02/04/2014,86.32,0.005809241
01/04/2014,85.82,0.013726971
31/03/2014,84.65,0.012601213
28/03/2014,83.59,0.003355306
27/03/2014,83.31,-0.022198075
26/03/2014,85.18,-0.023437666
25/03/2014,87.2,0.00333123
24/03/2014,86.91,0.000805755
21/03/2014,86.84,-0.009740523
20/03/2014,87.69,0.024005769
19/03/2014,85.61,0.008563604
18/03/2014,84.88,0.01137453
17/03/2014,83.92,0.002266628
14/03/2014,83.73,-0.007614552
13/03/2014,84.37,-0.023775788
12/03/2014,86.4,-0.012079526
11/03/2014,87.45,-0.010238997
10/03/2014,88.35,-0.0025999
07/03/2014,88.58,0.020645159
06/03/2014,86.77,0.008913644
05/03/2014,86,0.007821204
04/03/2014,85.33,0.027805974
03/03/2014,82.99,-0.018977713
28/02/2014,84.58,0.004978083
27/02/2014,84.16,0
26/02/2014,84.16,0.000475398
25/02/2014,84.12,-0.009936207
24/02/2014,84.96,0.012197439
21/02/2014,83.93,-0.006650066
20/02/2014,84.49,0.002488595
19/02/2014,84.28,-0.013318601
18/02/2014,85.41,0.004929587
14/02/2014,84.99,0.004362957
13/02/2014,84.62,0.003314397
12/02/2014,84.34,-0.002250253
11/02/2014,84.53,0.02079922
10/02/2014,82.79,-0.007460925
07/02/2014,83.41,0.014004817
06/02/2014,82.25,-0.005698021
05/02/2014,82.72,0.002420723
04/02/2014,82.52,0.025404815
03/02/2014,80.45,-0.047813038
31/01/2014,84.39,-0.009669887
30/01/2014,85.21,0.016447155
29/01/2014,83.82,-0.007606407
28/01/2014,84.46,0.012749651
27/01/2014,83.39,-0.011564958
24/01/2014,84.36,-0.036659717
23/01/2014,87.51,-0.022597278
22/01/2014,89.51,-0.006902722
21/01/2014,90.13,-0.001108893
17/01/2014,90.23,-0.001439726
16/01/2014,90.36,-0.007387431
15/01/2014,91.03,0.015052858
14/01/2014,89.67,0.012794787
13/01/2014,88.53,-0.024546586
10/01/2014,90.73,-0.005495727
09/01/2014,91.23,0.003293811
08/01/2014,90.93,0.000990263
07/01/2014,90.84,0.003749867
06/01/2014,90.5,0.003209565
03/01/2014,90.21,-0.006078374
02/01/2014,90.76,-0.015958367
31/12/2013,92.22,0.007838054
30/12/2013,91.5,-0.003600069
27/12/2013,91.83,-0.00651256
26/12/2013,92.43,0.005641764
24/12/2013,91.91,0.004470865
23/12/2013,91.5,0.001859652
20/12/2013,91.33,0.012782543
19/12/2013,90.17,-0.004647054
18/12/2013,90.59,0.02957536
17/12/2013,87.95,-0.008265914
16/12/2013,88.68,0.005540807
13/12/2013,88.19,-0.001586223
12/12/2013,88.33,0.0030614
11/12/2013,88.06,-0.010954991
10/12/2013,89.03,0.000561766
09/12/2013,88.98,0.000787003
