Date,Close,CI
04/04/2014,81.8,-0.014804299
03/04/2014,83.02,0.006404469
02/04/2014,82.49,-0.006765762
01/04/2014,83.05,-0.0081545
31/03/2014,83.73,0.052973031
28/03/2014,79.41,0.024475409
27/03/2014,77.49,-0.031877739
26/03/2014,80,-0.003867512
25/03/2014,80.31,-0.006330313
24/03/2014,80.82,-0.014982474
21/03/2014,82.04,-0.009100348
20/03/2014,82.79,0.030786757
19/03/2014,80.28,0.032793975
18/03/2014,77.69,-0.00115778
17/03/2014,77.78,0.015940207
14/03/2014,76.55,-0.014653702
13/03/2014,77.68,-0.020640305
12/03/2014,79.3,-0.008288381
11/03/2014,79.96,0.003758932
10/03/2014,79.66,0.007687014
07/03/2014,79.05,-0.000252972
06/03/2014,79.07,-0.00831239
05/03/2014,79.73,0.000250878
04/03/2014,79.71,0.013896131
03/03/2014,78.61,-0.012389539
28/02/2014,79.59,0.022747026
27/02/2014,77.8,-0.002823773
26/02/2014,78.02,-0.001792804
25/02/2014,78.16,-0.01309202
24/02/2014,79.19,0.023638742
21/02/2014,77.34,0.003108006
20/02/2014,77.1,0.008597161
19/02/2014,76.44,-0.014932434
18/02/2014,77.59,-0.001545396
14/02/2014,77.71,0.020410198
13/02/2014,76.14,0.002630196
12/02/2014,75.94,-0.016714936
11/02/2014,77.22,0.006235406
10/02/2014,76.74,-0.00946768
07/02/2014,77.47,-0.097103986
06/02/2014,85.37,0.003520304
05/02/2014,85.07,0.001411599
04/02/2014,84.95,0.005074655
03/02/2014,84.52,-0.020957273
31/01/2014,86.31,-0.015406145
30/01/2014,87.65,0.020400638
29/01/2014,85.88,-0.000698405
28/01/2014,85.94,-0.01225874
27/01/2014,87,0.003454235
24/01/2014,86.7,-0.032231569
23/01/2014,89.54,-0.001339286
22/01/2014,89.66,-0.005228334
21/01/2014,90.13,0.007461475
17/01/2014,89.46,0.007179748
16/01/2014,88.82,-0.011641054
15/01/2014,89.86,0.004126016
14/01/2014,89.49,0.007965488
13/01/2014,88.78,-0.004831742
10/01/2014,89.21,-0.009371931
