Date,Close,CCE
04/04/2014,46.88,-0.016501326
03/04/2014,47.66,-0.002933168
02/04/2014,47.8,0.004192878
01/04/2014,47.6,-0.003355708
31/03/2014,47.76,0.01923746
28/03/2014,46.85,0.008789852
27/03/2014,46.44,0.003235202
26/03/2014,46.29,-0.005815848
25/03/2014,46.56,0.00193486
24/03/2014,46.47,-0.019182174
21/03/2014,47.37,-0.00798995
20/03/2014,47.75,0.003986995
19/03/2014,47.56,-0.002310197
18/03/2014,47.67,-0.004186734
17/03/2014,47.87,0.029036691
14/03/2014,46.5,0.004310352
13/03/2014,46.3,-0.013088911
12/03/2014,46.91,-0.000213151
11/03/2014,46.92,-0.003191832
10/03/2014,47.07,-0.007408225
07/03/2014,47.42,-0.00672554
06/03/2014,47.74,0.00588237
05/03/2014,47.46,0.011017061
04/03/2014,46.94,0.010709034
03/03/2014,46.44,-0.013687126
28/02/2014,47.08,0.007034027
27/02/2014,46.75,0.006007313
26/02/2014,46.47,-0.01112787
25/02/2014,46.99,-0.005517841
24/02/2014,47.25,-0.00190295
21/02/2014,47.34,0.009764459
20/02/2014,46.88,0.015694184
19/02/2014,46.15,-0.004108558
18/02/2014,46.34,0.004108558
14/02/2014,46.15,0.004125508
13/02/2014,45.96,0.010059127
12/02/2014,45.5,0.003743261
11/02/2014,45.33,0.013101109
10/02/2014,44.74,0.007628487
07/02/2014,44.4,0.00451468
06/02/2014,44.2,0.017344113
05/02/2014,43.44,0.011344027
04/02/2014,42.95,0.019276572
03/02/2014,42.13,-0.027161585
31/01/2014,43.29,-0.012853057
30/01/2014,43.85,0.016324078
29/01/2014,43.14,-0.019511694
28/01/2014,43.99,0.0151171
27/01/2014,43.33,-0.00460512
24/01/2014,43.53,-0.014821842
23/01/2014,44.18,-0.015497222
22/01/2014,44.87,0.002454537
21/01/2014,44.76,0.010781776
17/01/2014,44.28,-0.005405419
16/01/2014,44.52,-0.005376357
15/01/2014,44.76,0.005601
14/01/2014,44.51,0.013571798
13/01/2014,43.91,-0.011097385
10/01/2014,44.4,0.003836178
09/01/2014,44.23,0.005668307
08/01/2014,43.98,-0.000681896
07/01/2014,44.01,0.015802459
06/01/2014,43.32,-0.008046945
03/01/2014,43.67,0.002063038
02/01/2014,43.58,-0.012541494
31/12/2013,44.13,0.002268604
30/12/2013,44.03,0.009126233
27/12/2013,43.63,0.002064931
26/12/2013,43.54,0.002990226
24/12/2013,43.41,0.006471019
23/12/2013,43.13,-0.00023183
20/12/2013,43.14,0.017538156
19/12/2013,42.39,0.003308132
18/12/2013,42.25,0.016706833
17/12/2013,41.55,0.005550877
