Date,Close,IVZ
04/04/2014,35.65,-0.027664281
03/04/2014,36.65,-0.027716021
02/04/2014,37.68,0.005855753
01/04/2014,37.46,0.012355784
31/03/2014,37,0.01525084
28/03/2014,36.44,0.008543527
27/03/2014,36.13,-0.00414308
26/03/2014,36.28,0.001103144
25/03/2014,36.24,0.001380644
24/03/2014,36.19,0.001105889
21/03/2014,36.15,-0.002762433
20/03/2014,36.25,0.03737965
19/03/2014,34.92,-0.004856459
18/03/2014,35.09,0.00542936
17/03/2014,34.9,0.010658318
14/03/2014,34.53,-0.00807619
13/03/2014,34.81,-0.02187898
12/03/2014,35.58,0.02360411
11/03/2014,34.75,-0.003160468
10/03/2014,34.86,0.009801174
07/03/2014,34.52,0.004063866
06/03/2014,34.38,-0.001162791
05/03/2014,34.42,-0.000871207
04/03/2014,34.45,0.032451225
03/03/2014,33.35,-0.028087582
28/02/2014,34.3,0.005261632
27/02/2014,34.12,0.030048371
26/02/2014,33.11,-0.006922526
25/02/2014,33.34,-0.014590105
24/02/2014,33.83,0.008609226
21/02/2014,33.54,-0.004462301
20/02/2014,33.69,-0.003851286
19/02/2014,33.82,-0.009417374
18/02/2014,34.14,-0.00642338
14/02/2014,34.36,-0.004935414
13/02/2014,34.53,0.005226493
12/02/2014,34.35,0
11/02/2014,34.35,0.007304634
10/02/2014,34.1,0.036432814
07/02/2014,32.88,0.003961608
06/02/2014,32.75,0.030380514
05/02/2014,31.77,-0.021486114
04/02/2014,32.46,0.017716081
03/02/2014,31.89,-0.041762286
31/01/2014,33.25,-0.007490672
30/01/2014,33.5,0.013523873
29/01/2014,33.05,-0.011432134
28/01/2014,33.43,0.01052483
27/01/2014,33.08,-0.012019375
24/01/2014,33.48,-0.044114061
23/01/2014,34.99,-0.024281261
22/01/2014,35.85,0.022853301
21/01/2014,35.04,0.000856531
17/01/2014,35.01,-0.005412348
16/01/2014,35.2,-0.007359218
15/01/2014,35.46,0.006791198
14/01/2014,35.22,0.00483849
13/01/2014,35.05,-0.022567954
10/01/2014,35.85,-0.005285866
09/01/2014,36.04,-0.013504408
08/01/2014,36.53,-0.004370398
07/01/2014,36.69,0.008759979
06/01/2014,36.37,0.00689753
03/01/2014,36.12,0.006945437
02/01/2014,35.87,-0.014667483
31/12/2013,36.4,0.001374571
30/12/2013,36.35,-0.003844046
27/12/2013,36.49,-0.001642936
26/12/2013,36.55,0.003288575
24/12/2013,36.43,0.00495323
23/12/2013,36.25,0.01165385
20/12/2013,35.83,0.016320002
19/12/2013,35.25,-0.003115709
18/12/2013,35.36,0.025491857
17/12/2013,34.47,-0.017256684
16/12/2013,35.07,0.014070584
13/12/2013,34.58,0.005509656
12/12/2013,34.39,-0.007243259
11/12/2013,34.64,-0.021137605
10/12/2013,35.38,-0.008163311
09/12/2013,35.67,0.005904699
06/12/2013,35.46,0.030639476
05/12/2013,34.39,-0.015293907
04/12/2013,34.92,-0.002002575
03/12/2013,34.99,-0.004277776
02/12/2013,35.14,0.008286946
29/11/2013,34.85,-0.0051517
27/11/2013,35.03,0.014665971
26/11/2013,34.52,0.007560373
25/11/2013,34.26,0.010563479
22/11/2013,33.9,0.003546103
21/11/2013,33.78,0.008920666
20/11/2013,33.48,-0.003577821
19/11/2013,33.6,-0.003268462
18/11/2013,33.71,-0.003849005
15/11/2013,33.84,-0.006773697
14/11/2013,34.07,0.023460616
13/11/2013,33.28,0.002105581
12/11/2013,33.21,-0.010781776
11/11/2013,33.57,0.007474994
08/11/2013,33.32,0.028925749
07/11/2013,32.37,-0.021092024
06/11/2013,33.06,0.004547529
05/11/2013,32.91,-0.013581015
04/11/2013,33.36,-0.014285957
01/11/2013,33.84,0.002663117
31/10/2013,33.75,0.025203854
30/10/2013,32.91,-0.013581015
29/10/2013,33.36,0.018454615
28/10/2013,32.75,-0.003657426
25/10/2013,32.87,0.006715532
24/10/2013,32.65,0.005836294
23/10/2013,32.46,-0.001231527
22/10/2013,32.5,-0.000922651
21/10/2013,32.53,-0.007350722
18/10/2013,32.77,0.009504901
17/10/2013,32.46,0.012087548
16/10/2013,32.07,-0.010854503
15/10/2013,32.42,-0.066522209
