Date,Close,ED
04/04/2014,54.36,0.012960744
03/04/2014,53.66,0.001491981
02/04/2014,53.58,0.00881063
01/04/2014,53.11,-0.010116235
31/03/2014,53.65,0.008987142
28/03/2014,53.17,-0.008614285
27/03/2014,53.63,0.008990508
26/03/2014,53.15,0.002071759
25/03/2014,53.04,0.007000312
24/03/2014,52.67,0.003995059
21/03/2014,52.46,-0.006081357
20/03/2014,52.78,0.001896454
19/03/2014,52.68,-0.032312084
18/03/2014,54.41,-0.011693903
17/03/2014,55.05,0.007109683
14/03/2014,54.66,0.017905416
13/03/2014,53.69,-0.017173352
12/03/2014,54.62,-0.009112511
11/03/2014,55.12,-0.006509969
10/03/2014,55.48,0.000721241
07/03/2014,55.44,0.002709295
06/03/2014,55.29,0.000180881
05/03/2014,55.28,-0.006850577
04/03/2014,55.66,0.003599716
03/03/2014,55.46,-0.010582109
28/02/2014,56.05,0.008600662
27/02/2014,55.57,-0.00233666
26/02/2014,55.7,-0.007333903
25/02/2014,56.11,0.006436639
24/02/2014,55.75,0.00828535
21/02/2014,55.29,-0.000180848
20/02/2014,55.3,0.010178205
19/02/2014,54.74,-0.009635562
18/02/2014,55.27,0.001992213
14/02/2014,55.16,0.011670446
13/02/2014,54.52,0.009398392
12/02/2014,54.01,-0.007746258
11/02/2014,54.43,0.013502471
10/02/2014,53.7,-0.005941347
07/02/2014,54.02,0.004080881
06/02/2014,53.8,0.007650005
05/02/2014,53.39,-0.003739021
04/02/2014,53.59,-0.00279512
03/02/2014,53.74,-0.012390357
31/01/2014,54.41,0.009417483
30/01/2014,53.9,0.012132673
29/01/2014,53.25,0.002256064
28/01/2014,53.13,-0.005256254
27/01/2014,53.41,-0.004483475
24/01/2014,53.65,-0.005390849
23/01/2014,53.94,-0.004070311
22/01/2014,54.16,-0.004237685
21/01/2014,54.39,0.007937282
17/01/2014,53.96,0.000370714
16/01/2014,53.94,0.002041385
15/01/2014,53.83,0.000929282
14/01/2014,53.78,-0.002599816
13/01/2014,53.92,-0.007575094
10/01/2014,54.33,0.013900696
09/01/2014,53.58,0.00317787
08/01/2014,53.41,-0.010059697
07/01/2014,53.95,0.010808901
06/01/2014,53.37,-0.001497847
03/01/2014,53.45,-0.009496394
02/01/2014,53.96,-0.024168148
31/12/2013,55.28,0.000904896
30/12/2013,55.23,0.003264421
27/12/2013,55.05,0.001090513
26/12/2013,54.99,-0.004354933
24/12/2013,55.23,0.008363685
23/12/2013,54.77,0
20/12/2013,54.77,-0.001459588
19/12/2013,54.85,-0.010157896
18/12/2013,55.41,0.011800082
17/12/2013,54.76,0.003109285
16/12/2013,54.59,0.004774155
13/12/2013,54.33,-0.001287593
12/12/2013,54.4,-0.001102333
11/12/2013,54.46,-0.006953367
10/12/2013,54.84,-0.013043663
09/12/2013,55.56,-0.005206008
06/12/2013,55.85,0.016063878
05/12/2013,54.96,-0.010677868
04/12/2013,55.55,0.004510608
03/12/2013,55.3,0.003986235
02/12/2013,55.08,-0.002357422
29/11/2013,55.21,0.000362319
27/11/2013,55.19,0.000181209
26/11/2013,55.18,-0.012247992
25/11/2013,55.86,-0.001073537
22/11/2013,55.92,-0.00570615
21/11/2013,56.24,-0.012369834
20/11/2013,56.94,-0.015682496
19/11/2013,57.84,-0.00654836
18/11/2013,58.22,0.002579759
15/11/2013,58.07,0.008995044
14/11/2013,57.55,0.007324762
13/11/2013,57.13,0.005265017
12/11/2013,56.83,-0.005615035
11/11/2013,57.15,-0.002097536
08/11/2013,57.27,-0.022104164
07/11/2013,58.55,-0.004600843
06/11/2013,58.82,0.008022574
05/11/2013,58.35,-0.004957699
04/11/2013,58.64,0.00392995
01/11/2013,58.41,0.00325817
31/10/2013,58.22,0.00085918
30/10/2013,58.17,-0.004973002
29/10/2013,58.46,0.000684463
28/10/2013,58.42,-0.002905737
25/10/2013,58.59,0.006335095
24/10/2013,58.22,-0.00223042
23/10/2013,58.35,0.008433059
22/10/2013,57.86,0.021134312
21/10/2013,56.65,-0.003700119
18/10/2013,56.86,0.00193645
17/10/2013,56.75,0.015986131
16/10/2013,55.85,0.009715802
15/10/2013,55.31,-0.011683426
14/10/2013,55.96,-0.005346653
11/10/2013,56.26,0.001779043
10/10/2013,56.16,0.0058934
09/10/2013,55.83,0.00737082
08/10/2013,55.42,0.011432844
07/10/2013,54.79,0.005123524
04/10/2013,54.51,-0.002199011
03/10/2013,54.63,-0.010379771
02/10/2013,55.2,0.000543626
01/10/2013,55.17,0.000543922
30/09/2013,55.14,-0.00018134
27/09/2013,55.15,-0.008845621
26/09/2013,55.64,-0.002513015
25/09/2013,55.78,-0.008568421
24/09/2013,56.26,-0.002485355
23/09/2013,56.4,0.007653326
20/09/2013,55.97,-0.010839733
19/09/2013,56.58,-0.007220248
18/09/2013,56.99,0.030464634
17/09/2013,55.28,0.003079992
16/09/2013,55.11,0.004182204
13/09/2013,54.88,0.004565801
12/09/2013,54.63,-0.006750003
11/09/2013,55,-0.016231195
10/09/2013,55.9,0.001253021
09/09/2013,55.83,0.00430803
06/09/2013,55.59,0.007946583
05/09/2013,55.15,-0.007946583
04/09/2013,55.59,0.001620308
03/09/2013,55.5,-0.013067402
30/08/2013,56.23,0.000533665
29/08/2013,56.2,-0.00426137
28/08/2013,56.44,0.002305988
27/08/2013,56.31,0.001955382
26/08/2013,56.2,-0.006915534
23/08/2013,56.59,0.009588142
22/08/2013,56.05,0.005725548
21/08/2013,55.73,-0.012305104
20/08/2013,56.42,0.005687893
19/08/2013,56.1,-0.009579637
16/08/2013,56.64,-0.013154623
15/08/2013,57.39,-0.014702332
14/08/2013,58.24,-0.008037666
13/08/2013,58.71,-0.009661911
12/08/2013,59.28,-0.017060123
09/08/2013,60.3,-0.004797759
08/08/2013,60.59,0.000825559
07/08/2013,60.54,0.012298643
06/08/2013,59.8,-0.003838776
05/08/2013,60.03,-0.005647856
02/08/2013,60.37,0.0006628
01/08/2013,60.33,0.007152987
31/07/2013,59.9,-0.006655599
30/07/2013,60.3,0.000497636
29/07/2013,60.27,0.005657253
26/07/2013,59.93,0.008546344
25/07/2013,59.42,-0.003527933
24/07/2013,59.63,-0.012830302
23/07/2013,60.4,0.00448022
22/07/2013,60.13,-0.005803847
19/07/2013,60.48,0.005970167
18/07/2013,60.12,0.005838702
17/07/2013,59.77,0.00050205
16/07/2013,59.74,-0.005175736
15/07/2013,60.05,0.014256007
12/07/2013,59.2,0.006609633
11/07/2013,58.81,0.015940007
10/07/2013,57.88,0
09/07/2013,57.88,0.002594933
08/07/2013,57.73,0.009922616
05/07/2013,57.16,-0.0052347
03/07/2013,57.46,-0.001738828
02/07/2013,57.56,0.000869036
01/07/2013,57.51,-0.01381476
28/06/2013,58.31,0.004641177
27/06/2013,58.04,-0.001205338
26/06/2013,58.11,0.018760321
25/06/2013,57.03,0.013060546
24/06/2013,56.29,-0.001774938
21/06/2013,56.39,0.010876456
20/06/2013,55.78,-0.02653614
19/06/2013,57.28,-0.028738104
18/06/2013,58.95,0.006467007
17/06/2013,58.57,0.012887884
14/06/2013,57.82,0.004506855
13/06/2013,57.56,0.013819865
12/06/2013,56.77,-0.006671373
11/06/2013,57.15,-0.004364913
10/06/2013,57.4,-0.000522512
07/06/2013,57.43,0.001742768
06/06/2013,57.33,0.005948233
05/06/2013,56.99,0.008812183
