Date,Close,KSS
04/04/2014,57.66,-0.003289761
03/04/2014,57.85,-0.000691204
02/04/2014,57.89,0.018128438
01/04/2014,56.85,0.000879894
31/03/2014,56.8,-0.003514942
28/03/2014,57,0.00881063
27/03/2014,56.5,0.020563979
26/03/2014,55.35,0.003982627
25/03/2014,55.13,-0.009208334
24/03/2014,55.64,-0.002692275
21/03/2014,55.79,0.015899161
20/03/2014,54.91,0.003648973
19/03/2014,54.71,-0.018472094
18/03/2014,55.73,-0.002150924
17/03/2014,55.85,0.016791945
14/03/2014,54.92,0.007860382
13/03/2014,54.49,-0.012402129
12/03/2014,55.17,-0.004521212
11/03/2014,55.42,0.006880346
10/03/2014,55.04,-0.00742152
07/03/2014,55.45,0.013069709
06/03/2014,54.73,-0.005102982
05/03/2014,55.01,-0.015870486
04/03/2014,55.89,-0.003928576
03/03/2014,56.11,-0.001424755
28/02/2014,56.19,0.008040783
27/02/2014,55.74,0.023598844
26/02/2014,54.44,0.022852829
25/02/2014,53.21,0.023964631
24/02/2014,51.95,0.001155624
21/02/2014,51.89,0.000385505
20/02/2014,51.87,0.013782612
19/02/2014,51.16,-0.009725811
18/02/2014,51.66,0.007578002
14/02/2014,51.27,0.002734377
13/02/2014,51.13,-0.002344209
12/02/2014,51.25,-0.006418382
11/02/2014,51.58,0.00993676
10/02/2014,51.07,-0.00234696
07/02/2014,51.19,-0.00700801
06/02/2014,51.55,0.033934998
05/02/2014,49.83,0.014961864
04/02/2014,49.09,-0.00730671
03/02/2014,49.45,-0.023582228
31/01/2014,50.63,-0.004335837
30/01/2014,50.85,0.017457297
29/01/2014,49.97,-0.021970206
28/01/2014,51.08,0.019172442
27/01/2014,50.11,-0.002192765
24/01/2014,50.22,-0.017371143
23/01/2014,51.1,-0.005269847
22/01/2014,51.37,-0.023471643
21/01/2014,52.59,-0.006444298
17/01/2014,52.93,0.001891075
16/01/2014,52.83,-0.015588634
15/01/2014,53.66,-0.010381999
14/01/2014,54.22,0.014116133
13/01/2014,53.46,-0.063942103
10/01/2014,56.99,0.025412296
09/01/2014,55.56,0.006862949
08/01/2014,55.18,-0.016535244
07/01/2014,56.1,0.001070091
06/01/2014,56.04,-0.014526385
03/01/2014,56.86,-0.002283708
