Date,Close,KMI
04/04/2014,33.02,0.001818733
03/04/2014,32.96,0.004561358
02/04/2014,32.81,-0.002131223
01/04/2014,32.88,0.011932221
31/03/2014,32.49,0.010830989
28/03/2014,32.14,-0.00496587
27/03/2014,32.3,0.014343869
26/03/2014,31.84,0.007249835
25/03/2014,31.61,0.006984155
24/03/2014,31.39,0.007675126
21/03/2014,31.15,-0.010538178
20/03/2014,31.48,0.013431606
19/03/2014,31.06,-0.015969678
18/03/2014,31.56,-0.003795071
17/03/2014,31.68,-0.000631114
14/03/2014,31.7,0.023620632
13/03/2014,30.96,-0.010602509
12/03/2014,31.29,-0.009542057
11/03/2014,31.59,-0.006625675
10/03/2014,31.8,-0.006269613
07/03/2014,32,-0.009021682
06/03/2014,32.29,0.002791132
05/03/2014,32.2,0.004669269
04/03/2014,32.05,0.01287504
03/03/2014,31.64,-0.006615239
28/02/2014,31.85,-0.000627746
27/02/2014,31.87,-0.009369213
26/02/2014,32.17,-0.022134319
25/02/2014,32.89,0.02431263
24/02/2014,32.1,-0.028560209
21/02/2014,33.03,-0.006036843
20/02/2014,33.23,0.002410366
19/02/2014,33.15,-0.016751813
18/02/2014,33.71,-0.002074382
14/02/2014,33.78,0.003558723
13/02/2014,33.66,-0.005037794
12/02/2014,33.83,-0.003246277
11/02/2014,33.94,0.004429359
10/02/2014,33.79,-0.005901463
07/02/2014,33.99,0.010647838
06/02/2014,33.63,0.011664556
05/02/2014,33.24,-0.012556219
04/02/2014,33.66,0.010152371
03/02/2014,33.32,-0.020496782
31/01/2014,34.01,-0.009073676
30/01/2014,34.32,0.00643089
29/01/2014,34.1,-0.051161321
28/01/2014,35.89,0.006429093
27/01/2014,35.66,0.005342344
24/01/2014,35.47,-0.015942164
23/01/2014,36.04,-0.009664579
22/01/2014,36.39,0.018023502
21/01/2014,35.74,0.004767924
17/01/2014,35.57,0.00056243
16/01/2014,35.55,0.00168919
15/01/2014,35.49,-0.00028173
14/01/2014,35.5,0.001127396
13/01/2014,35.46,-0.012331995
10/01/2014,35.9,-0.000278513
09/01/2014,35.91,-0.00250313
08/01/2014,36,-0.005263899
07/01/2014,36.19,0.006653753
06/01/2014,35.95,-0.000556174
03/01/2014,35.97,0.001669449
02/01/2014,35.91,-0.00250313
31/12/2013,36,-0.005816385
30/12/2013,36.21,0.008319516
27/12/2013,35.91,0.005585047
26/12/2013,35.71,0.005616415
24/12/2013,35.51,0.00056338
23/12/2013,35.49,0.007636864
20/12/2013,35.22,0.013146803
19/12/2013,34.76,0.012447693
18/12/2013,34.33,0.026565907
17/12/2013,33.43,0.022078623
16/12/2013,32.7,-0.003967654
13/12/2013,32.83,-0.001521839
12/12/2013,32.88,0.009165967
11/12/2013,32.58,-0.009470057
10/12/2013,32.89,-0.013889112
09/12/2013,33.35,-0.004786129
06/12/2013,33.51,0.015942585
05/12/2013,32.98,-0.013552383
04/12/2013,33.43,-0.047036566
03/12/2013,35.04,-0.004555817
02/12/2013,35.2,-0.00961274
29/11/2013,35.54,-0.008405765
27/11/2013,35.84,-0.00055788
26/11/2013,35.86,-0.001671775
25/11/2013,35.92,0.011198325
22/11/2013,35.52,0.006779687
21/11/2013,35.28,0
20/11/2013,35.28,0.000283487
19/11/2013,35.27,-0.009874534
18/11/2013,35.62,0.007608886
15/11/2013,35.35,0.009379065
14/11/2013,35.02,0.014090815
13/11/2013,34.53,-0.002025171
12/11/2013,34.6,-0.002886005
11/11/2013,34.7,-0.008608375
08/11/2013,35,0.006305553
07/11/2013,34.78,-0.010866564
06/11/2013,35.16,0.001423083
05/11/2013,35.11,-0.003412002
04/11/2013,35.23,-0.002268218
01/11/2013,35.31,0
31/10/2013,35.31,-0.007055201
